place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ5foTzf6fAhMRjYHc6CqcS3U,BORA hammamet,,False,13,,BORA hammamet (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPRQpF8PTSBKvVjdjZRWdQyXTQugBI6G84hL8Ug=w408-h725-k-no,Discotheque,Discotheque,4.2,18:00-04:00,,20 495 507,"CM86+9JV BORA hammamet, Route Touristique, Hammamet",,https://www.google.com/maps/place/BORA+hammamet/data=!4m7!3m6!1s0x13029ffecd13fae5:0x754b9c2ae8dc818d!8m2!3d36.4159808!4d10.6615395!16s%2Fg%2F11gxtkmp4j!19sChIJ5foTzf6fAhMRjYHc6CqcS3U?authuser=0&hl=fr&rclk=1
ChIJPwfMDPFj_RIR6Vfe4fywcNE,Shiva Hammamet,,False,11,,Shiva Hammamet (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPFl8G5WwgcVcnIVs5NWZ8fMMUllhX9yX8adfDL=w408-h544-k-no,Bar lounge,Bar lounge,4,12:00-04:00,,23 773 222,"9HW7+FV2 Shiva Hammamet, Yasmine Hammamet",,https://www.google.com/maps/place/Shiva+Hammamet/data=!4m7!3m6!1s0x12fd63f10ccc073f:0xd170b0fce1de57e9!8m2!3d36.3961258!4d10.5646423!16s%2Fg%2F11lgy8rfw3!19sChIJPwfMDPFj_RIR6Vfe4fywcNE?authuser=0&hl=fr&rclk=1
ChIJ_____xyeAhMRulf3y3YJimw,WHITE CLUB,,False,11,,WHITE CLUB (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP9eBAmnveeDDynT6wGlv4SHrPQ1AhYUFTZ6NU=w408-h281-k-no,Discotheque,Discotheque,4.1,22:00-04:00,,,"9HV4+7V8 WHITE CLUB, avenue de la paix, Yasmine Hammamet",,https://www.google.com/maps/place/WHITE+CLUB/data=!4m7!3m6!1s0x13029e1cffffffff:0x6c8a0976cbf757ba!8m2!3d36.3931506!4d10.5572166!16s%2Fg%2F11ggc1t1nv!19sChIJ_____xyeAhMRulf3y3YJimw?authuser=0&hl=fr&rclk=1
ChIJ6dyQOZBj_RIRFyB1LA75iQU,Bolivar Beach Bar,,False,7,,Bolivar Beach Bar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO_RtgDjSYkptDmSwZEe6tD25EEoheFYqPmKR0O=w408-h306-k-no,Bar lounge,Bar lounge,4.6,09:00-23:00,,21 724 160,"9GCR+8QH Bolivar Beach Bar, Yasmine Hammamet",,https://www.google.com/maps/place/Bolivar+Beach+Bar/data=!4m7!3m6!1s0x12fd63903990dce9:0x589f90e2c752017!8m2!3d36.3708209!4d10.5419783!16s%2Fg%2F11b_2mrsdg!19sChIJ6dyQOZBj_RIRFyB1LA75iQU?authuser=0&hl=fr&rclk=1
ChIJza5ENMFj_RIRbDokm7lfHBw,Ibiza nightclub,,False,4,,Ibiza nightclub (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPWnQn2HGrkFzM5UXVBdWzMyduWKgZ03yv1hSMj=w408-h725-k-no,Bar,Bar,5,,,,"9G9Q+X2R Ibiza nightclub, Unnamed Road, Yasmine Hammamet",,https://www.google.com/maps/place/Ibiza+nightclub/data=!4m7!3m6!1s0x12fd63c13444aecd:0x1c1c5fb99b243a6c!8m2!3d36.3699934!4d10.5375097!16s%2Fg%2F11h_11dxrb!19sChIJza5ENMFj_RIRbDokm7lfHBw?authuser=0&hl=fr&rclk=1
ChIJLSp0Yddj_RIRXFCNMdIt4J0,Billions Club,,False,4,,Billions Club (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOw-mRmc4MJLqTlaWqObt2KznAt8f1BSyhShfeO=w408-h306-k-no,Discotheque,Discotheque,5,,,,"Billions Club, la Paix, Sud 8050,, Rue de Hammamet, Tunis",,https://www.google.com/maps/place/Billions+Club/data=!4m7!3m6!1s0x12fd63d761742a2d:0x9de02dd2318d505c!8m2!3d36.3953451!4d10.5635811!16s%2Fg%2F11c2qt9lcm!19sChIJLSp0Yddj_RIRXFCNMdIt4J0?authuser=0&hl=fr&rclk=1
ChIJ_____xyeAhMRnimC2qVmCSg,Golden Bar Paradis Palace,,False,3,,Golden Bar Paradis Palace (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPtFnoF_0OAd869eporvO0HTmjA18UKAqTol8Q=w408-h725-k-no,Discotheque,Discotheque,5,20:00-01:00,,72 226 330,"CJ4C+VXX Golden Bar Paradis Palace, avenue de la paix, Hammamet",,https://www.google.com/maps/place/Golden+Bar+Paradis+Palace/data=!4m7!3m6!1s0x13029e1cffffffff:0x280966a5da82299e!8m2!3d36.4072253!4d10.6224798!16s%2Fg%2F11ggc1x4vp!19sChIJ_____xyeAhMRnimC2qVmCSg?authuser=0&hl=fr&rclk=1
ChIJL7kTkSGfAhMRRHuQ7MYcysY,Disco Blue,,False,3,,Disco Blue (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6eGYXKRSmpHtE_OO4Pejuw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=327.3774&pitch=0&thumbfov=100,Discotheque,Discotheque,4.7,23:00-04:00,,,"Disco Blue, 2096 Bd de l'Environnment, Mrezga",,https://www.google.com/maps/place/Disco+Blue/data=!4m7!3m6!1s0x13029f219113b92f:0xc6ca1cc6ec907b44!8m2!3d36.4229303!4d10.6734069!16s%2Fg%2F11m_yzp36c!19sChIJL7kTkSGfAhMRRHuQ7MYcysY?authuser=0&hl=fr&rclk=1
ChIJHWGCdbFl_RIRZFaINaXTO-E,BarZar,,False,2,,BarZar (proprietaire),https://www.google.com/maps/contrib/117515064883369597057,https://lh5.googleusercontent.com/p/AF1QipO8DFU4w9nYzrW_uR_fuu2hlUiM0nWgtPwGSROv=w432-h240-k-no,Bar lounge,Bar lounge,5,17:00-00:00,lundi,54 998 125,"BarZar, en face de l hotel hasdrubal, yasmin hammamet avenue abu dhabi residence villa noria, 8050",,https://www.google.com/maps/place/BarZar/data=!4m7!3m6!1s0x12fd65b17582611d:0xe13bd3a535885664!8m2!3d36.3566342!4d10.5265528!16s%2Fg%2F11vj76w3l3!19sChIJHWGCdbFl_RIRZFaINaXTO-E?authuser=0&hl=fr&rclk=1
ChIJuQO1WiFh_RIR05gnsxjfdjA,kryr Sbry lGyZwy,,False,1,http://www.bhamakizbyy.com/,kryr Sbry lGyZwy (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=flk7Gk9N4SDKcSM3luQi0A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=111.413635&pitch=0&thumbfov=100,Discotheque,Discotheque,5,,,,"CH36+Q53 kryr Sbry lGyZwy, Hammamet Sud",,https://www.google.com/maps/place/%D9%83%D8%B1%D9%8A%D8%A7%D8%B1+%D8%B5%D8%A8%D8%B1%D9%8A+%D8%A7%D9%84%D8%BA%D9%8A%D8%B8%D8%A7%D9%88%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12fd61215ab503b9:0x3076df18b32798d3!8m2!3d36.4043753!4d10.5604182!16s%2Fg%2F11f71635x0!19sChIJuQO1WiFh_RIR05gnsxjfdjA?authuser=0&hl=fr&rclk=1
