place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJQXfVyIJL_RIR2qbc4c3FPqw,Wet Flamingo,,False,81,,Wet Flamingo (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPENXD96jrSz_lzPC9YtnFdl1agYLi8i8So2qvV=w408-h306-k-no,Bar,Bar,4.2,16:00-02:00,dimanche,31 151 657,"R8C6+RF2 Wet Flamingo, Av. De La Republique, La Goulette","cocktails, prix, atmosphere, clients",https://www.google.com/maps/place/Wet+Flamingo/data=!4m7!3m6!1s0x12fd4b82c8d57741:0xac3ec5cde1dca6da!8m2!3d36.822019!4d10.3111403!16s%2Fg%2F11h9gt26fg!19sChIJQXfVyIJL_RIR2qbc4c3FPqw?authuser=0&hl=fr&rclk=1
ChIJ4be7ol9L_RIR8NpVEmNDloA,Vin sur Vin,,False,81,,Vin sur Vin (proprietaire),https://www.google.com/maps/contrib/107373230831427067366,https://lh5.googleusercontent.com/p/AF1QipP-Iv5lFd9Oax2HddyMs2Xt6LFiPNBbVWya2ajy=w408-h306-k-no,Bistro,Bistro,4,,,53 270 000,"Vin sur Vin, 20 Rue Ali Bach, La Goulette 2060","fromage, bar, boissons, jogging, argent, musique, prix",https://www.google.com/maps/place/Vin+sur+Vin/data=!4m7!3m6!1s0x12fd4b5fa2bbb7e1:0x809643631255daf0!8m2!3d36.8155317!4d10.3055714!16s%2Fg%2F11j3rqh77n!19sChIJ4be7ol9L_RIR8NpVEmNDloA?authuser=0&hl=fr&rclk=1
ChIJgdht4Z614hIRoRjhu9eX5BU,BSMNT The Club,,False,33,https://basement-theclub.com/,BSMNT The Club (proprietaire),https://www.google.com/maps/contrib/101612273304982936520,https://lh5.googleusercontent.com/p/AF1QipPKPlw2EPI9gs4xpsNuD2__JNhjXF_63fbDYaT-=w408-h303-k-no,Discotheque,"Discotheque, Bar",4.2,20:00-04:00,"lundi, mardi, mercredi",,"W7CQ+5MQ BSMNT The Club, Gammarth",,https://www.google.com/maps/place/BSMNT+The+Club/data=!4m7!3m6!1s0x12e2b59ee16dd881:0x15e497d7bbe118a1!8m2!3d36.9204708!4d10.2894025!16s%2Fg%2F11pkcc70bq!19sChIJgdht4Z614hIRoRjhu9eX5BU?authuser=0&hl=fr&rclk=1
ChIJfV4ghHI0_RIRydCkINGvmT8,Marengo Club _ Timbuktu,,False,31,,Marengo Club _ Timbuktu (proprietaire),https://www.google.com/maps/contrib/103199313015052236002,https://lh5.googleusercontent.com/p/AF1QipNpYeP3LCLqVAgaiK5T181HcpHWNDrtdWo_-ir0=w426-h240-k-no,Bar,Bar,4.2,12:00-02:00,dimanche,51 317 465,"Marengo Club _ Timbuktu, Tunis",prix,https://www.google.com/maps/place/Marengo+Club+_+Timbuktu/data=!4m7!3m6!1s0x12fd347284205e7d:0x3f99afd120a4d0c9!8m2!3d36.7983722!4d10.1810601!16s%2Fg%2F11dxnnk9th!19sChIJfV4ghHI0_RIRydCkINGvmT8?authuser=0&hl=fr&rclk=1
ChIJoxlhJ8q04hIR0k0eCcIdsgQ,Le Perchoir,,False,25,,Le Perchoir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMTYy8FVYS7CgxLYhXiFkpYOi76K3NDNhiS6bBt=w408-h306-k-no,Bar lounge,Bar lounge,4.3,17:00-00:00,dimanche,31 323 000,"V83G+25H Le Perchoir, Site archeologique de Carthage",prix,https://www.google.com/maps/place/Le+Perchoir/data=!4m7!3m6!1s0x12e2b4ca276119a3:0x4b21dc2091e4dd2!8m2!3d36.8525609!4d10.3254734!16s%2Fg%2F11ggrrpnwr!19sChIJoxlhJ8q04hIR0k0eCcIdsgQ?authuser=0&hl=fr&rclk=1
ChIJV3fJWlA1_RIRybF_8iE-pow,Le Bistrot,,False,17,,Le Bistrot (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOwNZUkUATmp6PkzKE8dhaA2s8ZSo4whRbLeN2E=w408-h544-k-no,Bar lounge,Bar lounge,4.1,,,,"R57H+27V Le Bistrot, Rue de Afghanistan, Tunis",,https://www.google.com/maps/place/Le+Bistrot/data=!4m7!3m6!1s0x12fd35505ac97757:0x8ca63e21f27fb1c9!8m2!3d36.8126069!4d10.1781672!16s%2Fg%2F11hdsy8p39!19sChIJV3fJWlA1_RIRybF_8iE-pow?authuser=0&hl=fr&rclk=1
ChIJyZSOAQo1_RIR-I877pONOoI,Maison Bleue Tunis,,False,17,,Maison Bleue Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM6aE-MK5xEt1u2-QPMy5aE1OV1IfhzjEKDtGuB=w408-h306-k-no,Bar lounge,Bar lounge,4.2,09:00-02:15,,22 504 030,"Maison Bleue Tunis, 141 Av. de La Liberte, Tunis 1002",,https://www.google.com/maps/place/Maison+Bleue+Tunis/data=!4m7!3m6!1s0x12fd350a018e94c9:0x823a8d93ee3b8ff8!8m2!3d36.8196736!4d10.1784528!16s%2Fg%2F11hzytsmv5!19sChIJyZSOAQo1_RIR-I877pONOoI?authuser=0&hl=fr&rclk=1
ChIJ7yTRmu-14hIRyHWaKuIHCzA,Bubble's Lounge,,False,11,,Bubble's Lounge (proprietaire),https://www.google.com/maps/contrib/101661039975112863759,https://lh5.googleusercontent.com/p/AF1QipO5YFvLpPFZFYZcMcVu4172yn9xi_yJt7Abw1hd=w408-h615-k-no,Discotheque,Discotheque,4.6,,,28 997 501,"Bubble's Lounge, RR 23, Gammarth",,https://www.google.com/maps/place/Bubble%27s+Lounge/data=!4m7!3m6!1s0x12e2b5ef9ad124ef:0x300b07e22a9a75c8!8m2!3d36.9256238!4d10.2734585!16s%2Fg%2F11b6nqplxx!19sChIJ7yTRmu-14hIRyHWaKuIHCzA?authuser=0&hl=fr&rclk=1
ChIJ_zmWk7m14hIRIvwDXiffsiY,TSpice,,False,8,,TSpice (proprietaire),,,Bar lounge,Bar lounge,4,,,21 225 156,"TSpice, Zone touristique Gammarth Tunis, 2070",,https://www.google.com/maps/place/TSpice/data=!4m7!3m6!1s0x12e2b5b9939639ff:0x26b2df275e03fc22!8m2!3d36.9217262!4d10.2908078!16s%2Fg%2F11jkns1v20!19sChIJ_zmWk7m14hIRIvwDXiffsiY?authuser=0&hl=fr&rclk=1
ChIJ756OPQC14hIRsfJ7d01RTW0,Lazy Club,,False,7,,Lazy Club (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMzX2vg0ATS1fyK7kJBYKFeUE4TrnigN-IXXkZn=w408-h725-k-no,Discotheque,Discotheque,4,22:00-04:00,"lundi, mardi, mercredi",,"W7GF+56G Lazy Club, Gammarth",,https://www.google.com/maps/place/Lazy+Club/data=!4m7!3m6!1s0x12e2b5003d8e9eef:0x6d4d514d777bf2b1!8m2!3d36.9254413!4d10.2730484!16s%2Fg%2F11y27jv90l!19sChIJ756OPQC14hIRsfJ7d01RTW0?authuser=0&hl=fr&rclk=1
ChIJ2x2abku14hIRIBzlLqUBTgw,A Point Le Bar,,False,5,https://instagram.com/apointbar%3Figshid%3DNzZlODBkYWE4Ng%3D%3D%26utm_source%3Dqr,A Point Le Bar (proprietaire),https://www.google.com/maps/contrib/107165644153933908991,https://lh5.googleusercontent.com/p/AF1QipO9WESN5Yxx2irfEhz4uSr4NMHyUpNhsB3JmJQN=w408-h338-k-no,Bar lounge,Bar lounge,4.8,14:00-00:00,,95 823 432,"A Point Le Bar, Av de la Promenade, Marsa 2078",,https://www.google.com/maps/place/A+Point+Le+Bar/data=!4m7!3m6!1s0x12e2b54b6e9a1ddb:0xc4e01a52ee51c20!8m2!3d36.9063784!4d10.3125508!16s%2Fg%2F11vj941z66!19sChIJ2x2abku14hIRIBzlLqUBTgw?authuser=0&hl=fr&rclk=1
ChIJaVVVVWU0_RIRXy0FmF8pZLo,DESTINO LOUNGE,,False,5,,DESTINO LOUNGE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNpPDKEtlCNmoHfU2hVE8m05ZPvKm1-SBA5FPCD=w426-h240-k-no,Bar lounge,Bar lounge,5,09:00-04:00,,53 455 300,"R54J+HJV DESTINO LOUNGE, Hotel Abou Sofien, El Kantaoui 4089",,https://www.google.com/maps/place/DESTINO+LOUNGE/data=!4m7!3m6!1s0x12fd346555555569:0xba64295f98052d5f!8m2!3d36.806495!4d10.181532!16s%2Fg%2F11g9q3kz77!19sChIJaVVVVWU0_RIRXy0FmF8pZLo?authuser=0&hl=fr&rclk=1
ChIJvZPHNxI1_RIREjVY0Pxa-AQ,Chat alhamrouni,,False,4,,Chat alhamrouni (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rZmC4k7XNBxbtwHoTXeB8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.3608&pitch=0&thumbfov=100,Discotheque,Discotheque,5,,,,"R54J+HJV Chat alhamrouni, Tunis",,https://www.google.com/maps/place/Chat+alhamrouni/data=!4m7!3m6!1s0x12fd351237c793bd:0x4f85afcd0583512!8m2!3d36.8064948!4d10.1815316!16s%2Fg%2F11j79xdbf8!19sChIJvZPHNxI1_RIREjVY0Pxa-AQ?authuser=0&hl=fr&rclk=1
ChIJ0_PpSB41_RIRS0srGaV7VU0,VIP ROOM LOUNGE,,False,3,,VIP ROOM LOUNGE (proprietaire),https://www.google.com/maps/contrib/102208297721377454410,https://lh5.googleusercontent.com/p/AF1QipMDgHJUyEurTbdmCTqT_mjaAi8R9lsch8rIobUZ=w426-h240-k-no,Bar lounge,Bar lounge,5,12:00-04:00,,52 594 190,"VIP ROOM LOUNGE, 67 Av. Taieb M'Hiri, Belvedere 1003",,https://www.google.com/maps/place/VIP+ROOM+LOUNGE/data=!4m7!3m6!1s0x12fd351e48e9f3d3:0x4d557ba5192b4b4b!8m2!3d36.8160808!4d10.1759976!16s%2Fg%2F11sfx358zc!19sChIJ0_PpSB41_RIRS0srGaV7VU0?authuser=0&hl=fr&rclk=1
ChIJUzSKlu-14hIRkTbJxxyi-Vs,Bodega,,False,2,,Bodega (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPH1JFg6HHuv8kzeeiKEM_Otn5bKVfxSa4os_to=w408-h306-k-no,Bar lounge,Bar lounge,4,,,,"W7GF+36F Bodega, Gammarth",,https://www.google.com/maps/place/Bodega/data=!4m7!3m6!1s0x12e2b5ef968a3453:0x5bf9a21cc7c93691!8m2!3d36.925192!4d10.273053!16s%2Fg%2F11c1cshk2t!19sChIJUzSKlu-14hIRkTbJxxyi-Vs?authuser=0&hl=fr&rclk=1
ChIJC03rXYxL_RIRMOElwOWzY3E,Le manoir,,False,1,,Le manoir (proprietaire),https://www.google.com/maps/contrib/116312600622618228044,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9b-ZBEttH51tro2Any5T2g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=130.55977&pitch=0&thumbfov=100,Bar lounge,Bar lounge,5,17:00-01:00,dimanche,,"Le manoir, 100 Rte de La Goulette, Gammarth",,https://www.google.com/maps/place/Le+manoir/data=!4m7!3m6!1s0x12fd4b8c5deb4d0b:0x7163b3e5c025e130!8m2!3d36.8389605!4d10.3182491!16s%2Fg%2F11thkwhv8l!19sChIJC03rXYxL_RIRMOElwOWzY3E?authuser=0&hl=fr&rclk=1
ChIJ7UB1L0G14hIRGrigiCgkhj0,Le QG,,False,1,,Le QG (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BdY_5P_2MeyqY2QhcwXgQg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=47.625923&pitch=0&thumbfov=100,Discotheque,Discotheque,5,,,,"Le QG, 4 Rue El Khawarizmi, La Marsa",,https://www.google.com/maps/place/Le+QG/data=!4m7!3m6!1s0x12e2b5412f7540ed:0x3d86242888a0b81a!8m2!3d36.876868!4d10.3297651!16s%2Fg%2F11s4zhpg5f!19sChIJ7UB1L0G14hIRGrigiCgkhj0?authuser=0&hl=fr&rclk=1
ChIJkSX6Pm-14hIRPVEuX4_-hhg,Terraza del marabella,,False,1,,Terraza del marabella (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNL8vr2w9RCYPhlugjutmX6n6965xQ72OZHVaFR=w408-h544-k-no,Bar lounge,Bar lounge,4,12:00-00:00,,94 060 104,"W847+H5 Terraza del marabella, La Marsa",,https://www.google.com/maps/place/Terraza+del+marabella/data=!4m7!3m6!1s0x12e2b56f3efa2591:0x1886fe8f5f2e513d!8m2!3d36.9063815!4d10.3128982!16s%2Fg%2F11v63gc3ks!19sChIJkSX6Pm-14hIRPVEuX4_-hhg?authuser=0&hl=fr&rclk=1
ChIJiwLuEgS14hIRDHk8i4qLfKo,Elyssar - lWy Sr,,False,1,https://www.facebook.com/elyssartunis%3Fmibextid%3DZbWKwL,Elyssar - lWy Sr (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjYE9ZdPcWhJ5yO9e79979rWIHj_QyPayzoVf1=w408-h272-k-no,Discotheque,Discotheque,5,21:00-00:00,"lundi, mardi, dimanche",54 549 994,"W846+JW3 Elyssar - lWy Sr, Marsa",,https://www.google.com/maps/place/Elyssar+-+%D8%A5%D9%84%D9%91%D9%8A+%D8%B5%D8%A7%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x12e2b50412ee028b:0xaa7c8b8a8b3c790c!8m2!3d36.9066112!4d10.3121234!16s%2Fg%2F11ttb9gylb!19sChIJiwLuEgS14hIRDHk8i4qLfKo?authuser=0&hl=fr&rclk=1
