place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJR7loKyI1_RIRbiOscI54Xgw,Le Taboo - Tunis,,False,61,,Le Taboo - Tunis (proprietaire),https://www.google.com/maps/contrib/110114081737755918375,https://lh5.googleusercontent.com/p/AF1QipPsJl8jFrustqY55Mi5FqU_GKlfvs8WivvXtl2F=w458-h240-k-no,Bar lounge,Bar lounge,4,16:00-02:00,dimanche,20 700 800,"Le Taboo - Tunis, 8, rue Cote d'Ivoire, Belvedere, Tunis 1002",,https://www.google.com/maps/place/Le+Taboo+-+Tunis/data=!4m7!3m6!1s0x12fd35222b68b947:0xc5e788e70ac236e!8m2!3d36.8197258!4d10.1840157!16s%2Fg%2F11j0rhvhln!19sChIJR7loKyI1_RIRbiOscI54Xgw?authuser=0&hl=fr&rclk=1
ChIJfV4ghHI0_RIRydCkINGvmT8,Marengo Club _ Timbuktu,,False,31,,Marengo Club _ Timbuktu (proprietaire),https://www.google.com/maps/contrib/103199313015052236002,https://lh5.googleusercontent.com/p/AF1QipNpYeP3LCLqVAgaiK5T181HcpHWNDrtdWo_-ir0=w426-h240-k-no,Bar,Bar,4.2,12:00-02:00,dimanche,51 317 465,"Marengo Club _ Timbuktu, Tunis",prix,https://www.google.com/maps/place/Marengo+Club+_+Timbuktu/data=!4m7!3m6!1s0x12fd347284205e7d:0x3f99afd120a4d0c9!8m2!3d36.7983722!4d10.1810601!16s%2Fg%2F11dxnnk9th!19sChIJfV4ghHI0_RIRydCkINGvmT8?authuser=0&hl=fr&rclk=1
ChIJyZSOAQo1_RIR-I877pONOoI,Maison Bleue Tunis,,False,17,,Maison Bleue Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM6aE-MK5xEt1u2-QPMy5aE1OV1IfhzjEKDtGuB=w408-h306-k-no,Bar lounge,Bar lounge,4.2,09:00-02:15,,22 504 030,"Maison Bleue Tunis, 141 Av. de La Liberte, Tunis 1002",,https://www.google.com/maps/place/Maison+Bleue+Tunis/data=!4m7!3m6!1s0x12fd350a018e94c9:0x823a8d93ee3b8ff8!8m2!3d36.8196736!4d10.1784528!16s%2Fg%2F11hzytsmv5!19sChIJyZSOAQo1_RIR-I877pONOoI?authuser=0&hl=fr&rclk=1
ChIJV3fJWlA1_RIRybF_8iE-pow,Le Bistrot,,False,17,,Le Bistrot (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOwNZUkUATmp6PkzKE8dhaA2s8ZSo4whRbLeN2E=w408-h544-k-no,Bar lounge,Bar lounge,4.1,,,,"R57H+27V Le Bistrot, Rue de Afghanistan, Tunis",,https://www.google.com/maps/place/Le+Bistrot/data=!4m7!3m6!1s0x12fd35505ac97757:0x8ca63e21f27fb1c9!8m2!3d36.8126069!4d10.1781672!16s%2Fg%2F11hdsy8p39!19sChIJV3fJWlA1_RIRybF_8iE-pow?authuser=0&hl=fr&rclk=1
ChIJaVVVVWU0_RIRXy0FmF8pZLo,DESTINO LOUNGE,,False,5,,DESTINO LOUNGE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNpPDKEtlCNmoHfU2hVE8m05ZPvKm1-SBA5FPCD=w426-h240-k-no,Bar lounge,Bar lounge,5,09:00-04:00,,53 455 300,"R54J+HJV DESTINO LOUNGE, Hotel Abou Sofien, El Kantaoui 4089",,https://www.google.com/maps/place/DESTINO+LOUNGE/data=!4m7!3m6!1s0x12fd346555555569:0xba64295f98052d5f!8m2!3d36.806495!4d10.181532!16s%2Fg%2F11g9q3kz77!19sChIJaVVVVWU0_RIRXy0FmF8pZLo?authuser=0&hl=fr&rclk=1
ChIJ2x2abku14hIRIBzlLqUBTgw,A Point Le Bar,,False,5,https://instagram.com/apointbar%3Figshid%3DNzZlODBkYWE4Ng%3D%3D%26utm_source%3Dqr,A Point Le Bar (proprietaire),https://www.google.com/maps/contrib/107165644153933908991,https://lh5.googleusercontent.com/p/AF1QipO9WESN5Yxx2irfEhz4uSr4NMHyUpNhsB3JmJQN=w408-h338-k-no,Bar lounge,Bar lounge,4.8,14:00-00:00,,95 823 432,"A Point Le Bar, Av de la Promenade, Marsa 2078",,https://www.google.com/maps/place/A+Point+Le+Bar/data=!4m7!3m6!1s0x12e2b54b6e9a1ddb:0xc4e01a52ee51c20!8m2!3d36.9063784!4d10.3125508!16s%2Fg%2F11vj941z66!19sChIJ2x2abku14hIRIBzlLqUBTgw?authuser=0&hl=fr&rclk=1
ChIJvZPHNxI1_RIREjVY0Pxa-AQ,Chat alhamrouni,,False,4,,Chat alhamrouni (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rZmC4k7XNBxbtwHoTXeB8g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=269.3608&pitch=0&thumbfov=100,Discotheque,Discotheque,5,,,,"R54J+HJV Chat alhamrouni, Tunis",,https://www.google.com/maps/place/Chat+alhamrouni/data=!4m7!3m6!1s0x12fd351237c793bd:0x4f85afcd0583512!8m2!3d36.8064948!4d10.1815316!16s%2Fg%2F11j79xdbf8!19sChIJvZPHNxI1_RIREjVY0Pxa-AQ?authuser=0&hl=fr&rclk=1
ChIJ0_PpSB41_RIRS0srGaV7VU0,VIP ROOM LOUNGE,,False,3,,VIP ROOM LOUNGE (proprietaire),https://www.google.com/maps/contrib/102208297721377454410,https://lh5.googleusercontent.com/p/AF1QipMDgHJUyEurTbdmCTqT_mjaAi8R9lsch8rIobUZ=w426-h240-k-no,Bar lounge,Bar lounge,5,12:00-04:00,,52 594 190,"VIP ROOM LOUNGE, 67 Av. Taieb M'Hiri, Belvedere 1003",,https://www.google.com/maps/place/VIP+ROOM+LOUNGE/data=!4m7!3m6!1s0x12fd351e48e9f3d3:0x4d557ba5192b4b4b!8m2!3d36.8160808!4d10.1759976!16s%2Fg%2F11sfx358zc!19sChIJ0_PpSB41_RIRS0srGaV7VU0?authuser=0&hl=fr&rclk=1
ChIJk5pIClsz_RIRCjIOWCPpwN4,RAS DAREB 31 INDONESIAN LOUNGE,,False,2,,RAS DAREB 31 INDONESIAN LOUNGE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipODV4Qb4EnmMSrRPfGJBnDN0Qbw5ucwheKkI8SF=w408-h305-k-no,Bar lounge,Bar lounge,5,Ouvert 24h/24,,,"Q5R8+JFR RAS DAREB 31 INDONESIAN LOUNGE, Tunis",,https://www.google.com/maps/place/RAS+DAREB+31+INDONESIAN+LOUNGE/data=!4m7!3m6!1s0x12fd335b0a489a93:0xdec0e923580e320a!8m2!3d36.7916184!4d10.1661361!16s%2Fg%2F11ftk7dtsc!19sChIJk5pIClsz_RIRCjIOWCPpwN4?authuser=0&hl=fr&rclk=1
ChIJ3ZR_FNg3_RIROoJe1qX7kbE,Studio Photo Plus Hafedh,,False,1,,Studio Photo Plus Hafedh (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNMYZklLNBJSeULrz9XswzAi_Ny5JD7cN08wwR5=w408-h396-k-no,Discotheque,Discotheque,5,09:00-04:00,,96 568 612,"P5QW+7HV Studio Photo Plus Hafedh, El mourouj 2",,https://www.google.com/maps/place/Studio+Photo+Plus+Hafedh/data=!4m7!3m6!1s0x12fd37d8147f94dd:0xb191fba5d65e823a!8m2!3d36.7382499!4d10.1964216!16s%2Fg%2F11g1wp8w07!19sChIJ3ZR_FNg3_RIROoJe1qX7kbE?authuser=0&hl=fr&rclk=1
