place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJwU3zk4oz_RIRdwLt6emd_bo,Dar El Jeld,"Suites elegantes dans hotel raffine avec 2 restaurants, bar sur toit-terrasse et spa chic.",False,690,http://www.dareljeld.com/,Dar El Jeld (proprietaire),https://www.google.com/maps/contrib/110762076450897376505,https://lh5.googleusercontent.com/p/AF1QipPqv_rUalypNi3EEM1lzRckKuv52fKyJmL62p-R=w408-h255-k-no,Restaurant,Restaurant,4.4,"12:00-15:00, 19:30-23:30",dimanche,71 560 916,"Dar El Jeld, 5-10, Rue Dar El Jeld, Street 1005","hotel, spa, tunisienne, coeur, rooftop, suites, hammam, couscous, cuisine traditionnelle, architecture",https://www.google.com/maps/place/Dar+El+Jeld/data=!4m7!3m6!1s0x12fd338a93f34dc1:0xbafd9de9e9ed0277!8m2!3d36.7989592!4d10.1687787!16s%2Fg%2F11c74fwfqz!19sChIJwU3zk4oz_RIRdwLt6emd_bo?authuser=0&hl=fr&rclk=1
ChIJm2KIP3U0_RIRdvalgbEo4pM,Fondouk El Attarine,,False,592,http://www.fondoukelattarine.com/,Fondouk El Attarine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNV0jxzkWRFV4oQPjfkERts-y6C_lFg_kSTt-zX=w408-h544-k-no,Restaurant,Restaurant,4.3,10:00-15:30,dimanche,71 322 244,"Fondouk El Attarine, 9 Bis Souk El Attarine, Tunis","cadre, tunisien, couscous, touristes, service, coeur, artisanat, souk, caravanserail, valeur",https://www.google.com/maps/place/Fondouk+El+Attarine/data=!4m7!3m6!1s0x12fd34753f88629b:0x93e228b181a5f676!8m2!3d36.7980448!4d10.1716271!16s%2Fg%2F11bzx2g3m4!19sChIJm2KIP3U0_RIRdvalgbEo4pM?authuser=0&hl=fr&rclk=1
ChIJMwoaPTy14hIR9G1zFeGCLag,La Closerie,,False,468,,La Closerie (proprietaire),https://www.google.com/maps/contrib/101989028895416000274,https://lh5.googleusercontent.com/p/AF1QipNNyMgO-CwZk4-rcvwApyutpHKozjWsq-hSTiHV=w408-h725-k-no,Restaurant,Restaurant,4,11:30-04:00,,70 938 537,"La Closerie, Marsa","prix, musique, vin, produits de la mer, atmosphere, cuisine, bar, DJ, piscine, hautains",https://www.google.com/maps/place/La+Closerie/data=!4m7!3m6!1s0x12e2b53c3d1a0a33:0xa82d82e115736df4!8m2!3d36.8677342!4d10.2887291!16s%2Fg%2F1hc53mqsk!19sChIJMwoaPTy14hIR9G1zFeGCLag?authuser=0&hl=fr&rclk=1
ChIJN9OTA4Y0_RIRRI3mbyzD9SM,"La Salle a Manger ""La Vinotheque by La Salle a Manger""",,False,460,https://www.facebook.com/salleamangerpageofficielle/,"La Salle a Manger ""La Vinotheque by La Salle a Manger"" (proprietaire)",https://www.google.com/maps/contrib/116471666787673467406,https://lh5.googleusercontent.com/p/AF1QipPsEaaSuGXo9-hiqmjPRTHVS5ikFkxx6vAwiWiR=w408-h544-k-no,Restaurant,"Restaurant, Bar a vin",4.3,12:00-00:30,dimanche,71 793 283,"La Salle a Manger ""La Vinotheque by La Salle a Manger"", 3 Rue Imam Sahnoun, Tunis 1002","atmosphere, cuisine, service, fumeur, dessert, experience, serveurs, souris d'agneau, qualite, canard",https://www.google.com/maps/place/La+Salle+%C3%A0+Manger+%22La+Vinoth%C3%A8que+by+La+Salle+%C3%A0+Manger%22/data=!4m7!3m6!1s0x12fd34860393d337:0x23f5c32c6fe68d44!8m2!3d36.8219108!4d10.1813322!16s%2Fg%2F1td35g19!19sChIJN9OTA4Y0_RIRRI3mbyzD9SM?authuser=0&hl=fr&rclk=1
ChIJ404M9R41_RIRzYxRWD9bn5I,Club Grill Citroen,,False,374,,Club Grill Citroen (proprietaire),https://www.google.com/maps/contrib/114665984406888566381,https://lh5.googleusercontent.com/p/AF1QipPpNm1ZdjBO9oVzc0zSNAVDyUe9UVIbthA3D7bJ=w427-h240-k-no,Restaurant,"Restaurant, Grillades, Restaurant servant le petit-dejeuner, Cafe, Diner, Restaurant mediterraneen, Pizzeria, Salon de the",4.1,08:00-00:00,,20 132 871,"Club Grill Citroen, maison Citroen, Avenue principale les berges du Lac Show Room","prix, serveur, pizza, cafe, famille, atmosphere, crepes, brunch, alcool, je",https://www.google.com/maps/place/Club+Grill+Citro%C3%ABn/data=!4m7!3m6!1s0x12fd351ef50c4ee3:0x929f5b3f58518ccd!8m2!3d36.831203!4d10.2179411!16s%2Fg%2F1tg589t7!19sChIJ404M9R41_RIRzYxRWD9bn5I?authuser=0&hl=fr&rclk=1
ChIJkxiB-AY1_RIRUPLHp6Uhnns,Damascino,,False,314,https://www.facebook.com/damascino.orientalfood/,Damascino (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP3_auNg4RauB_7uv_CG9KgeQr2p3fGhUBvHBzx=w408-h544-k-no,Restaurant,Restaurant,4.1,11:00-00:00,,51 514 080,"Damascino, 38 Rue Mouawiya Ibn Abi Sofiene, Ariana","prix, syrien, libanais, quantite, pain, qualite, experience, salade, houmous, kebab",https://www.google.com/maps/place/Damascino/data=!4m7!3m6!1s0x12fd3506f8811893:0x7b9e21a5a7c7f250!8m2!3d36.8541887!4d10.1728306!16s%2Fg%2F11h06xy7mk!19sChIJkxiB-AY1_RIRUPLHp6Uhnns?authuser=0&hl=fr&rclk=1
ChIJC0viRP01_RIR4EH-2Y-wplg,Les jasmins cafe resto,,False,259,,Les jasmins cafe resto (proprietaire),https://www.google.com/maps/contrib/100766080912139513239,https://lh5.googleusercontent.com/p/AF1QipOyG2AYWXkUB6YfZpvGLIOEGdSQ2kEudM9iKd5X=w426-h240-k-no,Restaurant,Restaurant,4.1,07:00-23:30,,98 705 040,"Les jasmins cafe resto, Tunis","serveur, service, prix, remerciement, proprete, continuation, experience",https://www.google.com/maps/place/Les+jasmins+caf%C3%A9+resto/data=!4m7!3m6!1s0x12fd35fd44e24b0b:0x58a6b08fd9fe41e0!8m2!3d36.8462431!4d10.19752!16s%2Fg%2F11frtnd7fq!19sChIJC0viRP01_RIR4EH-2Y-wplg?authuser=0&hl=fr&rclk=1
ChIJb_by-6Y0_RIRDyghUvzflkA,Le Reservoir Bistro,,False,257,,Le Reservoir Bistro (proprietaire),https://www.google.com/maps/contrib/107343275968487149920,https://lh5.googleusercontent.com/p/AF1QipM80N0Mvz4ZsFCppjjfgQVQ5cm6HLjR62n0Ew9q=w425-h240-k-no,Restaurant,"Restaurant, Bistro, Restaurant de hamburgers, Restaurant de viande",4.3,12:00-22:00,lundi,93 239 228,"Le Reservoir Bistro, 24 Av. de la democratie, Tunis 2037","burger, musique, experience, sauce, serveur, pates, steak, atmosphere, poutine, succulents",https://www.google.com/maps/place/Le+R%C3%A9servoir+Bistro/data=!4m7!3m6!1s0x12fd34a6fbf2f66f:0x4096dffc5221280f!8m2!3d36.8467159!4d10.1732998!16s%2Fg%2F11clyxg3lx!19sChIJb_by-6Y0_RIRDyghUvzflkA?authuser=0&hl=fr&rclk=1
ChIJbx_7c3w0_RIRG8N65GtRWLw,Restaurant El-Walima,,False,215,,Restaurant El-Walima (proprietaire),https://www.google.com/maps/contrib/113631504792808489902,https://lh5.googleusercontent.com/p/AF1QipPG6m0Dk5Kutv5rZb1iQ_nwBDoOJ1I7wiQAyErD=w408-h544-k-no,Restaurant tunisien,Restaurant tunisien,4.2,09:00-21:30,,71 840 309,"Restaurant El-Walima, 35 Rue du Liban, Tunis 1002","prix, service, dejeuner, cuisine traditionnelle, succulents, dessert, atmosphere",https://www.google.com/maps/place/Restaurant+El-Walima/data=!4m7!3m6!1s0x12fd347c73fb1f6f:0xbc58516be47ac31b!8m2!3d36.812508!4d10.1776768!16s%2Fg%2F12m93n0wy!19sChIJbx_7c3w0_RIRG8N65GtRWLw?authuser=0&hl=fr&rclk=1
ChIJIdmEb3U0_RIRYoiuciXPxRI,Restaurant Dar Slah,,False,213,http://darslah.com/,Restaurant Dar Slah (proprietaire),https://www.google.com/maps/contrib/116615842790500484331,https://lh5.googleusercontent.com/p/AF1QipOl_3z7dCTgvROQFTYkJlqhEFDjkH7UJZOOvpYO=w408-h271-k-no,Restaurant tunisien,"Restaurant tunisien, Restaurant",4.7,18:15-20:30,"mardi, mercredi",58 261 026,"Restaurant Dar Slah, 145 Rue de la Kasbah, Tunis 1006","prix, couscous, dessert, experience, tradition, entrees, coeur, choix, assida, pignons",https://www.google.com/maps/place/Restaurant+Dar+Slah/data=!4m7!3m6!1s0x12fd34756f84d921:0x12c5cf2572ae8862!8m2!3d36.7986221!4d10.1711398!16s%2Fg%2F1q6kj_ssj!19sChIJIdmEb3U0_RIRYoiuciXPxRI?authuser=0&hl=fr&rclk=1
ChIJWy38ZPS04hIREBH8rSnjDOk,El Mida,,False,194,https://www.facebook.com/pages/Restaurant-El-Mida/1559470794320518,El Mida (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOsgk48I7aIDL5bRa5LRnSXyoqt7qkWIjQkasNz=w408-h306-k-no,Restaurant,Restaurant,4.5,12:00-16:00,lundi,28 836 919,"V8PF+5J7 El Mida, Rue des Oeillets, Marsa","cuisine tunisienne, prix, plats, poisson, soupe, cuisine traditionnelle, locavore, succulents, entree, epices",https://www.google.com/maps/place/El+Mida/data=!4m7!3m6!1s0x12e2b4f464fc2d5b:0xe90ce329adfc1110!8m2!3d36.8854041!4d10.3240355!16s%2Fg%2F11b7kw52zs!19sChIJWy38ZPS04hIREBH8rSnjDOk?authuser=0&hl=fr&rclk=1
ChIJ89_0EVe14hIRyT1rzqgBH3o,Fast Food Red Castle,,False,182,,Fast Food Red Castle (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNNgrA9DL2DrkFVIjT2ZVmASx8sCUHCwJwcEyDQ=w408-h544-k-no,Restaurant,Restaurant,4.1,11:00-00:00,,,"Fast Food Red Castle, Residence zitouna 1, 2045, 2045 Rue Cheikh Mohamed Enneifer, 2045","prix, chawarma, sandwich, houmous, quantite, syrien, salade, pain",https://www.google.com/maps/place/Fast+Food+Red+Castle/data=!4m7!3m6!1s0x12e2b55711f4dff3:0x7a1f01a8ce6b3dc9!8m2!3d36.8615297!4d10.263653!16s%2Fg%2F11csp738p3!19sChIJ89_0EVe14hIRyT1rzqgBH3o?authuser=0&hl=fr&rclk=1
ChIJ9c1oeqA1_RIR1H8MOfvFFGU,Restaurant Chez Slah,,False,160,,Restaurant Chez Slah (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM-ABorsf-VQdh7zrdhF6LJwkOedEFRZpGyo2jC=w408-h544-k-no,Restaurant,Restaurant,4,11:00-23:00,dimanche,71 258 588,"Restaurant Chez Slah, 14 Bis Rue Pierre de Coubertin, Tunis","prix, poisson, vin, frites, addition, touristes, le menu, table, grillades, crevettes",https://www.google.com/maps/place/Restaurant+Chez+Slah/data=!4m7!3m6!1s0x12fd35a07a68cdf5:0x6514c5fb390c7fd4!8m2!3d36.8019061!4d10.1841963!16s%2Fg%2F11h616r6qw!19sChIJ9c1oeqA1_RIR1H8MOfvFFGU?authuser=0&hl=fr&rclk=1
