place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJd9I8NCqK_RIRl5Sf9fltM9g,Grill Raouf,,False,63,,Grill Raouf (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNvqrmJ532Hu2Cw7uPH2yj2CRheS_EFVzaUm-Hb=w408-h306-k-no,Restaurant,Restaurant,4.2,11:00-23:00,,,"VHHH+VJP Grill Raouf, P1, Hammam Sousse","poisson, prix",https://www.google.com/maps/place/Grill+Raouf/data=!4m7!3m6!1s0x12fd8a2a343cd277:0xd8336df9f59f9497!8m2!3d35.8797044!4d10.5790802!16s%2Fg%2F11dxj0mq8x!19sChIJd9I8NCqK_RIRl5Sf9fltM9g?authuser=0&hl=fr&rclk=1
ChIJ1Yzv7BCK_RIRVuMcP9XmvHw,Restaurant Food Point,,False,36,,Restaurant Food Point (proprietaire),https://www.google.com/maps/contrib/103329998082677695495,https://lh5.googleusercontent.com/p/AF1QipOh16YXn-ICV7IwGV8puJGovtjrv6u5lmLQOeQU=w408-h306-k-no,Restaurant,Restaurant,4.4,11:00-02:00,,27 707 282,"Restaurant Food Point, Avenue 14 janvier Rue el Maamoun a cote de la societe tunisienne du la banque STB Hammam Sousse, 4089",prix,https://www.google.com/maps/place/Restaurant+Food+Point/data=!4m7!3m6!1s0x12fd8a10ecef8cd5:0x7cbce6d53f1ce356!8m2!3d35.8677446!4d10.6045848!16s%2Fg%2F11c0xsbyk5!19sChIJ1Yzv7BCK_RIRVuMcP9XmvHw?authuser=0&hl=fr&rclk=1
ChIJNxQp3iuK_RIRTi9z9OhsQ7c,Ben Youssef Grills,,False,14,,Ben Youssef Grills (proprietaire),https://www.google.com/maps/contrib/105175977861244370628,https://lh5.googleusercontent.com/p/AF1QipM5RmUWGzfx1ztU-qBWRzdb1pwAaVyLdTQuzQ=w408-h725-k-no,Restaurant,Restaurant,4.4,12:00-02:00,,55 666 132,"Ben Youssef Grills, Akouda",,https://www.google.com/maps/place/Ben+Youssef+Grills/data=!4m7!3m6!1s0x12fd8a2bde291437:0xb7436ce8f4732f4e!8m2!3d35.8780977!4d10.5801826!16s%2Fg%2F11f0_g4bsp!19sChIJNxQp3iuK_RIRTi9z9OhsQ7c?authuser=0&hl=fr&rclk=1
ChIJRROVQDiL_RIRafDlmMll06k,Gambino's pizza,,False,12,,Gambino's pizza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNARS--0Fk4pHkFpQhvEKd3HM4VZ3H9kWFG6Ppz=w515-h240-k-no,Pizzeria,Pizzeria,5,12:00-11:00,,92 807 884,"VH8H+P5F Gambino's pizza, Akouda",,https://www.google.com/maps/place/Gambino%27s+pizza/data=!4m7!3m6!1s0x12fd8b3840951345:0xa9d365c998e5f069!8m2!3d35.8668249!4d10.5779078!16s%2Fg%2F11pcl1kn42!19sChIJRROVQDiL_RIRafDlmMll06k?authuser=0&hl=fr&rclk=1
ChIJmXEE6C6K_RIRUzWysBZ0CHQ,Salon De The Le Rendez vous,,False,9,,Salon De The Le Rendez vous (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMdI3pmjauHnRny7WpMaJZz6OquScQpqU2Baj7b=w408-h725-k-no,Cafe,Cafe,4.3,06:00-00:00,,,"VHFJ+RFP Salon De The Le Rendez vous, P1, Akouda",,https://www.google.com/maps/place/Salon+De+The+Le+Rendez+vous/data=!4m7!3m6!1s0x12fd8a2ee8047199:0x74087416b0b23553!8m2!3d35.8745803!4d10.5811977!16s%2Fg%2F11dxc_2flk!19sChIJmXEE6C6K_RIRUzWysBZ0CHQ?authuser=0&hl=fr&rclk=1
ChIJS37f01mL_RIRJsjzjp9Jr3A,Ouled azeiz. Chez Zoubair,,False,7,,Ouled azeiz. Chez Zoubair (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMB-hHuWRNS1w2EeJKhEYpFXXUYrSq-djDJ3TvA=w408-h306-k-no,Restaurant,Restaurant,4,,,21 670 000,"VHHH+9XH Ouled azeiz. Chez Zoubair, P1, Hammam Sousse",,https://www.google.com/maps/place/Ouled+azeiz.+Chez+Zoubair/data=!4m7!3m6!1s0x12fd8b59d3df7e4b:0x70af499f8ef3c826!8m2!3d35.8784415!4d10.5799828!16s%2Fg%2F11fpn2404p!19sChIJS37f01mL_RIRJsjzjp9Jr3A?authuser=0&hl=fr&rclk=1
ChIJfTS3IUeL_RIR6JDZYXtp2pw,Restaurant Qods,,False,5,,Restaurant Qods (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN98iby5HEfwpQvKzpq1uTzviVQNEDCEtnbqPBP=w408-h544-k-no,Restaurant,Restaurant,5,08:00-00:00,,92 914 120,"VH8C+9F8 Restaurant Qods, C48, Akouda",,https://www.google.com/maps/place/Restaurant+Qods/data=!4m7!3m6!1s0x12fd8b4721b7347d:0x9cda697b61d990e8!8m2!3d35.8659117!4d10.5712033!16s%2Fg%2F11gnsrmswb!19sChIJfTS3IUeL_RIR6JDZYXtp2pw?authuser=0&hl=fr&rclk=1
ChIJOWZ5DACL_RIRy_pbRpFN_n8,Rapido food,,False,5,,Rapido food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMJ7Mvuk3FMMDVcHaf-0m8gTclyHFScs1c3LMLf=w408-h541-k-no,Restaurant,Restaurant,5,,,54 702 701,"VH8C+85R Rapido food, Akouda",,https://www.google.com/maps/place/Rapido+food/data=!4m7!3m6!1s0x12fd8b000c796639:0x7ffe4d91465bfacb!8m2!3d35.865821!4d10.5703877!16s%2Fg%2F11vk8rgprx!19sChIJOWZ5DACL_RIRy_pbRpFN_n8?authuser=0&hl=fr&rclk=1
ChIJU6w3DEWL_RIRqvApfFTZZYY,Ilcapo,,False,5,,Ilcapo (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOMoTAhM78SqstFR2ZV6bgShUUg666Dx1soI0Jt=w426-h240-k-no,Cafeteria,"Cafeteria, Cafe",5,Ouvert 24h/24,,52 529 652,"VHF8+2P3 Ilcapo, Akouda",,https://www.google.com/maps/place/Ilcapo/data=!4m7!3m6!1s0x12fd8b450c37ac53:0x8665d9547c29f0aa!8m2!3d35.8725067!4d10.5667982!16s%2Fg%2F11ry6y5x75!19sChIJU6w3DEWL_RIRqvApfFTZZYY?authuser=0&hl=fr&rclk=1
ChIJw6bK3LyJ_RIRumP7FYrwCwQ,Cafe Restaurant Signature,,False,5,,Cafe Restaurant Signature (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gMqjcD7_he_vGdjN-JaHjw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=232.95229&pitch=0&thumbfov=100,Restaurant,"Restaurant, Cafe",4.2,07:00-00:30,,,"VHPQ+QXM Cafe Restaurant Signature, Hammam Sousse",,https://www.google.com/maps/place/Caf%C3%A9+Restaurant+Signature/data=!4m7!3m6!1s0x12fd89bcdccaa6c3:0x40bf08a15fb63ba!8m2!3d35.8862156!4d10.5893863!16s%2Fg%2F11jz9q_wyw!19sChIJw6bK3LyJ_RIRumP7FYrwCwQ?authuser=0&hl=fr&rclk=1
