place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJMwoaPTy14hIR9G1zFeGCLag,La Closerie,,False,468,,La Closerie (proprietaire),https://www.google.com/maps/contrib/101989028895416000274,https://lh5.googleusercontent.com/p/AF1QipNNyMgO-CwZk4-rcvwApyutpHKozjWsq-hSTiHV=w408-h725-k-no,Restaurant,Restaurant,4,11:30-04:00,,70 938 537,"La Closerie, Marsa","prix, musique, vin, produits de la mer, atmosphere, cuisine, bar, DJ, piscine, hautains",https://www.google.com/maps/place/La+Closerie/data=!4m7!3m6!1s0x12e2b53c3d1a0a33:0xa82d82e115736df4!8m2!3d36.8677342!4d10.2887291!16s%2Fg%2F1hc53mqsk!19sChIJMwoaPTy14hIR9G1zFeGCLag?authuser=0&hl=fr&rclk=1
ChIJ-2CggQi14hIREIa9pZblM0M,O Moules,,False,198,,O Moules (proprietaire),https://www.google.com/maps/contrib/113662511871734304815,https://lh5.googleusercontent.com/p/AF1QipNATX6ufUT4vqYCf40qI8t3LTGA91F63LSLxRm4=w408-h307-k-no,Restaurant de fruits de mer,Restaurant de fruits de mer,4.3,10:00-00:00,,58 320 560,"O Moules, 11 Rue Mongi Slim, Marsa 2078","experience, spaghetti, patronne, service, plage, terrasse, paella, dorade, pizza, tomate",https://www.google.com/maps/place/%C3%94+Moules/data=!4m7!3m6!1s0x12e2b50881a060fb:0x4333e596a5bd8610!8m2!3d36.8849716!4d10.3328612!16s%2Fg%2F11s2qb33lp!19sChIJ-2CggQi14hIREIa9pZblM0M?authuser=0&hl=fr&rclk=1
ChIJEdyVXOu14hIRHmwxrPV87D0,Ivy Coffee Shop & Restaurant,,False,198,https://www.facebook.com/ivyfoodanddrink/,Ivy Coffee Shop & Restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMj3eSy244TEwTF0JRgun0V8XjDzf-VfO_2Iuo9=w408-h306-k-no,Restaurant,Restaurant,4.4,09:00-22:00,lundi,71 727 452,"V8MJ+MC9 Ivy Coffee Shop & Restaurant, Rue Salambo, Marsa","brunch, cafes, serveur, burger, pancakes, oeufs benedicte, plats, pates, poke, truffe",https://www.google.com/maps/place/Ivy+Coffee+Shop+%26+Restaurant/data=!4m7!3m6!1s0x12e2b5eb5c95dc11:0x3dec7cf5ac316c1e!8m2!3d36.8841631!4d10.3311233!16s%2Fg%2F11f6g5pbcq!19sChIJEdyVXOu14hIRHmwxrPV87D0?authuser=0&hl=fr&rclk=1
ChIJWy38ZPS04hIREBH8rSnjDOk,El Mida,,False,194,https://www.facebook.com/pages/Restaurant-El-Mida/1559470794320518,El Mida (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOsgk48I7aIDL5bRa5LRnSXyoqt7qkWIjQkasNz=w408-h306-k-no,Restaurant,Restaurant,4.5,12:00-16:00,lundi,28 836 919,"V8PF+5J7 El Mida, Rue des Oeillets, Marsa","cuisine tunisienne, prix, plats, poisson, soupe, cuisine traditionnelle, locavore, succulents, entree, epices",https://www.google.com/maps/place/El+Mida/data=!4m7!3m6!1s0x12e2b4f464fc2d5b:0xe90ce329adfc1110!8m2!3d36.8854041!4d10.3240355!16s%2Fg%2F11b7kw52zs!19sChIJWy38ZPS04hIREBH8rSnjDOk?authuser=0&hl=fr&rclk=1
ChIJw5kBHay14hIRvZJrrfQAB5U,AL SENIOUR,,False,155,,AL SENIOUR (proprietaire),https://www.google.com/maps/contrib/116558997300244503137,https://lh5.googleusercontent.com/p/AF1QipN63NO3ZkcOsRdODKp4uT0s9wZoZ-HooB3bk3Wb=w408-h240-k-no-pi-0-ya308.22-ro-0-fo100,Restaurant,Restaurant,4,,,20 077 770,"AL SENIOUR, Marsa","prix, libanais, poulets, hummus, mezzes, serveurs, atmosphere, quantite, hygiene, espace",https://www.google.com/maps/place/AL+S%C3%89NIOUR/data=!4m7!3m6!1s0x12e2b5ac1d0199c3:0x950700f4ad6b92bd!8m2!3d36.8922798!4d10.3169634!16s%2Fg%2F11ssx36wk4!19sChIJw5kBHay14hIRvZJrrfQAB5U?authuser=0&hl=fr&rclk=1
ChIJTfQ1Ku204hIRX17z_j574Bs,La focaccia marsa,,False,140,https://lafocaccia.tn/,La focaccia marsa (proprietaire),https://www.google.com/maps/contrib/101709018322093166063,https://lh5.googleusercontent.com/p/AF1QipM2krB5Utxgiu_7v3oL4vI7zgoS2phiguzLwnk-=w408-h408-k-no,Pizzeria,"Pizzeria, Restaurant italien, Restaurant",4,11:30-00:00,,29 067 067,"La focaccia marsa, 11 Avenue de l'Independance, Marsa 2070",qualite,https://www.google.com/maps/place/La+focaccia+marsa/data=!4m7!3m6!1s0x12e2b4ed2a35f44d:0x1be07b3efef35e5f!8m2!3d36.876625!4d10.3271217!16s%2Fg%2F1wb443lj!19sChIJTfQ1Ku204hIRX17z_j574Bs?authuser=0&hl=fr&rclk=1
ChIJP_jAKIy04hIR3SDHBjH1ILU,Breizh Bistrot - la Marsa,,False,136,,Breizh Bistrot - la Marsa (proprietaire),https://www.google.com/maps/contrib/102065645823235183555,https://lh5.googleusercontent.com/p/AF1QipONIPZPeTJ84wgylrd1zJM3ll3viD47E75Uhpwy=w408-h306-k-no,Bistro,Bistro,4.2,11:00-22:00,,71 744 671,"Breizh Bistrot - la Marsa, 19 Rue Imam Abou Hanifa, Marsa 2070","galettes, salades, creperie, cidre, bretagne, caramel, prix",https://www.google.com/maps/place/Breizh+Bistrot+-+la+Marsa/data=!4m7!3m6!1s0x12e2b48c28c0f83f:0xb520f53106c720dd!8m2!3d36.8818359!4d10.3326228!16s%2Fg%2F11c2r5mc4r!19sChIJP_jAKIy04hIR3SDHBjH1ILU?authuser=0&hl=fr&rclk=1
ChIJtSQRw0W14hIRIw27fSmVFUo,Bistek,,False,133,https://www.facebook.com/Bistekrestaurant/,Bistek (proprietaire),https://www.google.com/maps/contrib/105453639453825962710,https://lh5.googleusercontent.com/p/AF1QipO2fXoQJ4SsvsDRnxCULvBSLE4_h02okjHNBmjV=w408-h544-k-no,Restaurant de grillades,Restaurant de grillades,4.4,Ouvert 24h/24,,23 363 636,"Bistek, Rue Mohamed Saidi Belkhouja, Marsa","experience, steak, prix, cuisson, salade, charcuterie, amateurs, entrees, garnitures, choix",https://www.google.com/maps/place/Bistek/data=!4m7!3m6!1s0x12e2b545c31124b5:0x4a1595297dbb0d23!8m2!3d36.872144!4d10.3112457!16s%2Fg%2F11ryqtgtx6!19sChIJtSQRw0W14hIRIw27fSmVFUo?authuser=0&hl=fr&rclk=1
ChIJZYP7UY204hIRnmmvTOuH7OE,Weld El Bey,,False,95,,Weld El Bey (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkZnVP5X1o1UeK-0UC-cl5suyNsUe-h0zH1dm1=w408-h306-k-no,Sandwicherie,Sandwicherie,4.2,10:00-00:00,,26 341 631,"V8HH+W3F Weld El Bey, Rue Madagascar, Site archeologique de Carthage 2070","tunisien, prix, street food",https://www.google.com/maps/place/Weld+El+Bey/data=!4m7!3m6!1s0x12e2b48d51fb8365:0xe1ec87eb4caf699e!8m2!3d36.8798122!4d10.3276853!16s%2Fg%2F11cs1ks4wc!19sChIJZYP7UY204hIRnmmvTOuH7OE?authuser=0&hl=fr&rclk=1
ChIJWx4y1Lm14hIRJCBXT25i1tM,Kenko food bar,,False,91,,Kenko food bar (proprietaire),https://www.google.com/maps/contrib/100429205036311959941,https://lh5.googleusercontent.com/p/AF1QipNAeHDISO6LJb7uldPPiSPfm3gy3wQnYAwzDdR1=w408-h306-k-no,Restaurant,Restaurant,4.1,11:30-22:00,,24 637 637,"Kenko food bar, Plage Rocheuse de Sidi Bou Said, Rue des Hafsides, Marsa 2070","bibimbap, salade, poke, sauce, gyozas, ingredients, nouilles, coreen, serveur, jus",https://www.google.com/maps/place/Kenk%C5%8D+food+bar/data=!4m7!3m6!1s0x12e2b5b9d4321e5b:0xd3d6626e4f572024!8m2!3d36.8814689!4d10.3326896!16s%2Fg%2F11j7k4zdvd!19sChIJWx4y1Lm14hIRJCBXT25i1tM?authuser=0&hl=fr&rclk=1
