place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJh415Ltty-BIR9Rt2BzvCdc0,Cafe Eletihad,,False,11,,Cafe Eletihad (proprietaire),https://www.google.com/maps/contrib/103132881613167513788,https://lh5.googleusercontent.com/p/AF1QipNkg-sBYrGBvauk7B70iwzke-thXmg1vfBXWCoS=w408-h544-k-no,Cafe,Cafe,4.2,06:00-23:00,,29 617 936,"Cafe Eletihad, lswq lmrkzy@, Redeyef 2120",,https://www.google.com/maps/place/Caf%C3%A9+Eletihad/data=!4m7!3m6!1s0x12f872db2e798d87:0xcd75c23b07761bf5!8m2!3d34.3806424!4d8.1480084!16s%2Fg%2F11c2l7t527!19sChIJh415Ltty-BIR9Rt2BzvCdc0?authuser=0&hl=fr&rclk=1
ChIJKcl1UeRz-BIRQa8Z4LHiB4Y,Pizza Time,,False,6,,Pizza Time (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPfwAhNKd9EJmWlxdPc_FwU7lPOn2qxjvER25Vn=w408-h306-k-no,Restaurant,Restaurant,4.3,,,42 123 696,"94JX+GHG Pizza Time, Al-Rudayyif",,https://www.google.com/maps/place/Pizza+Time/data=!4m7!3m6!1s0x12f873e45175c929:0x8607e2b1e019af41!8m2!3d34.3813069!4d8.1489646!16s%2Fg%2F11gph_n4vy!19sChIJKcl1UeRz-BIRQa8Z4LHiB4Y?authuser=0&hl=fr&rclk=1
ChIJyxCQxJhv-BIRgYXr1ppNO5k,Toronto restaurant,,False,6,https://www.facebook.com/Aufeudubois,Toronto restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO0h1iVuhIAD8NM2qGdRkis9UGVAcOiWNFsEx2c=w408-h816-k-no,Restaurant,Restaurant,5,10:00-21:00,,90 093 951,"Toronto restaurant, Centre ville, Om Al Arais 2110",,https://www.google.com/maps/place/Toronto+restaurant/data=!4m7!3m6!1s0x12f86f98c49010cb:0x993b4d9ad6eb8581!8m2!3d34.4917191!4d8.2646229!16s%2Fg%2F11s0x7mmrx!19sChIJyxCQxJhv-BIRgYXr1ppNO5k?authuser=0&hl=fr&rclk=1
ChIJj60XbIJz-BIRNXM0pPRNSqs,Restaurant Le Royal Roti,,False,4,,Restaurant Le Royal Roti (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPCHk7yQLhDK2XKs8DvNWtAzRNjt4_evfVwiyHZ=w408-h544-k-no,Restaurant,Restaurant,5,,,22 033 594,"95J3+W2P Restaurant Le Royal Roti, Redeyef",,https://www.google.com/maps/place/Restaurant+Le+Royal+R%C3%B4ti/data=!4m7!3m6!1s0x12f873826c17ad8f:0xab4a4df4a4347335!8m2!3d34.3825463!4d8.152756!16s%2Fg%2F11tbs491fn!19sChIJj60XbIJz-BIRNXM0pPRNSqs?authuser=0&hl=fr&rclk=1
ChIJlZcR4sdz-BIR2irOjqVf1To,cafe ELBOUHELI,,False,4,,cafe ELBOUHELI (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5gDKG_ZJUU35AqiNYPf7s7DHVdwwGNEx9O1zN=w426-h240-k-no,Cafe,Cafe,5,06:00-00:00,,,"94JX+5MM cafe ELBOUHELI, Redeyef",,https://www.google.com/maps/place/caf%C3%A9+ELBOUHELI/data=!4m7!3m6!1s0x12f873c7e2119795:0x3ad55fa58ece2ada!8m2!3d34.3804524!4d8.1491867!16s%2Fg%2F11fjz7gw2m!19sChIJlZcR4sdz-BIR2irOjqVf1To?authuser=0&hl=fr&rclk=1
ChIJq6qqqtZu-BIR-VodOp_4Gaw,RESTO FITOURI,,False,3,,RESTO FITOURI (proprietaire),,,Restaurant,Restaurant,5,09:00-21:00,,,"F7Q5+PR5 RESTO FITOURI, Rue de souk, Om Al Arais",,https://www.google.com/maps/place/RESTO+FITOURI/data=!4m7!3m6!1s0x12f86ed6aaaaaaab:0xac19f89f3a1d5af9!8m2!3d34.4892749!4d8.2596229!16s%2Fg%2F11f40qs971!19sChIJq6qqqtZu-BIR-VodOp_4Gaw?authuser=0&hl=fr&rclk=1
ChIJAdeZcNZz-BIRntDSL9ivztA,Salon de the Bon Kif,,False,2,,Salon de the Bon Kif (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOqs6sqmatDrmSgggpUMsqzQPBbYSH5a8Wd1OCh=w408-h272-k-no,Cafe,Cafe,5,,,,"Salon de the Bon Kif, R201,, R201, Redeyef",,https://www.google.com/maps/place/Salon+de+th%C3%A9+Bon+Kif/data=!4m7!3m6!1s0x12f873d67099d701:0xd0ceafd82fd2d09e!8m2!3d34.3838891!4d8.1529107!16s%2Fg%2F11r3m5j4h_!19sChIJAdeZcNZz-BIRntDSL9ivztA?authuser=0&hl=fr&rclk=1
ChIJV2ev9TFz-BIRJ0wrGoSWot4,cafe carthage,,False,2,,cafe carthage (proprietaire),,,Cafe,Cafe,5,06:00-00:00,,46 320 191,"95WC+92J cafe carthage, Redeyef",,https://www.google.com/maps/place/caf%C3%A9+carthage/data=!4m7!3m6!1s0x12f87331f5af6757:0xdea296841a2b4c27!8m2!3d34.3959593!4d8.1700044!16s%2Fg%2F11gjt5wch9!19sChIJV2ev9TFz-BIRJ0wrGoSWot4?authuser=0&hl=fr&rclk=1
ChIJZ_OZwCtv-BIRWdKZnEI59gs,Fast food,,False,2,,Fast food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNwvKs2mo62ii9WYcpKtl2Me2gW0ZK9cPvQir6s=w408-h548-k-no,Restaurant,Restaurant,5,,,58 030 824,"F7QF+7M2 Fast food, Unnamed Road, Umm Al Arais",,https://www.google.com/maps/place/Fast+food/data=!4m7!3m6!1s0x12f86f2bc099f367:0xbf639429c99d259!8m2!3d34.4881363!4d8.2741539!16s%2Fg%2F11qmqzgz8j!19sChIJZ_OZwCtv-BIRWdKZnEI59gs?authuser=0&hl=fr&rclk=1
ChIJ3cp0Xypv-BIR1cEbEnxcdnk,lHy l`mly,,False,2,,lHy l`mly (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOyX2xIIg682pVTus_syYHJnd6NpwTyqtEjkkqM=w408-h725-k-no,Restaurant,Restaurant,4,,,29 245 902,"F7R8+GJR lHy l`mly, Om Al Arais",,https://www.google.com/maps/place/%D8%A7%D9%84%D8%AD%D9%8A+%D8%A7%D9%84%D8%B9%D9%85%D8%A7%D9%84%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f86f2a5f74cadd:0x79765c7c121bc1d5!8m2!3d34.4913748!4d8.2665008!16s%2Fg%2F11f0krnkq3!19sChIJ3cp0Xypv-BIR1cEbEnxcdnk?authuser=0&hl=fr&rclk=1
ChIJE7zfprNz-BIR-yeTbe8J5us,Cafe nasser mqh~ lnSr l`Zym,,False,2,http://www.copyright.gov/,Cafe nasser mqh~ lnSr l`Zym (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPcG4rqbJdqysuGWi7Ql9jwKDYukX64w-TnGBDB=w408-h544-k-no,Cafe,Cafe,4.5,,,24 349 061,"95P6+7FF Cafe nasser mqh~ lnSr l`Zym, Redeyef",,https://www.google.com/maps/place/Caf%C3%A9+nasser+%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D9%86%D8%A7%D8%B5%D8%B1+%D8%A7%D9%84%D8%B9%D8%B8%D9%8A%D9%85%E2%80%AD/data=!4m7!3m6!1s0x12f873b3a6dfbc13:0xebe609ef6d9327fb!8m2!3d34.3856827!4d8.1611703!16s%2Fg%2F11h1kjqcbf!19sChIJE7zfprNz-BIR-yeTbe8J5us?authuser=0&hl=fr&rclk=1
ChIJL3N2Rb1z-BIR1jmiUAFcftI,Restaurant La Grinta,,False,1,,Restaurant La Grinta (proprietaire),,,Restaurant,Restaurant,5,07:00-20:00,,,"95J2+F44 Restaurant La Grinta, place Chohadaa, Redeyef",,https://www.google.com/maps/place/Restaurant+La+Grinta/data=!4m7!3m6!1s0x12f873bd4576732f:0xd27e5c0150a239d6!8m2!3d34.3811301!4d8.1503159!16s%2Fg%2F11kzvq388x!19sChIJL3N2Rb1z-BIR1jmiUAFcftI?authuser=0&hl=fr&rclk=1
ChIJVSvlmFBz-BIRYiDmbknjcaw,Pizza for you,,False,1,,Pizza for you (proprietaire),,,Pizzeria,Pizzeria,5,,,,"95M2+7XP Pizza for you, Redeyef",,https://www.google.com/maps/place/Pizza+for+you/data=!4m7!3m6!1s0x12f8735098e52b55:0xac71e3496ee62062!8m2!3d34.3832163!4d8.1524593!16s%2Fg%2F11qnvmnwk2!19sChIJVSvlmFBz-BIRYiDmbknjcaw?authuser=0&hl=fr&rclk=1
ChIJWVoBBR1z-BIRLhliWFt4Z-Q,Restaurant Plat d'or,,False,1,,Restaurant Plat d'or (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOYmR9kv1lDBorHOW8WLd6HLueAUtrajuMNHMGq=w408-h270-k-no,Restaurant,Restaurant,5,10:00-22:00,,,"95V9+XPR Restaurant Plat d'or, Redeyef",,https://www.google.com/maps/place/Restaurant+Plat+d%27or/data=!4m7!3m6!1s0x12f8731d05015a59:0xe467785b5862192e!8m2!3d34.3949954!4d8.1692706!16s%2Fg%2F11qpq94_67!19sChIJWVoBBR1z-BIRLhliWFt4Z-Q?authuser=0&hl=fr&rclk=1
