place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJkxiB-AY1_RIRUPLHp6Uhnns,Damascino,,False,314,https://www.facebook.com/damascino.orientalfood/,Damascino (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP3_auNg4RauB_7uv_CG9KgeQr2p3fGhUBvHBzx=w408-h544-k-no,Restaurant,Restaurant,4.1,11:00-00:00,,51 514 080,"Damascino, 38 Rue Mouawiya Ibn Abi Sofiene, Ariana","prix, syrien, libanais, quantite, pain, qualite, experience, salade, houmous, kebab",https://www.google.com/maps/place/Damascino/data=!4m7!3m6!1s0x12fd3506f8811893:0x7b9e21a5a7c7f250!8m2!3d36.8541887!4d10.1728306!16s%2Fg%2F11h06xy7mk!19sChIJkxiB-AY1_RIRUPLHp6Uhnns?authuser=0&hl=fr&rclk=1
ChIJNR4KoHAz_RIRHLmsCcAG_iM,YoYo food,,False,236,,YoYo food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM24qleubAoOqdzis1MGEcLtDUl8u73FgzE0g8U=w408-h544-k-no,Restaurant,Restaurant,4,07:00-00:00,lundi,,"YoYo food, 18 Rue des juges, Ariana 2091","chocolat, gaufres, crepes, sympathique, frites, sandwich, caissieres, glace",https://www.google.com/maps/place/YoYo+food/data=!4m7!3m6!1s0x12fd3370a00a1e35:0x23fe06c009acb91c!8m2!3d36.8461046!4d10.1633618!16s%2Fg%2F11j9n1wg5_!19sChIJNR4KoHAz_RIRHLmsCcAG_iM?authuser=0&hl=fr&rclk=1
ChIJIVwjcE4z_RIRr_24JDGjauU,JAGGER,,False,174,,JAGGER (proprietaire),https://www.google.com/maps/contrib/112535868455458246623,https://lh5.googleusercontent.com/p/AF1QipP0LJpgCJPE-dmCeNjIFuzN7O-u8-vv8LA9RSyR=w408-h725-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4,07:30-01:00,,44 125 122,"JAGGER, Av. de Hedi Nouira, Ariana","petit dejeuner, prix, serveur, quantites, pancake, brunch, jus, tables",https://www.google.com/maps/place/JAGGER/data=!4m7!3m6!1s0x12fd334e70235c21:0xe56aa33124b8fdaf!8m2!3d36.8558895!4d10.157029!16s%2Fg%2F12m9c5v45!19sChIJIVwjcE4z_RIRr_24JDGjauU?authuser=0&hl=fr&rclk=1
ChIJx-TH2q40_RIRBLCTwtBiii4,Restaurant libanais Baalabak,,False,162,https://www.facebook.com/baalabak.restauliban,Restaurant libanais Baalabak (proprietaire),https://www.google.com/maps/contrib/110667751812460335342,https://lh5.googleusercontent.com/p/AF1QipNoXLKyRTiVmu3I_uVjj1kthgDveA_3gdgbhRmq=w408-h306-k-no,Restaurant libanais,"Restaurant libanais, Patisserie",4,08:00-00:00,,71 766 450,"Restaurant libanais Baalabak, 7 Rue Gafsa, El Manzah 5 Tunis","prix, qualite",https://www.google.com/maps/place/Restaurant+libanais+Baalabak/data=!4m7!3m6!1s0x12fd34aedac7e4c7:0x2e8a62d0c293b004!8m2!3d36.852754!4d10.176768!16s%2Fg%2F11_shwkns!19sChIJx-TH2q40_RIRBLCTwtBiii4?authuser=0&hl=fr&rclk=1
ChIJebbvXgYz_RIRxaLd6L9DVvU,Echemi Ennasr,,False,152,,Echemi Ennasr (proprietaire),https://www.google.com/maps/contrib/107432819609486983077,https://lh5.googleusercontent.com/p/AF1QipO5Ae_GvINYLCkhyjnMEK9xiIG9ClgnlUX1vABG=w426-h240-k-no,Restaurant,Restaurant,4,10:00-01:00,,25 567 389,"Echemi Ennasr, Residence Ettaoufik, 2 Av. Hedi Nouira, Ariana 2037","sandwich, prix, pizza, fromages, fondant, escalope, frites",https://www.google.com/maps/place/Echemi+Ennasr/data=!4m7!3m6!1s0x12fd33065eefb679:0xf55643bfe8dda2c5!8m2!3d36.8582521!4d10.1613406!16s%2Fg%2F11smvc90w9!19sChIJebbvXgYz_RIRxaLd6L9DVvU?authuser=0&hl=fr&rclk=1
ChIJQeuMF1Iz_RIRIpUWTFs2Cfo,La Tavolata,,False,140,https://m.facebook.com/latavolata.ristorante/,La Tavolata (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOq-fQzk94X9bOAKC1AJ7LcTcGHm78gVDEqbYRH=w408-h306-k-no,Restaurant,Restaurant,4,12:00-23:00,,71 829 202,"V556+9JV La Tavolata, Av. Hedi Nouira, Ariana","pizza, service, moyenne",https://www.google.com/maps/place/La+Tavolata/data=!4m7!3m6!1s0x12fd3352178ceb41:0xfa09365b4c169522!8m2!3d36.8584845!4d10.1615436!16s%2Fg%2F1pp2x01s2!19sChIJQeuMF1Iz_RIRIpUWTFs2Cfo?authuser=0&hl=fr&rclk=1
ChIJx-wXqIw1_RIRX4kOYGIMEjc,Mr meat,,False,132,https://m.facebook.com/profile.php%3Fid%3D100369788006725%26ref%3Dcontent_filter,Mr meat (proprietaire),https://www.google.com/maps/contrib/100972447124092772205,https://lh5.googleusercontent.com/p/AF1QipMODdD1Q5X1Bt9yVZomgWiUNA8s_0V7031iaiu6=w408-h544-k-no,Restaurant americain,Restaurant americain,4.2,12:00-02:00,,22 563 680,"Mr meat, 5 Av. de la liberte, Ariana","prix, pommes de terre, friture, bacon",https://www.google.com/maps/place/Mr+meat/data=!4m7!3m6!1s0x12fd358ca817ecc7:0x37120c62600e895f!8m2!3d36.8497993!4d10.1762027!16s%2Fg%2F11j90zypmr!19sChIJx-wXqIw1_RIRX4kOYGIMEjc?authuser=0&hl=fr&rclk=1
ChIJ13aW0CE1_RIRDV0bL4bvpts,Hamburgasm,,False,112,https://www.instagram.com/hamburgasme_officiel_%3Figshid%3DMzMyNGUyNmU2YQ%3D%3D,Hamburgasm (proprietaire),https://www.google.com/maps/contrib/100738573458417619257,https://lh5.googleusercontent.com/p/AF1QipMqK0u8WX-Og9slYQhccycQnC67ngMOhXzexBhF=w408-h306-k-no,Restaurant de hamburgers,Restaurant de hamburgers,4,12:00-01:00,,,"Hamburgasm, Av. Mustapha Hjeij, Ariana","prix, ingredients, gants, buns, choix",https://www.google.com/maps/place/Hamburgasm/data=!4m7!3m6!1s0x12fd3521d09676d7:0xdba6ef862f1b5d0d!8m2!3d36.8576315!4d10.1831893!16s%2Fg%2F11tdnnrs4j!19sChIJ13aW0CE1_RIRDV0bL4bvpts?authuser=0&hl=fr&rclk=1
ChIJeWLQ0q80_RIR64RcDXiGua8,Restaurant Thailandais Thai House Ariana,,False,103,,Restaurant Thailandais Thai House Ariana (proprietaire),https://www.google.com/maps/contrib/105906613936471048971,https://lh5.googleusercontent.com/p/AF1QipN8_eCh-7WqssNZyfkHJ8ojFbQHpkz27RuPA-3_=w408-h477-k-no,Restaurant thai,Restaurant thai,4.5,12:00-22:00,lundi,71 716 625,"Restaurant Thailandais Thai House Ariana, Ariana","prix, crevette, vente a emporter, legumes, friture",https://www.google.com/maps/place/Restaurant+Tha%C3%AFlandais+Tha%C3%AF+House+Ariana/data=!4m7!3m6!1s0x12fd34afd2d06279:0xafb986780d5c84eb!8m2!3d36.8517937!4d10.1808901!16s%2Fg%2F11g81whlbg!19sChIJeWLQ0q80_RIR64RcDXiGua8?authuser=0&hl=fr&rclk=1
ChIJ69Rvf6Y0_RIRM_O3Z1Ln61A,Pizza Town,,False,87,,Pizza Town (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMgTZXC5DupbR40WHrZEgLe-7RMfdPfoWqt8t6Q=w408-h306-k-no,Restaurant,Restaurant,4,11:30-23:30,,71 231 222,"Pizza Town, 19 Av. de la democratie, Ariana",prix,https://www.google.com/maps/place/Pizza+Town/data=!4m7!3m6!1s0x12fd34a67f6fd4eb:0x50ebe75267b7f333!8m2!3d36.8468231!4d10.1745807!16s%2Fg%2F11df057nsv!19sChIJ69Rvf6Y0_RIRM_O3Z1Ln61A?authuser=0&hl=fr&rclk=1
