place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTa1hf29Z-xIRuYPOLnkd-H8,Beja,,False,47,,Beja (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMrF_ALhB3q4ItuPk3Sj53LKEBF-zj8yHPjh6rf=w408-h306-k-no,Cafe,Cafe,4.5,Ouvert 24h/24,,25 940 244,"Beja, 9010",,https://www.google.com/maps/place/B%C3%A9ja/data=!4m7!3m6!1s0x12fb596f7f61ad4d:0x7ff81d792ece83b9!8m2!3d36.7333148!4d9.1844357!16s%2Fg%2F11gmxk078t!19sChIJTa1hf29Z-xIRuYPOLnkd-H8?authuser=0&hl=fr&rclk=1
ChIJsy1DUH1Y-xIRTRf3ebI53o0,Cha9chek9,,False,18,https://www.africabizinfo.com/TN/cha-chek,Cha9chek9 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM3EeibpGzzQ-tlfKmNmRQSZV6dG5yA5TL7SxlW=w408-h544-k-no,Restaurant,Restaurant,4.2,08:00-18:00,,,"P5HH+HQ5 Cha9chek9, Beja",,https://www.google.com/maps/place/Cha9chek9/data=!4m7!3m6!1s0x12fb587d50432db3:0x8dde39b279f7174d!8m2!3d36.728883!4d9.1794806!16s%2Fg%2F1ptx5f912!19sChIJsy1DUH1Y-xIRTRf3ebI53o0?authuser=0&hl=fr&rclk=1
ChIJj9onQoFY-xIR9LhQpZezLNM,mT`m l`rby lswry,,False,17,,mT`m l`rby lswry (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPBy5rqGOwPX4Yldi-ZayDN_h-uo6TPWicJUIY6=w408-h725-k-no,Restaurant,Restaurant,4.4,08:00-18:30,dimanche,27 533 582,"P5FP+C69 mT`m l`rby lswry, Beja",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A+%D8%A7%D9%84%D8%B3%D9%88%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12fb58814227da8f:0xd32cb397a550b8f4!8m2!3d36.7235269!4d9.1856244!16s%2Fg%2F11dd_sdphv!19sChIJj9onQoFY-xIR9LhQpZezLNM?authuser=0&hl=fr&rclk=1
ChIJC2J_QIFY-xIRKlas3-GOb0c,mT`m lbHry,,False,11,,mT`m lbHry (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPQwhHLhIvYFEK21499XWGmIUNF3aVx9V61lOz5=w408-h306-k-no,Restaurant,Restaurant,4,08:00-18:30,dimanche,,"P5FP+H64 mT`m lbHry, Beja",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%A8%D8%AD%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12fb5881407f620b:0x476f8ee1dfac562a!8m2!3d36.7238794!4d9.1855851!16s%2Fg%2F11dd_pc4wr!19sChIJC2J_QIFY-xIRKlas3-GOb0c?authuser=0&hl=fr&rclk=1
ChIJ_60uinxY-xIRtIQ0hYDy8ZA,Patesserie Mozart,,False,11,,Patesserie Mozart (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkSE8ZMZ9pQ6U1zQH2YyriYeEIg8TMpb1cQZsq=w408-h544-k-no,Restaurant,Restaurant,4,06:00-21:00,,92 105 648,"P5MJ+2G5 Patesserie Mozart, Beja",,https://www.google.com/maps/place/Patesserie+Mozart/data=!4m7!3m6!1s0x12fb587c8a2eadff:0x90f1f280853484b4!8m2!3d36.7325126!4d9.1813513!16s%2Fg%2F11g9dl9n95!19sChIJ_60uinxY-xIRtIQ0hYDy8ZA?authuser=0&hl=fr&rclk=1
ChIJRagXETNZ-xIR83FkfSX63cI,VOLCANO,,False,9,,VOLCANO (proprietaire),https://www.google.com/maps/contrib/107886587162886941459,https://lh5.googleusercontent.com/p/AF1QipPFLdgZ3dGzmtBZYdDynK1PZEegRBi7F56zMjGs=w408-h306-k-no,Pizzeria,Pizzeria,4.8,,,,"P5PF+2HF VOLCANO, Beja",,https://www.google.com/maps/place/VOLCANO/data=!4m7!3m6!1s0x12fb59331117a845:0xc2ddfa257d6471f3!8m2!3d36.7347819!4d9.1750092!16s%2Fg%2F11j03j003q!19sChIJRagXETNZ-xIR83FkfSX63cI?authuser=0&hl=fr&rclk=1
ChIJe3sRK-an_BIR0-WUGpf_lSc,JOKER CLUB,,False,7,,JOKER CLUB (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOyvXGQGF0r6igyhicZ2JP95_ds2aWMhdIzvmeb=w408-h306-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.7,Ouvert 24h/24,,53 548 806,"P697+2FH JOKER CLUB, Beja",,https://www.google.com/maps/place/JOKER+CLUB/data=!4m7!3m6!1s0x12fca7e62b117b7b:0x2795ff971a94e5d3!8m2!3d36.7175602!4d9.2137303!16s%2Fg%2F11j2zw63_j!19sChIJe3sRK-an_BIR0-WUGpf_lSc?authuser=0&hl=fr&rclk=1
ChIJ8XEUBw5Z-xIR4X5xDpJv7tg,Restaurant Darna,,False,7,,Restaurant Darna (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP81V70wYNuXVC3VIqNAtNw4X35riuZwjOi2L7M=w408-h306-k-no,Restaurant familial,Restaurant familial,4.4,,,,"P5GC+PGX Restaurant Darna, Beja",,https://www.google.com/maps/place/Restaurant+Darna/data=!4m7!3m6!1s0x12fb590e071471f1:0xd8ee6f920e717ee1!8m2!3d36.7268575!4d9.1713682!16s%2Fg%2F11kb5gfq7d!19sChIJ8XEUBw5Z-xIR4X5xDpJv7tg?authuser=0&hl=fr&rclk=1
ChIJlyT4f4JY-xIRrGdiJefnGtg,Restaurant Alfurno,,False,5,,Restaurant Alfurno (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMDOROEpoWgc01azxVvf45q0weHcatCDZFCCE02=w426-h240-k-no,Restaurant,Restaurant,4.4,08:00-22:00,,,"P59Q+RWG Restaurant Alfurno, Beja",,https://www.google.com/maps/place/Restaurant+Alfurno/data=!4m7!3m6!1s0x12fb58827ff82497:0xd81ae7e7256267ac!8m2!3d36.7195636!4d9.1898296!16s%2Fg%2F11c7vkd4j3!19sChIJlyT4f4JY-xIRrGdiJefnGtg?authuser=0&hl=fr&rclk=1
ChIJ3fZfLi2n_BIRGzNxrJdDjRc,Monya mlewi,,False,5,,Monya mlewi (proprietaire),,,Restaurant,Restaurant,4,,,,"P6C2+J5F Monya mlewi, Unnamed Road, Beja",,https://www.google.com/maps/place/Monya+mlewi/data=!4m7!3m6!1s0x12fca72d2e5ff6dd:0x178d4397ac71331b!8m2!3d36.7215563!4d9.2004212!16s%2Fg%2F11fmqkfd6j!19sChIJ3fZfLi2n_BIRGzNxrJdDjRc?authuser=0&hl=fr&rclk=1
