place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ2fvr2CQ3_RIRuUaGe-UQCwE,Chicago's Food & Drink,,False,41,https://www.facebook.com/ChicagosFood/,Chicago's Food & Drink (proprietaire),https://www.google.com/maps/contrib/105667335979235613024,https://lh5.googleusercontent.com/p/AF1QipOo94j6fWEfXcvyDUuLo2hldrBEtAEA2NqTdbiQ=w408-h814-k-no,Restaurant,Restaurant,4,09:00-23:00,dimanche,27 358 065,"Chicago's Food & Drink, 6 Rue De Gaza, Ben Arous 2014","sandwich, burger, prix, salades",https://www.google.com/maps/place/Chicago%27s+Food+%26+Drink/data=!4m7!3m6!1s0x12fd3724d8ebfbd9:0x10b10e57b8646b9!8m2!3d36.7621942!4d10.2297782!16s%2Fg%2F11h8bc2fg1!19sChIJ2fvr2CQ3_RIRuUaGe-UQCwE?authuser=0&hl=fr&rclk=1
ChIJKwfWSCM3_RIReZwa4mG6QAk,Kafteji Taher Ghana,,False,20,,Kafteji Taher Ghana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMcBUWMsgyPdxIDWPMGnxACARs6xPP9i3wAm7Ic=w408-h506-k-no,Restauration rapide,Restauration rapide,4.1,08:00-16:00,,20 139 305,"Kafteji Taher Ghana, 43, 2013 Av. de France",,https://www.google.com/maps/place/Kafteji+Taher+Ghana/data=!4m7!3m6!1s0x12fd372348d6072b:0x940ba61e21a9c79!8m2!3d36.760673!4d10.225057!16s%2Fg%2F11qnvmg_xk!19sChIJKwfWSCM3_RIReZwa4mG6QAk?authuser=0&hl=fr&rclk=1
ChIJZ6ptaUE3_RIRuq7vOxjiwp8,Le coin de el medina,,False,12,https://www.facebook.com/profile.php%3Fid%3D100084707864049,Le coin de el medina (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMRtsD-m0srcyeTkZdz_sRG3qmAFJ3V12bD3-yh=w408-h306-k-no,Restauration rapide,Restauration rapide,4.8,09:00-23:00,,95 873 738,"P7X2+R84 Le coin de el medina, A cote cafe El BELLAR, Rue Du Lieutenant Mohamed Ezzaghbani, Ben Arous 2063",,https://www.google.com/maps/place/Le+coin+de+el+medina/data=!4m7!3m6!1s0x12fd3741696daa67:0x9fc2e2183befaeba!8m2!3d36.7495108!4d10.2508144!16s%2Fg%2F11t8b95sss!19sChIJZ6ptaUE3_RIRuq7vOxjiwp8?authuser=0&hl=fr&rclk=1
ChIJfULS72c2_RIRvaztx61grk4,Bongout Cafe Resto,,False,6,,Bongout Cafe Resto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN_W_-DQn2CJ3zNO8WKoOj85z8TthFQVnQkb56m=w426-h240-k-no,Restaurant,Restaurant,4.8,06:00-00:00,,24 324 441,"Bongout Cafe Resto, Centre commercial, Ben Arous",,https://www.google.com/maps/place/Bongout+Caf%C3%A9+Resto/data=!4m7!3m6!1s0x12fd3667efd2427d:0x4eae60adc7edacbd!8m2!3d36.7500953!4d10.2255078!16s%2Fg%2F11f_4sd9x3!19sChIJfULS72c2_RIRvaztx61grk4?authuser=0&hl=fr&rclk=1
ChIJWzhnIjE3_RIRnVCqeBRxK10,ZONE 51,,False,6,,ZONE 51 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPrLYgGesXA6uCXa8rP5gT8JkkZHeZ-LSXntGfj=w408-h544-k-no,Restaurant,Restaurant,4.5,09:00-00:00,dimanche,29 287 312,"3, ZONE 51, Ben Arous",,https://www.google.com/maps/place/ZONE+51/data=!4m7!3m6!1s0x12fd37312267385b:0x5d2b711478aa509d!8m2!3d36.7408627!4d10.2520003!16s%2Fg%2F11l2w47n78!19sChIJWzhnIjE3_RIRnVCqeBRxK10?authuser=0&hl=fr&rclk=1
ChIJ03JN6ak3_RIRly6Q7TD3XHY,Top cafe,,False,5,,Top cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkl6Lfsz-DXQpp2N5S-BIPuhpOOj6klloU0Y9l=w408-h306-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.8,05:30-15:30,dimanche,55 457 755,"Top cafe, 03 bis rue du mercure, Ben Arous 2013",,https://www.google.com/maps/place/Top+caf%C3%A9/data=!4m7!3m6!1s0x12fd37a9e94d72d3:0x765cf730ed902e97!8m2!3d36.7435003!4d10.2319757!16s%2Fg%2F11h84r3yly!19sChIJ03JN6ak3_RIRly6Q7TD3XHY?authuser=0&hl=fr&rclk=1
ChIJGbuTKF02_RIRyN2ZjZjEqF8,PIZZARIA PAPA'S Pizza a bois,,False,5,,PIZZARIA PAPA'S Pizza a bois (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZYiyVdkSOttYM5qdVdNcgQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=288.78583&pitch=0&thumbfov=100,Restaurant,Restaurant,4.6,11:00-22:00,,96 513 815,"P6WG+Q77 PIZZARIA PAPA'S Pizza a bois, Av. de la Republique, Ben Arous",,https://www.google.com/maps/place/PIZZARIA+PAPA%27S+Pizza+%C3%A0+bois/data=!4m7!3m6!1s0x12fd365d2893bb19:0x5fa8c4988d99ddc8!8m2!3d36.7469118!4d10.2256757!16s%2Fg%2F11c7spf8kr!19sChIJGbuTKF02_RIRyN2ZjZjEqF8?authuser=0&hl=fr&rclk=1
ChIJfWL1dV42_RIRaV4cTmfKOhk,Fricasse Fardaws,,False,4,,Fricasse Fardaws (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sUGYAH2ZG-flsN_WSeADVg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=162.93622&pitch=0&thumbfov=100,Restaurant tunisien,Restaurant tunisien,4.8,06:00-21:00,,,"P6XC+778 Fricasse Fardaws, Ben Arous",,https://www.google.com/maps/place/Fricass%C3%A9+Fardaws/data=!4m7!3m6!1s0x12fd365e75f5627d:0x193aca674e1c5e69!8m2!3d36.7481688!4d10.2207148!16s%2Fg%2F11f2wmdjt6!19sChIJfWL1dV42_RIRaV4cTmfKOhk?authuser=0&hl=fr&rclk=1
ChIJpSX68c43_RIRwfZz5o7vGcs,Amigos,,False,3,https://www.facebook.com/Amigos-101000905760002,Amigos (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOgam3uFLGnyiQZ5quZfxESQtvlbJU5VlZ8QWQu=w408-h384-k-no,Restaurant,Restaurant,4.7,Ouvert 24h/24,,54 423 625,"P6X9+WPV Amigos, Rue Naser bey, Ben Arous",,https://www.google.com/maps/place/Amigos/data=!4m7!3m6!1s0x12fd37cef1fa25a5:0xcb19ef8ee673f6c1!8m2!3d36.7498729!4d10.2193122!16s%2Fg%2F11j8zww62m!19sChIJpSX68c43_RIRwfZz5o7vGcs?authuser=0&hl=fr&rclk=1
ChIJtTSL92Y2_RIRk9SW9Ll0fWg,Restaurant Makrem,,False,3,,Restaurant Makrem (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8Xv3065EXWRvRS7N8DOQu3KAkiwhIU3F-jUA0=w408-h544-k-no,Restaurant,Restaurant,5,08:30-23:00,,54 609 665,"Restaurant Makrem, N46, Av. Habib Bourguiba, Ben Arous",,https://www.google.com/maps/place/Restaurant+Makrem/data=!4m7!3m6!1s0x12fd3666f78b34b5:0x687d74b9f496d493!8m2!3d36.7529108!4d10.2235746!16s%2Fg%2F11f54r3_mb!19sChIJtTSL92Y2_RIRk9SW9Ll0fWg?authuser=0&hl=fr&rclk=1
