place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ92b1ZS-jAhMRUpkCf0imI6Q,Grill station,,False,29,https://www.facebook.com/Grill-station-1855632481210052/,Grill station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNbx2FYRNpxpXtDNPtbzF-p92-qahz3Ka2xUaXv=w426-h240-k-no,Restaurant,Restaurant,4.3,10:00-01:00,,23 312 754,"FQGP+43F Grill station, a cote de carrefour, A. Beni Khiar ----- Nabeul, Dar Chaabane Al Fehri","fruits de mer, garniture, prix",https://www.google.com/maps/place/Grill+station/data=!4m7!3m6!1s0x1302a32f65f566f7:0xa423a6487f029952!8m2!3d36.475302!4d10.7851807!16s%2Fg%2F11hy_ndy19!19sChIJ92b1ZS-jAhMRUpkCf0imI6Q?authuser=0&hl=fr&rclk=1
ChIJ9bnmjDuZAhMRgOgdGnnAHNM,La Pampa,,False,24,,La Pampa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMzJxRKi87DLHSlIOlLzqSmoKrSi8u--3AZCTgP=w408-h544-k-no,Restaurant,Restaurant,4.4,"07:00-13:00, 17:00-02:00",,20 003 922,"FQ3P+FRP La Pampa, Av. de la Liberte, Beni Khiar",,https://www.google.com/maps/place/La+Pampa/data=!4m7!3m6!1s0x1302993b8ce6b9f5:0xd31cc0791a1de880!8m2!3d36.4537221!4d10.7870887!16s%2Fg%2F11f72jpdj_!19sChIJ9bnmjDuZAhMRgOgdGnnAHNM?authuser=0&hl=fr&rclk=1
ChIJj2SRrLqiAhMReJi9y89ck24,Restaurant La casa doro,,False,16,,Restaurant La casa doro (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPuWG3eo19hgrDigdw3C6unyb0a4w1flyloMDBG=w408-h905-k-no,Restaurant,Restaurant,4.1,10:00-21:30,dimanche,51 070 718,"FQGQ+48P Restaurant La casa doro, Route korba, Beni Khiar 8060",prix,https://www.google.com/maps/place/Restaurant+La+casa+doro/data=!4m7!3m6!1s0x1302a2baac91648f:0x6e935ccfcbbd9878!8m2!3d36.4753281!4d10.7883138!16s%2Fg%2F11c30x754b!19sChIJj2SRrLqiAhMReJi9y89ck24?authuser=0&hl=fr&rclk=1
ChIJt36vf8ejAhMRQf3ipdl7tK0,PAPA WES'S PIZZA,,False,13,https://best--restaurants.blogspot.com/,PAPA WES'S PIZZA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPuUIJwTTwnvak5HPIiHTW0EWeFQgicn0EOVnj9=w408-h306-k-no,Restaurant,Restaurant,4,09:00-00:00,,95 120 004,"PAPA WES'S PIZZA, 17 Av. Ahmed Tlili, Beni Khiar",,https://www.google.com/maps/place/PAPA+WES%27S+PIZZA/data=!4m7!3m6!1s0x1302a3c77faf7eb7:0xadb47bd9a5e2fd41!8m2!3d36.4671601!4d10.7853383!16s%2Fg%2F11fjb434_m!19sChIJt36vf8ejAhMRQf3ipdl7tK0?authuser=0&hl=fr&rclk=1
ChIJr0rVHrKZAhMRqOs2fCmwGy8,LA BAMBA,,False,10,,LA BAMBA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPY2Yb3GNilqxKBSVbObMnzBnN9m7irGbXkS1ya=w408-h544-k-no,Pizzeria,Pizzeria,4.7,,,,"FQ7M+Q9C LA BAMBA, shr` lbyy'@, Beni Khiar 8060",,https://www.google.com/maps/place/LA+BAMBA/data=!4m7!3m6!1s0x130299b21ed54aaf:0x2f1bb0297c36eba8!8m2!3d36.4644411!4d10.7833834!16s%2Fg%2F11flgfs71b!19sChIJr0rVHrKZAhMRqOs2fCmwGy8?authuser=0&hl=fr&rclk=1
ChIJZWUGTVK9AhMRq5iUKfOWMAU,Food And Juice,,False,6,,Food And Juice (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPzsHSB8VpBWCoze2zBtFyelb_-VDkhFVmL6i0l=w408-h306-k-no,Restaurant,Restaurant,4.2,10:00-23:30,,,"FR76+M5X Food And Juice, Al-Maamoura",,https://www.google.com/maps/place/Food+And+Juice/data=!4m7!3m6!1s0x1302bd524d066565:0x53096f3299498ab!8m2!3d36.4642435!4d10.8104702!16s%2Fg%2F11f72_4ftm!19sChIJZWUGTVK9AhMRq5iUKfOWMAU?authuser=0&hl=fr&rclk=1
ChIJgerJYaeiAhMRW-7X9JZpMMI,Food Station Beni Khiar,,False,5,,Food Station Beni Khiar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMmqThgMG6x262fs1eyQ2aT3Hqlo_dUz8dImGZ5=w408-h306-k-no,Restaurant,Restaurant,4,10:00-00:00,,52 829 112,"Food Station Beni Khiar, Rue de l'environnement 8060, Beni Khiar",,https://www.google.com/maps/place/Food+Station+Beni+Khiar/data=!4m7!3m6!1s0x1302a2a761c9ea81:0xc2306996f4d7ee5b!8m2!3d36.4648573!4d10.7848384!16s%2Fg%2F11gh04rrxs!19sChIJgerJYaeiAhMRW-7X9JZpMMI?authuser=0&hl=fr&rclk=1
ChIJm1aRa6GiAhMR_IYj1tSZN6Y,mT`m lsh`b Bk,,False,5,,mT`m lsh`b Bk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPnicWVsT2uq54fdgCdSdCCZ3eDhqqyz4gYiZxB=w408-h544-k-no,Restaurant,Restaurant,4.8,06:00-13:00,,53 133 305,"FQ9J+PHC mT`m lsh`b Bk, Beni Khiar",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%B4%D8%B9%D8%A8+Bk%E2%80%AD/data=!4m7!3m6!1s0x1302a2a16b91569b:0xa63799d4d62386fc!8m2!3d36.4693216!4d10.7813977!16s%2Fg%2F11c5_t0rv6!19sChIJm1aRa6GiAhMR_IYj1tSZN6Y?authuser=0&hl=fr&rclk=1
ChIJ2SIxeBCjAhMRFnmP2iYVED0,Fast Food Haythem,,False,4,,Fast Food Haythem (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNimJWqJwPb7445Lhx2R-vSnxm1HF7XsGEWKnCE=w426-h240-k-no,Restauration rapide,Restauration rapide,5,,,,"Fast Food Haythem, 20-26, shr` lHbyb bwrqyb@, Beni Khiar",,https://www.google.com/maps/place/Fast+Food+Haythem/data=!4m7!3m6!1s0x1302a310783122d9:0x3d101526da8f7916!8m2!3d36.4687411!4d10.7804823!16s%2Fg%2F11nm_wvyhs!19sChIJ2SIxeBCjAhMRFnmP2iYVED0?authuser=0&hl=fr&rclk=1
ChIJo-KQa9eZAhMRKTu90-LXqcs,The Wave cafe-Resto,,False,3,https://www.facebook.com/profile.php%3Fid%3D100094180868711%26mibextid%3DLQQJ4d,The Wave cafe-Resto (proprietaire),https://www.google.com/maps/contrib/115528697540064616744,https://lh5.googleusercontent.com/p/AF1QipOfA0d1DiJdidYFH_3wjhhXkCaUg0xdfafeptnK=w408-h544-k-no,Restaurant,Restaurant,4.3,08:00-22:30,,92 721 295,"The Wave cafe-Resto, beach, Beni khiar, Benikhiar 8060",,https://www.google.com/maps/place/The+Wave+caf%C3%A9-Resto/data=!4m7!3m6!1s0x130299d76b90e2a3:0xcba9d7e2d3bd3b29!8m2!3d36.4524472!4d10.7884011!16s%2Fg%2F11vl1r911f!19sChIJo-KQa9eZAhMRKTu90-LXqcs?authuser=0&hl=fr&rclk=1
