place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJGfS0CEMe4xIRPx5kV1__Wlk,Best Voice,,False,317,https://www.facebook.com/Best-Voice-Restaurant-Salon-de-Th%25C3%25A9--639181012842978/,Best Voice (proprietaire),https://www.google.com/maps/contrib/116728282789609346448,https://lh5.googleusercontent.com/p/AF1QipPkQgj0e5Yz0LNBiSb8RuMC-wox-KFbLpGLtIgT=w408-h314-k-no,Restaurant servant le petit-dejeuner,"Restaurant servant le petit-dejeuner, Restaurant brunch, Cafe, Restaurant gastronomique, Restaurant, Salon de the",4.2,07:00-23:00,,,"Best Voice, Sidi salem route ain mariem, 7000","prix, brunch, serveurs, service, experience, musique, soupe, pates, pizza, poisson",https://www.google.com/maps/place/Best+Voice/data=!4m7!3m6!1s0x12e31e4308b4f419:0x595aff5f57641e3f!8m2!3d37.2863969!4d9.8706821!16s%2Fg%2F11c1l5cs4g!19sChIJGfS0CEMe4xIRPx5kV1__Wlk?authuser=0&hl=fr&rclk=1
ChIJSy8G-DUe4xIRugnpFsxjsPc,Restaurant Le Sport Nautique,,False,286,https://www.facebook.com/pages/Restaurant-Le-Sport-Nautique/139232646147524,Restaurant Le Sport Nautique (proprietaire),https://www.google.com/maps/contrib/104731619979713089987,https://lh5.googleusercontent.com/p/AF1QipPhgenX5gaji_wdUZ0MC2VHQuTfrwbLiHFhZlki=w408-h306-k-no,Restaurant,Restaurant,4,"12:00-15:00, 19:00-23:00",,72 432 262,"Restaurant Le Sport Nautique, Quai Tarak Ibn Ziad, Bizerte 7000","prix, serveurs, service, vue, fruits de mer, poissons, fumeurs, moyenne, entree, terrasse",https://www.google.com/maps/place/Restaurant+Le+Sport+Nautique/data=!4m7!3m6!1s0x12e31e35f8062f4b:0xf7b063cc16e909ba!8m2!3d37.272484!4d9.879922!16s%2Fg%2F1tj5t40n!19sChIJSy8G-DUe4xIRugnpFsxjsPc?authuser=0&hl=fr&rclk=1
ChIJQe0Uukke4xIRblXdVHZ_wQI,Bedouin bizerte,,False,173,https://www.facebook.com/Cafe.Le.Bedouin/,Bedouin bizerte (proprietaire),https://www.google.com/maps/contrib/100177032417698152239,https://lh5.googleusercontent.com/p/AF1QipMJILFHeQW5HwNIcvSY7DuprXl7-2VmLXeEnHLo=w408-h272-k-no,Restaurant,"Restaurant, Patisserie",4.2,06:00-02:00,,53 505 050,"Bedouin bizerte, Bizerte","prix, experience, brunch, serveurs, dessert, concept, succulents, pates, souriant, equipe",https://www.google.com/maps/place/Bedouin+bizerte/data=!4m7!3m6!1s0x12e31e49ba14ed41:0x2c17f7654dd556e!8m2!3d37.2753873!4d9.877558!16s%2Fg%2F11c1q46c1n!19sChIJQe0Uukke4xIRblXdVHZ_wQI?authuser=0&hl=fr&rclk=1
ChIJdRxe5Ege4xIRDEt6htIAg_g,Restaurant EL KSIBA,,False,144,,Restaurant EL KSIBA (proprietaire),https://www.google.com/maps/contrib/111216135188761267779,https://lh5.googleusercontent.com/p/AF1QipMoqt5wOSuzh_7mRnyuPJ7W_K67CUhpoY4xMxE7=w408-h306-k-no,Restaurant,Restaurant,4,09:00-22:30,lundi,54 209 093,"Restaurant EL KSIBA, Vieux port la Ksiba, Bizerte","prix, entrees, soupe, dessert, fruits de mer, crevettes, terrasse, gargoulette, marmite, pecheur",https://www.google.com/maps/place/Restaurant+EL+KSIBA/data=!4m7!3m6!1s0x12e31e48e45e1c75:0xf88300d2867a4b0c!8m2!3d37.2765944!4d9.875819!16s%2Fg%2F11cn76ls6f!19sChIJdRxe5Ege4xIRDEt6htIAg_g?authuser=0&hl=fr&rclk=1
ChIJwc3DZkke4xIRPzXd1WTTQBg,Le Grand Bleu Da Ciccio,,False,143,https://www.facebook.com/LeGrandBleuDaCiccio,Le Grand Bleu Da Ciccio (proprietaire),https://www.google.com/maps/contrib/113471895244389494479,https://lh5.googleusercontent.com/p/AF1QipOr5iH1jJ2REOZiDy8dd96Uu2fj5YqHdTBNtXXe=w548-h240-k-no,Restaurant sicilien,"Restaurant sicilien, Restaurant italien",4,12:00-22:00,,92 087 798,"Le Grand Bleu Da Ciccio, rue Garibaldi, Bizerte","prix, pates, poisson, buffet, cannoli, serveur, spaghetti",https://www.google.com/maps/place/Le+Grand+Bleu+Da+Ciccio/data=!4m7!3m6!1s0x12e31e4966c3cdc1:0x1840d364d5dd353f!8m2!3d37.2739306!4d9.8755744!16s%2Fg%2F11_s0wv2n!19sChIJwc3DZkke4xIRPzXd1WTTQBg?authuser=0&hl=fr&rclk=1
ChIJe4sKC00e4xIRbPgwB9aqXV8,Di Napoli Corniche,,False,121,,Di Napoli Corniche (proprietaire),https://www.google.com/maps/contrib/104628800195746795220,https://lh5.googleusercontent.com/p/AF1QipMdpppy0RYq61f0AWsXBUyxKNAObBSFtOXYUJWo=w408-h306-k-no,Pizzeria,Pizzeria,4,11:00-01:00,,20 020 242,"Di Napoli Corniche, Rue de Corniche, Bizerte 7000","thon, hygiene",https://www.google.com/maps/place/Di+Napoli+Corniche/data=!4m7!3m6!1s0x12e31e4d0b0a8b7b:0x5f5daad60730f86c!8m2!3d37.2959045!4d9.8678976!16s%2Fg%2F11g6bvgdpk!19sChIJe4sKC00e4xIRbPgwB9aqXV8?authuser=0&hl=fr&rclk=1
ChIJQy8-_TUf4xIRRFnPIWeffwc,HIPPO LAND,,False,74,https://www.facebook.com/HIPPOLAND.BIZERTE/,HIPPO LAND (proprietaire),https://www.google.com/maps/contrib/108881130187463447912,https://lh5.googleusercontent.com/p/AF1QipMJproXrQHkXngsNAGh25bG4uf-OsMxojE-jv9-=w426-h240-k-no,Centre de loisirs,"Centre de loisirs, Restaurant",4.3,08:00-22:00,lundi,97 716 000,"HIPPO LAND, Boulevard Habib Bougatfa,, Bizerte","prix, aires de jeux, service, pates, cafe",https://www.google.com/maps/place/HIPPO+LAND/data=!4m7!3m6!1s0x12e31f35fd3e2f43:0x77f9f6721cf5944!8m2!3d37.2842746!4d9.8731983!16s%2Fg%2F11j1kh3fk_!19sChIJQy8-_TUf4xIRRFnPIWeffwc?authuser=0&hl=fr&rclk=1
ChIJRTi2AU4e4xIRQXjV5W-_ngI,Mohamed el Hadi Lablabi,,False,70,,Mohamed el Hadi Lablabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOOzt36xyfZT5l10NSgOisF8FMLdIMJFb9eNdbU=w408-h544-k-no,Restaurant,Restaurant,4.3,09:00-00:00,,,"7VF9+QC2 Mohamed el Hadi Lablabi, Bizerte jardin Bouguatfa, Bizerte",sandwich,https://www.google.com/maps/place/Mohamed+el+Hadi+Lablabi/data=!4m7!3m6!1s0x12e31e4e01b63845:0x29ebf6fe5d57841!8m2!3d37.2743826!4d9.8685165!16s%2Fg%2F1wzqw6xp!19sChIJRTi2AU4e4xIRQXjV5W-_ngI?authuser=0&hl=fr&rclk=1
ChIJhW2H3Xoe4xIRhKNpStwyZVQ,Cabana Restaurant,,False,65,,Cabana Restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOVnBWBhcDOGxQS0ZL2QAjH7BBr2sQj2TqZjUjr=w408-h306-k-no,Restaurant,Restaurant,4,09:30-02:00,,50 839 177,"8V28+V9F Cabana Restaurant, North, Bizerte","prix, baguette, pizza",https://www.google.com/maps/place/Cabana+Restaurant/data=!4m7!3m6!1s0x12e31e7add876d85:0x546532dc4a69a384!8m2!3d37.3021889!4d9.8659212!16s%2Fg%2F11f1k4xz1n!19sChIJhW2H3Xoe4xIRhKNpStwyZVQ?authuser=0&hl=fr&rclk=1
ChIJqdTgy-kf4xIRzEhhlJtiwmw,Lablebi JABERI(Retila),,False,59,,Lablebi JABERI(Retila) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNbZltSAaerWHTtj72VTKNLwNlXHmZ4qx9CaxuR=w408-h541-k-no,Restaurant,Restaurant,4.7,06:00-23:00,,,"7VJ5+844 Lablebi JABERI(Retila), Avenue 14 Janvier, Bizerte","sandwich, lablabi",https://www.google.com/maps/place/Lablebi+JABERI%28Retila%29/data=!4m7!3m6!1s0x12e31fe9cbe0d4a9:0x6cc2629b946148cc!8m2!3d37.2807518!4d9.8578412!16s%2Fg%2F11jg05sy5l!19sChIJqdTgy-kf4xIRzEhhlJtiwmw?authuser=0&hl=fr&rclk=1
