place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJE4cwW4m04hIRfjLDC4QiFSA,Le Golfe,,False,836,https://restaurantlegolfe.com/,Le Golfe (proprietaire),https://www.google.com/maps/contrib/110332465246462972780,https://lh5.googleusercontent.com/p/AF1QipPtBXjZTxUIqmLeifeUU8Y_u8Y5J-mJOSuAAPUv=w408-h272-k-no,Restaurant,Restaurant,4.1,12:00-00:00,,71 748 219,"Le Golfe, 5 Rue Larbi Zarrouk, Tunis","mer, poisson, vin, vue, service, serveurs, dejeuner, terrasse, pates, gastronomique",https://www.google.com/maps/place/Le+Golfe/data=!4m7!3m6!1s0x12e2b4895b308713:0x201522840bc3327e!8m2!3d36.890769!4d10.3238468!16s%2Fg%2F1vx88b13!19sChIJE4cwW4m04hIRfjLDC4QiFSA?authuser=0&hl=fr&rclk=1
ChIJMwoaPTy14hIR9G1zFeGCLag,La Closerie,,False,468,,La Closerie (proprietaire),https://www.google.com/maps/contrib/101989028895416000274,https://lh5.googleusercontent.com/p/AF1QipNNyMgO-CwZk4-rcvwApyutpHKozjWsq-hSTiHV=w408-h725-k-no,Restaurant,Restaurant,4,11:30-04:00,,70 938 537,"La Closerie, Marsa","prix, musique, vin, produits de la mer, atmosphere, cuisine, bar, DJ, piscine, hautains",https://www.google.com/maps/place/La+Closerie/data=!4m7!3m6!1s0x12e2b53c3d1a0a33:0xa82d82e115736df4!8m2!3d36.8677342!4d10.2887291!16s%2Fg%2F1hc53mqsk!19sChIJMwoaPTy14hIR9G1zFeGCLag?authuser=0&hl=fr&rclk=1
ChIJ47cy1dW14hIRQXBf5gtwYYo,bleue!,,False,302,,bleue! (proprietaire),https://www.google.com/maps/contrib/110363388295359351892,https://lh5.googleusercontent.com/p/AF1QipNKVkhAbUtA9YzbmGb-3P7RnWah924LmWTBUyr_=w408-h906-k-no,Restaurant,"Restaurant, Cafe, Epicerie fine",4.8,"08:00-15:00, 19:30-01:00",mercredi,,"bleue!, 8 Rue Habib Thameur, Carthage 2026","cafes, gateaux, sandwich, equipe, musique, cafe glace, energie, playlist, wifi, epicerie fine",https://www.google.com/maps/place/bleue!/data=!4m7!3m6!1s0x12e2b5d5d532b7e3:0x8a61700be65f7041!8m2!3d36.8707954!4d10.3462076!16s%2Fg%2F11shb34qcy!19sChIJ47cy1dW14hIRQXBf5gtwYYo?authuser=0&hl=fr&rclk=1
ChIJWy38ZPS04hIREBH8rSnjDOk,El Mida,,False,194,https://www.facebook.com/pages/Restaurant-El-Mida/1559470794320518,El Mida (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOsgk48I7aIDL5bRa5LRnSXyoqt7qkWIjQkasNz=w408-h306-k-no,Restaurant,Restaurant,4.5,12:00-16:00,lundi,28 836 919,"V8PF+5J7 El Mida, Rue des Oeillets, Marsa","cuisine tunisienne, prix, plats, poisson, soupe, cuisine traditionnelle, locavore, succulents, entree, epices",https://www.google.com/maps/place/El+Mida/data=!4m7!3m6!1s0x12e2b4f464fc2d5b:0xe90ce329adfc1110!8m2!3d36.8854041!4d10.3240355!16s%2Fg%2F11b7kw52zs!19sChIJWy38ZPS04hIREBH8rSnjDOk?authuser=0&hl=fr&rclk=1
ChIJLR8yPZq04hIRbJnOxYV2gvQ,Chez Weld Moufida,,False,188,,Chez Weld Moufida (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO3qQYPL0imBKTkYHbdr84qCpUppr9iLj3uoFVv=w426-h240-k-no,Restaurant,Restaurant,4.7,11:00-23:00,,58 156 757,"Chez Weld Moufida, 1-15 Imp. Bir Sidi Taieb, Site archeologique de Carthage","tunisien, couscous, prix, chef, ojja, poulpe, cuisine traditionnelle, salade, crevettes, kefteji",https://www.google.com/maps/place/Chez+Weld+Moufida/data=!4m7!3m6!1s0x12e2b49a3d321f2d:0xf4827685c5ce996c!8m2!3d36.8732903!4d10.3400924!16s%2Fg%2F11d_8yprvw!19sChIJLR8yPZq04hIRbJnOxYV2gvQ?authuser=0&hl=fr&rclk=1
ChIJT9r3BvW14hIR8u6EiQQqS6c,Restaurant La Maison La Marsa,,False,185,https://lamaison-restaurant.com/,Restaurant La Maison La Marsa (proprietaire),https://www.google.com/maps/contrib/104243334036514166833,https://lh5.googleusercontent.com/p/AF1QipNpcB9zDwaOkr7rkXCPUpuVzoNT2WcOx1zewJqT=w408-h272-k-no,Restaurant,Restaurant,4.1,17:00-00:30,,51 427 427,"Restaurant La Maison La Marsa, 5 Rue Omar Ibn Abi Rabiaa, Site archeologique de Carthage 2070","dessert, cadre, serveurs, plats principaux, gastronomique, cocktails, succulents, chef, filet, risotto",https://www.google.com/maps/place/Restaurant+La+Maison+La+Marsa/data=!4m7!3m6!1s0x12e2b5f506f7da4f:0xa74b2a048984eef2!8m2!3d36.8820407!4d10.3337168!16s%2Fg%2F11pklvb145!19sChIJT9r3BvW14hIR8u6EiQQqS6c?authuser=0&hl=fr&rclk=1
ChIJ32efukO14hIRkff1o3Jxxwo,Les Indecis,,False,154,,Les Indecis (proprietaire),https://www.google.com/maps/contrib/115881096576841917839,https://lh5.googleusercontent.com/p/AF1QipOW7l9HLlUWK5A07GmbnRzlGZlnnGibojr9mgtw=w408-h725-k-no,Restaurant,"Restaurant, Cafe",4.9,"09:00-17:30, 18:30-00:00",lundi,56 574 949,"Les Indecis, Lycee carthage dermech, 4 Rue Hanon, Tunis","atmosphere, cafes, vegetariens, voyage, jus, musique, houmous, architecture d'interieur, thon",https://www.google.com/maps/place/Les+Ind%C3%A9cis/data=!4m7!3m6!1s0x12e2b543ba9f67df:0xac77172a3f5f791!8m2!3d36.8491293!4d10.3272069!16s%2Fg%2F11shsz_vmz!19sChIJ32efukO14hIRkff1o3Jxxwo?authuser=0&hl=fr&rclk=1
ChIJQXzq0T614hIRwK6Bx-oNKyg,Peri Peri Restaurant in Tunisia,,False,119,https://www.facebook.com/Peri-Peri-106029248634637/,Peri Peri Restaurant in Tunisia (proprietaire),https://www.google.com/maps/contrib/101981245204031319233,https://lh5.googleusercontent.com/p/AF1QipPzBbFBJ2YCWkecHSkGi7CpjuyAEQ-UvYuseOtJ=w408-h271-k-no,Restaurant,Restaurant,4.5,11:00-23:00,,99 181 337,"Peri Peri Restaurant in Tunisia, Jardain De, A3 Residence, 2046","poulet, prix, serveur, sauce, quantite, le menu, souriant, experience, concept, epices",https://www.google.com/maps/place/Peri+Peri+Restaurant+in+Tunisia/data=!4m7!3m6!1s0x12e2b53ed1ea7c41:0x282b0deac781aec0!8m2!3d36.8523079!4d10.3033841!16s%2Fg%2F11t6rn5y4m!19sChIJQXzq0T614hIRwK6Bx-oNKyg?authuser=0&hl=fr&rclk=1
ChIJk9SJHHa14hIRD6X-Q6cSBSo,Pitagore la marsa,,False,90,https://www.facebook.com/PitagoreTunisie/,Pitagore la marsa (proprietaire),https://www.google.com/maps/contrib/117459935592361620008,https://lh5.googleusercontent.com/p/AF1QipOEXEW8mUf3EckiNdMjuRTTF8JRNfbgYtxL60sy=w408-h486-k-no,Restaurant grec,Restaurant grec,4.2,11:00-00:00,,55 565 796,"Pitagore la marsa, 12 Rue Imam Abou Hanifa, Site archeologique de Carthage","sandwich, prix, feta, gyros",https://www.google.com/maps/place/Pitagore+la+marsa/data=!4m7!3m6!1s0x12e2b5761c89d493:0x2a0512a743fea50f!8m2!3d36.8820006!4d10.3322897!16s%2Fg%2F11t37kvpm7!19sChIJk9SJHHa14hIRD6X-Q6cSBSo?authuser=0&hl=fr&rclk=1
ChIJF28lo9a14hIR2v4PwLh_Jno,ch'men di fir,,False,80,,ch'men di fir (proprietaire),https://www.google.com/maps/contrib/107857943421237970836,https://lh5.googleusercontent.com/p/AF1QipMZc5NVzHId0iPSY66On_-ktXd2gLFkQYxMR7Lo=w408-h306-k-no,Restaurant de hamburgers,Restaurant de hamburgers,4.3,11:30-00:00,,55 555 802,"ch'men di fir, 58.av de carthage les jardins de carthage le kram, 1090",concept,https://www.google.com/maps/place/ch%27men+di+fir/data=!4m7!3m6!1s0x12e2b5d6a3256f17:0x7a267fb8c00ffeda!8m2!3d36.8544585!4d10.2880081!16s%2Fg%2F11mvmx9dtk!19sChIJF28lo9a14hIR2v4PwLh_Jno?authuser=0&hl=fr&rclk=1
