place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJQzNhCDWPARMRHC1r5FjmHiM,Cafe Casino,,False,22,,Cafe Casino (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMmjkZPaaq2vEN3uVODrJ-6yMivXixpq3HmGLne=w408-h306-k-no,Cafe,Cafe,4,,,,"64RQ+MRV Cafe Casino, Chebba",,https://www.google.com/maps/place/Cafe+Casino/data=!4m7!3m6!1s0x13018f3508613343:0x231ee658e46b2d1c!8m2!3d35.2417475!4d11.1395588!16s%2Fg%2F11hzrnf8zg!19sChIJQzNhCDWPARMRHC1r5FjmHiM?authuser=0&hl=fr&rclk=1
ChIJI2wUrsmRARMRoKbHxFf55Ss,MY STORY Coffee Resto,,False,20,https://www.facebook.com/mystory.coffee.resto1/,MY STORY Coffee Resto (proprietaire),https://www.google.com/maps/contrib/111046396319855157686,https://lh5.googleusercontent.com/p/AF1QipPefF3eKPhgr_Bdkja6AjPmLkixWnLsGmURhNKC=w408-h306-k-no,Salon de the,"Salon de the, Restaurant",4.6,08:30-00:00,,22 153 154,"MY STORY Coffee Resto, Rue de port 150m de, Borj Khadija, Chebba 5170",petit dejeuner,https://www.google.com/maps/place/MY+STORY+Coffee+Resto/data=!4m7!3m6!1s0x130191c9ae146c23:0x2be5f957c4c7a6a0!8m2!3d35.2340313!4d11.155316!16s%2Fg%2F11pkkn794q!19sChIJI2wUrsmRARMRoKbHxFf55Ss?authuser=0&hl=fr&rclk=1
ChIJwQfDf82PARMR5lZpGitUSUM,La Cantine Royale,,False,13,,La Cantine Royale (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrZwi9KxidYHMlIhhWLf_dwC6LihAo-O7XQ7q2=w408-h306-k-no,Restaurant,Restaurant,4.3,13:00-02:00,,21 463 996,"64Q9+8MR La Cantine Royale, Unnamed Road, La Chebba",,https://www.google.com/maps/place/La+Cantine+Royale/data=!4m7!3m6!1s0x13018fcd7fc307c1:0x4349542b1a6956e6!8m2!3d35.2383575!4d11.119138!16s%2Fg%2F11g6_tv8ff!19sChIJwQfDf82PARMR5lZpGitUSUM?authuser=0&hl=fr&rclk=1
ChIJpZz99RiPARMR7gK3fRK5G9g,Mamma Lisa Cafe-Resto,,False,12,,Mamma Lisa Cafe-Resto (proprietaire),https://www.google.com/maps/contrib/117790499086602224888,https://lh5.googleusercontent.com/p/AF1QipNCjqwMGWPNLUbsnXVbLWKcLiR-NmB5OhETnZii=w408-h306-k-no,Restaurant,Restaurant,4.6,Ouvert 24h/24,,50 430 068,"Mamma Lisa Cafe-Resto, Mahdia, Rue Sidi Marzouk, La Chebba 5170",,https://www.google.com/maps/place/Mamma+Lisa+Caf%C3%A9-Resto/data=!4m7!3m6!1s0x13018f18f5fd9ca5:0xd81bb9127db702ee!8m2!3d35.237702!4d11.115591!16s%2Fg%2F11rhf8ywj4!19sChIJpZz99RiPARMR7gK3fRK5G9g?authuser=0&hl=fr&rclk=1
ChIJC-MF32-PARMRLO-8FA6t3H8,Pizzeria Khadija,,False,10,,Pizzeria Khadija (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMkRdOIykvPO9UJbkgPvOLE2ttgryqSr5GBde-O=w408-h306-k-no,Pizzeria,Pizzeria,4.2,,,,"65P4+28J Pizzeria Khadija, Unnamed Road, La Chebba",,https://www.google.com/maps/place/Pizzeria+Khadija/data=!4m7!3m6!1s0x13018f6fdf05e30b:0x7fdcad0e14bcef2c!8m2!3d35.2350865!4d11.1557533!16s%2Fg%2F11h4w9p9cb!19sChIJC-MF32-PARMRLO-8FA6t3H8?authuser=0&hl=fr&rclk=1
ChIJ1T7fYSyOARMRdGuFWq4O9t0,Cafe Jabeur,,False,9,,Cafe Jabeur (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP8VR2BI1RotXWaTHGIStpRfKp9V7EjMIEJhzyt=w408-h306-k-no,Cafe,Cafe,4,06:00-23:00,,,"64M7+RC6 Cafe Jabeur, C82, Chebba",,https://www.google.com/maps/place/Caf%C3%A9+Jabeur/data=!4m7!3m6!1s0x13018e2c61df3ed5:0xddf60eae5a856b74!8m2!3d35.234532!4d11.1135307!16s%2Fg%2F11cr_hw_vr!19sChIJ1T7fYSyOARMRdGuFWq4O9t0?authuser=0&hl=fr&rclk=1
ChIJg-s_OMuPARMRtbZ8gPUyNyU,restaurant le voilier,,False,8,,restaurant le voilier (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOUzt77GWPbrySnHQX2gksaKeRufWmdIibmOezW=w408-h272-k-no,Restaurant,Restaurant,4.1,,,,"64QV+8MQ restaurant le voilier, Chebba",,https://www.google.com/maps/place/restaurant+le+voilier/data=!4m7!3m6!1s0x13018fcb383feb83:0x253732f5807cb6b5!8m2!3d35.2383282!4d11.1442455!16s%2Fg%2F11qp13z85d!19sChIJg-s_OMuPARMRtbZ8gPUyNyU?authuser=0&hl=fr&rclk=1
ChIJ4U4vgwCPARMRcSzHITEBr1o,The King,,False,6,https://www.facebook.com/The-King-105223425363666/,The King (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCK7VuGsEiD1xdC3l67tl2AhbxU-qVODILcO6q=w408-h306-k-no,Restaurant,Restaurant,4,,,22 856 636,"The King, 22 C82, Chebba",,https://www.google.com/maps/place/The+King/data=!4m7!3m6!1s0x13018f00832f4ee1:0x5aaf013121c72c71!8m2!3d35.2362727!4d11.1114147!16s%2Fg%2F11sr7fcq73!19sChIJ4U4vgwCPARMRcSzHITEBr1o?authuser=0&hl=fr&rclk=1
ChIJVQZUV02PARMRHJTnnjRVTLg,Zang zanga,,False,6,,Zang zanga (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO2-ZemdwaFWQ8wQ432PhySndz_S0R6Ui_s3qFr=w408-h544-k-no,Restaurant,Restaurant,4.2,,,,"64QV+HHM Zang zanga, La Chebba",,https://www.google.com/maps/place/Zang+zanga/data=!4m7!3m6!1s0x13018f4d57540655:0xb84c55349ee7941c!8m2!3d35.2389513!4d11.1439268!16s%2Fg%2F11jwdgc9dc!19sChIJVQZUV02PARMRHJTnnjRVTLg?authuser=0&hl=fr&rclk=1
ChIJTRgEYkOPARMRIsIdFcPdKa4,La Belle Vue,,False,6,,La Belle Vue (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPZeEvhUoq46UbdoPV9yRKwZLtZyfCQe-6VG8_6=w408-h306-k-no,Cafe,Cafe,4.7,,,,"64XG+W4R La Belle Vue, Unnamed Road, La Chebba",,https://www.google.com/maps/place/La+Belle+Vue/data=!4m7!3m6!1s0x13018f436204184d:0xae29ddc3151dc222!8m2!3d35.2498559!4d11.1252626!16s%2Fg%2F11hzymmn_w!19sChIJTRgEYkOPARMRIsIdFcPdKa4?authuser=0&hl=fr&rclk=1
