place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJo66z5WaZAhMRjSm2gmL6LhI,Bendo Coffee Restaurant,,False,186,,Bendo Coffee Restaurant (proprietaire),https://www.google.com/maps/contrib/117109720437230624957,https://lh5.googleusercontent.com/p/AF1QipN0Wj1mOwkNZXDQNRjoG4YCbrVcvHiBTBEjjBpZ=w533-h240-k-no,Restaurant,Restaurant,4.2,07:00-00:55,,20 426 427,"Bendo Coffee Restaurant, Habib Bourguiba St, Nabeul 8000","prix, gerant, serveur, pizza, experience, famille, crepe, adresse, tayara, toilettes",https://www.google.com/maps/place/Bendo+Coffee+Restaurant/data=!4m7!3m6!1s0x13029966e5b3aea3:0x122efa6282b6298d!8m2!3d36.4464843!4d10.7384272!16s%2Fg%2F11rjjjhmc0!19sChIJo66z5WaZAhMRjSm2gmL6LhI?authuser=0&hl=fr&rclk=1
ChIJ3V0eiZaYAhMR60qVT62lN6c,L'Olivier,,False,108,https://best--restaurants.blogspot.com/,L'Olivier (proprietaire),https://www.google.com/maps/contrib/107056441559741273141,https://lh5.googleusercontent.com/p/AF1QipPeRUDcuDNQfDXgm0D6cM2AK-KMMNTLRD2VuZvf=w408-h544-k-no,Restaurant,Restaurant,4.3,12:00-23:00,,72 286 613,"L'Olivier, 98 Ave. Hedi Chaker, Nabeul 8000","couscous, prix, poisson, experience, vin, desserts, sabayon, fumer, soir, serveurs",https://www.google.com/maps/place/L%27Olivier/data=!4m7!3m6!1s0x13029896891e5ddd:0xa737a5ad4f954aeb!8m2!3d36.4525299!4d10.7345809!16s%2Fg%2F11bz_rkzxm!19sChIJ3V0eiZaYAhMR60qVT62lN6c?authuser=0&hl=fr&rclk=1
ChIJgdmbAseYAhMRpW5cI8CIdAA,Sam's Burger,,False,107,https://best--restaurants.blogspot.com/,Sam's Burger (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOSLKjI5lCgGjxmhp1zrFtSrneGxaJlhXOgxscs=w408-h306-k-no,Restaurant de hamburgers,Restaurant de hamburgers,4,10:00-23:00,lundi,28 500 931,"CPWF+GQ4 Sam's Burger, Rue Jedeida Maghrebia, Nabeul","prix, appetit",https://www.google.com/maps/place/Sam%27s+Burger/data=!4m7!3m6!1s0x130298c7029bd981:0x7488c0235c6ea5!8m2!3d36.4462565!4d10.7244681!16s%2Fg%2F11b7jxd_ws!19sChIJgdmbAseYAhMRpW5cI8CIdAA?authuser=0&hl=fr&rclk=1
ChIJH2SPDMeZAhMRzVcS_RF66tQ,GARAGE 41,,False,103,http://instagram.com/garage_41_nabeul,GARAGE 41 (proprietaire),https://www.google.com/maps/contrib/103022561736241708540,https://lh5.googleusercontent.com/p/AF1QipOG6tsIuG7aMjNyknzQin6wvHdIFmA0gcWsAUeX=w428-h240-k-no,Restauration rapide,"Restauration rapide, Restaurant",4.2,12:00-23:00,mardi,29 514 141,"GARAGE 41, 41 Av. Hedi Nouira, Nabeul 8000","baguette, tacos, farcie, ingredients, main",https://www.google.com/maps/place/GARAGE+41/data=!4m7!3m6!1s0x130299c70c8f641f:0xd4ea7a11fd1257cd!8m2!3d36.4466191!4d10.7185919!16s%2Fg%2F11gm7527qh!19sChIJH2SPDMeZAhMRzVcS_RF66tQ?authuser=0&hl=fr&rclk=1
ChIJBZFVIWCZAhMRHqP13Oxzr8E,Restaurant Dar Mrad,,False,101,https://www.facebook.com/NABEUL1973/,Restaurant Dar Mrad (proprietaire),https://www.google.com/maps/contrib/117297662519263930505,https://lh5.googleusercontent.com/p/AF1QipMa1Relv7SZDvCfmsB4rc3Igaj8zFBbp7AG6B17=w408-h306-k-no,Restaurant,Restaurant,4.5,,,20 859 220,"Restaurant Dar Mrad, Ave. Mongi Slim, rue khmaies el hajri, Nabeul 8000","prix, soupe",https://www.google.com/maps/place/Restaurant+Dar+Mrad/data=!4m7!3m6!1s0x1302996021559105:0xc1af73ecdcf5a31e!8m2!3d36.4528413!4d10.7434437!16s%2Fg%2F11fkf62v85!19sChIJBZFVIWCZAhMRHqP13Oxzr8E?authuser=0&hl=fr&rclk=1
ChIJWRya4OqZAhMRY7Q4krxYR-M,Restaurant le bonheur,,False,61,,Restaurant le bonheur (proprietaire),https://www.google.com/maps/contrib/101105608018595922269,https://lh5.googleusercontent.com/p/AF1QipOECN-P_yl_NzFcRvvoAq2rNRJe3ZeiT4ZBZju-=w408-h306-k-no,Restaurant,"Restaurant, Soupe populaire",5,10:00-22:00,,96 461 160,"FP4P+5GJ Restaurant le bonheur, Nabeul","couscous, brick, chef, fruits de mer, prix, succulents, pates, salade",https://www.google.com/maps/place/Restaurant+le+bonheur/data=!4m7!3m6!1s0x130299eae09a1c59:0xe34758bc9238b463!8m2!3d36.4553774!4d10.7363775!16s%2Fg%2F11vdvw7pw6!19sChIJWRya4OqZAhMRY7Q4krxYR-M?authuser=0&hl=fr&rclk=1
ChIJr2FGQzCZAhMREh5ZXs17bSE,Syrian Corner,,False,56,,Syrian Corner (proprietaire),https://www.google.com/maps/contrib/101860914024340451911,https://lh5.googleusercontent.com/p/AF1QipOyp_XFl3fj6rUySi3HuFfFykXexQwBgSQPFYK8=w408-h306-k-no,Restaurant,Restaurant,4.4,07:00-23:30,,21 008 009,"Syrian Corner, Hedi Chaker St., Nabeul 8000","prix, poulet, syrien, sandwichs, restauration, atmosphere, chawarma, proprete, pain, choix",https://www.google.com/maps/place/Syrian+Corner/data=!4m7!3m6!1s0x13029930434661af:0x216d7bcd5e591e12!8m2!3d36.4514592!4d10.7321929!16s%2Fg%2F11qbf0ghwh!19sChIJr2FGQzCZAhMREh5ZXs17bSE?authuser=0&hl=fr&rclk=1
ChIJ_xc6LMeYAhMRswH9xNCJ1Lo,Crespella,,False,54,https://www.facebook.com/crespellatn/,Crespella (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPlmnQCL-Dri8z1ZCmJOmWYaCtGGlXHzmwt08fV=w426-h240-k-no,Restaurant,Restaurant,4.2,10:00-23:00,,56 688 666,"CPWG+HFP Crespella, Nabeul","crepes, pizza",https://www.google.com/maps/place/Crespella/data=!4m7!3m6!1s0x130298c72c3a17ff:0xbad489d0c4fd01b3!8m2!3d36.4464583!4d10.7262166!16s%2Fg%2F11c6093dcl!19sChIJ_xc6LMeYAhMRswH9xNCJ1Lo?authuser=0&hl=fr&rclk=1
ChIJe_7eKa2ZAhMRaPjE8c8DVTU,9am9oum,,False,38,,9am9oum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOL38CBPB1i3xkVrEvbtndSWkiHavcQr4SiKVRp=w408-h306-k-no,Restaurant,Restaurant,4.3,10:00-00:00,,55 162 588,"FP3M+FPR 9am9oum, Av. Habib Bourguiba, Nabeul 8000","couscous, tunisienne",https://www.google.com/maps/place/9am9oum/data=!4m7!3m6!1s0x130299ad29defe7b:0x355503cff1c4f868!8m2!3d36.4537278!4d10.7342806!16s%2Fg%2F11rxvjgldq!19sChIJe_7eKa2ZAhMRaPjE8c8DVTU?authuser=0&hl=fr&rclk=1
ChIJ6drJnmqZAhMRySNltnRFJYA,Resto tounsi,,False,37,,Resto tounsi (proprietaire),https://www.google.com/maps/contrib/104939646872607063475,https://lh5.googleusercontent.com/p/AF1QipNUXiniLgJP9YrCzNWms8i6-nWzmXaTFKnUk2PG=w532-h240-k-no,Restaurant,Restaurant,4.8,11:00-20:00,dimanche,55 719 525,"Resto tounsi, Rue Ibn Khaldoun, Nabeul 8000","cuisine tunisienne, prix, famille",https://www.google.com/maps/place/Resto+tounsi/data=!4m7!3m6!1s0x1302996a9ec9dae9:0x80254574b66523c9!8m2!3d36.4519457!4d10.7362825!16s%2Fg%2F11hf7ky_82!19sChIJ6drJnmqZAhMRySNltnRFJYA?authuser=0&hl=fr&rclk=1
ChIJq_b-GfKYAhMR7XxeQzjPx90,LA ROTONDE,,False,32,https://m.facebook.com/1386230818268561,LA ROTONDE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOpIaRgSVDUa0rKXQqpfoApu83vhzVKNRslf6Ra=w408-h544-k-no,Restaurant,Restaurant,4.1,12:00-01:00,,94 099 583,"CPRV+XV3 LA ROTONDE, Nabeul","prix, mer, terrasse",https://www.google.com/maps/place/LA+ROTONDE/data=!4m7!3m6!1s0x130298f219fef6ab:0xddc7cf38435e7ced!8m2!3d36.4423769!4d10.7446807!16s%2Fg%2F11g732g16c!19sChIJq_b-GfKYAhMR7XxeQzjPx90?authuser=0&hl=fr&rclk=1
ChIJ92b1ZS-jAhMRUpkCf0imI6Q,Grill station,,False,29,https://www.facebook.com/Grill-station-1855632481210052/,Grill station (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNbx2FYRNpxpXtDNPtbzF-p92-qahz3Ka2xUaXv=w426-h240-k-no,Restaurant,Restaurant,4.3,10:00-01:00,,23 312 754,"FQGP+43F Grill station, a cote de carrefour, A. Beni Khiar ----- Nabeul, Dar Chaabane Al Fehri","fruits de mer, garniture, prix",https://www.google.com/maps/place/Grill+station/data=!4m7!3m6!1s0x1302a32f65f566f7:0xa423a6487f029952!8m2!3d36.475302!4d10.7851807!16s%2Fg%2F11hy_ndy19!19sChIJ92b1ZS-jAhMRUpkCf0imI6Q?authuser=0&hl=fr&rclk=1
ChIJB8nHocyZAhMRzsebFDK1gSE,Shelby's food,,False,27,https://m.facebook.com/pages/category/Pizza-Place/Shelbys-Food-100250441612818/,Shelby's food (proprietaire),https://www.google.com/maps/contrib/109147019881404467443,https://lh5.googleusercontent.com/p/AF1QipPy4XJBJbkEQDAknKsvH1lk-kC8JTqXizhvgWLQ=w427-h240-k-no,Restauration rapide,Restauration rapide,4.6,09:00-22:00,,,"Shelby's food, RR27, Nabeul","prix, ojja, serveur",https://www.google.com/maps/place/Shelby%27s+food/data=!4m7!3m6!1s0x130299cca1c7c907:0x2181b532149bc7ce!8m2!3d36.4537355!4d10.7415279!16s%2Fg%2F11j6wl6v2n!19sChIJB8nHocyZAhMRzsebFDK1gSE?authuser=0&hl=fr&rclk=1
ChIJW9PO87yZAhMR87WBmy7Q38U,Restaurant el beji,,False,25,,Restaurant el beji (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN_TVRAP4xYSUtRVazujD8CFSSo4Sop6opx9n1d=w408-h544-k-no,Restaurant,Restaurant,4.2,,,,"FP4P+6H5 Restaurant el beji, Farhat Hached St, Nabeul","cuisine tunisienne, couscous, prix, souk",https://www.google.com/maps/place/Restaurant+el+beji/data=!4m7!3m6!1s0x130299bcf3ced35b:0xc5dfd02e9b81b5f3!8m2!3d36.4555126!4d10.7364694!16s%2Fg%2F11j3w7wqww!19sChIJW9PO87yZAhMR87WBmy7Q38U?authuser=0&hl=fr&rclk=1
ChIJyxi93--ZAhMR-5TgRwz9UOM,3V Veni Vidi Vici,,False,23,,3V Veni Vidi Vici (proprietaire),https://www.google.com/maps/contrib/109150855924349344039,https://lh5.googleusercontent.com/p/AF1QipP8usJNqqYSumAZRtlSZGc0UvjZ23WTMED4PFBk=w408-h408-k-no,Restaurant,Restaurant,4,12:00-23:30,,72 221 232,"3V Veni Vidi Vici, 2 Ave. Mongi Slim, Nabeul 8000",,https://www.google.com/maps/place/3V+Veni+Vidi+Vici/data=!4m7!3m6!1s0x130299efdfbd18cb:0xe350fd0c47e094fb!8m2!3d36.4447462!4d10.7469178!16s%2Fg%2F11gm7p7vv1!19sChIJyxi93--ZAhMR-5TgRwz9UOM?authuser=0&hl=fr&rclk=1
ChIJa5yT4emZAhMREZdqi_xpkI4,Snap food,,False,19,,Snap food (proprietaire),https://www.google.com/maps/contrib/108052001268757422561,https://lh5.googleusercontent.com/p/AF1QipNo1y8DOymbN5DB1y0lZIUYKucvTvkklwpXbHFA=w426-h240-k-no,Restaurant,Restaurant,4.2,10:00-23:00,,52 565 599,"Snap food, Av. Habib Bourguiba, Nabeul",,https://www.google.com/maps/place/Snap+food/data=!4m7!3m6!1s0x130299e9e1939c6b:0x8e9069fc8b6a9711!8m2!3d36.452687!4d10.7346071!16s%2Fg%2F11fklhcz0b!19sChIJa5yT4emZAhMREZdqi_xpkI4?authuser=0&hl=fr&rclk=1
