place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTxHPkqEPAhMR4jsiDgqunzU,Cafe Brigade,,False,21,,Cafe Brigade (proprietaire),https://www.google.com/maps/contrib/115887344667573490528,https://lh5.googleusercontent.com/p/AF1QipNEE8j97MtsLsmdhFcyQQT_bynTbr9q0YaayY_s=w408-h611-k-no,Cafe,Cafe,5,05:00-23:00,,52 079 709,"Cafe Brigade, 5020 Monastir, 5020",,https://www.google.com/maps/place/Cafe+Brigade/data=!4m7!3m6!1s0x13020fa192cf114f:0x359fae0a0e223be2!8m2!3d35.6300043!4d10.7595866!16s%2Fg%2F11c60_ntdb!19sChIJTxHPkqEPAhMR4jsiDgqunzU?authuser=0&hl=fr&rclk=1
ChIJuZ-qVJoPAhMRhJlGIm0sMnc,Pizzeria Ben Ahmed,,False,17,,Pizzeria Ben Ahmed (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPgbM1tGUs_6-RnG38IXYEdwUNFed6bdsVUbno=w408-h550-k-no,Pizzeria,Pizzeria,4.2,08:00-00:00,,73 485 123,"JQH9+9MF Pizzeria Ben Ahmed, Jemmel",,https://www.google.com/maps/place/Pizzeria+Ben+Ahmed/data=!4m7!3m6!1s0x13020f9a54aa9fb9:0x77322c6d22469984!8m2!3d35.6285345!4d10.7692272!16s%2Fg%2F11s2sgt68g!19sChIJuZ-qVJoPAhMRhJlGIm0sMnc?authuser=0&hl=fr&rclk=1
ChIJq_T_zb8PAhMRRHsByenz5DY,Al maskaf lmsqf,,False,15,,Al maskaf lmsqf (proprietaire),https://www.google.com/maps/contrib/100210001338808253172,https://lh5.googleusercontent.com/p/AF1QipMpggKdkjKRl8VS8mwBCWlJ_oNd1r1uXuyDHSqe=w408-h306-k-no,Restaurant,"Restaurant, Pizzeria",4.7,18:30-02:00,,99 101 100,"Al maskaf lmsqf, Jemmel 5020",,https://www.google.com/maps/place/Al+maskaf+%D8%A7%D9%84%D9%85%D8%B3%D9%82%D9%81%E2%80%AD/data=!4m7!3m6!1s0x13020fbfcdfff4ab:0x36e4f3e9c9017b44!8m2!3d35.6357682!4d10.7737015!16s%2Fg%2F11s1zzmyw9!19sChIJq_T_zb8PAhMRRHsByenz5DY?authuser=0&hl=fr&rclk=1
ChIJGTgMmJ4PAhMR5-3MSr-saP8,mT`m ldhwq Dhawak,,False,13,,mT`m ldhwq Dhawak (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMMLb8Khd6nGuFjwl-x1wKQ-zxnFtK-7_9yHZLv=w408-h544-k-no,Restaurant,Restaurant,4,08:00-23:30,,96 338 705,"JQF5+FJ4 mT`m ldhwq Dhawak, Jemmal",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%B0%D9%88%D8%A7%D9%82+Dhawak%E2%80%AD/data=!4m7!3m6!1s0x13020f9e980c3819:0xff68acbf4accede7!8m2!3d35.6236419!4d10.759087!16s%2Fg%2F11gbxbyvy6!19sChIJGTgMmJ4PAhMR5-3MSr-saP8?authuser=0&hl=fr&rclk=1
ChIJvb2uEdYPAhMRlPVKvEpEABU,Cavaliero fast Food,,False,13,,Cavaliero fast Food (proprietaire),https://www.google.com/maps/contrib/117074218208622169337,https://lh5.googleusercontent.com/p/AF1QipOCAST6ckImq1fl28enHw8JPbuQfn-uaFVQ2tBi=w408-h544-k-no,Restaurant,Restaurant,4.4,09:00-23:00,dimanche,52 486 460,"JQG5+345 Cavaliero fast Food, Jemmel",,https://www.google.com/maps/place/Cavaliero+fast+Food/data=!4m7!3m6!1s0x13020fd611aebdbd:0x1500444abc4af594!8m2!3d35.6251503!4d10.7578778!16s%2Fg%2F11h5n7lddh!19sChIJvb2uEdYPAhMRlPVKvEpEABU?authuser=0&hl=fr&rclk=1
ChIJL6duuJ4PAhMRvPSQtwYP37g,Cafe La Municipalite,,False,12,,Cafe La Municipalite (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPaCohu1rLC8vvQsM70kYdAyHTT0zH5C9qI0FOJ=w426-h240-k-no,Cafe,Cafe,4.2,Ouvert 24h/24,lundi,,"JQF5+QVH Cafe La Municipalite, Jemmel",,https://www.google.com/maps/place/Caf%C3%A9+La+Municipalit%C3%A9/data=!4m7!3m6!1s0x13020f9eb86ea72f:0xb8df0f06b790f4bc!8m2!3d35.6244444!4d10.7597222!16s%2Fg%2F1thjqq0m!19sChIJL6duuJ4PAhMRvPSQtwYP37g?authuser=0&hl=fr&rclk=1
ChIJLQvA654PAhMRfBd3VhOnQBQ,Patisserie Louzir,,False,11,,Patisserie Louzir (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOnmaq_enjK_gaN8bHsEM66GVzc239rCY_zzDq9=w408-h544-k-no,Restaurant basque,Restaurant basque,4.5,09:00-23:30,dimanche,73 487 788,"JQF5+WHW Patisserie Louzir, Av. des Martyrs, Jemmel",,https://www.google.com/maps/place/Patisserie+Louzir/data=!4m7!3m6!1s0x13020f9eebc00b2d:0x1440a7135677177c!8m2!3d35.6248623!4d10.7589683!16s%2Fg%2F1pv0wywxr!19sChIJLQvA654PAhMRfBd3VhOnQBQ?authuser=0&hl=fr&rclk=1
ChIJq7Hb6KMPAhMRdnNL051n6Kc,SALON DE THE VETERAN,,False,10,,SALON DE THE VETERAN (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP9-n1e7SVKSWqDH5v_GSe2okjpb_M0VuwuTEbM=w426-h240-k-no,Cafe,Cafe,4.6,Ouvert 24h/24,,73 582 922,"JQM6+4F8 SALON DE THE VETERAN, Zaouiet Qontech",,https://www.google.com/maps/place/SALON+DE+TH%C3%89+VETERAN/data=!4m7!3m6!1s0x13020fa3e8dbb1ab:0xa7e8679dd34b7376!8m2!3d35.6327798!4d10.7612051!16s%2Fg%2F11f0wyfxzp!19sChIJq7Hb6KMPAhMRdnNL051n6Kc?authuser=0&hl=fr&rclk=1
ChIJs2nuKqMPAhMR5Q_JyaY0tSY,TICTAC,,False,9,,TICTAC (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOAQIBA27LJjjXS7mVVjxmPJWRM5-4zI_Fdoilu=w408-h271-k-no,Restaurant,Restaurant,4.7,11:00-22:00,mercredi,93 662 666,"JQG6+9HP TICTAC, Jemmel",,https://www.google.com/maps/place/TICTAC/data=!4m7!3m6!1s0x13020fa32aee69b3:0x26b534a6c9c90fe5!8m2!3d35.6259557!4d10.7614381!16s%2Fg%2F11kxglkgj0!19sChIJs2nuKqMPAhMR5Q_JyaY0tSY?authuser=0&hl=fr&rclk=1
ChIJU-fUKPIPAhMRWQQLKKyKn0Y,El Barco Fantastico,,False,9,,El Barco Fantastico (proprietaire),https://www.google.com/maps/contrib/110787192887856042818,https://lh5.googleusercontent.com/p/AF1QipPuTU4XIXL42TIAjAFH757ftGzxrYbWjEnRxQ3o=w408-h544-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.1,Ouvert 24h/24,,99 999 540,"JQG6+62F El Barco Fantastico, Jemmel 5020",,https://www.google.com/maps/place/El+Barco+Fantastico/data=!4m7!3m6!1s0x13020ff228d4e753:0x469f8aac280b0459!8m2!3d35.6266522!4d10.7611676!16s%2Fg%2F11tff9zyq1!19sChIJU-fUKPIPAhMRWQQLKKyKn0Y?authuser=0&hl=fr&rclk=1
