place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ7wez9pI1_RIRU1l0KvYKMFE,Pasta Cosi,,False,1719,http://pastacosi.tn/,Pasta Cosi (proprietaire),https://www.google.com/maps/contrib/107543410783001679240,https://lh5.googleusercontent.com/p/AF1QipNWmLpWGYiAJnO12DK95WrV3kozsKXssJw5oI_2=w408-h306-k-no,Restaurant italien,Restaurant italien,4.2,,,28 621 621,"Pasta Cosi, Immeuble Constance, Rue du lac de constance,, les Berges du Lac, Tunis 1053","service, quantite, serveurs, qualite, fruits de mer, bemol, tagliatelles, sauce blanche, hygiene, experimenter",https://www.google.com/maps/place/Pasta+Cosi/data=!4m7!3m6!1s0x12fd3592f6b307ef:0x51300af62a745953!8m2!3d36.832196!4d10.230543!16s%2Fg%2F11c1qyc8pm!19sChIJ7wez9pI1_RIRU1l0KvYKMFE?authuser=0&hl=fr&rclk=1
ChIJwU3zk4oz_RIRdwLt6emd_bo,Dar El Jeld,"Suites elegantes dans hotel raffine avec 2 restaurants, bar sur toit-terrasse et spa chic.",False,690,http://www.dareljeld.com/,Dar El Jeld (proprietaire),https://www.google.com/maps/contrib/110762076450897376505,https://lh5.googleusercontent.com/p/AF1QipPqv_rUalypNi3EEM1lzRckKuv52fKyJmL62p-R=w408-h255-k-no,Restaurant,Restaurant,4.4,"12:00-15:00, 19:30-23:30",dimanche,71 560 916,"Dar El Jeld, 5-10, Rue Dar El Jeld, Street 1005","hotel, spa, tunisienne, coeur, rooftop, suites, hammam, couscous, cuisine traditionnelle, architecture",https://www.google.com/maps/place/Dar+El+Jeld/data=!4m7!3m6!1s0x12fd338a93f34dc1:0xbafd9de9e9ed0277!8m2!3d36.7989592!4d10.1687787!16s%2Fg%2F11c74fwfqz!19sChIJwU3zk4oz_RIRdwLt6emd_bo?authuser=0&hl=fr&rclk=1
ChIJWSvpPZ604hIRMokhBwNlc5Y,La Villa Bleue,"Hebergements chics dans hotel haut de gamme avec vue sur le golfe, piscine exterieure et restaurant raffine.",False,618,http://www.lavillableuesidibousaid.com/,La Villa Bleue (proprietaire),https://www.google.com/maps/contrib/117043383151301524028,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFyX-48fxEeUwnxRNw3keWKLVZSNo0nxaBUZh1Ri5sOWvj1S6iluayQaGaBPTkK0YUS4Xz-bvVifFZVGkDmoffqPALd5ycD1bOdMxIfWOeAUIfQOWJIPQU2hPFrYaHmQfI6Klc5-ddf0ItsKJLHgA4xpZ7TL4vwWx6NtXP4uX07Bq106tGJ6Ho=w408-h306-k-no,Hotel,Hotel,4.4,,,71 742 000,"La Villa Bleue, 68 rue Kennedy, Sidi Bou Said 2026","vue, cadre, experience, touristique, est, repas, spa, serveurs, arnaque, magique",https://www.google.com/maps/place/La+Villa+Bleue/data=!4m7!3m6!1s0x12e2b49e3de92b59:0x9673650307218932!8m2!3d36.8700276!4d10.3523524!16s%2Fg%2F11b63crxs1!19sChIJWSvpPZ604hIRMokhBwNlc5Y?authuser=0&hl=fr&rclk=1
ChIJMwoaPTy14hIR9G1zFeGCLag,La Closerie,,False,468,,La Closerie (proprietaire),https://www.google.com/maps/contrib/101989028895416000274,https://lh5.googleusercontent.com/p/AF1QipNNyMgO-CwZk4-rcvwApyutpHKozjWsq-hSTiHV=w408-h725-k-no,Restaurant,Restaurant,4,11:30-04:00,,70 938 537,"La Closerie, Marsa","prix, musique, vin, produits de la mer, atmosphere, cuisine, bar, DJ, piscine, hautains",https://www.google.com/maps/place/La+Closerie/data=!4m7!3m6!1s0x12e2b53c3d1a0a33:0xa82d82e115736df4!8m2!3d36.8677342!4d10.2887291!16s%2Fg%2F1hc53mqsk!19sChIJMwoaPTy14hIR9G1zFeGCLag?authuser=0&hl=fr&rclk=1
ChIJFfsrAou14hIRSgzDtr84678,CULT bistro,,False,246,,CULT bistro (proprietaire),https://www.google.com/maps/contrib/114330621702871451027,https://lh5.googleusercontent.com/p/AF1QipOw5aNUqwONwYv9KzcMOloFtnvvV-U2b2E6-BNE=w408-h544-k-no,Restaurant,Restaurant,4.5,"12:00-16:00, 19:00-23:00",dimanche,98 105 700,"CULT bistro, Rue Mohamed Bayram V El Marsa Tunisie Au Quatrieme Etages La marsa, 2046","dessert, experience, chef, entree, alcool, creativite, ascenseur, service, cuisine tunisienne, etage",https://www.google.com/maps/place/CULT+bistro/data=!4m7!3m6!1s0x12e2b58b022bfb15:0xbfeb38bfb6c30c4a!8m2!3d36.8650197!4d10.3153876!16s%2Fg%2F11nxpn2f33!19sChIJFfsrAou14hIRSgzDtr84678?authuser=0&hl=fr&rclk=1
ChIJw5kBHay14hIRvZJrrfQAB5U,AL SENIOUR,,False,155,,AL SENIOUR (proprietaire),https://www.google.com/maps/contrib/116558997300244503137,https://lh5.googleusercontent.com/p/AF1QipN63NO3ZkcOsRdODKp4uT0s9wZoZ-HooB3bk3Wb=w408-h240-k-no-pi-0-ya308.22-ro-0-fo100,Restaurant,Restaurant,4,,,20 077 770,"AL SENIOUR, Marsa","prix, libanais, poulets, hummus, mezzes, serveurs, atmosphere, quantite, hygiene, espace",https://www.google.com/maps/place/AL+S%C3%89NIOUR/data=!4m7!3m6!1s0x12e2b5ac1d0199c3:0x950700f4ad6b92bd!8m2!3d36.8922798!4d10.3169634!16s%2Fg%2F11ssx36wk4!19sChIJw5kBHay14hIRvZJrrfQAB5U?authuser=0&hl=fr&rclk=1
ChIJG7WxThoz_RIRzeamhmUGS-U,Hillside resto lounge coffee,,False,142,,Hillside resto lounge coffee (proprietaire),https://www.google.com/maps/contrib/117901102361037215601,https://lh5.googleusercontent.com/p/AF1QipMNB7zea5XLgcBKNe6DOXr0Fw2fGHU4GCg3-vu-=w408-h264-k-no,Restaurant,Restaurant,4.3,07:00-23:00,,93 017 203,"Hillside resto lounge coffee, Rue Habib Chatti, Tunis","petit dejeuner, prix, serveurs, brunch, atmosphere",https://www.google.com/maps/place/Hillside+resto+lounge+coffee/data=!4m7!3m6!1s0x12fd331a4eb1b51b:0xe54b066586a6e6cd!8m2!3d36.8349315!4d10.1466344!16s%2Fg%2F11r_ts15pv!19sChIJG7WxThoz_RIRzeamhmUGS-U?authuser=0&hl=fr&rclk=1
ChIJa5H9DzC14hIRa4O1D11_pCI,Le Fumoir,,False,46,https://www.facebook.com/profile.php%3Fid%3D100089606417509,Le Fumoir (proprietaire),https://www.google.com/maps/contrib/116532877081210559860,https://lh5.googleusercontent.com/p/AF1QipMB_ECIfEVofkTo799h-TYFNRPWNJjVJtn4re_M=w532-h240-k-no,Restaurant,Restaurant,4.5,,,28 444 117,"Le Fumoir, 10 Rue des Hafsides, Marsa 2070","sandwich, prix, pain, experience",https://www.google.com/maps/place/Le+Fumoir/data=!4m7!3m6!1s0x12e2b5300ffd916b:0x22a47f5d0fb5836b!8m2!3d36.881323!4d10.332935!16s%2Fg%2F11shphsc5v!19sChIJa5H9DzC14hIRa4O1D11_pCI?authuser=0&hl=fr&rclk=1
ChIJjS2Wvm01_RIRuBOeHdb5SUI,Bab Tounes,,False,33,,Bab Tounes (proprietaire),https://www.google.com/maps/contrib/104801746545897975364,https://lh5.googleusercontent.com/p/AF1QipNY5nL_4xFf_TkwCzV3MtoKZ9Ab3jCbTOFMwH6Y=w408-h408-k-no,Restaurant,Restaurant,4.9,12:30-22:30,,23 458 458,"Bab Tounes, 3 Rue de l'ancienne douane, Tunis 1000","prix, iftar, couscous",https://www.google.com/maps/place/Bab+Toun%C3%A8s/data=!4m7!3m6!1s0x12fd356dbe962d8d:0x4249f9d61d9e13b8!8m2!3d36.7996642!4d10.1751995!16s%2Fg%2F11ss8bp9w_!19sChIJjS2Wvm01_RIRuBOeHdb5SUI?authuser=0&hl=fr&rclk=1
ChIJEZHjFFPBVxIR4PyiCVTNFhY,Essiguifa,,False,22,https://www.facebook.com/ESSIGUIFADETOZEUR%3Fmibextid%3DZbWKwL,Essiguifa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMWMeZPAvCPbuvqS2gMrq_S00v7LKwBZARK5fpZ=w408-h306-k-no,Restaurant tunisien,Restaurant tunisien,4.8,08:00-00:00,,51 396 397,"W4CQ+Q3M Essiguifa, Av. de Kairouan, Tozeur",cafe,https://www.google.com/maps/place/Essiguifa/data=!4m7!3m6!1s0x1257c15314e39111:0x1616cd5409a2fce0!8m2!3d33.9219963!4d8.1376639!16s%2Fg%2F11s8rcnhlc!19sChIJEZHjFFPBVxIR4PyiCVTNFhY?authuser=0&hl=fr&rclk=1
