place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJm2KIP3U0_RIRdvalgbEo4pM,Fondouk El Attarine,,False,592,http://www.fondoukelattarine.com/,Fondouk El Attarine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNV0jxzkWRFV4oQPjfkERts-y6C_lFg_kSTt-zX=w408-h544-k-no,Restaurant,Restaurant,4.3,10:00-15:30,dimanche,71 322 244,"Fondouk El Attarine, 9 Bis Souk El Attarine, Tunis","cadre, tunisien, couscous, touristes, service, coeur, artisanat, souk, caravanserail, valeur",https://www.google.com/maps/place/Fondouk+El+Attarine/data=!4m7!3m6!1s0x12fd34753f88629b:0x93e228b181a5f676!8m2!3d36.7980448!4d10.1716271!16s%2Fg%2F11bzx2g3m4!19sChIJm2KIP3U0_RIRdvalgbEo4pM?authuser=0&hl=fr&rclk=1
ChIJg_rm-nQ0_RIR2guj6aUCaC0,EL ALI Resto & Cafe Culturel,,False,532,https://instagram.com/resto_el_ali%3Figshid%3DOGQ2MjdiOTE%3D,EL ALI Resto & Cafe Culturel (proprietaire),https://www.google.com/maps/contrib/114444395705674073490,https://lh5.googleusercontent.com/p/AF1QipNmihF4SA_zSUh8dCGKe4RqYNiXC3s50L-3MHNO=w408-h271-k-no,Restaurant,"Restaurant, Cafe",4.2,08:00-17:00,dimanche,71 321 927,"EL ALI Resto & Cafe Culturel, Rue Jamaa Ezzitouna, Tunis","petit dejeuner, tunisien, couscous, musique, service, coeur, tajine, souk, cuisine traditionnelle, entree",https://www.google.com/maps/place/EL+ALI+Resto+%26+Caf%C3%A9+Culturel/data=!4m7!3m6!1s0x12fd3474fae6fa83:0x2d6802a5e9a30bda!8m2!3d36.7981557!4d10.172971!16s%2Fg%2F113hnpbqr!19sChIJg_rm-nQ0_RIR2guj6aUCaC0?authuser=0&hl=fr&rclk=1
ChIJIyZmY0DL4hIRCq35P7GXoww,mshwy 5 njwm,,False,435,https://www.facebook.com/profile.php%3Fid%3D100087187335666,mshwy 5 njwm (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5gZqAdqFTZe8ikpTVkg2Fzx4VogcQb6QjRKI=w408-h305-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.3,10:00-23:59,,24 887 610,"mshwy 5 njwm, km 21 Route De Bizerte, chorfech","espace, proprete, cuisson, choix, mechoui, serveur, brochettes, merguez, hygiene, parking",https://www.google.com/maps/place/%D9%85%D8%B4%D8%A7%D9%88%D9%8A+5+%D9%86%D8%AC%D9%88%D9%85%E2%80%AD/data=!4m7!3m6!1s0x12e2cb4063662623:0xca397b13ff9ad0a!8m2!3d36.9677006!4d10.0739827!16s%2Fg%2F11tg2mdqpt!19sChIJIyZmY0DL4hIRCq35P7GXoww?authuser=0&hl=fr&rclk=1
ChIJrZfpanU0_RIRv5CgrQiWIJI,Dar Belhadj,,False,294,,Dar Belhadj (proprietaire),https://www.google.com/maps/contrib/118287481991945040636,https://lh5.googleusercontent.com/p/AF1QipOZh31RvM49wwE47kFrt7LwSQ3kFuBvLU5DW1xU=w426-h240-k-no,Restaurant,Restaurant,4.3,"12:00-15:00, 19:30-22:00",dimanche,71 200 894,"Dar Belhadj, Rue du Tamis, Tunis","prix, musique, service, couscous, cuisine tunisienne, hotel, diner, experience, pourboire, coeur",https://www.google.com/maps/place/Dar+Belhadj/data=!4m7!3m6!1s0x12fd34756ae997ad:0x92209608ada090bf!8m2!3d36.798161!4d10.1715699!16s%2Fg%2F1pty392yr!19sChIJrZfpanU0_RIRv5CgrQiWIJI?authuser=0&hl=fr&rclk=1
ChIJIdmEb3U0_RIRYoiuciXPxRI,Restaurant Dar Slah,,False,213,http://darslah.com/,Restaurant Dar Slah (proprietaire),https://www.google.com/maps/contrib/116615842790500484331,https://lh5.googleusercontent.com/p/AF1QipOl_3z7dCTgvROQFTYkJlqhEFDjkH7UJZOOvpYO=w408-h271-k-no,Restaurant tunisien,"Restaurant tunisien, Restaurant",4.7,18:15-20:30,"mardi, mercredi",58 261 026,"Restaurant Dar Slah, 145 Rue de la Kasbah, Tunis 1006","prix, couscous, dessert, experience, tradition, entrees, coeur, choix, assida, pignons",https://www.google.com/maps/place/Restaurant+Dar+Slah/data=!4m7!3m6!1s0x12fd34756f84d921:0x12c5cf2572ae8862!8m2!3d36.7986221!4d10.1711398!16s%2Fg%2F1q6kj_ssj!19sChIJIdmEb3U0_RIRYoiuciXPxRI?authuser=0&hl=fr&rclk=1
ChIJlY8WGZRL_RIRhBlIDws0IYI,Restaurant Djerbien The House - lHwsh,,False,206,https://facebook.com/ElHoucheLaGoulette,Restaurant Djerbien The House - lHwsh (proprietaire),https://www.google.com/maps/contrib/109148645026368609116,https://lh5.googleusercontent.com/p/AF1QipNhUu_CPbwUjUsC6VZSUFsEDpbW6Kdr_6U6f3pC=w408-h306-k-no,Restaurant,Restaurant,4.3,12:30-22:30,lundi,28 413 413,"Restaurant Djerbien The House - lHwsh, 43 Av. Franklin Roosevelt, La Goulette","couscous, prix, pain, tunisien, experience, serveur, cuisine traditionnelle, succulente, quantites, entree",https://www.google.com/maps/place/Restaurant+Djerbien+The+House+-+%D8%A7%D9%84%D8%AD%D9%88%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x12fd4b9419168f95:0x8221340b0f481984!8m2!3d36.8200762!4d10.3088234!16s%2Fg%2F11f613y0hv!19sChIJlY8WGZRL_RIRhBlIDws0IYI?authuser=0&hl=fr&rclk=1
ChIJWy38ZPS04hIREBH8rSnjDOk,El Mida,,False,194,https://www.facebook.com/pages/Restaurant-El-Mida/1559470794320518,El Mida (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOsgk48I7aIDL5bRa5LRnSXyoqt7qkWIjQkasNz=w408-h306-k-no,Restaurant,Restaurant,4.5,12:00-16:00,lundi,28 836 919,"V8PF+5J7 El Mida, Rue des Oeillets, Marsa","cuisine tunisienne, prix, plats, poisson, soupe, cuisine traditionnelle, locavore, succulents, entree, epices",https://www.google.com/maps/place/El+Mida/data=!4m7!3m6!1s0x12e2b4f464fc2d5b:0xe90ce329adfc1110!8m2!3d36.8854041!4d10.3240355!16s%2Fg%2F11b7kw52zs!19sChIJWy38ZPS04hIREBH8rSnjDOk?authuser=0&hl=fr&rclk=1
ChIJ32efukO14hIRkff1o3Jxxwo,Les Indecis,,False,154,,Les Indecis (proprietaire),https://www.google.com/maps/contrib/115881096576841917839,https://lh5.googleusercontent.com/p/AF1QipOW7l9HLlUWK5A07GmbnRzlGZlnnGibojr9mgtw=w408-h725-k-no,Restaurant,"Restaurant, Cafe",4.9,"09:00-17:30, 18:30-00:00",lundi,56 574 949,"Les Indecis, Lycee carthage dermech, 4 Rue Hanon, Tunis","atmosphere, cafes, vegetariens, voyage, jus, musique, houmous, architecture d'interieur, thon",https://www.google.com/maps/place/Les+Ind%C3%A9cis/data=!4m7!3m6!1s0x12e2b543ba9f67df:0xac77172a3f5f791!8m2!3d36.8491293!4d10.3272069!16s%2Fg%2F11shsz_vmz!19sChIJ32efukO14hIRkff1o3Jxxwo?authuser=0&hl=fr&rclk=1
ChIJORqUqfK04hIRwZJPRVo5lWY,La Bruschetta,,False,102,https://www.facebook.com/La-Bruschetta-233127503535093/,La Bruschetta (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMzvaLKnd13qmJklizSEFdiVIhcIUrPjKhmz2rn=w408-h408-k-no,Restaurant italien,Restaurant italien,4.2,12:00-22:00,,71 982 859,"V8HG+MQ8 La Bruschetta, La Marsa","serveur, entree, prix",https://www.google.com/maps/place/La+Bruschetta/data=!4m7!3m6!1s0x12e2b4f2a9941a39:0x6695395a454f92c1!8m2!3d36.8791592!4d10.3269448!16s%2Fg%2F11d_v7z677!19sChIJORqUqfK04hIRwZJPRVo5lWY?authuser=0&hl=fr&rclk=1
ChIJq_b-GfKYAhMR7XxeQzjPx90,LA ROTONDE,,False,32,https://m.facebook.com/1386230818268561,LA ROTONDE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOpIaRgSVDUa0rKXQqpfoApu83vhzVKNRslf6Ra=w408-h544-k-no,Restaurant,Restaurant,4.1,12:00-01:00,,94 099 583,"CPRV+XV3 LA ROTONDE, Nabeul","prix, mer, terrasse",https://www.google.com/maps/place/LA+ROTONDE/data=!4m7!3m6!1s0x130298f219fef6ab:0xddc7cf38435e7ced!8m2!3d36.4423769!4d10.7446807!16s%2Fg%2F11g732g16c!19sChIJq_b-GfKYAhMR7XxeQzjPx90?authuser=0&hl=fr&rclk=1
