place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ19GyrCmIVhIR_de2hLrbFPo,Restaurant ElBey,,False,279,,Restaurant ElBey (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPAEf-K6DcX7xfJmcjvMjC6E7ZQAMmdVIejHhqu=w408-h306-k-no,Restaurant,Restaurant,4.1,08:00-00:00,,20 081 659,"FX9G+8V7 Restaurant ElBey, Douz","magique, decor, palmier, tente, serveur, experience, desert, sud, cuisine, alcool",https://www.google.com/maps/place/Restaurant+ElBey/data=!4m7!3m6!1s0x12568829acb2d1d7:0xfa14dbba84b6d7fd!8m2!3d33.4682998!4d8.9771699!16s%2Fg%2F11ddxqc03h!19sChIJ19GyrCmIVhIR_de2hLrbFPo?authuser=0&hl=fr&rclk=1
ChIJMdHyReSHVhIRS6CbjA4s44E,Restaurant La Porte De Sahara,,False,172,,Restaurant La Porte De Sahara (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPmW7O3qNVD5SgxTcksWObn02hX2uxnIf7DpZml=w426-h240-k-no,Restaurant,Restaurant,4.9,08:00-22:00,,98 801 217,"F23C+455 Restaurant La Porte De Sahara, Douz","soupe, cuisine traditionnelle, droit de propriete, entree, brik, vegetariens, ramadan, menu, couscous, plat principal",https://www.google.com/maps/place/Restaurant+La+Porte+De+Sahara/data=!4m7!3m6!1s0x125687e445f2d131:0x81e32c0e8c9ba04b!8m2!3d33.4527513!4d9.0204856!16s%2Fg%2F11gg_v2402!19sChIJMdHyReSHVhIRS6CbjA4s44E?authuser=0&hl=fr&rclk=1
ChIJZ_om_O-HVhIRlJHy32hKgx0,Hotel 20 mars,,False,82,http://www.nefzaoua-voyages.com/,Hotel 20 mars (proprietaire),,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGDV4Yctidz251UKH65KzBFPbZq2m24tulugVwP8SrCMC0uDK9xytSMV-KfS5lOen6v0aTKQdQVNudc11Id7N0y-2Nl0A9pJXtB7lYdlPsGEQf8RYBDccPGClgOzu71smPd0rvQse_IHQvKSqMtQWAR8qdVwC-yPT2VdaKvaTHyMN8-iJQTGVtm3Q=w408-h271-k-no,Hotel,Hotel,4.1,,,75 472 920,"F24F+CP3 Hotel 20 mars, Douz","prix, desert, chambre, qualite, wifi, nettoyage",https://www.google.com/maps/place/H%C3%B4tel+20+mars/data=!4m10!3m9!1s0x125687effc26fa67:0x1d834a68dff29194!5m2!4m1!1i2!8m2!3d33.4560247!4d9.024303!16s%2Fg%2F1tg4hj89!19sChIJZ_om_O-HVhIRlJHy32hKgx0?authuser=0&hl=fr&rclk=1
ChIJmaUYcs-HVhIRBfpjzcj-ogY,TEJ ELKHAYEM,,False,59,,TEJ ELKHAYEM (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMPLE8UhmS3R8DZb-KMqufGMd1Xb2i3kiHroXHX=w507-h240-k-no,Restaurant,Restaurant,4.4,06:00-00:00,,98 454 435,"C2MG+4W7 TEJ ELKHAYEM, ZONE TOURISTIQUE, Douz",chameau,https://www.google.com/maps/place/TEJ+ELKHAYEM/data=!4m7!3m6!1s0x125687cf7218a599:0x6a2fec8cd63fa05!8m2!3d33.4327914!4d9.0272838!16s%2Fg%2F11gh2j1hhc!19sChIJmaUYcs-HVhIRBfpjzcj-ogY?authuser=0&hl=fr&rclk=1
ChIJM1lhm7eHVhIRdkALcVJ_JOc,casa catering,,False,35,,casa catering (proprietaire),https://www.google.com/maps/contrib/117756555773380564588,https://lh5.googleusercontent.com/p/AF1QipMHRXsew1XJCjqMC-LW9BpkMnkKNlPHi5f0FOc3=w408-h544-k-no,Restaurant,Restaurant,4.8,20:00-00:30,,29 480 719,"casa catering, 4200, Douz",pizza,https://www.google.com/maps/place/casa+catering/data=!4m7!3m6!1s0x125687b79b615933:0xe7247f52710b4076!8m2!3d33.4568261!4d9.0248257!16s%2Fg%2F11fnxpp76l!19sChIJM1lhm7eHVhIRdkALcVJ_JOc?authuser=0&hl=fr&rclk=1
ChIJY3ngNSyHVhIRMDGU-WFu8QI,Cafe Sahara,,False,26,,Cafe Sahara (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMIHXeLVFmExqsO_mnTApZQzDp_275Znqk4SgAe=w408-h305-k-no,Restaurant,Restaurant,4,Ouvert 24h/24,,54 336 633,"F24F+RRC Cafe Sahara, Unnamed Road, Douz",agneau,https://www.google.com/maps/place/Cafe+Sahara/data=!4m7!3m6!1s0x1256872c35e07963:0x2f16e61f9943130!8m2!3d33.4570671!4d9.0245182!16s%2Fg%2F11g0s4ynm1!19sChIJY3ngNSyHVhIRMDGU-WFu8QI?authuser=0&hl=fr&rclk=1
ChIJQ0qn_--HVhIRm9_JiTQeloU,Cafe L'orient Douz ... mqh~ lshrq,,False,14,,Cafe L'orient Douz ... mqh~ lshrq (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMby_M3ZpBgapQJBiNrq4Hy1QLGefrmipneA6jb=w408-h544-k-no,Cafe,Cafe,4.9,Ouvert 24h/24,,51 059 151,"F24F+CJX Cafe L'orient Douz ... mqh~ lshrq, Douz",,https://www.google.com/maps/place/Caf%C3%A9+L%27orient+Douz+...+%D9%85%D9%82%D9%87%D9%89+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%E2%80%AD/data=!4m7!3m6!1s0x125687efffa74a43:0x85961e3489c9df9b!8m2!3d33.456109!4d9.0240973!16s%2Fg%2F11b_3gd925!19sChIJQ0qn_--HVhIRm9_JiTQeloU?authuser=0&hl=fr&rclk=1
ChIJCzA8-u-HVhIRKOK4nHysAG8,dr lswq Dar El Souk,,False,12,,dr lswq Dar El Souk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOyF12EO2y7iOSeS3aAytbZe9ngWKYswvfj5krb=w408-h306-k-no,Cafe,Cafe,4.4,,,,"F24F+7P8 dr lswq Dar El Souk, Douz",,https://www.google.com/maps/place/%D8%AF%D8%A7%D8%B1+%D8%A7%D9%84%D8%B3%D9%88%D9%82+Dar+El+Souk%E2%80%AD/data=!4m7!3m6!1s0x125687effa3c300b:0x6f00ac7c9cb8e228!8m2!3d33.4556502!4d9.0243243!16s%2Fg%2F11c1hjvxfp!19sChIJCzA8-u-HVhIRKOK4nHysAG8?authuser=0&hl=fr&rclk=1
ChIJO225t0GHVhIR5CEt75b9Imc,Restaurant pizza Venezia,,False,7,,Restaurant pizza Venezia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOhRRjOV-sndmmZtPN43hrZrLi7z0Pje83ph2pW=w408-h306-k-no,Restaurant familial,Restaurant familial,4.1,,,28 604 035,"F25C+7RG Restaurant pizza Venezia, Douz",,https://www.google.com/maps/place/Restaurant+pizza+Venezia/data=!4m7!3m6!1s0x12568741b7b96d3b:0x6722fd96ef2d21e4!8m2!3d33.458187!4d9.0220653!16s%2Fg%2F11sfk5yc8v!19sChIJO225t0GHVhIR5CEt75b9Imc?authuser=0&hl=fr&rclk=1
ChIJNe515--HVhIRBLsJvD-AjBM,Cafe de la Republique,,False,7,,Cafe de la Republique (proprietaire),,,Cafe,Cafe,4,05:30-01:00,,75 470 011,"F24G+74H Cafe de la Republique, C206, Douz",,https://www.google.com/maps/place/Caf%C3%A9+de+la+Republique/data=!4m7!3m6!1s0x125687efe775ee35:0x138c803fbc09bb04!8m2!3d33.455684!4d9.025344!16s%2Fg%2F1tfhvtph!19sChIJNe515--HVhIRBLsJvD-AjBM?authuser=0&hl=fr&rclk=1
ChIJiVIvaVd9VhIRoLI5aS5YQWQ,cafe saraya,,False,6,,cafe saraya (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNX_67UT8tLq3OrFjlfyn-1DRXfY9wRbRs7uJ8L=w408-h244-k-no,Cafe,Cafe,5,Ouvert 24h/24,,,"F2CF+M43 cafe saraya, C206, Douz",,https://www.google.com/maps/place/caf%C3%A9+saraya/data=!4m7!3m6!1s0x12567d57692f5289:0x6441582e6939b2a0!8m2!3d33.4716269!4d9.0228014!16s%2Fg%2F11css6616x!19sChIJiVIvaVd9VhIRoLI5aS5YQWQ?authuser=0&hl=fr&rclk=1
ChIJCWNmQGmHVhIRalHVGXdfoSI,Magic food,,False,5,https://www.facebook.com/profile.php%3Fid%3D100088987624929%26mibextid%3DZbWKwL,Magic food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOfFVeKu8LOtp40IFZI2a2v0Uc3N8nxe6KApm_p=w408-h463-k-no,Restaurant familial,Restaurant familial,4.2,,,22 880 889,"F25C+RGJ Magic food, Douz",,https://www.google.com/maps/place/Magic+food/data=!4m7!3m6!1s0x1256876940666309:0x22a15f7719d5516a!8m2!3d33.4593688!4d9.0214541!16s%2Fg%2F11sd9dwlpg!19sChIJCWNmQGmHVhIRalHVGXdfoSI?authuser=0&hl=fr&rclk=1
ChIJZUTgw8-HVhIRIMpJuSZAH1E,Vero gusto,,False,4,,Vero gusto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNR7t71PQoI63GOBtFBEPkNCT-sZODc_Qck9nXF=w408-h272-k-no,Pizzeria,Pizzeria,5,,,93 610 257,"F24C+F7G Vero gusto, Douz",,https://www.google.com/maps/place/Vero+gusto/data=!4m7!3m6!1s0x125687cfc3e04465:0x511f4026b949ca20!8m2!3d33.456185!4d9.0206877!16s%2Fg%2F11h914bpqy!19sChIJZUTgw8-HVhIRIMpJuSZAH1E?authuser=0&hl=fr&rclk=1
ChIJJ2VAQJmHVhIRF_qHOIwgqoU,patisserie abderrahim,,False,4,,patisserie abderrahim (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNkhvUnrW0mFVMw4145GbxAvrGFQ4uOxvG655wJ=w519-h240-k-no,Restaurant,Restaurant,5,04:30-19:30,,97 570 019,"F24F+4J8 patisserie abderrahim, Douz",,https://www.google.com/maps/place/patisserie+abderrahim/data=!4m7!3m6!1s0x1256879940406527:0x85aa208c3887fa17!8m2!3d33.455217!4d9.0240526!16s%2Fg%2F11smkb8w2r!19sChIJJ2VAQJmHVhIRF_qHOIwgqoU?authuser=0&hl=fr&rclk=1
ChIJ2Qm6H9eHVhIRZm46U0ppzj0,Compagnie Des Sables Douz,,False,4,,Compagnie Des Sables Douz (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNEGg9nj0OjHf92ZNRCNA52uFxfO8g-2G2IeEm8=w408-h306-k-no,Restaurant,Restaurant,4.8,15:00-00:00,,,"C2J8+PPH Compagnie Des Sables Douz, zone touristique, Douz",,https://www.google.com/maps/place/Compagnie+Des+Sables+Douz/data=!4m7!3m6!1s0x125687d71fba09d9:0x3dce694a533a6e66!8m2!3d33.4318051!4d9.0168703!16s%2Fg%2F11d_2bk40g!19sChIJ2Qm6H9eHVhIRZm46U0ppzj0?authuser=0&hl=fr&rclk=1
ChIJvVR5yLGHVhIRZtp1ClClAxY,"Restaurant ""Chez Magic""",,False,3,,"Restaurant ""Chez Magic"" (proprietaire)",https://www.google.com/maps/contrib/112387032651305928388,https://lh5.googleusercontent.com/p/AF1QipMprrBB4N7P62eG7lNZEfKNtS3NqKy4FnL7mTq4=w408-h544-k-no,Restaurant,Restaurant,4.3,10:00-22:00,,21 731 781,"Restaurant ""Chez Magic"", Avenue des Martyrs, Douz 4260",,https://www.google.com/maps/place/Restaurant+%22Chez+Magic%22/data=!4m7!3m6!1s0x125687b1c87954bd:0x1603a5500a75da66!8m2!3d33.4549831!4d9.02368!16s%2Fg%2F11h0b9lvn6!19sChIJvVR5yLGHVhIRZtp1ClClAxY?authuser=0&hl=fr&rclk=1
ChIJkwFlcQmHVhIRtb5jb4bmIJY,Fast food klt sry`@,,False,3,,Fast food klt sry`@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOIeoLqngbzNkxXEnGgtrQ7a8Dck1V-7l4nP7WA=w408-h306-k-no,Restauration rapide,Restauration rapide,4.7,,,,"F248+RHR Fast food klt sry`@, Douz",,https://www.google.com/maps/place/Fast+food+%D8%A7%D9%83%D9%84%D8%A7%D8%AA+%D8%B3%D8%B1%D9%8A%D8%B9%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x1256870971650193:0x9620e6866f63beb5!8m2!3d33.4571071!4d9.0163855!16s%2Fg%2F11hf3c_dvc!19sChIJkwFlcQmHVhIRtb5jb4bmIJY?authuser=0&hl=fr&rclk=1
