place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJoTiZV5ubVRIRAOu9AubIpc8,Lavazza,,False,23,,Lavazza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMdJkj-bRpDHWX8OR7FjyA47EuKQ1TIwOdilVfj=w408-h544-k-no,Cafe,Cafe,4,05:00-00:00,,,"VRQ2+X7P Lavazza, P16, El Hamma",,https://www.google.com/maps/place/Lavazza/data=!4m7!3m6!1s0x12559b9b579938a1:0xcfa5c8e602bdeb00!8m2!3d33.8899745!4d9.8006909!16s%2Fg%2F1pp2twzpr!19sChIJoTiZV5ubVRIRAOu9AubIpc8?authuser=0&hl=fr&rclk=1
ChIJF7K-SSybVRIRn_U2-M9BFdU,L'etoile d'or,,False,15,,L'etoile d'or (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOfhe0tqQbZKQqHUtYWSL8RI_cfQZI27n2dwKhi=w533-h240-k-no,Restaurant,Restaurant,4.2,Ouvert 24h/24,,25 576 220,"VQJ4+RQR L'etoile d'or, P16, El Hamma",,https://www.google.com/maps/place/L%27%C3%A9toile+d%27or/data=!4m7!3m6!1s0x12559b2c49beb217:0xd51541cff836f59f!8m2!3d33.8821073!4d9.7568852!16s%2Fg%2F11nnmzdrb2!19sChIJF7K-SSybVRIRn_U2-M9BFdU?authuser=0&hl=fr&rclk=1
ChIJa0ZxnJybVRIRAYZcnsBz_8w,Cafe Al Barzakh - lbrzkh,,False,12,https://www.facebook.com/%25D8%25A7%25D9%2584%25D8%25A8%25D8%25B1%25D8%25B2%25D8%25AE-Al-Barzakh-1448489455406597/,Cafe Al Barzakh - lbrzkh (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMQ0afdlV3DPWtRnuAmV4vjl63qw0pltLWwqDZY=w426-h240-k-no,Salon de the,Salon de the,4.1,,,75 333 526,"VQRX+6R3 Cafe Al Barzakh - lbrzkh, El Hamma",,https://www.google.com/maps/place/Caf%C3%A9+Al+Barzakh+-+%D8%A7%D9%84%D8%A8%D8%B1%D8%B2%D8%AE%E2%80%AD/data=!4m7!3m6!1s0x12559b9c9c71466b:0xccff73c09e5c8601!8m2!3d33.8905105!4d9.7995356!16s%2Fg%2F11c1r6s0n_!19sChIJa0ZxnJybVRIRAYZcnsBz_8w?authuser=0&hl=fr&rclk=1
ChIJywKqWy6bVRIRjmCN80L67Vk,Cafe lounge Babali'Za,,False,9,https://www.facebook.com/Cafe-lounge-BabAliZa-105618911235229/,Cafe lounge Babali'Za (proprietaire),https://www.google.com/maps/contrib/106737802748778429693,https://lh5.googleusercontent.com/p/AF1QipM9qicZK3cNMcGxI50VEYkX6BYbUo6-dIy6e5XP=w408-h552-k-no,Salon de the,Salon de the,4.4,Ouvert 24h/24,,52 600 006,"Cafe lounge Babali'Za, Rue l'environnement proche station de louage, El Hamma 6020",,https://www.google.com/maps/place/Cafe+lounge+Babali%27Za/data=!4m7!3m6!1s0x12559b2e5baa02cb:0x59edfa42f38d608e!8m2!3d33.8891889!4d9.79917!16s%2Fg%2F11p4jqr44n!19sChIJywKqWy6bVRIRjmCN80L67Vk?authuser=0&hl=fr&rclk=1
ChIJcTt05P2bVRIRQggUcZzksjg,30.8 creperie,,False,8,,30.8 creperie (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMGZGK9omAPTgp0SdXwqF2ifMx7_ihxsYME4-B8=w426-h240-k-no,Creperie,Creperie,4.6,07:00-23:30,,23 597 726,"VQQW+3W3 30.8 creperie, Unnamed Road, El Hamma",,https://www.google.com/maps/place/30.8+cr%C3%AAperie/data=!4m7!3m6!1s0x12559bfde4743b71:0x38b2e49c71140842!8m2!3d33.8876302!4d9.7973025!16s%2Fg%2F11rm1r56xl!19sChIJcTt05P2bVRIRQggUcZzksjg?authuser=0&hl=fr&rclk=1
ChIJq1bcC4ObVRIR27vK8-SbZh8,Cafe Al Quds,,False,7,,Cafe Al Quds (proprietaire),,,Cafe,Cafe,4,,,,"VRR3+GCF Cafe Al Quds, El Hamma",,https://www.google.com/maps/place/Caf%C3%A9+Al+Quds/data=!4m7!3m6!1s0x12559b830bdc56ab:0x1f669be4f3cabbdb!8m2!3d33.8913232!4d9.8035444!16s%2Fg%2F11fy2q2rgk!19sChIJq1bcC4ObVRIR27vK8-SbZh8?authuser=0&hl=fr&rclk=1
ChIJrRlXPfabVRIRaSHMy0iy_m4,La Belle Etoile,,False,6,,La Belle Etoile (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMsN5ErrIRFwgXr6DaRKJ_pNAgr3IlJ4b8WTvPA=w408-h306-k-no,Cafe,Cafe,4.2,07:00-23:30,,,"VRV5+V49 La Belle Etoile, El Hamma",,https://www.google.com/maps/place/La+Belle+%C3%89toile/data=!4m7!3m6!1s0x12559bf63d5719ad:0x6efeb248cbcc2169!8m2!3d33.894654!4d9.8078704!16s%2Fg%2F11j83sqdts!19sChIJrRlXPfabVRIRaSHMy0iy_m4?authuser=0&hl=fr&rclk=1
ChIJ_aSKFe6bVRIRYveLrczeSuM,Restaurant Aziz,,False,5,,Restaurant Aziz (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOYkfMcmDSEmYRF-rgluoiF1IJD1mnSbRKylfGi=w408-h544-k-no,Restaurant,Restaurant,4,08:00-23:00,,,"VQQW+9VV Restaurant Aziz, El Hamma",,https://www.google.com/maps/place/Restaurant+Aziz/data=!4m7!3m6!1s0x12559bee158aa4fd:0xe34adeccad8bf762!8m2!3d33.8884911!4d9.7971594!16s%2Fg%2F11g234mkfz!19sChIJ_aSKFe6bVRIRYveLrczeSuM?authuser=0&hl=fr&rclk=1
ChIJmeacLvubVRIRJaK56r8dT78,MOI-MY,,False,5,,MOI-MY (proprietaire),,,Pizzeria,Pizzeria,4.4,,,,"VRQ2+R5W MOI-MY, Al-Hammah",,https://www.google.com/maps/place/MOI-MY/data=!4m7!3m6!1s0x12559bfb2e9ce699:0xbf4f1dbfeab9a225!8m2!3d33.8897246!4d9.8006348!16s%2Fg%2F11kp_c7bjx!19sChIJmeacLvubVRIRJaK56r8dT78?authuser=0&hl=fr&rclk=1
ChIJa6gpVJubVRIRAns7-PuS6kI,Lozane,,False,5,,Lozane (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPSAi0hXGNNPM_vsG2JPrVVdhtoJJRtVGmPdZrE=w426-h240-k-no,Cafe,Cafe,4,06:30-23:30,,,"VRR2+2MG Lozane, Al-Hammah",,https://www.google.com/maps/place/Lozane/data=!4m7!3m6!1s0x12559b9b5429a86b:0x42ea92fbf83b7b02!8m2!3d33.8900675!4d9.8017097!16s%2Fg%2F11g9qklfpz!19sChIJa6gpVJubVRIRAns7-PuS6kI?authuser=0&hl=fr&rclk=1
