place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJN9YMXL39ARMR8Byr0e1KLOI,Hotel resto Dar Ammar,,False,167,http://www.darammar.com/,Hotel resto Dar Ammar (proprietaire),https://www.google.com/maps/contrib/113392618244717396284,https://lh5.googleusercontent.com/p/AF1QipPgmcYp-QeepoI_g3QVvBWyKkSTH9SbbqmYdjTo=w408-h271-k-no,Hotel,Hotel,4.1,,,98 235 565,"Hotel resto Dar Ammar, R87, El Jem 5160","dejeuner, buffet, excursion, choix, chambres, boissons, amphitheatre, serveurs, poulet, parking",https://www.google.com/maps/place/H%C3%B4tel+resto+Dar+Ammar/data=!4m10!3m9!1s0x1301fdbd5c0cd637:0xe22c4aedd1ab1cf0!5m2!4m1!1i2!8m2!3d35.3037956!4d10.6807073!16s%2Fg%2F11j4jy1h3q!19sChIJN9YMXL39ARMR8Byr0e1KLOI?authuser=0&hl=fr&rclk=1
ChIJEa3iEJ38ARMRFlo4SysSZn0,Restaurant El Hana,,False,78,,Restaurant El Hana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO1NCHP-9WBj0IWb3qtTTu4HJwnWsaZJSqMzFNF=w408-h541-k-no,Restaurant,Restaurant,4.7,09:00-17:00,,96 576 417,"7PW5+65C Restaurant El Hana, El Jem","amphitheatre, salade, parole, prix, brochettes, grillades, poulet, sympathique, idiome, the view",https://www.google.com/maps/place/Restaurant+El+Hana/data=!4m7!3m6!1s0x1301fc9d10e2ad11:0x7d66122b4b385a16!8m2!3d35.2955726!4d10.7078781!16s%2Fg%2F11cn9sfmks!19sChIJEa3iEJ38ARMRFlo4SysSZn0?authuser=0&hl=fr&rclk=1
ChIJsYMZRoP8ARMRRtjdU5BS6O4,Dar El Jem,,False,65,http://www.micromosaictunisia.com/,Dar El Jem (proprietaire),https://www.google.com/maps/contrib/108873175425934658375,https://lh5.googleusercontent.com/p/AF1QipPuyZrm-vVVO1NySPV8z_wCx_ZBrszkvtaYNJBr=w408-h544-k-no,Cafe,"Cafe, Musee d'art, Atelier d'artiste",4.7,07:00-00:00,,98 277 634,"Dar El Jem, Ave Farhat Hached, El Jem 5100","mosaique, amphitheatre, decor",https://www.google.com/maps/place/Dar+El+Jem/data=!4m7!3m6!1s0x1301fc83461983b1:0xeee8529053ddd846!8m2!3d35.298422!4d10.7052957!16s%2Fg%2F1pp2tlfhy!19sChIJsYMZRoP8ARMRRtjdU5BS6O4?authuser=0&hl=fr&rclk=1
ChIJrcmM2p38ARMRIaYkP0wQo1M,Restaurant Le Bonheur,,False,39,,Restaurant Le Bonheur (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrSBSiYFXb3Q6AAKlPYn-rtUyuRQZB_npotkAc=w408-h306-k-no,Restaurant,Restaurant,4,09:00-23:00,,22 976 655,"7PV5+238 Restaurant Le Bonheur, C87, El Jem","prix, chef, cuisine traditionnelle",https://www.google.com/maps/place/Restaurant+Le+Bonheur/data=!4m7!3m6!1s0x1301fc9dda8cc9ad:0x53a3104c3f24a621!8m2!3d35.2925252!4d10.7076891!16s%2Fg%2F1pp2tzkb_!19sChIJrcmM2p38ARMRIaYkP0wQo1M?authuser=0&hl=fr&rclk=1
ChIJnxSAmY38ARMRYrbAZvmfBXY,Restaurant Diar El Jem,,False,37,,Restaurant Diar El Jem (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMBA5ybJ9jw1_IhRIDiQys7p2Wxc73EnYfW172o=w426-h240-k-no,Restaurant,Restaurant,4,09:00-00:00,,27 444 700,"7MXR+X6X Restaurant Diar El Jem, Av. Hedi Chaker, El Jem",,https://www.google.com/maps/place/Restaurant+Diar+El+Jem/data=!4m7!3m6!1s0x1301fc8d9980149f:0x76059ff966c0b662!8m2!3d35.29999!4d10.6905964!16s%2Fg%2F11gdyjdf3x!19sChIJnxSAmY38ARMRYrbAZvmfBXY?authuser=0&hl=fr&rclk=1
ChIJy0ZXM4P8ARMRojwDwzAkPTg,Cafe Venus,,False,27,,Cafe Venus (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPWTxs-QWFl4W2k0LYvs-VeiK6hnrhZpz1ioG4h=w408-h306-k-no,Cafe,Cafe,4.4,06:00-23:00,,98 408 841,"7PX4+388 Cafe Venus, El Jem",,https://www.google.com/maps/place/Caf%C3%A9+Venus/data=!4m7!3m6!1s0x1301fc83335746cb:0x383d2430c3033ca2!8m2!3d35.2976549!4d10.7058344!16s%2Fg%2F1ptw1zz67!19sChIJy0ZXM4P8ARMRojwDwzAkPTg?authuser=0&hl=fr&rclk=1
ChIJE0ysKYP8ARMR8JMxHyAqTBY,Le Bonheur 2,,False,24,,Le Bonheur 2 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMzmUFj4bX80uTTQRfxuBKVsyswwaRK6hIYDd2w=w408-h306-k-no,Restaurant,Restaurant,4.3,09:00-22:00,,,"7PX4+6Q7 Le Bonheur 2, El Jem",prix,https://www.google.com/maps/place/Le+Bonheur+2/data=!4m7!3m6!1s0x1301fc8329ac4c13:0x164c2a201f3193f0!8m2!3d35.2980465!4d10.7069371!16s%2Fg%2F11c3_b2vv6!19sChIJE0ysKYP8ARMR8JMxHyAqTBY?authuser=0&hl=fr&rclk=1
ChIJSeS6ZWL7ARMRdT1pUmx8SVo,Restaurant Rhouma,,False,23,,Restaurant Rhouma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOd46EkJ-T4Vys0NpYf-6h0mOLdl2Ex5dofDmsQ=w519-h240-k-no,Restaurant,Restaurant,4,11:00-00:00,,55 550 020,"7PV6+H79 Restaurant Rhouma, Ave Taleb Mhiri, El Jem",salade,https://www.google.com/maps/place/Restaurant+Rhouma/data=!4m7!3m6!1s0x1301fb6265bae449:0x5a497c6c52693d75!8m2!3d35.2939138!4d10.710735!16s%2Fg%2F11cn9f5b56!19sChIJSeS6ZWL7ARMRdT1pUmx8SVo?authuser=0&hl=fr&rclk=1
ChIJrWUsKoP8ARMRiykAPm3JLc8,Restaurant Pizzeria Rome,,False,14,,Restaurant Pizzeria Rome (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPjs82ZhwtatNvRgniKysMzo-73AZu4gYE8dcNb=w408-h544-k-no,Pizzeria,Pizzeria,4.2,,,21 176 394,"7PX4+4QG Restaurant Pizzeria Rome, El Jem",,https://www.google.com/maps/place/Restaurant+Pizzeria+Rome/data=!4m7!3m6!1s0x1301fc832a2c65ad:0xcf2dc96d3e00298b!8m2!3d35.2978157!4d10.7069593!16s%2Fg%2F11c42xc89c!19sChIJrWUsKoP8ARMRiykAPm3JLc8?authuser=0&hl=fr&rclk=1
ChIJv6q5oZ38ARMRBmX6nwvg4FY,Pizzeria El Capo,,False,13,,Pizzeria El Capo (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOhl3Q077unG4wKr-bZ_loimbG4cJeZIBvASaz4=w408-h906-k-no,Restaurant,Restaurant,4.9,16:00-04:00,,98 210 762,"7PV5+R78 Pizzeria El Capo, Ave Habib Bourguiba, El Jem",pizza,https://www.google.com/maps/place/Pizzeria+El+Capo/data=!4m7!3m6!1s0x1301fc9da1b9aabf:0x56e0e00b9ffa6506!8m2!3d35.2945321!4d10.7082041!16s%2Fg%2F11cn2mbrnt!19sChIJv6q5oZ38ARMRBmX6nwvg4FY?authuser=0&hl=fr&rclk=1
