place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJW4BQ6Eak-xIRi6dQ0tQkcYc,Le Petit Bateau,,False,67,,Le Petit Bateau (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN88D3RC6D3bcu-wkVzl7MypZRvvcS95Ji51EGE=w408-h306-k-no,Restaurant,Restaurant,4.5,11:00-21:30,,27 743 379,"5PH9+XJV Le Petit Bateau, El Kef",prix,https://www.google.com/maps/place/Le+Petit+Bateau/data=!4m7!3m6!1s0x12fba446e850805b:0x877124d4d250a78b!8m2!3d36.1799813!4d8.7190371!16s%2Fg%2F11cp77z79f!19sChIJW4BQ6Eak-xIRi6dQ0tQkcYc?authuser=0&hl=fr&rclk=1
ChIJjyy-cUuk-xIRZJdVHcYgYPA,Dar Alyssa,,False,50,,Dar Alyssa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNI_I20XNlVzIa2BbZ4MLpjc2CQ-Y_apnskDoOl=w408-h306-k-no,Restaurant,Restaurant,4.5,,,97 926 051,"5PH4+XF9 Dar Alyssa, El Kef","petit dejeuner, salle",https://www.google.com/maps/place/Dar+Alyssa/data=!4m7!3m6!1s0x12fba44b71be2c8f:0xf06020c61d559764!8m2!3d36.1799104!4d8.7062362!16s%2Fg%2F11c0tb3bss!19sChIJjyy-cUuk-xIRZJdVHcYgYPA?authuser=0&hl=fr&rclk=1
ChIJg9FcxMyl-xIRFrOuo_gjQk8,Restaurant Chef Fatma,,False,39,,Restaurant Chef Fatma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPqD3iKpd1X6TpzE7v8UBNRxwV_aEVIDeRTE8qP=w408-h306-k-no,Restaurant,Restaurant,5,Ouvert 24h/24,,97 706 629,"5PJ5+C65 Restaurant Chef Fatma, Sidi ali ben, Rue Salah Ayach, Le Kef","plats, sourire, experience",https://www.google.com/maps/place/Restaurant+Chef+Fatma/data=!4m7!3m6!1s0x12fba5ccc45cd183:0x4f4223f8a3aeb316!8m2!3d36.1810015!4d8.7081225!16s%2Fg%2F11j0_wsxc2!19sChIJg9FcxMyl-xIRFrOuo_gjQk8?authuser=0&hl=fr&rclk=1
ChIJ8WhXW0Ck-xIRt74DgYay0_w,Cafe Frigua,,False,27,,Cafe Frigua (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM5HYoPOREtK_uh76rmQeJagIk5tg52EqT_0x7q=w408-h306-k-no,Cafe,Cafe,4.1,06:00-01:00,,36 363 232,"5PJF+HH6 Cafe Frigua, El Kef",,https://www.google.com/maps/place/Caf%C3%A9+Frigua/data=!4m7!3m6!1s0x12fba4405b5768f1:0xfcd3b2868103beb7!8m2!3d36.181412!4d8.7238862!16s%2Fg%2F11cs01lhnr!19sChIJ8WhXW0Ck-xIRt74DgYay0_w?authuser=0&hl=fr&rclk=1
ChIJMQDHZmqk-xIRgW8JeEQE5SA,LELLA BEYA,,False,23,,LELLA BEYA (proprietaire),https://www.google.com/maps/contrib/105348750237097380046,https://lh5.googleusercontent.com/p/AF1QipNxfsfjpm7Zt8hmgzeWbVev6F1xNnfCVYZEJmvk=w408-h306-k-no,Cafe,Cafe,4.3,06:00-00:00,,23 566 900,"LELLA BEYA, P17, Le Kef",,https://www.google.com/maps/place/LELLA+BEYA/data=!4m7!3m6!1s0x12fba46a66c70031:0x20e5044478096f81!8m2!3d36.1801562!4d8.7268843!16s%2Fg%2F11b74v602l!19sChIJMQDHZmqk-xIRgW8JeEQE5SA?authuser=0&hl=fr&rclk=1
ChIJ_cfDE2yk-xIRFLmX82ZUpEU,Casa Globe,,False,20,,Casa Globe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPCfuoO75QdxzEOZho0bdKnSqVB-VvLWhpRpMF-=w426-h240-k-no,Cafe,Cafe,4,07:00-22:00,,98 988 928,"5PHM+722 Casa Globe, Le Kef",,https://www.google.com/maps/place/Casa+Globe/data=!4m7!3m6!1s0x12fba46c13c3c7fd:0x45a45466f397b914!8m2!3d36.1781326!4d8.7325309!16s%2Fg%2F11fy238p0m!19sChIJ_cfDE2yk-xIRFLmX82ZUpEU?authuser=0&hl=fr&rclk=1
ChIJNWAt6Uak-xIRZwN9yh4tCMg,La Cabane,,False,19,,La Cabane (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMtide6J-oyFJYJmUvwXmz_-BvyWMldNSitptDh=w408-h306-k-no,Cafe,Cafe,4.1,08:00-02:00,,,"5PH9+XH3 La Cabane, Le Kef",,https://www.google.com/maps/place/La+Cabane/data=!4m7!3m6!1s0x12fba446e92d6035:0xc8082d1eca7d0367!8m2!3d36.1798839!4d8.7189119!16s%2Fg%2F11dxf3sks6!19sChIJNWAt6Uak-xIRZwN9yh4tCMg?authuser=0&hl=fr&rclk=1
ChIJRcP0Z0ik-xIRaSMXh10xn4I,qhw@ sydy bwmkhlwf,,False,18,,qhw@ sydy bwmkhlwf (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOuLuXdf2jy3ufvMOWzPwbNjW72DokJFo5GRM1_=w426-h240-k-no,Cafe,Cafe,4.4,06:00-00:00,,,"qhw@ sydy bwmkhlwf, Sidi Bou Makhlouf, Le Kef",,https://www.google.com/maps/place/%D9%82%D9%87%D9%88%D8%A9+%D8%B3%D9%8A%D8%AF%D9%8A+%D8%A8%D9%88%D9%85%D8%AE%D9%84%D9%88%D9%81%E2%80%AD/data=!4m7!3m6!1s0x12fba44867f4c345:0x829f315d87172369!8m2!3d36.1819394!4d8.7139313!16s%2Fg%2F11f33p0kcx!19sChIJRcP0Z0ik-xIRaSMXh10xn4I?authuser=0&hl=fr&rclk=1
ChIJTw8pOWKl-xIRJfQ6YsOItoY,La Una,,False,17,https://launa.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,La Una (proprietaire),https://www.google.com/maps/contrib/113870638239351804870,https://lh5.googleusercontent.com/p/AF1QipOmdOCVHDrmoj-xKpof3f98dV_htIu1rBwW-Jfk=w426-h240-k-no,Pizzeria,Pizzeria,4.5,,,22 511 678,"La Una, Av. Taieb Mhiri, El Kef 7100",,https://www.google.com/maps/place/La+Una/data=!4m7!3m6!1s0x12fba56239290f4f:0x86b688c3623af425!8m2!3d36.1783654!4d8.7068555!16s%2Fg%2F11gy3j_yd3!19sChIJTw8pOWKl-xIRJfQ6YsOItoY?authuser=0&hl=fr&rclk=1
ChIJxYHsE6yl-xIRI77ONlgqzd8,Romantica Cafe,,False,16,,Romantica Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOydeCNEo9X57gaYXTkQ0-oGj4gF7QAI0wa07Xi=w408-h544-k-no,Cafe,Cafe,4.4,07:00-23:00,,,"5M9X+VV3 Romantica Cafe, Le Kef",,https://www.google.com/maps/place/Romantica+Caf%C3%A9/data=!4m7!3m6!1s0x12fba5ac13ec81c5:0xdfcd2a5836cebe23!8m2!3d36.1696312!4d8.6996598!16s%2Fg%2F11c5fyngk7!19sChIJxYHsE6yl-xIRI77ONlgqzd8?authuser=0&hl=fr&rclk=1
