place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ7wez9pI1_RIRU1l0KvYKMFE,Pasta Cosi,,False,1719,http://pastacosi.tn/,Pasta Cosi (proprietaire),https://www.google.com/maps/contrib/107543410783001679240,https://lh5.googleusercontent.com/p/AF1QipNWmLpWGYiAJnO12DK95WrV3kozsKXssJw5oI_2=w408-h306-k-no,Restaurant italien,Restaurant italien,4.2,,,28 621 621,"Pasta Cosi, Immeuble Constance, Rue du lac de constance,, les Berges du Lac, Tunis 1053","service, quantite, serveurs, qualite, fruits de mer, bemol, tagliatelles, sauce blanche, hygiene, experimenter",https://www.google.com/maps/place/Pasta+Cosi/data=!4m7!3m6!1s0x12fd3592f6b307ef:0x51300af62a745953!8m2!3d36.832196!4d10.230543!16s%2Fg%2F11c1qyc8pm!19sChIJ7wez9pI1_RIRU1l0KvYKMFE?authuser=0&hl=fr&rclk=1
ChIJMwoaPTy14hIR9G1zFeGCLag,La Closerie,,False,468,,La Closerie (proprietaire),https://www.google.com/maps/contrib/101989028895416000274,https://lh5.googleusercontent.com/p/AF1QipNNyMgO-CwZk4-rcvwApyutpHKozjWsq-hSTiHV=w408-h725-k-no,Restaurant,Restaurant,4,11:30-04:00,,70 938 537,"La Closerie, Marsa","prix, musique, vin, produits de la mer, atmosphere, cuisine, bar, DJ, piscine, hautains",https://www.google.com/maps/place/La+Closerie/data=!4m7!3m6!1s0x12e2b53c3d1a0a33:0xa82d82e115736df4!8m2!3d36.8677342!4d10.2887291!16s%2Fg%2F1hc53mqsk!19sChIJMwoaPTy14hIR9G1zFeGCLag?authuser=0&hl=fr&rclk=1
ChIJ404M9R41_RIRzYxRWD9bn5I,Club Grill Citroen,,False,374,,Club Grill Citroen (proprietaire),https://www.google.com/maps/contrib/114665984406888566381,https://lh5.googleusercontent.com/p/AF1QipPpNm1ZdjBO9oVzc0zSNAVDyUe9UVIbthA3D7bJ=w427-h240-k-no,Restaurant,"Restaurant, Grillades, Restaurant servant le petit-dejeuner, Cafe, Diner, Restaurant mediterraneen, Pizzeria, Salon de the",4.1,08:00-00:00,,20 132 871,"Club Grill Citroen, maison Citroen, Avenue principale les berges du Lac Show Room","prix, serveur, pizza, cafe, famille, atmosphere, crepes, brunch, alcool, je",https://www.google.com/maps/place/Club+Grill+Citro%C3%ABn/data=!4m7!3m6!1s0x12fd351ef50c4ee3:0x929f5b3f58518ccd!8m2!3d36.831203!4d10.2179411!16s%2Fg%2F1tg589t7!19sChIJ404M9R41_RIRzYxRWD9bn5I?authuser=0&hl=fr&rclk=1
ChIJx-TH2q40_RIRBLCTwtBiii4,Restaurant libanais Baalabak,,False,162,https://www.facebook.com/baalabak.restauliban,Restaurant libanais Baalabak (proprietaire),https://www.google.com/maps/contrib/110667751812460335342,https://lh5.googleusercontent.com/p/AF1QipNoXLKyRTiVmu3I_uVjj1kthgDveA_3gdgbhRmq=w408-h306-k-no,Restaurant libanais,"Restaurant libanais, Patisserie",4,08:00-00:00,,71 766 450,"Restaurant libanais Baalabak, 7 Rue Gafsa, El Manzah 5 Tunis","prix, qualite",https://www.google.com/maps/place/Restaurant+libanais+Baalabak/data=!4m7!3m6!1s0x12fd34aedac7e4c7:0x2e8a62d0c293b004!8m2!3d36.852754!4d10.176768!16s%2Fg%2F11_shwkns!19sChIJx-TH2q40_RIRBLCTwtBiii4?authuser=0&hl=fr&rclk=1
ChIJG7WxThoz_RIRzeamhmUGS-U,Hillside resto lounge coffee,,False,142,,Hillside resto lounge coffee (proprietaire),https://www.google.com/maps/contrib/117901102361037215601,https://lh5.googleusercontent.com/p/AF1QipMNB7zea5XLgcBKNe6DOXr0Fw2fGHU4GCg3-vu-=w408-h264-k-no,Restaurant,Restaurant,4.3,07:00-23:00,,93 017 203,"Hillside resto lounge coffee, Rue Habib Chatti, Tunis","petit dejeuner, prix, serveurs, brunch, atmosphere",https://www.google.com/maps/place/Hillside+resto+lounge+coffee/data=!4m7!3m6!1s0x12fd331a4eb1b51b:0xe54b066586a6e6cd!8m2!3d36.8349315!4d10.1466344!16s%2Fg%2F11r_ts15pv!19sChIJG7WxThoz_RIRzeamhmUGS-U?authuser=0&hl=fr&rclk=1
ChIJteYbHmjL4hIRVKovBw0lBmA,Buona Pesca Fishes Shop,,False,76,,Buona Pesca Fishes Shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMakMDw9IPGAFB_lz76CSJz4Yqpd43veOUnjuIu=w408-h543-k-no,Restaurant de fish and chips,Restaurant de fish and chips,4,,,90 160 472,"Buona Pesca Fishes Shop, Rue Ezzouhour","fruits de mer, prix",https://www.google.com/maps/place/Buona+Pesca+Fishes+Shop/data=!4m7!3m6!1s0x12e2cb681e1be6b5:0x6006250d072faa54!8m2!3d36.8809803!4d10.1826887!16s%2Fg%2F11g8wcr7qh!19sChIJteYbHmjL4hIRVKovBw0lBmA?authuser=0&hl=fr&rclk=1
ChIJ_SwXt6A0_RIRnnMRzA73h2U,Fairouz Lebanese Restaurant,,False,66,,Fairouz Lebanese Restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPDkwoFKEo36N519EEdUPFdAc5MZNZ_l18HlBV0=w426-h240-k-no,Restaurant,Restaurant,4,12:00-23:00,dimanche,71 238 590,"R5VC+JHG Fairouz Lebanese Restaurant, Rue Ahmed Tlili, Ariana","libanais, prix, qualite, falafel, sandwich",https://www.google.com/maps/place/Fairouz+Lebanese+Restaurant/data=!4m7!3m6!1s0x12fd34a0b7172cfd:0x6587f70ecc11739e!8m2!3d36.8440684!4d10.1714639!16s%2Fg%2F11cry12fvf!19sChIJ_SwXt6A0_RIRnnMRzA73h2U?authuser=0&hl=fr&rclk=1
ChIJ_W2PWFvL4hIRsW1cHJuDo84,Restaurant brown sugar la soukra,,False,21,https://instagram.com/brownsugar_restaurant%3Figshid%3DOGQ5ZDc2ODk2ZA%3D%3D,Restaurant brown sugar la soukra (proprietaire),https://www.google.com/maps/contrib/115969355094089686748,https://lh5.googleusercontent.com/p/AF1QipMh2Na_CT7Eo0RjaV4hmEH5TJY21f6Xt4HS4IkY=w426-h240-k-no,Restaurant de grillades,Restaurant de grillades,4.7,12:00-00:00,,99 999 598,"V69H+R8W Restaurant brown sugar la soukra, Tunis",,https://www.google.com/maps/place/Restaurant+brown+sugar+la+soukra/data=!4m7!3m6!1s0x12e2cb5b588f6dfd:0xcea3839b1c5c6db1!8m2!3d36.8696082!4d10.2283156!16s%2Fg%2F11kqwwy72y!19sChIJ_W2PWFvL4hIRsW1cHJuDo84?authuser=0&hl=fr&rclk=1
ChIJqXEEUqM1_RIRP0-dhEZkzlc,Resto d'amour 1,,False,17,,Resto d'amour 1 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMs8sZn6AT3n7B5CDO8tLmFdTMQU_UXmm63Nlxo=w408-h305-k-no,Restaurant,Restaurant,4.8,,,22 646 541,"R56M+849 Resto d'amour 1, Tunis 1002",,https://www.google.com/maps/place/Resto+d%27amour+1/data=!4m7!3m6!1s0x12fd35a3520471a9:0x57ce6446849d4f3f!8m2!3d36.8107717!4d10.1828912!16s%2Fg%2F11l364d5h3!19sChIJqXEEUqM1_RIRP0-dhEZkzlc?authuser=0&hl=fr&rclk=1
ChIJ3fJ8ToYz_RIRto5GsUtVUxs,L'Altro Pizzeria,,False,11,,L'Altro Pizzeria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN_HFdR1b3A38zSyazL-rkfoT8aFXT-N1D45h82=w467-h240-k-no,Pizzeria,Pizzeria,4.4,Ouvert 24h/24,,58 585 060,"L'Altro Pizzeria, 7, avenue Taher Ben Ammar, BP.119 2092, ,",,https://www.google.com/maps/place/L%27Altro+Pizzeria/data=!4m7!3m6!1s0x12fd33864e7cf2dd:0x1b53554bb1468eb6!8m2!3d36.8443319!4d10.1541704!16s%2Fg%2F11r9vmqd86!19sChIJ3fJ8ToYz_RIRto5GsUtVUxs?authuser=0&hl=fr&rclk=1
