place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJadHonxdvVRIRRbSqcWho2wI,Pronto pizza,,False,151,,Pronto pizza (proprietaire),https://www.google.com/maps/contrib/116242790294149802389,https://lh5.googleusercontent.com/p/AF1QipO9PDrdXUmWU6hv-Tn_OHyH8ogGVBbl1jqdiV3B=w408-h306-k-no,Pizzeria,Pizzeria,4.8,12:00-00:00,,51 800 001,"V3HV+FQH Pronto pizza, Gabes",prix,https://www.google.com/maps/place/Pronto+pizza/data=!4m7!3m6!1s0x12556f179fe8d169:0x2db686871aab445!8m2!3d33.878692!4d10.094637!16s%2Fg%2F11rcy6d6qd!19sChIJadHonxdvVRIRRbSqcWho2wI?authuser=0&hl=fr&rclk=1
ChIJgZC3wZdvVRIRuXmdVOwayZ4,Restaurant Fruit De Mer,,False,119,,Restaurant Fruit De Mer (proprietaire),https://www.google.com/maps/contrib/117028167032096995847,https://lh5.googleusercontent.com/p/AF1QipPlfAGagMm7VXsofqkvKM65FsiWxaJgfP2J1T-n=w426-h240-k-no,Restaurant,Restaurant,4,11:15-23:00,,98 507 323,"Restaurant Fruit De Mer, Gabes","prix, poisson, serveur, famille",https://www.google.com/maps/place/Restaurant+Fruit+De+Mer/data=!4m7!3m6!1s0x12556f97c1b79081:0x9ec91aec549d79b9!8m2!3d33.893495!4d10.112805!16s%2Fg%2F11ddwp8y6y!19sChIJgZC3wZdvVRIRuXmdVOwayZ4?authuser=0&hl=fr&rclk=1
ChIJUaPl1L5vVRIRMTkiIlTi6LM,Le 52,,False,78,https://www.facebook.com/RestoLe52/,Le 52 (proprietaire),https://www.google.com/maps/contrib/118166992418627367471,https://lh5.googleusercontent.com/p/AF1QipPlfW-3kKdmw-5V8-zf3mwOAdDEvoVMf7RPihgL=w426-h240-k-no,Restaurant,Restaurant,4.3,12:00-22:00,dimanche,46 525 252,"Le 52, 52 shr` lHbyb bwrqyb@ - Avenue Habib Bourguiba, Gabes 6000","pizza, prix, tagliatelles",https://www.google.com/maps/place/Le+52/data=!4m7!3m6!1s0x12556fbed4e5a351:0xb3e8e25422223931!8m2!3d33.8875063!4d10.1060905!16s%2Fg%2F11dyzb89rd!19sChIJUaPl1L5vVRIRMTkiIlTi6LM?authuser=0&hl=fr&rclk=1
ChIJH-ooCblvVRIRJpwlBvwc2Ro,PALAIS D'OR,,False,78,,PALAIS D'OR (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNQIrMn3rFKbcCDC6qSOiBzzKAv1xDbBIb_gnXw=w482-h240-k-no,Restaurant,Restaurant,4.1,09:00-17:00,,75 238 240,"V4M4+WQW PALAIS D'OR, Gabes",plats,https://www.google.com/maps/place/PALAIS+D%27OR/data=!4m7!3m6!1s0x12556fb90928ea1f:0x1ad91cfc06259c26!8m2!3d33.8848503!4d10.1069444!16s%2Fg%2F11b6ht3my6!19sChIJH-ooCblvVRIRJpwlBvwc2Ro?authuser=0&hl=fr&rclk=1
ChIJVdyghsZvVRIRumcQ3so_ISE,Restaurant La Luna Italien Gabes,,False,70,https://fr-fr.facebook.com/RestaurantLaLuna%3Ffilter%3D3,Restaurant La Luna Italien Gabes (proprietaire),https://www.google.com/maps/contrib/112472897727080374724,https://lh5.googleusercontent.com/p/AF1QipPZ6jhIKGfPQEaKZCULTxPVEsJL7khEnguoO570=w408-h544-k-no,Restaurant,Restaurant,4.2,Ouvert 24h/24,,23 805 263,"Restaurant La Luna Italien Gabes, 21 Av. Farhat Hachad - shr` frHt Hshd, Gabes",,https://www.google.com/maps/place/Restaurant+La+Luna+Italien+Gabes/data=!4m7!3m6!1s0x12556fc686a0dc55:0x21213fcade1067ba!8m2!3d33.8870098!4d10.1075466!16s%2Fg%2F1q5hr6266!19sChIJVdyghsZvVRIRumcQ3so_ISE?authuser=0&hl=fr&rclk=1
ChIJPU3oE6NvVRIRA98I7qheinI,Le Sky Cafe Lounge,,False,64,,Le Sky Cafe Lounge (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMINNNMULaZ9tqljSBLz5VDuYyR64x60xKC1PKq=w493-h240-k-no,Cafe,"Cafe, Bar lounge",4,08:00-22:00,,22 070 722,"V4Q8+8CQ Le Sky Cafe Lounge, Rte de la plage, Gabes",,https://www.google.com/maps/place/Le+Sky+Caf%C3%A9+Lounge/data=!4m7!3m6!1s0x12556fa313e84d3d:0x728a5ea8ee08df03!8m2!3d33.8883339!4d10.1160971!16s%2Fg%2F1ptv_zkgs!19sChIJPU3oE6NvVRIRA98I7qheinI?authuser=0&hl=fr&rclk=1
ChIJHzsuccdvVRIR09_H_CguCf4,My House Lounge,,False,50,,My House Lounge (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPbKGy1K9bm_4_dxc1vviZUpnzoKz7x-f5WedPh=w408-h272-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4,08:00-23:00,,,"V3HR+QMP My House Lounge, Gabes",,https://www.google.com/maps/place/My+House+Lounge/data=!4m7!3m6!1s0x12556fc7712e3b1f:0xfe092e28fcc7dfd3!8m2!3d33.8794724!4d10.0916907!16s%2Fg%2F11fkmkdfsm!19sChIJHzsuccdvVRIR09_H_CguCf4?authuser=0&hl=fr&rclk=1
ChIJi_j-Sr9vVRIRMCQ8ESTmLAQ,Restaurant Pizzeria PINO,,False,50,,Restaurant Pizzeria PINO (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipND3UD10W8SxJnDepnvbsALUusxMWa3tSs86w03=w426-h240-k-no,Restaurant italien,"Restaurant italien, Livraison de pizzas, Pizzeria",4.1,,,75 272 010,"Restaurant Pizzeria PINO, 144 shr` lHbyb bwrqyb@ - Avenue Habib Bourguiba, Gabes 6000",,https://www.google.com/maps/place/Restaurant+Pizzeria+PINO/data=!4m7!3m6!1s0x12556fbf4afef88b:0x42ce624113c2430!8m2!3d33.8876342!4d10.1043806!16s%2Fg%2F1hf4g27cx!19sChIJi_j-Sr9vVRIRMCQ8ESTmLAQ?authuser=0&hl=fr&rclk=1
ChIJeWfKI5hvVRIRC_K6sEqcsW8,Restaurant Palais de la mer,,False,35,,Restaurant Palais de la mer (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5aUPulqABriw9hR1WOV0niQ-3VWVIpTaw7_qK=w408-h544-k-no,Restaurant,Restaurant,4.5,11:30-23:30,,75 271 142,"V4V7+GW3 Restaurant Palais de la mer, Av.Habib Thameur, Gabes",poisson,https://www.google.com/maps/place/Restaurant+Palais+de+la+mer/data=!4m7!3m6!1s0x12556f9823ca6779:0x6fb19c4ab0baf20b!8m2!3d33.893769!4d10.1147988!16s%2Fg%2F11gz_4lr3!19sChIJeWfKI5hvVRIRC_K6sEqcsW8?authuser=0&hl=fr&rclk=1
ChIJx0rcmkxvVRIRtb8KszoKfkY,Restaurant le roi bleu,,False,28,,Restaurant le roi bleu (proprietaire),https://www.google.com/maps/contrib/104319313827241887945,https://lh5.googleusercontent.com/p/AF1QipNA0y2DlTEYT2MlLUHi0ozUbd9bwiLrXsmb7kqu=w408-h306-k-no,Restaurant,Restaurant,4.5,"12:00-16:00, 18:00-21:00",samedi,22 896 185,"Restaurant le roi bleu, 27 Avenue Mongi Slim, Gabes 6000",,https://www.google.com/maps/place/Restaurant+le+roi+bleu/data=!4m7!3m6!1s0x12556f4c9adc4ac7:0x467e0a3ab30abfb5!8m2!3d33.8847659!4d10.1023035!16s%2Fg%2F11s0y_s2ft!19sChIJx0rcmkxvVRIRtb8KszoKfkY?authuser=0&hl=fr&rclk=1
