place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJw6hzNM6W-BIRcmuoMnzLRn8,Desparados,,False,27,,Desparados (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNAXXQ-SCI2i6hkSnJep-jDgRxgVPwam9yqp4GN=w426-h240-k-no,Restaurant,Restaurant,4,10:00-20:00,dimanche,,"CQH4+7C8 Desparados, Unnamed Road, Gafsa",,https://www.google.com/maps/place/Desparados/data=!4m7!3m6!1s0x12f896ce3473a8c3:0x7f46cb7c32a86b72!8m2!3d34.4281526!4d8.756087!16s%2Fg%2F11c6cxclqy!19sChIJw6hzNM6W-BIRcmuoMnzLRn8?authuser=0&hl=fr&rclk=1
ChIJacIzTv-W-BIRsOYRIfK-qBY,TOMATO,,False,25,,TOMATO (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOuDtmp7MdpM3e9DejerxjF6CKorXsuwa7jd2bg=w426-h240-k-no,Pizzeria,Pizzeria,4.5,09:00-21:00,,23 429 319,"CQ9R+CH7 TOMATO, Ctre, Gafsa",,https://www.google.com/maps/place/TOMATO/data=!4m7!3m6!1s0x12f896ff4e33c269:0x16a8bef22111e6b0!8m2!3d34.4185381!4d8.7914228!16s%2Fg%2F11c2qls56b!19sChIJacIzTv-W-BIRsOYRIfK-qBY?authuser=0&hl=fr&rclk=1
ChIJtYFh9FSX-BIRLU15p-lmqJs,Mix Max +,,False,18,https://www.facebook.com/Mix-Max-1196930583793404,Mix Max + (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNlmBQdgMpwR-Ib2j9paVM1hTx6VFhTzQWUGwkx=w408-h535-k-no,Restaurant,Restaurant,4.1,,,95 538 720,"CQGM+6HV Mix Max +, Gafsa",,https://www.google.com/maps/place/Mix+Max+%2B/data=!4m7!3m6!1s0x12f89754f46181b5:0x9ba866e9a7794d2d!8m2!3d34.4256114!4d8.7839365!16s%2Fg%2F11fs8r0kh6!19sChIJtYFh9FSX-BIRLU15p-lmqJs?authuser=0&hl=fr&rclk=1
ChIJt-nMUWmX-BIRwYv6l10YeD4,RESTO SOLAS,,False,14,https://m.facebook.com/profile.php%3Fid%3D100074120465587%26tsid%3D0.8582983252328997%26source%3Dresult,RESTO SOLAS (proprietaire),https://www.google.com/maps/contrib/100008689077981056826,https://lh5.googleusercontent.com/p/AF1QipNZWNNhLwi-dLh4RrPsK5aAIh_Pzxiglu1IgkMm=w426-h240-k-no,Restaurant,Restaurant,5,09:00-21:30,dimanche,95 296 832,"CQCQ+CFC RESTO SOLAS, Gafsa 2100",,https://www.google.com/maps/place/RESTO+SOLAS/data=!4m7!3m6!1s0x12f8976951cce9b7:0x3e78185d97fa8bc1!8m2!3d34.4212117!4d8.7888617!16s%2Fg%2F11pc9jfnw2!19sChIJt-nMUWmX-BIRwYv6l10YeD4?authuser=0&hl=fr&rclk=1
ChIJw-Awa1aW-BIRklirBo7hvs4,Minima Coffee Shop,,False,14,,Minima Coffee Shop (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPycH7S1dKUxdBeyqUZdvNMdE5ztaqmo__pq-JR=w426-h240-k-no,Cafe,"Cafe, Restaurant",4.2,08:00-22:00,,20 334 013,"CQCV+2F4 Minima Coffee Shop, pres de Pharmacie Gharbia Doualy, Gafsa",,https://www.google.com/maps/place/Minima+Coffee+Shop/data=!4m7!3m6!1s0x12f896566b30e0c3:0xcebee18e06ab5892!8m2!3d34.4200126!4d8.7936876!16s%2Fg%2F11hd7dw3l0!19sChIJw-Awa1aW-BIRklirBo7hvs4?authuser=0&hl=fr&rclk=1
ChIJB8mRg_mW-BIR6W3cvK7Jb_c,Fricasse HAMMA,,False,13,,Fricasse HAMMA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNT9FRcMEEpooNMn8VG0AutAcSfmxUamNyBjufF=w408-h544-k-no,Restaurant,Restaurant,4.3,07:00-20:00,,28 153 940,"CQCP+WR6 Fricasse HAMMA, Gafsa",,https://www.google.com/maps/place/Fricass%C3%A9+HAMMA/data=!4m7!3m6!1s0x12f896f98391c907:0xf76fc9aebcdc6de9!8m2!3d34.4222797!4d8.7870255!16s%2Fg%2F11gbf9gqkm!19sChIJB8mRg_mW-BIR6W3cvK7Jb_c?authuser=0&hl=fr&rclk=1
ChIJWYmEO_-W-BIReC36BCIUk70,Mia Cucina,,False,11,,Mia Cucina (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMkke31ZEgPty0FrFyOtthU4ouAMwvI-_eS0dDX=w426-h240-k-no,Restaurant,Restaurant,4.5,09:00-23:00,dimanche,21 252 005,"CQ9R+64R Mia Cucina, Gafsa",,https://www.google.com/maps/place/Mia+Cucina/data=!4m7!3m6!1s0x12f896ff3b848959:0xbd93142204fa2d78!8m2!3d34.4181148!4d8.7902755!16s%2Fg%2F11csp866wx!19sChIJWYmEO_-W-BIReC36BCIUk70?authuser=0&hl=fr&rclk=1
ChIJ-a9RUuSW-BIRpQDaYftrxf8,SoCrunchy,,False,7,,SoCrunchy (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNpodz0uFPv3_PGwTeZ1Hj7Ke0lfkbphmjau_gT=w408-h272-k-no,Creperie,Creperie,4.4,08:00-22:00,,,"CQCH+R6X SoCrunchy, Unnamed Road, Gafsa",,https://www.google.com/maps/place/SoCrunchy/data=!4m7!3m6!1s0x12f896e45251aff9:0xffc56bfb61da00a5!8m2!3d34.4221192!4d8.7780989!16s%2Fg%2F11fzfbxff7!19sChIJ-a9RUuSW-BIRpQDaYftrxf8?authuser=0&hl=fr&rclk=1
ChIJ-75tf26X-BIRCwoMxGfuds4,Spicy Burger,,False,7,,Spicy Burger (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPxa16ncz94FaPaqhIgMOdP_wvHkcf-9g4ILMOA=w408-h306-k-no,Restaurant de hamburgers,Restaurant de hamburgers,5,,,20 108 481,"CQCM+XV9 Spicy Burger, Gafsa",,https://www.google.com/maps/place/Spicy+Burger/data=!4m7!3m6!1s0x12f8976e7f6dbefb:0xce76ee67c40c0a0b!8m2!3d34.4224057!4d8.7847207!16s%2Fg%2F11nn87nk5b!19sChIJ-75tf26X-BIRCwoMxGfuds4?authuser=0&hl=fr&rclk=1
ChIJTSd1iw-X-BIR0LsZmZbtEwk,Pizzeria tozriana,,False,6,,Pizzeria tozriana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNEnDaoEgTlRLeAU6W71J4tgeup-sH0YijV3Jdk=w526-h240-k-no,Restaurant,Restaurant,5,08:00-00:00,,97 389 592,"CQH4+G69 Pizzeria tozriana, Unnamed Road, Gafsa",,https://www.google.com/maps/place/Pizzeria+tozriana/data=!4m7!3m6!1s0x12f8970f8b75274d:0x913ed969919bbd0!8m2!3d34.4287757!4d8.7555976!16s%2Fg%2F11fmt20knh!19sChIJTSd1iw-X-BIR0LsZmZbtEwk?authuser=0&hl=fr&rclk=1
