place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTdX9JhH9-hIRdYarDmMhWck,Cafe Tom,,False,12,,Cafe Tom (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPoERLfD-SNG8JL2jZnCFL1O3TPuv49R0Ss92U6=w408-h725-k-no,Cafe,Cafe,4.8,Ouvert 24h/24,,20 176 530,"FF32+246 Cafe Tom, Unnamed Road, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9+Tom/data=!4m7!3m6!1s0x12fafd1126fdd54d:0xc95921630eab8675!8m2!3d36.4525423!4d8.4502612!16s%2Fg%2F11gk8r5tss!19sChIJTdX9JhH9-hIRdYarDmMhWck?authuser=0&hl=fr&rclk=1
ChIJS_ACr_38-hIRe6GhzDKZP_U,Resto Top Five,,False,8,,Resto Top Five (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO3l0w8QSP6u7pKj7aP5MuOjVZYcnXy5Zhg2qzh=w408-h302-k-no,Restaurant,Restaurant,4,09:00-23:00,vendredi,,"CCXQ+57J Resto Top Five, Av. Hedi Chaker, Ghardimaou",,https://www.google.com/maps/place/Resto+Top+Five/data=!4m7!3m6!1s0x12fafcfdaf02f04b:0xf53f9932cca1a17b!8m2!3d36.4479716!4d8.4381367!16s%2Fg%2F11ddx8mk6q!19sChIJS_ACr_38-hIRe6GhzDKZP_U?authuser=0&hl=fr&rclk=1
ChIJB3JzSwD9-hIRyOUivqwSeu0,Salon de the Elfoundou lfwndw,,False,7,https://www.facebook.com/profile.php%3Fid%3D61555820297118%26mibextid%3DLQQJ4d%26refid%3D17%26_ft_%3Dencrypted_tracking_data.0AY9ofXRBz_knnIV9A9056-bkOkFks0pWRWdtl2nyUBDXZ6HFc5YsLtinlDEM1RJsqfG_MnFbQdj2VaZGaPKrANf5QJOkHuHLaPEFfUkUgUypTQXCpgN4wzhR-Q1UwX28p68Tx5N_LdRdvEqAS0MxdxJgbSA067UTmXhtQFyqynFAXMly3TXNXr8zI0JbJwbjWANVLT7c2LZMkMHOD0xxZwW2XOOSf44UuFBobtVjPcWbmA6mfynl8hnvgFoki_utV8fSGHgh_MgL1i2ppga91yutgRT3t28v2LxW6SlB3yFuc8CxEIRmpcKZLmkjgfGM-bkIZhxdn1u5ju6CCsS-do2i8GA62nMoaFoR8w16RCLw7KqNuAKbJNyamxwcnW6fObzOk0PpDIMa7rdPE58OVWtaqbpwsrfDF9OLOfwOHaCOkeOXg9zT_W57PtwXULdXIkUPlP0Z6kwmcYOpRO-KY60r5GXM3PI2TLLAu7tsmRiokK8Tr11I5z1cWkj4tbKUcRMaIXDNrlGPgULcJjlEclWmlHLeLbXdF-Ryd4m4eiRZC3eDH0m0l6OpQ7cXxlNKHDDRzAL2Dr2dYYpW8U1OfjVWOJckj1Ve_oS6ccSgFaDPW91ae42BZuVOAsslHNcTI4LH8E7d6T5hmV_w8rzf2v-DkH1FEwyY9VSG_YH6gOK-AcBv1RpAsdj1XcnODSVSnsZ7tY2OybpyFyzNdZ-OI_DI-n7fryDvjrXyEslFqPrC19DMHDbzf2EGrEo7PfvJbkYQ4PdyRf6nHuDU2fZcGDX9dGQxvxPX8LWd-0tlHcbZyyz-dJtRb100gBfVWy_HQhi_UNvHSXSDrphB_e02RNJzozTCU__Fo3g3P2rxinEWD4cPZaEAeRYdC6eE-s_CE1XBF7OdjMHvw5gnQo6RjT_aJBQ7YiHpQZvIbSp1zLXNjO7P8_Nr0pHepQi4GSqDtn3EvgHlwOC-ddZRj63rMNe1Q5AhAi_9sCkF2Fzp719ThBXIBgVRPxL2QupKZcerE3TXuJxFujRm0awAf8iEi0Y60mGE6Qewr1uE7BusqzRpmEm2jpZ7VLs0xPDtXYaiQsR_QaC9ma7ZpQTDmMSx7uZzXAjf_MJL15q6bGuj8L7k9wbIjEnQo3B62_itld5fgs-pVrJMzVnk5jaAia6y3pWEVwyRiVcA1bQ2VKtDlFo6zLRArBUG5WOyXie6smHwgXYewyoinyZit_NI88FrxtD_EDTONb3c7235x5A-qtRKDbzwGOIZvyT8tFFXZ3PzZEy8S3yEUTMH8QAaGQVYzf6CtQMoy2dXU1R5asdSinDGTxn_RdYMyOHupYvOCi4fXgmbmnYiHKSfDh1PgKF7verQ0smCb-0jJRCgk4-OLYkubyv5HCJASG96pU-nnL1QYdzhzhCLKLdiw3xEUlz-1Qb_HCeGswdsao0PeVVB1IpkpqsmL6IF11BmvqB_TYFHdQJyzlmq4IhdmsQ4fVTpfZM%26__tn__%3D%252As-R%26paipv%3D0%26eav%3DAfYge7uWp3rvmUMH8zxH2OTDSlY7yEzN4TiDGYymVa14DymhLgh-IOXZ2jWC77xHk5U,Salon de the Elfoundou lfwndw (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOTtmYJ35YZj_lQp7CU4-Y2677UkbB5OU0tSvBn=w408-h544-k-no,Cafe,Cafe,4.9,06:10-00:00,,58 916 688,"FC3H+327 Salon de the Elfoundou lfwndw, P6, Ghardimaou",,https://www.google.com/maps/place/Salon+de+th%C3%A8+Elfoundou+%D8%A7%D9%84%D9%81%D9%88%D9%86%D8%AF%D9%88%E2%80%AD/data=!4m7!3m6!1s0x12fafd004b737207:0xed7a12acbe22e5c8!8m2!3d36.4527009!4d8.4275563!16s%2Fg%2F11vsj1f1t7!19sChIJB3JzSwD9-hIRyOUivqwSeu0?authuser=0&hl=fr&rclk=1
ChIJC13pygL9-hIRtgKlGPs0wQw,Cafe Bejjoudi,,False,7,,Cafe Bejjoudi (proprietaire),,,Cafe,Cafe,4,Ouvert 24h/24,,78 000 000,"FC2R+8P8 Cafe Bejjoudi, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9+Bejjoudi/data=!4m7!3m6!1s0x12fafd02cae95d0b:0xcc134fb18a502b6!8m2!3d36.4507752!4d8.4418272!16s%2Fg%2F11g8wpq6vc!19sChIJC13pygL9-hIRtgKlGPs0wQw?authuser=0&hl=fr&rclk=1
ChIJ3c16bzj9-hIRp-95ftNNjjg,Cafe Diwani,,False,4,,Cafe Diwani (proprietaire),https://www.google.com/maps/contrib/114126452502801442209,https://lh5.googleusercontent.com/p/AF1QipM8ZH5rJTptsXMhNfmVx0SvqkpYI2n-tSIspMS_=w408-h306-k-no,Cafe,Cafe,4.5,Ouvert 24h/24,,21 938 946,"Cafe Diwani, P6",,https://www.google.com/maps/place/Caf%C3%A9+Diwani/data=!4m7!3m6!1s0x12fafd386f7acddd:0x388e4dd37e79efa7!8m2!3d36.4510656!4d8.4410703!16s%2Fg%2F11f62hd2nk!19sChIJ3c16bzj9-hIRp-95ftNNjjg?authuser=0&hl=fr&rclk=1
ChIJP1BH-vz8-hIRO47j6owcIfw,Cafe Zigavou,,False,3,,Cafe Zigavou (proprietaire),,,Cafe,Cafe,4,06:00-00:00,,,"CCXP+HRJ Cafe Zigavou, Rue Farhat Hached, Ghardimaou",,https://www.google.com/maps/place/Caf%C3%A9+Zigavou/data=!4m7!3m6!1s0x12fafcfcfa47503f:0xfc211c8ceae38e3b!8m2!3d36.4489589!4d8.4370197!16s%2Fg%2F11gcz3gy8h!19sChIJP1BH-vz8-hIRO47j6owcIfw?authuser=0&hl=fr&rclk=1
ChIJ8-OGGIb9-hIR-Vs4zW-t9t0,Fast food,,False,2,,Fast food (proprietaire),,,Restaurant,Restaurant,5,,,,"CCRJ+R82 Fast food, Unnamed Road, Ghardimaou",,https://www.google.com/maps/place/Fast+food/data=!4m7!3m6!1s0x12fafd861886e3f3:0xddf6ad6fcd385bf9!8m2!3d36.4420204!4d8.4307747!16s%2Fg%2F11nf_5wzsl!19sChIJ8-OGGIb9-hIR-Vs4zW-t9t0?authuser=0&hl=fr&rclk=1
ChIJ6dvS6Q79-hIR5HKVk715RJA,mT`m lrHm@,,False,2,,mT`m lrHm@ (proprietaire),,,Restaurant,Restaurant,4.5,,,,"CCXQ+8MX mT`m lrHm@, Ghardimaou",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%B1%D8%AD%D9%85%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fafd0ee9d2dbe9:0x904479bd939572e4!8m2!3d36.4483613!4d8.4392456!16s%2Fg%2F11lm7v5xpr!19sChIJ6dvS6Q79-hIR5HKVk715RJA?authuser=0&hl=fr&rclk=1
ChIJeYQB-2H9-hIRmzPPEi2_3T4,BERRAIS,,False,2,,BERRAIS (proprietaire),,,Restaurant,Restaurant,4.5,,,,"CCXR+FGH BERRAIS, Ghardimaou",,https://www.google.com/maps/place/BERRAIS/data=!4m7!3m6!1s0x12fafd61fb018479:0x3eddbf2d12cf339b!8m2!3d36.4486845!4d8.4413714!16s%2Fg%2F11n05s3h_x!19sChIJeYQB-2H9-hIRmzPPEi2_3T4?authuser=0&hl=fr&rclk=1
ChIJe947WPj9-hIRsyRjmI-lSxQ,mzr`@ rdyn@,,False,2,,mzr`@ rdyn@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNuwSSpzwnij8-4ZweWJWwODrCFEJtP_NF_cB4i=w408-h544-k-no,Magasin vendant du poulet,Magasin vendant du poulet,5,Ouvert 24h/24,mercredi,,"mzr`@ rdyn@, C58",,https://www.google.com/maps/place/%D9%85%D8%B2%D8%B1%D8%B9%D8%A9+%D8%B1%D8%AF%D9%8A%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fafdf8583bde7b:0x144ba58f986324b3!8m2!3d36.4651904!4d8.4429879!16s%2Fg%2F11t05m1948!19sChIJe947WPj9-hIRsyRjmI-lSxQ?authuser=0&hl=fr&rclk=1
