place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJRbqWxxvTARMRsRYj59m24rg,Farm Slice Teniour,,False,422,http://www.farmslicepizza.tn/,Farm Slice Teniour (proprietaire),https://www.google.com/maps/contrib/107597085418106568145,https://lh5.googleusercontent.com/p/AF1QipNtK4NBsQcqGl0_UTE4-Pu1Lq2YK23YTXm_P0wH=w408-h544-k-no,Pizzeria,Pizzeria,4,11:30-23:30,,92 444 440,"Farm Slice Teniour, Rue Hedi Nooman, Sfax","prix, qualite, cadre, organisation",https://www.google.com/maps/place/Farm+Slice+Teniour/data=!4m7!3m6!1s0x1301d31bc796ba45:0xb8e2b6d9e72316b1!8m2!3d34.7673399!4d10.7471641!16s%2Fg%2F11bzrhtmjn!19sChIJRbqWxxvTARMRsRYj59m24rg?authuser=0&hl=fr&rclk=1
ChIJp7FHPMfTARMR3ufZvblUXio,chef's,,False,25,,chef's (proprietaire),https://www.google.com/maps/contrib/103524225187918573165,https://lh5.googleusercontent.com/p/AF1QipMSPGXLVIWBZve6PbP1WjnHwdDH7_u0EKtavYVB=w408-h544-k-no,Restauration rapide,Restauration rapide,4.4,11:00-22:30,lundi,27 144 067,"QPGH+29C chef's, Sfax",,https://www.google.com/maps/place/chef%27s/data=!4m7!3m6!1s0x1301d3c73c47b1a7:0x2a5e54b9bdd9e7de!8m2!3d34.7750679!4d10.7283871!16s%2Fg%2F11k4k6brs3!19sChIJp7FHPMfTARMR3ufZvblUXio?authuser=0&hl=fr&rclk=1
ChIJf5kUVm_TARMRtQ3GnJgiqas,DON PAPA,,False,25,,DON PAPA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMIrY0wMADwT3-9QFUEaWaflupgY8tYYYHS_im3=w408-h306-k-no,Pizzeria,Pizzeria,4,09:30-23:00,,54 752 410,"QP9C+FC5 DON PAPA, Rte Lafrane, Sfax",,https://www.google.com/maps/place/DON+PAPA/data=!4m7!3m6!1s0x1301d36f5614997f:0xaba922989cc60db5!8m2!3d34.7686498!4d10.7210968!16s%2Fg%2F11fz7rwr3m!19sChIJf5kUVm_TARMRtQ3GnJgiqas?authuser=0&hl=fr&rclk=1
ChIJ38XV4pXTARMRD3L924l_LTE,IL MANCINO,,False,22,,IL MANCINO (proprietaire),https://www.google.com/maps/contrib/100578289902585524222,https://lh5.googleusercontent.com/p/AF1QipNhTAQJr8BlM2Mo83dijTbGA2lYB93fWwjeen6T=w408-h544-k-no,Restaurant italien,Restaurant italien,4.6,12:00-22:00,,90 670 067,"IL MANCINO, 140 nhj `bd l`zyz lth`lby, Sfax",,https://www.google.com/maps/place/IL+MANCINO/data=!4m7!3m6!1s0x1301d395e2d5c5df:0x312d7f89dbfd720f!8m2!3d34.761958!4d10.7494102!16s%2Fg%2F11stxdnzck!19sChIJ38XV4pXTARMRD3L924l_LTE?authuser=0&hl=fr&rclk=1
ChIJ4boR03TTARMRdWOadIKPxyU,Le jardin gourmand,,False,19,https://www.facebook.com/Le-jardin-gourmand-101896735011854/,Le jardin gourmand (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPlJoDXRHuW5tY0ADfno_mReaV-kNnCGU3jb3BT=w408-h306-k-no,Saladerie,Saladerie,4.4,11:00-22:00,dimanche,27 538 527,"Le jardin gourmand, 42 Rte du Kaid Mhamed, Sfax 3039",prix,https://www.google.com/maps/place/Le+jardin+gourmand/data=!4m7!3m6!1s0x1301d374d311bae1:0x25c78f82749a6375!8m2!3d34.7701142!4d10.7408674!16s%2Fg%2F11m_yt9m9b!19sChIJ4boR03TTARMRdWOadIKPxyU?authuser=0&hl=fr&rclk=1
ChIJcx0A8ILTARMRCqoRQY8_ocE,Le Morillon,,False,17,https://le-morillon.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,Le Morillon (proprietaire),https://www.google.com/maps/contrib/115899961982088418837,https://lh5.googleusercontent.com/p/AF1QipMNQY6gzobitTbdeOXSpOHhDeefr0NN2TAHwhwY=w408-h724-k-no,Restaurant,Restaurant,4.3,11:45-22:00,mardi,51 771 777,"Le Morillon, Route kaied mhamed, Ceinture Bourguiba, Sfax 3002","pizza, sandwich",https://www.google.com/maps/place/Le+Morillon/data=!4m7!3m6!1s0x1301d382f0001d73:0xc1a13f8f4111aa0a!8m2!3d34.7654538!4d10.7446131!16s%2Fg%2F11sx035cpb!19sChIJcx0A8ILTARMRCqoRQY8_ocE?authuser=0&hl=fr&rclk=1
ChIJy_DFYa7TARMRQgHATEfDUts,crunchup,,False,10,https://crunchup.shop/,crunchup (proprietaire),https://www.google.com/maps/contrib/111925717740627660746,https://lh5.googleusercontent.com/p/AF1QipM8SocjvOlyZKwBkbnYewz3_LwDpHNOQXtaKoZU=w408-h275-k-no,Restaurant,Restaurant,4.5,11:00-00:00,,58 420 402,"crunchup, rond-point, Ceinture Bourguiba, Sfax 3000",,https://www.google.com/maps/place/crunchup/data=!4m7!3m6!1s0x1301d3ae61c5f0cb:0xdb52c3474cc00142!8m2!3d34.7659375!4d10.7447755!16s%2Fg%2F11vdqykbwl!19sChIJy_DFYa7TARMRQgHATEfDUts?authuser=0&hl=fr&rclk=1
ChIJ637YetzTARMRy4sWFkxmhP4,PIZZ Pronto,,False,9,,PIZZ Pronto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9oBh-Hfwbt-r0OaxT2_RwAXuZw7DdgMg0O4A1=w426-h240-k-no,Pizzeria,Pizzeria,4.4,Ouvert 24h/24,,95 100 558,"QPQ9+7JX PIZZ Pronto, Rte Gremda, Sfax",,https://www.google.com/maps/place/PIZZ+Pronto/data=!4m7!3m6!1s0x1301d3dc7ad87eeb:0xfe84664c16168bcb!8m2!3d34.7882462!4d10.7191218!16s%2Fg%2F11kyyfvdf4!19sChIJ637YetzTARMRy4sWFkxmhP4?authuser=0&hl=fr&rclk=1
ChIJ3y7F8rfTARMRnvCWYkJQSps,Flavia Cafe Resto,,False,7,,Flavia Cafe Resto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOCYquAXZcgF0E2xcho1OvR6KqpS8G3Cl8w-8gO=w408-h306-k-no,Restaurant,Restaurant,4.3,09:00-23:00,,44 101 808,"Flavia Cafe Resto, Route Gremda, 4km Av. Mohamed Jmal, Sfax",,https://www.google.com/maps/place/Flavia+Caf%C3%A9+Resto/data=!4m7!3m6!1s0x1301d3b7f2c52edf:0x9b4a50426296f09e!8m2!3d34.7699422!4d10.7428544!16s%2Fg%2F11shlybpvd!19sChIJ3y7F8rfTARMRnvCWYkJQSps?authuser=0&hl=fr&rclk=1
ChIJ2f0o-3zTARMRLz3bVFECsFI,Pizza Zio,,False,7,,Pizza Zio (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM1B0oXW7YdfIdYRP48NO5PAmBwEHNPKgxj440v=w408-h272-k-no,Pizzeria,Pizzeria,4.6,11:00-23:00,,96 800 000,"QPG7+J72 Pizza Zio, Ctre, Sfax",,https://www.google.com/maps/place/Pizza+Zio/data=!4m7!3m6!1s0x1301d37cfb28fdd9:0x52b0025154db3d2f!8m2!3d34.7765091!4d10.7131371!16s%2Fg%2F11gbwmhqz7!19sChIJ2f0o-3zTARMRLz3bVFECsFI?authuser=0&hl=fr&rclk=1
