place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJS3eMf2pJ_RIR3uxVhqbgrBo,lblby nwr@ - Lablebi noura,,False,131,,lblby nwr@ - Lablebi noura (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMUMRb8upwfmjWBEpZjEuV0ob9EiTGxVjRgL05v=w408-h725-k-no,Restaurant,Restaurant,4.4,16:00-00:00,,,"P8PJ+W5R lblby nwr@ - Lablebi noura, Unnamed Road, Hammam-Lif",mer,https://www.google.com/maps/place/%D9%84%D8%A8%D9%84%D8%A7%D8%A8%D9%8A+%D9%86%D9%88%D8%B1%D8%A9+-+Lablebi+noura%E2%80%AD/data=!4m7!3m6!1s0x12fd496a7f8c774b:0x1aace0a68655ecde!8m2!3d36.737364!4d10.3303928!16s%2Fg%2F11h2k2t0t0!19sChIJS3eMf2pJ_RIR3uxVhqbgrBo?authuser=0&hl=fr&rclk=1
ChIJyVP1ZTBJ_RIRVsBMRmcV82k,Mezzanotte Pizzeria,,False,59,https://www.facebook.com/Mezzanotte.tn/,Mezzanotte Pizzeria (proprietaire),https://www.google.com/maps/contrib/109954955081637376131,https://lh5.googleusercontent.com/p/AF1QipO3gOn68j0kf4-kMXD128zh8YLj0WR6ManKA9RU=w427-h240-k-no,Restaurant,Restaurant,4.1,11:00-23:00,lundi,52 721 172,"Mezzanotte Pizzeria, Rue Salammbo, Rez de chaussee, Magasin 3, Hammam-Lif 2050",pizza,https://www.google.com/maps/place/Mezzanotte+Pizzeria/data=!4m7!3m6!1s0x12fd493065f553c9:0x69f31567464cc056!8m2!3d36.7307207!4d10.3395328!16s%2Fg%2F11c2q__vm5!19sChIJyVP1ZTBJ_RIRVsBMRmcV82k?authuser=0&hl=fr&rclk=1
ChIJbyaw7-JJ_RIR1Blj2aAwoiU,Foret noire,,False,35,,Foret noire (proprietaire),https://www.google.com/maps/contrib/101423692657449017634,https://lh5.googleusercontent.com/p/AF1QipOrBnV-eShWuJ8mU38Keycbfo6VfwPvQ0aveRut=w408-h408-k-no,Creperie,Creperie,4.4,12:00-23:00,lundi,56 779 909,"Foret noire, Av. Habib Bourguiba, Hammam-Lif 2050","the, sucres, salees",https://www.google.com/maps/place/For%C3%AAt+noire/data=!4m7!3m6!1s0x12fd49e2efb0266f:0x25a230a0d96319d4!8m2!3d36.732199!4d10.3367877!16s%2Fg%2F11rynhz2d9!19sChIJbyaw7-JJ_RIR1Blj2aAwoiU?authuser=0&hl=fr&rclk=1
ChIJt9t_ETtJ_RIRteJZJ4CWyBM,Restaurant TAHRICHA tHrysh@,,False,33,,Restaurant TAHRICHA tHrysh@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPbPhj-rHvmn34xKmvCqlx0CzaCs-xj9rdEel5X=w408-h493-k-no,Restaurant,Restaurant,4,09:00-00:00,,79 219 010,"P8JM+79Q Restaurant TAHRICHA tHrysh@, Av. 20 Mars, Hammam-Lif",,https://www.google.com/maps/place/Restaurant+TAHRICHA+%D8%AA%D8%AD%D8%B1%D9%8A%D8%B4%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd493b117fdbb7:0x13c896802759e2b5!8m2!3d36.7307208!4d10.3334781!16s%2Fg%2F11c0tgk9vg!19sChIJt9t_ETtJ_RIRteJZJ4CWyBM?authuser=0&hl=fr&rclk=1
ChIJd8Su0zpJ_RIRIbpqnyRTVvY,Restaurant Pizzeria Marakana,,False,26,,Restaurant Pizzeria Marakana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkX7cy_wdbRTS6pjewh9M8Zj8Ceyccx-LEOSYB=w408-h543-k-no,Restaurant,Restaurant,4.3,11:00-23:00,,56 495 617,"P8HP+PGF Restaurant Pizzeria Marakana, Hammam-Lif",,https://www.google.com/maps/place/Restaurant+Pizzeria+Marakana/data=!4m7!3m6!1s0x12fd493ad3aec477:0xf65653249f6aba21!8m2!3d36.7293138!4d10.3362892!16s%2Fg%2F11hckd6ns7!19sChIJd8Su0zpJ_RIRIbpqnyRTVvY?authuser=0&hl=fr&rclk=1
ChIJF57g3A1J_RIRScL7-ccMC98,Let's Waffle,,False,20,https://www.facebook.com/profile.php%3Fid%3D100090508456915,Let's Waffle (proprietaire),https://www.google.com/maps/contrib/101095645332684557153,https://lh5.googleusercontent.com/p/AF1QipOo3eK19yn7A7mrz8rH95rhJXNpIsQjTcOy7fVl=w408-h544-k-no,Magasin de the aux perles,"Magasin de the aux perles, Boutique de desserts, Restaurant, Boutique de boissons sans alcool",4.5,10:00-21:30,mardi,26 085 503,"Let's Waffle, 8 Av. Habib Bourguiba, Hammam-Lif 2050",,https://www.google.com/maps/place/Let%27s+Waffle/data=!4m7!3m6!1s0x12fd490ddce09e17:0xdf0b0cc7f9fbc249!8m2!3d36.7319278!4d10.3366181!16s%2Fg%2F11txtf82ls!19sChIJF57g3A1J_RIRScL7-ccMC98?authuser=0&hl=fr&rclk=1
ChIJKRqZwodJ_RIRQkfZA55czvI,Restaurant Metro,,False,14,,Restaurant Metro (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN7yYEuZRdR0xXkhONxGuwOR4B0XoRiYqSusPCk=w408-h543-k-no,Restauration rapide,Restauration rapide,4.4,11:00-00:00,,26 908 321,"Restaurant Metro, 002, Av Habib Bourguiba, +2+, Hammam-Lif 2050",gerant,https://www.google.com/maps/place/Restaurant+Metro/data=!4m7!3m6!1s0x12fd4987c2991a29:0xf2ce5c9e03d94742!8m2!3d36.7324379!4d10.3372141!16s%2Fg%2F11rkhdmshg!19sChIJKRqZwodJ_RIRQkfZA55czvI?authuser=0&hl=fr&rclk=1
ChIJwxH_TyNJ_RIR4BHA30Mm6gU,Restaurant Sehili Junior,,False,12,,Restaurant Sehili Junior (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMS6Xwi-seHBNlYRAtFphxCzqyneOdoxex_1rtv=w408-h544-k-no,Restaurant,Restaurant,4.3,11:00-23:00,,,"P8HJ+GVH Restaurant Sehili Junior, Hammam-Lif",,https://www.google.com/maps/place/Restaurant+Sehili+Junior/data=!4m7!3m6!1s0x12fd49234fff11c3:0x5ea2643dfc011e0!8m2!3d36.7288028!4d10.33224!16s%2Fg%2F1hc5qwkt8!19sChIJwxH_TyNJ_RIR4BHA30Mm6gU?authuser=0&hl=fr&rclk=1
ChIJ8aHTQVBJ_RIRwlhgNSQ8Thg,Cafe-Restaurant 59,,False,10,,Cafe-Restaurant 59 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNjUn-zudkqgFgbNL-bXUr0JfyIbXmqaK1jp-Iv=w489-h240-k-no,Pizzeria,Pizzeria,4,Ouvert 24h/24,,92 232 177,"P8PJ+X2W Cafe-Restaurant 59, Unnamed Road,, Hammam-Lif",,https://www.google.com/maps/place/Caf%C3%A9-Restaurant+59/data=!4m7!3m6!1s0x12fd495041d3a1f1:0x184e3c24356058c2!8m2!3d36.737485!4d10.3300641!16s%2Fg%2F11smnrxh8f!19sChIJ8aHTQVBJ_RIRwlhgNSQ8Thg?authuser=0&hl=fr&rclk=1
ChIJH8bVwi9J_RIR_M61vZmJijk,Pizzeria PORTANOVA,,False,10,,Pizzeria PORTANOVA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPX6DtliNPo40GOcPBV7z4Dx8AUtr0OqZNLCGGB=w408-h544-k-no,Restaurant,Restaurant,4.9,15:00-00:00,lundi,24 146 633,"P8HR+73P Pizzeria PORTANOVA, Hammam-Lif",,https://www.google.com/maps/place/Pizzeria+PORTANOVA/data=!4m7!3m6!1s0x12fd492fc2d5c61f:0x398a8999bdb5cefc!8m2!3d36.7282193!4d10.3401897!16s%2Fg%2F11g8wj68f3!19sChIJH8bVwi9J_RIR_M61vZmJijk?authuser=0&hl=fr&rclk=1
