place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJMeKu9vqkqhMRtVItTwkzU8I,Restaurant haroun,,False,548,,Restaurant haroun (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNAzcNjhbuCZ952w5Uou0EhTfiK-iYOZGOcfvQn=w408-h306-k-no,Restaurant,Restaurant,4,08:00-00:00,,75 650 488,"VVP3+HV2 Restaurant haroun, Houmt Souk","couscous, mer, touristes, ile, bateau, plats, service, qualite, tunisien, danse orientale",https://www.google.com/maps/place/Restaurant+haroun/data=!4m7!3m6!1s0x13aaa4faf6aee231:0xc25333094f2d52b5!8m2!3d33.8863902!4d10.8546444!16s%2Fg%2F11_v1yb9m!19sChIJMeKu9vqkqhMRtVItTwkzU8I?authuser=0&hl=fr&rclk=1
ChIJk-rq4OikqhMR2g3WOlgQ19I,Restaurant Baccar,,False,368,https://djerba--hotel.blogspot.com/p/restaurants-in-djerba.html,Restaurant Baccar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPAqW7IgNqWrEq07CL235GDnrYLTACaMroXmox6=w408-h306-k-no,Restaurant,Restaurant,4.7,10:30-22:00,vendredi,,"VVG5+JJ6 Restaurant Baccar, Houmt Souk","couscous, amine, fruits de mer, brick, service, cuisine traditionnelle, tajine, succulente, slata mechouia, merguez",https://www.google.com/maps/place/Restaurant+Baccar/data=!4m7!3m6!1s0x13aaa4e8e0eaea93:0xd2d710583ad60dda!8m2!3d33.8765434!4d10.8590103!16s%2Fg%2F11d_d95szl!19sChIJk-rq4OikqhMR2g3WOlgQ19I?authuser=0&hl=fr&rclk=1
ChIJddR7POmkqhMRBxglEz0g6U0,Restaurant De L'ile,,False,255,,Restaurant De L'ile (proprietaire),https://www.google.com/maps/contrib/103176191562775701532,https://lh5.googleusercontent.com/p/AF1QipNMeivDCHm4rzZmBpkUjuEVed2lO6463XUnuZ6U=w408-h904-k-no,Restaurant mediterraneen,Restaurant mediterraneen,4.4,"12:00-15:00, 18:30-22:00",mardi,75 650 651,"Restaurant De L'ile, Place Hedi Chaker, Houmt Souk 4180","service, poisson, couscous, serveur, vin, nougat, proprete, glace, crevettes, etoiles",https://www.google.com/maps/place/Restaurant+De+L%27%C3%AEle/data=!4m7!3m6!1s0x13aaa4e93c7bd475:0x4de9203d13251807!8m2!3d33.8767609!4d10.8591322!16s%2Fg%2F11c2p5c81r!19sChIJddR7POmkqhMRBxglEz0g6U0?authuser=0&hl=fr&rclk=1
ChIJh4NFY--kqhMRniRuW8E7lf4,Restaurant Pappagallo,,False,254,https://djerba--hotel.blogspot.com/,Restaurant Pappagallo (proprietaire),https://www.google.com/maps/contrib/107317355767094039007,https://lh5.googleusercontent.com/p/AF1QipMVtD---fqhQJVzsbr0G4aGLOuSvahRKaFiei3u=w408-h306-k-no,Restaurant,Restaurant,4,Ouvert 24h/24,,75 656 669,"Restaurant Pappagallo, Houmt Souk","cuisine italienne, prix, serveur, plats, qualite, succulents, dessert, experience, tiramisu, fruits de mer",https://www.google.com/maps/place/Restaurant+Pappagallo/data=!4m7!3m6!1s0x13aaa4ef63458387:0xfe953bc15b6e249e!8m2!3d33.8802912!4d10.8566637!16s%2Fg%2F11c1xg_9wx!19sChIJh4NFY--kqhMRniRuW8E7lf4?authuser=0&hl=fr&rclk=1
ChIJNawcrBylqhMRhi4y9qqke2U,Al_ATIK RESTAURANT,,False,175,,Al_ATIK RESTAURANT (proprietaire),https://www.google.com/maps/contrib/106400591976188321280,https://lh5.googleusercontent.com/p/AF1QipNtT_XinHTZSS3iEAxTkzsY-FQMqGSvRwU98YWt=w408-h544-k-no,Restaurant familial,Restaurant familial,4.2,12:00-22:00,dimanche,99 113 370,"VVG5+CRW Al_ATIK RESTAURANT, Houmt Souk","prix, couscous, serveur, fruits de mer, epice, brick, pates, merguez, cuisine traditionnelle, escalope",https://www.google.com/maps/place/Al_ATIK+RESTAURANT/data=!4m7!3m6!1s0x13aaa51cac1cac35:0x657ba4aaf6322e86!8m2!3d33.876087!4d10.8595495!16s%2Fg%2F11s4x345d7!19sChIJNawcrBylqhMRhi4y9qqke2U?authuser=0&hl=fr&rclk=1
ChIJPXUYPAGlqhMRPTgnVLeStE8,Restaurant Big Boss,,False,170,https://www.bigboss-djerba.com/,Restaurant Big Boss (proprietaire),https://www.google.com/maps/contrib/112370021871204146147,https://lh5.googleusercontent.com/p/AF1QipNcBok2pIKXY72t-XFxPaMLlvdqH8-rQrrknfWX=w408-h306-k-no,Restaurant,Restaurant,4.6,09:00-23:00,dimanche,25 332 003,"Restaurant Big Boss, Av habib bourguiba, Houmt Souk 4180","burger, prix, salade, experience, frites, lasagnes, cuit, service, continuation, gourmet",https://www.google.com/maps/place/Restaurant+Big+Boss/data=!4m7!3m6!1s0x13aaa5013c18753d:0x4fb492b75427383d!8m2!3d33.8701535!4d10.8613998!16s%2Fg%2F11rtt0sjh1!19sChIJPXUYPAGlqhMRPTgnVLeStE8?authuser=0&hl=fr&rclk=1
ChIJX3rxA7GlqhMRLqpPN_CkZaY,El Bo5,,False,111,https://djerba--hotel.blogspot.com/p/restaurants-in-djerba.html,El Bo5 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPlriGFJHcAYQnN6Wk1Si-XRWr-dIutj4NQ0fl-=w408-h408-k-no,Restaurant,Restaurant,4,12:00-21:30,dimanche,50 736 425,"VVF4+PRC El Bo5, Unnamed Road, Houmt Souk","prix, climatisation, pates, tables, ojja, huile, mal, salade",https://www.google.com/maps/place/El+Bo5/data=!4m7!3m6!1s0x13aaa5b103f17a5f:0xa665a4f0374faa2e!8m2!3d33.8743155!4d10.8570185!16s%2Fg%2F11hz1hq31b!19sChIJX3rxA7GlqhMRLqpPN_CkZaY?authuser=0&hl=fr&rclk=1
ChIJ_Q4gRfykqhMRbKRSlSZjBVU,Dar El Houta,,False,88,https://djerba--hotel.blogspot.com/p/restaurants-in-djerba.html,Dar El Houta (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP0i_xTffVYwJFizluf53tp7_60FBHVgSw7LBrW=w408-h544-k-no,Restaurant,Restaurant,4.2,12:00-22:00,,96 748 122,"VRQW+9FR Dar El Houta, Houmt Souk 4180","prix, poisson, mer, sympathique",https://www.google.com/maps/place/Dar+El+Houta/data=!4m7!3m6!1s0x13aaa4fc45200efd:0x550563269552a46c!8m2!3d33.8884845!4d10.8461458!16s%2Fg%2F1tdj6_lw!19sChIJ_Q4gRfykqhMRbKRSlSZjBVU?authuser=0&hl=fr&rclk=1
ChIJ5Yk4vH2lqhMRYFXyeiUY9cY,lmSry The Egyptian,,False,87,,lmSry The Egyptian (proprietaire),https://www.google.com/maps/contrib/113534864635328085945,https://lh5.googleusercontent.com/p/AF1QipPN37c4tZbdUyH16AtClpTrCmGByvRa6OVx3g8=w408-h544-k-no,Restaurant,Restaurant,4.4,16:00-00:00,mercredi,21 530 900,"lmSry The Egyptian, 41 avenue Habib Bourguiba, Houmt Souk 4180","dessert, beau, espace, famille",https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A+The+Egyptian%E2%80%AD/data=!4m7!3m6!1s0x13aaa57dbc3889e5:0xc6f518257af25560!8m2!3d33.88231!4d10.8559435!16s%2Fg%2F11s3l97trm!19sChIJ5Yk4vH2lqhMRYFXyeiUY9cY?authuser=0&hl=fr&rclk=1
ChIJC3IHoeikqhMRpj2aOIyRQm0,"""MATTERELLO DI STEVN """,,False,79,,"""MATTERELLO DI STEVN "" (proprietaire)",https://www.google.com/maps/contrib/102989884173554821761,https://lh5.googleusercontent.com/p/AF1QipPDuVLZx_tLy4oEfcT7SnG9PDwVQSsxwGSsTAhM=w408-h306-k-no,Restaurant,Restaurant,4.7,12:00-00:00,,,"""MATTERELLO DI STEVN "", houmet, Houmt Souk","pizza, prix, fromage",https://www.google.com/maps/place/%22MATTERELLO+DI+STEVN+%22/data=!4m7!3m6!1s0x13aaa4e8a107720b:0x6d42918c389a3da6!8m2!3d33.8770772!4d10.8566423!16s%2Fg%2F11d_8m35wd!19sChIJC3IHoeikqhMRpj2aOIyRQm0?authuser=0&hl=fr&rclk=1
