place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ58ehkdYT-xIRTyKT52y4m3A,Mon Plaisir Jendouba,,False,88,https://best--restaurants.blogspot.com/,Mon Plaisir Jendouba (proprietaire),https://www.google.com/maps/contrib/110765394595050141305,https://lh5.googleusercontent.com/p/AF1QipP5xqpe2znGK6Zxzs5TKO0JXhirzkosv5jBXl9h=w408-h306-k-no,Restaurant,Restaurant,4.1,05:00-00:00,,78 613 045,"FQPJ+R4F Mon Plaisir Jendouba, Cite el Hana avenue de l'environnement 8100, Jendouba 8100",prix,https://www.google.com/maps/place/Mon+Plaisir+Jendouba/data=!4m7!3m6!1s0x12fb13d691a1c7e7:0x709bb86ce793224f!8m2!3d36.4875904!4d8.7793519!16s%2Fg%2F11flc62xgd!19sChIJ58ehkdYT-xIRTyKT52y4m3A?authuser=0&hl=fr&rclk=1
ChIJBd0OalAT-xIR4G1Wh5yy3pE,Pizza woods Lounge Jendouba,,False,41,,Pizza woods Lounge Jendouba (proprietaire),https://www.google.com/maps/contrib/110662378874257101787,https://lh5.googleusercontent.com/p/AF1QipMPFoV4-_IFlR-o2v3oqGY1siAyxmaZm1VA5SJZ=w408-h246-k-no,Salon de the,"Salon de the, Restaurant servant le petit-dejeuner, Restaurant brunch, Cafe, Creperie, Bar a chicha, Bar lounge, Restaurant de plats a emporter, Pizzeria, Restaurant",4.5,Ouvert 24h/24,,93 012 000,"Pizza woods Lounge Jendouba, P6, Jendouba",,https://www.google.com/maps/place/Pizza+woods+Lounge+Jendouba/data=!4m7!3m6!1s0x12fb13506a0edd05:0x91deb29c87566de0!8m2!3d36.4954402!4d8.7892684!16s%2Fg%2F11h0524wy3!19sChIJBd0OalAT-xIR4G1Wh5yy3pE?authuser=0&hl=fr&rclk=1
ChIJee7sk1AS-xIRuHtej4d-E7o,ALMAS,,False,29,,ALMAS (proprietaire),https://www.google.com/maps/contrib/112380353722843896397,https://lh5.googleusercontent.com/p/AF1QipNGjo9lBuYst-FqrZrOfqbkM-khbGy01k6dyU0q=w408-h306-k-no,Restaurant,"Restaurant, Salon de the",4.2,06:00-00:00,,24 888 838,"ALMAS, P6, Jendouba",,https://www.google.com/maps/place/ALMAS/data=!4m7!3m6!1s0x12fb125093ecee79:0xba137e878f5e7bb8!8m2!3d36.4915445!4d8.7848463!16s%2Fg%2F11b6wpmny8!19sChIJee7sk1AS-xIRuHtej4d-E7o?authuser=0&hl=fr&rclk=1
ChIJP3XpzCkT-xIRyqfMsgeJlII,La cabane,,False,23,,La cabane (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO5sMCVamBU3wVXP3QwKDUau5rYfuBSFNRFHmXf=w408-h271-k-no,Restaurant,Restaurant,4.3,12:00-23:00,,,"GQ2V+363 La cabane, Jendouba",table,https://www.google.com/maps/place/La+cabane/data=!4m7!3m6!1s0x12fb1329cce9753f:0x82948907b2cca7ca!8m2!3d36.5001426!4d8.793056!16s%2Fg%2F11p5mns9l9!19sChIJP3XpzCkT-xIRyqfMsgeJlII?authuser=0&hl=fr&rclk=1
ChIJV_NPV60T-xIRC1C-UvLzOZE,cafe olympic,,False,10,,cafe olympic (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOm69AprgzE31WiSbQrYe6f6qls0trhKfEoDMPM=w408-h544-k-no,Cafe,Cafe,4.4,07:00-22:00,,,"GQ2J+RHJ cafe olympic, Enour, Jendouba",,https://www.google.com/maps/place/cafe+olympic/data=!4m7!3m6!1s0x12fb13ad574ff357:0x9139f3f252be500b!8m2!3d36.5020841!4d8.7813874!16s%2Fg%2F11g6j86t7j!19sChIJV_NPV60T-xIRC1C-UvLzOZE?authuser=0&hl=fr&rclk=1
ChIJddGj8OUT-xIRyxOQeigP54Y,Pizzeria Matador,,False,7,,Pizzeria Matador (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPd89mkSKTxlO-mgXZitn6p6NIlEL9JisuvMQ7b=w408-h306-k-no,Restaurant,Restaurant,4,,,93 125 162,"FQRP+Q6X Pizzeria Matador, Av. Khmais Hajri, Jendouba",,https://www.google.com/maps/place/Pizzeria+Matador/data=!4m7!3m6!1s0x12fb13e5f0a3d175:0x86e70f287a9013cb!8m2!3d36.4919772!4d8.7856162!16s%2Fg%2F11h84nv3_5!19sChIJddGj8OUT-xIRyxOQeigP54Y?authuser=0&hl=fr&rclk=1
ChIJhTrCGHYT-xIRLXH-bZD8g_U,Restaurant sidi bou said,,False,5,,Restaurant sidi bou said (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPIcn-l_R66anjX6k4YOZcwfA_0p5HcVmQdJGTZ=w408-h306-k-no,Restaurant,Restaurant,4.4,,,,"FQXH+MR9 Restaurant sidi bou said, Jendouba",,https://www.google.com/maps/place/Restaurant+sidi+bou+said/data=!4m7!3m6!1s0x12fb137618c23a85:0xf583fc906dfe712d!8m2!3d36.4991514!4d8.779614!16s%2Fg%2F11mbpx33k3!19sChIJhTrCGHYT-xIRLXH-bZD8g_U?authuser=0&hl=fr&rclk=1
ChIJqwob7xwT-xIR6OrVMlD_AGs,fD 'lf lyl@ w lyl@,,False,5,,fD 'lf lyl@ w lyl@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP95ba4v1VWz8-_fv7VYp27xr7X4BwgMHSorukA=w408-h545-k-no,Restaurant,Restaurant,4.4,,,25 163 833,"GR63+WX4 fD 'lf lyl@ w lyl@, P6, Jendouba",,https://www.google.com/maps/place/%D9%81%D8%B6%D8%A7%D8%A1+%D8%A3%D9%84%D9%81+%D9%84%D9%8A%D9%84%D8%A9+%D9%88+%D9%84%D9%8A%D9%84%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fb131cef1b0aab:0x6b00ff5032d5eae8!8m2!3d36.5122538!4d8.8049471!16s%2Fg%2F11hz7dp3lt!19sChIJqwob7xwT-xIR6OrVMlD_AGs?authuser=0&hl=fr&rclk=1
ChIJn2LOP2gT-xIR4lgG70v3wVA,Le Baril - Restaurant,,False,4,,Le Baril - Restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMnd9PdJPWVFs7CqPE4U_SBHtcEvG_qj7tE-fYX=w408-h725-k-no,Restaurant,Restaurant,5,09:00-20:00,,54 427 163,"GQ5Q+CP5 Le Baril - Restaurant, Jendouba",,https://www.google.com/maps/place/Le+Baril+-+Restaurant/data=!4m7!3m6!1s0x12fb13683fce629f:0x50c1f74bef0658e2!8m2!3d36.5085182!4d8.7893534!16s%2Fg%2F11qpdxnlzz!19sChIJn2LOP2gT-xIR4lgG70v3wVA?authuser=0&hl=fr&rclk=1
ChIJ68IvrtUT-xIRtrz5J2K7ckg,Pizzeria la Reine jendouba,,False,4,,Pizzeria la Reine jendouba (proprietaire),,,Restaurant,Restaurant,4,08:00-22:00,,53 169 171,"GQ56+QWQ Pizzeria la Reine jendouba, Jendouba",,https://www.google.com/maps/place/Pizzeria+la+Reine+jendouba/data=!4m7!3m6!1s0x12fb13d5ae2fc2eb:0x4872bb6227f9bcb6!8m2!3d36.5094708!4d8.7623457!16s%2Fg%2F11g3xv53qv!19sChIJ68IvrtUT-xIRtrz5J2K7ckg?authuser=0&hl=fr&rclk=1
