place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJH9WInT_F_RIRL-S_vcdBIvg,El Brija Restaurant,,False,321,,El Brija Restaurant (proprietaire),https://www.google.com/maps/contrib/100014156855763934291,https://lh5.googleusercontent.com/p/AF1QipPLOrAcPUlPCOEJYnubUJ3g9CSRH9urK3fxfhnA=w408-h306-k-no,Restaurant,"Restaurant, Cafe",4.1,08:00-22:00,,55 806 090,"El Brija Restaurant, Av. Oqba Ibn Nafaa, Kairouan 3100","prix, mosquee, couscous, pizza, cuisine, touristes, terrasse, serveurs, cafe, qualite",https://www.google.com/maps/place/El+Brija+Restaurant/data=!4m7!3m6!1s0x12fdc53f9d88d51f:0xf82241c7bdbfe42f!8m2!3d35.6828918!4d10.1039736!16s%2Fg%2F1hf2vc0dy!19sChIJH9WInT_F_RIRL-S_vcdBIvg?authuser=0&hl=fr&rclk=1
ChIJJbi6IEfF_RIRk7Eo-p_cgvs,Dar Abderrahman Zarrouk,,False,141,,Dar Abderrahman Zarrouk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOuJXtb10evVfKqRMN80MJXDKU4-s_kYI9WPFJw=w408-h408-k-no,Restaurant,Restaurant,4.3,,,94 670 670,"M4H2+P4J Dar Abderrahman Zarrouk, Rue Darel Bey, Kairouan","prix, maison, cuisine tunisienne, service, atmosphere, couscous, architecture, plat principal, agneau, salade",https://www.google.com/maps/place/Dar+Abderrahman+Zarrouk/data=!4m7!3m6!1s0x12fdc54720bab825:0xfb82dc9ffa28b193!8m2!3d35.679342!4d10.1002649!16s%2Fg%2F11xbgph47!19sChIJJbi6IEfF_RIRk7Eo-p_cgvs?authuser=0&hl=fr&rclk=1
ChIJiXoaOEnF_RIRUIPm1KOqnAw,Texas Fastfood,,False,81,,Texas Fastfood (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPlMacbLbgyOQ6TMGD8wt0sgT4ktSIavEj6ulAK=w408-h306-k-no,Restauration rapide,Restauration rapide,4.1,09:00-22:00,,77 228 080,"M3CX+H83 Texas Fastfood, Kairouan",,https://www.google.com/maps/place/Texas+Fastfood/data=!4m7!3m6!1s0x12fdc549381a7a89:0xc9caaa3d4e68350!8m2!3d35.6713923!4d10.0983037!16s%2Fg%2F1hg4w6r7w!19sChIJiXoaOEnF_RIRUIPm1KOqnAw?authuser=0&hl=fr&rclk=1
ChIJLSfIgYPF_RIRl7PMm9JCCa4,GO Cafe,,False,63,http://www.gocafe.tn/,GO Cafe (proprietaire),https://www.google.com/maps/contrib/112450648408136355518,https://lh5.googleusercontent.com/p/AF1QipN8dE-4Z3en6LXzj740UIu_491dQ_f9gC-1iyn_=w426-h240-k-no,Restaurant,"Restaurant, Cafe",4.8,10:00-00:00,,24 101 831,"GO Cafe, Medina de, Rue Mouley Taieb, en face de la Mosquee des Trois Portes Cite Jraba, Kairouan 3100","ramadan, mosquee, dejeuner, tunisien, touristes, architecture d'interieur, culture, atmosphere",https://www.google.com/maps/place/GO+Caf%C3%A9/data=!4m7!3m6!1s0x12fdc58381c8272d:0xae0942d29bccb397!8m2!3d35.6775987!4d10.1023824!16s%2Fg%2F11j0rgs5d6!19sChIJLSfIgYPF_RIRl7PMm9JCCa4?authuser=0&hl=fr&rclk=1
ChIJbRy9Pz_F_RIR-JL0tLpyXZM,Chez Mamie,,False,55,,Chez Mamie (proprietaire),https://www.google.com/maps/contrib/117801815030220277321,https://lh5.googleusercontent.com/p/AF1QipO9UlH2rxTTYkxU_d8lotbKbeR5JDCcQ03_eZQ5=w408-h544-k-no,Cafe,"Cafe, Restaurant brunch",4.4,08:00-23:00,,50 333 411,"Chez Mamie, 270 rue om iyadh houmet jemaa kairouan, Kairouan 3100","mosquee, smoothies",https://www.google.com/maps/place/Chez+Mamie/data=!4m7!3m6!1s0x12fdc53f3fbd1c6d:0x935d72bab4f492f8!8m2!3d35.682578!4d10.103667!16s%2Fg%2F11c76n042j!19sChIJbRy9Pz_F_RIR-JL0tLpyXZM?authuser=0&hl=fr&rclk=1
ChIJE-eiIgnF_RIRqiGyXIAjnmM,Saraya al bey,,False,47,,Saraya al bey (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPJ79PR4aUirxfOclA1jlitEuxhwlRU4ktUqXyS=w408-h544-k-no,Restaurant,Restaurant,4,,,77 258 034,"M4H3+HMG Saraya al bey, Rue El Kedidi, Kairouan","experience, serveurs, prix",https://www.google.com/maps/place/Saraya+al+bey/data=!4m7!3m6!1s0x12fdc50922a2e713:0x639e23805cb221aa!8m2!3d35.6789415!4d10.1042079!16s%2Fg%2F11j8tb_tzc!19sChIJE-eiIgnF_RIRqiGyXIAjnmM?authuser=0&hl=fr&rclk=1
ChIJJUVp_lfF_RIRR85O653hL8A,Dar Lella Habiba,,False,33,,Dar Lella Habiba (proprietaire),https://www.google.com/maps/contrib/108158477633891728461,https://lh5.googleusercontent.com/p/AF1QipOQDijaFHNO2CMvx1MUVcnxuy0DM1arPVXD0euz=w532-h240-k-no,Restaurant,Restaurant,4.5,08:00-20:30,,98 609 695,"Dar Lella Habiba, Rue Okba Ibn Nafaa, Kairouan 3100","mosquee, vue, couscous",https://www.google.com/maps/place/Dar+Lella+Habiba/data=!4m7!3m6!1s0x12fdc557fe694525:0xc02fe19deb4ece47!8m2!3d35.6818056!4d10.1044466!16s%2Fg%2F11r27mk80x!19sChIJJUVp_lfF_RIRR85O653hL8A?authuser=0&hl=fr&rclk=1
ChIJ2zeoqOzF_RIRMwffeICZPc8,Ci Gusta Kairouan,,False,32,http://www.cigusta.com/,Ci Gusta Kairouan (proprietaire),https://www.google.com/maps/contrib/114225223844960716542,https://lh5.googleusercontent.com/p/AF1QipPPiTFualoF2lxAS5dq4eMeEav52kNFb3TKXmQd=w408-h306-k-no,Restaurant de sundae,Restaurant de sundae,4,08:30-22:00,,25 450 864,"Ci Gusta Kairouan, Av. Mohamed Ibn Sahnoun, Kairouan","pizza, gaufres",https://www.google.com/maps/place/Ci+Gusta+Kairouan/data=!4m7!3m6!1s0x12fdc5eca8a837db:0xcf3d998078df0733!8m2!3d35.6752867!4d10.1088666!16s%2Fg%2F11g0j6j5hp!19sChIJ2zeoqOzF_RIRMwffeICZPc8?authuser=0&hl=fr&rclk=1
ChIJs_RtJkLF_RIRHubLl_beKIo,Piccolo Mondo,,False,27,,Piccolo Mondo (proprietaire),https://www.google.com/maps/contrib/117529500606559637135,https://lh5.googleusercontent.com/p/AF1QipNrTAzYMrnFv3z8ykyePR1fsMkWnLCjvXpjejtq=w408-h307-k-no,Restaurant,"Restaurant, Pizzeria",4,,,29 803 564,"Piccolo Mondo, Av. Ibn El-Jazzar, Kairouan 3100",,https://www.google.com/maps/place/Piccolo+Mondo/data=!4m7!3m6!1s0x12fdc542266df4b3:0x8a28def697cbe61e!8m2!3d35.6843623!4d10.0972447!16s%2Fg%2F11cndbxr7r!19sChIJs_RtJkLF_RIRHubLl_beKIo?authuser=0&hl=fr&rclk=1
ChIJ_XieSDTF_RIRFnZvXo2dREU,Mama chippo,,False,24,,Mama chippo (proprietaire),https://www.google.com/maps/contrib/102771769517595979641,https://lh5.googleusercontent.com/p/AF1QipPrC1NCZWggmJpqlEP0vT80sicdoM9j2JW56E35=w408-h306-k-no,Restaurant,Restaurant,4,11:00-23:00,lundi,51 801 800,"Mama chippo, Rue cheikh Mohamed El Barak, Kairouan",,https://www.google.com/maps/place/Mama+chippo/data=!4m7!3m6!1s0x12fdc534489e78fd:0x45449d8d5e6f7616!8m2!3d35.6909969!4d10.097479!16s%2Fg%2F11ryrfj1d8!19sChIJ_XieSDTF_RIRFnZvXo2dREU?authuser=0&hl=fr&rclk=1
