place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJW0FRtPcV-RIRHbpPGR6FzrE,Espace Malouf,,False,36,,Espace Malouf (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOE1VT9i3Bxq8P_wlcRFTYXJbZx-M3UvnQon8fx=w408-h306-k-no,Restaurant,Restaurant,4.1,06:00-01:00,,24 109 302,"5R9M+JWJ Espace Malouf, Kasserine",,https://www.google.com/maps/place/Espace+Malouf/data=!4m7!3m6!1s0x12f915f7b451415b:0xb1ce851e194fba1d!8m2!3d35.1690845!4d8.8347565!16s%2Fg%2F11c206xg4m!19sChIJW0FRtPcV-RIRHbpPGR6FzrE?authuser=0&hl=fr&rclk=1
ChIJ8ylipAwV-RIRjbWl3_jvSL0,Mac Food Kasserine,,False,22,,Mac Food Kasserine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPp6TOtf9o9hFH3aQHFELf3X9Fk-0Rvc117XORI=w426-h240-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4,08:00-23:00,,,"5RC4+C32 Mac Food Kasserine, Unnamed Road, Kasserine",,https://www.google.com/maps/place/Mac+Food+Kasserine/data=!4m7!3m6!1s0x12f9150ca46229f3:0xbd48eff8dfa5b58d!8m2!3d35.1710245!4d8.805139!16s%2Fg%2F11f61n9qzv!19sChIJ8ylipAwV-RIRjbWl3_jvSL0?authuser=0&hl=fr&rclk=1
ChIJCbvpR_kV-RIR3d0Qw2WqjuM,Restaurant La Terrasse,,False,15,,Restaurant La Terrasse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNddh5QoMd1fanerexrXpa7oegtrqbMjMxI4Jtj=w520-h240-k-no,Restaurant,Restaurant,4.7,Ouvert 24h/24,,99 704 504,"5R8J+FMJ Restaurant La Terrasse, P13, Kasserine",,https://www.google.com/maps/place/Restaurant+La+Terrasse/data=!4m7!3m6!1s0x12f915f947e9bb09:0xe38eaa65c310dddd!8m2!3d35.1662004!4d8.8316489!16s%2Fg%2F11s39r3qjd!19sChIJCbvpR_kV-RIR3d0Qw2WqjuM?authuser=0&hl=fr&rclk=1
ChIJGRyccz4--RIRLwrN8ZKJFJI,Cafe El Jawhra,,False,15,,Cafe El Jawhra (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNH6fqn8V7wRI1G8qryHjH3UEnTeOlq6bpQPcBs=w408-h306-k-no,Cafe,Cafe,4,05:00-00:00,,93 658 789,"Cafe El Jawhra, 1254 P13, Kasserine",,https://www.google.com/maps/place/Caf%C3%A9+El+Jawhra/data=!4m7!3m6!1s0x12f93e3e739c1c19:0x92148992f1cd0a2f!8m2!3d35.1777163!4d8.8533245!16s%2Fg%2F11c55vyzcx!19sChIJGRyccz4--RIRLwrN8ZKJFJI?authuser=0&hl=fr&rclk=1
ChIJL3NnTPcV-RIRa4QaCxEmI8c,The Diesel,,False,15,,The Diesel (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPTpuLekKbtR3XEHuIKN98Vua2VwSDfpnYtV2ig=w409-h240-k-no,Cafeteria,Cafeteria,4.3,,,54 461 936,"5R9J+3C6 The Diesel, Kasserine",,https://www.google.com/maps/place/The+Diesel/data=!4m7!3m6!1s0x12f915f74c67732f:0xc72326110b1a846b!8m2!3d35.1676722!4d8.8310178!16s%2Fg%2F11f3zmnz6n!19sChIJL3NnTPcV-RIRa4QaCxEmI8c?authuser=0&hl=fr&rclk=1
ChIJP9JCDBM_-RIRkdbGOug33Wc,Donna Margherita,,False,6,,Donna Margherita (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPGu-Sks5ehpEJN23Aesr1XW9mrJeUkplFXvVxy=w408-h258-k-no,Restaurant,Restaurant,4.3,Ouvert 24h/24,,92 126 004,"5RCQ+3F6 Donna Margherita, P13, Kasserine",,https://www.google.com/maps/place/Donna+Margherita/data=!4m7!3m6!1s0x12f93f130c42d23f:0x67dd37e83ac6d691!8m2!3d35.1701511!4d8.8386396!16s%2Fg%2F11j7kpwzs9!19sChIJP9JCDBM_-RIRkdbGOug33Wc?authuser=0&hl=fr&rclk=1
ChIJZU2fHBgV-RIR_H0lLZt-4Fw,Cafe GALAXY,,False,6,,Cafe GALAXY (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNvQA1etCrFpTBw5yPFs2BLy_uMDxYryU7DniEU=w408-h544-k-no,Cafe,Cafe,4.3,06:00-23:00,,26 383 462,"Cafe GALAXY, Cafe galaxy 1200",,https://www.google.com/maps/place/Caf%C3%A9+GALAXY/data=!4m7!3m6!1s0x12f915181c9f4d65:0x5ce07e9b2d257dfc!8m2!3d35.1667803!4d8.8304017!16s%2Fg%2F11ght0b498!19sChIJZU2fHBgV-RIR_H0lLZt-4Fw?authuser=0&hl=fr&rclk=1
ChIJa7IC1xM--RIRowrIEjBCC30,Wassel,,False,5,,Wassel (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOahclUgCEX5zGEhftreL3WujahCaz4_SMXR9UZ=w408-h306-k-no,Restaurant,Restaurant,4,20:00-00:00,"lundi, mardi, vendredi, samedi",,"Wassel, P13, Kasserine",,https://www.google.com/maps/place/Wassel/data=!4m7!3m6!1s0x12f93e13d702b26b:0x7d0b423012c80aa3!8m2!3d35.1684647!4d8.8530678!16s%2Fg%2F11gh01xvzz!19sChIJa7IC1xM--RIRowrIEjBCC30?authuser=0&hl=fr&rclk=1
ChIJqTtLfmE_-RIRNyYRKv99Tt8,Food llqmny,,False,4,,Food llqmny (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMPmt_apCbQiaaOExDi68apg1n4NP8GwJeodcGj=w426-h240-k-no,Restaurant,Restaurant,4.5,08:00-22:00,,50 441 803,"5RCQ+RG6 Food llqmny, Rue 18 Janvier 1952, Kasserine",,https://www.google.com/maps/place/Food+%D8%A7%D9%84%D9%84%D9%82%D9%85%D8%A7%D9%86%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12f93f617e4b3ba9:0xdf4e7dff2a112637!8m2!3d35.1720368!4d8.8387586!16s%2Fg%2F11f66tmmq1!19sChIJqTtLfmE_-RIRNyYRKv99Tt8?authuser=0&hl=fr&rclk=1
ChIJE3Dvij4--RIRBOxDqyF-kqw,Wassel Sandwich,,False,4,,Wassel Sandwich (proprietaire),,,Restaurant,Restaurant,5,08:00-22:00,,23 196 788,"Wassel Sandwich, P13, Kasserine",,https://www.google.com/maps/place/Wassel+Sandwich/data=!4m7!3m6!1s0x12f93e3e8aef7013:0xac927e21ab43ec04!8m2!3d35.1788704!4d8.8540789!16s%2Fg%2F11gh09rl0x!19sChIJE3Dvij4--RIRBOxDqyF-kqw?authuser=0&hl=fr&rclk=1
