place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ-dC9HVluVhIRhI2McHY4Vmw,Bon Gusto,,False,44,,Bon Gusto (proprietaire),https://www.google.com/maps/contrib/102058492449937823050,https://lh5.googleusercontent.com/p/AF1QipPzMy_E6wndW8hQv7V-D-X28_PcmVYgcFNFMdqX=w408-h306-k-no,Restaurant,Restaurant,4.2,09:00-01:00,,22 900 717,"Bon Gusto, C206, Kebili",,https://www.google.com/maps/place/Bon+Gusto/data=!4m7!3m6!1s0x12566e591dbdd0f9:0x6c563876708c8d84!8m2!3d33.7080697!4d8.9714938!16s%2Fg%2F12q4xb3rc!19sChIJ-dC9HVluVhIRhI2McHY4Vmw?authuser=0&hl=fr&rclk=1
ChIJYXahCFluVhIRegAZRm-hf2k,Restaurant PARADISIO,,False,27,,Restaurant PARADISIO (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYP8xSI3bCjetn9OL-VLQ4_KeY5y-OGKJoDWTK=w426-h240-k-no,Restaurant,Restaurant,4.2,09:00-22:00,dimanche,25 956 484,"PX4C+WVV Restaurant PARADISIO, Kebili",,https://www.google.com/maps/place/Restaurant+PARADISIO/data=!4m7!3m6!1s0x12566e5908a17661:0x697fa16f4619007a!8m2!3d33.7073749!4d8.9721705!16s%2Fg%2F11fyln8mp6!19sChIJYXahCFluVhIRegAZRm-hf2k?authuser=0&hl=fr&rclk=1
ChIJtYVQlFluVhIRirFM0BNj_Uk,Big Apple Resto and Cafe,,False,15,,Big Apple Resto and Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMjSmNJytRzQgDUrfMNqD4hbHuj00FMYqIrx_Cm=w426-h240-k-no,Restaurant,Restaurant,4.1,08:00-22:30,dimanche,,"PX4F+86V Big Apple Resto and Cafe, Qibili",,https://www.google.com/maps/place/Big+Apple+Resto+and+Cafe/data=!4m7!3m6!1s0x12566e59945085b5:0x49fd6313d04cb18a!8m2!3d33.7058568!4d8.9730567!16s%2Fg%2F11c0xdb4z3!19sChIJtYVQlFluVhIRirFM0BNj_Uk?authuser=0&hl=fr&rclk=1
ChIJnT5IXVhuVhIRzX8ov6XVOuk,Restaurant Selem Sfaxi,,False,10,,Restaurant Selem Sfaxi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMZ_IVppuxvSFMRdDhSnK2fOOb69pDUTCayQdG0=w408-h306-k-no,Restaurant,Restaurant,4.5,09:00-22:30,,,"PX4C+J36 Restaurant Selem Sfaxi, Kebili",,https://www.google.com/maps/place/Restaurant+Selem+Sfaxi/data=!4m7!3m6!1s0x12566e585d483e9d:0xe93ad5a5bf287fcd!8m2!3d33.7065495!4d8.9701406!16s%2Fg%2F11c2pnm7lk!19sChIJnT5IXVhuVhIRzX8ov6XVOuk?authuser=0&hl=fr&rclk=1
ChIJUdgAjntvVhIReg2n1gD_Bgc,Cafe resto le prince,,False,7,,Cafe resto le prince (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN_03SD3cAmLfNRNpGRLHiiWJguyVtwk4OlCkIh=w408-h272-k-no,Restaurant,Restaurant,4.3,,,98 435 177,"PX8G+X53 Cafe resto le prince, Rte de Gabes, Kebili",,https://www.google.com/maps/place/Cafe+resto+le+prince/data=!4m7!3m6!1s0x12566f7b8e00d851:0x706ff00d6a70d7a!8m2!3d33.7173783!4d8.9754336!16s%2Fg%2F11pd573jyb!19sChIJUdgAjntvVhIReg2n1gD_Bgc?authuser=0&hl=fr&rclk=1
ChIJg7WPq-RvVhIR2qAxQQ86oLI,Anasini Siktigimin Restorani,,False,5,,Anasini Siktigimin Restorani (proprietaire),,,Restaurant turc,Restaurant turc,4.2,Ouvert 24h/24,,,"PX4C+R7F Anasini Siktigimin Restorani, Kebili",,https://www.google.com/maps/place/Anas%C4%B1n%C4%B1+Sikti%C4%9Fimin+Restoran%C4%B1/data=!4m7!3m6!1s0x12566fe4ab8fb583:0xb2a03a0f4131a0da!8m2!3d33.7069694!4d8.9706665!16s%2Fg%2F11s9xkdv80!19sChIJg7WPq-RvVhIR2qAxQQ86oLI?authuser=0&hl=fr&rclk=1
ChIJDwAAe_duVhIRzk0ZMH4QRHc,Pizzaria Olivier,,False,5,,Pizzaria Olivier (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOBp-gDiPpDPVixed3sPJ2mmG7FtULK5L_99-wp=w408-h725-k-no,Pizzeria,Pizzeria,4,09:30-22:30,,99 102 203,"PX49+65G Pizzaria Olivier, Kebili",,https://www.google.com/maps/place/Pizzaria+Olivier/data=!4m7!3m6!1s0x12566ef77b00000f:0x7744107e30194dce!8m2!3d33.7055748!4d8.9679588!16s%2Fg%2F11c603ch88!19sChIJDwAAe_duVhIRzk0ZMH4QRHc?authuser=0&hl=fr&rclk=1
ChIJc48LxlluVhIRS6-xQ_cN6Hc,Restaurant Ahmed,,False,3,,Restaurant Ahmed (proprietaire),https://www.google.com/maps/contrib/104717056326461086136,,Restaurant,Restaurant,4.3,06:30-00:00,dimanche,,"PX4C+5W2 Restaurant Ahmed, Av. Nalout, Kebili",,https://www.google.com/maps/place/Restaurant+Ahmed/data=!4m7!3m6!1s0x12566e59c60b8f73:0x77e80df743b1af4b!8m2!3d33.7054208!4d8.9722282!16s%2Fg%2F1hfd1h7dl!19sChIJc48LxlluVhIRS6-xQ_cN6Hc?authuser=0&hl=fr&rclk=1
ChIJHzcO7_duVhIRCkKL5QixOmA,Iceberg kebili,,False,3,,Iceberg kebili (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMrXzLH4y9JtSLRDO3QI1_w34_7016FgRmVlGD_=w408-h544-k-no,Restaurant,Restaurant,4,07:00-23:00,,27 758 914,"PX49+65J Iceberg kebili, Av. des Martyrs, Qibili",,https://www.google.com/maps/place/Iceberg+kebili/data=!4m7!3m6!1s0x12566ef7ef0e371f:0x603ab108e58b420a!8m2!3d33.7055814!4d8.9678909!16s%2Fg%2F11cn9tfz68!19sChIJHzcO7_duVhIRCkKL5QixOmA?authuser=0&hl=fr&rclk=1
ChIJ4STXXlhuVhIR8cxI9z1x1Pg,mT`m lhdy Hlwf@,,False,3,,mT`m lhdy Hlwf@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPW_c9bLoZZ_KGNwT4Y08pAIWBJRfofy7YGHO0a=w426-h240-k-no,Restaurant,Restaurant,4.7,09:25-16:40,"lundi, dimanche",,"PX4C+R56 mT`m lhdy Hlwf@, Av. du Grand Maghreb, Kebili",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D9%87%D8%A7%D8%AF%D9%8A+%D8%AD%D9%84%D9%88%D9%81%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12566e585ed724e1:0xf8d4713df748ccf1!8m2!3d33.7070416!4d8.9703922!16s%2Fg%2F11gf45ymh5!19sChIJ4STXXlhuVhIR8cxI9z1x1Pg?authuser=0&hl=fr&rclk=1
