place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJqxWD_OIzHRMRQIxS4sOTYgU,Retaurant Bella Marina,,False,105,https://instagram.com/bella_marina_resto%3Figshid%3DOGQ5ZDc2ODk2ZA%3D%3D,Retaurant Bella Marina (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNswlt4_gX0dP9BJWHoU0yLXsJjWCSTV6t49BgD=w408-h725-k-no,Restaurant,Restaurant,4.2,08:00-00:00,,99 961 300,"R3WW+84X Retaurant Bella Marina, Kelibia","prix, pizza, salade, ojja, fruits de mer, soupe, frites",https://www.google.com/maps/place/Retaurant+Bella+Marina/data=!4m7!3m6!1s0x131d33e2fc8315ab:0x56293c3e2528c40!8m2!3d36.8458511!4d11.0953733!16s%2Fg%2F11g0lbprnt!19sChIJqxWD_OIzHRMRQIxS4sOTYgU?authuser=0&hl=fr&rclk=1
ChIJUVDhA8EzHRMRMvlsmPhHyRg,El Bahri Restaurant,,False,38,,El Bahri Restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNeg4-IQn_NROoux5VBWZQHAQqeJ1PL394ZHlbv=w408-h306-k-no,Restaurant de fruits de mer,Restaurant de fruits de mer,4.7,Ouvert 24h/24,,26 825 346,"R3VW+HQG El Bahri Restaurant, Kelibia","droit de propriete, experience, prix",https://www.google.com/maps/place/El+Bahri+Restaurant/data=!4m7!3m6!1s0x131d33c103e15051:0x18c947f8986cf932!8m2!3d36.8439304!4d11.0969504!16s%2Fg%2F11_pwfvld!19sChIJUVDhA8EzHRMRMvlsmPhHyRg?authuser=0&hl=fr&rclk=1
ChIJf3fnZbYzHRMRuvvM_HtsiSE,L'benna,,False,24,,L'benna (proprietaire),https://www.google.com/maps/contrib/100825742419216197356,https://lh5.googleusercontent.com/p/AF1QipMgd_nYKyeQuNbHanvUakW60VvmcjjVR92A7Ths=w408-h306-k-no,Restaurant,Restaurant,4.6,Ouvert 24h/24,,24 197 094,"L'benna, 8090 Av. de Martyrs, Kelibia",,https://www.google.com/maps/place/L%27benna/data=!4m7!3m6!1s0x131d33b665e7777f:0x21896c7bfcccfbba!8m2!3d36.8438147!4d11.0977056!16s%2Fg%2F11k5tkjqrk!19sChIJf3fnZbYzHRMRuvvM_HtsiSE?authuser=0&hl=fr&rclk=1
ChIJ0dwsaP8zHRMREQmHt-T6dlU,Pizzeria LOFT ROMA,,False,23,,Pizzeria LOFT ROMA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPenvbFafhhPz2hXq2wO8Yo6doi9axX6eVtlolY=w408-h546-k-no,Pizzeria,Pizzeria,4.2,08:00-00:00,,26 070 423,"R3VW+83Q Pizzeria LOFT ROMA, Rue de Tripoli, Kelibia",,https://www.google.com/maps/place/Pizzeria+LOFT+ROMA/data=!4m7!3m6!1s0x131d33ff682cdcd1:0x5576fae4b7870911!8m2!3d36.8433258!4d11.0952352!16s%2Fg%2F11gr4hfxbz!19sChIJ0dwsaP8zHRMREQmHt-T6dlU?authuser=0&hl=fr&rclk=1
ChIJy1Z5wsEzHRMRWyJZSy63WSY,mT`m mshw~ lmrshy Resterant Machwa Almarch,,False,19,,mT`m mshw~ lmrshy Resterant Machwa Almarch (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNX-yUUhsXkeYc5EAdcuI-NrgCqEWa5nHTuS8UE=w408-h306-k-no,Restaurant,Restaurant,4.1,11:00-00:00,,53 777 336,"R3WV+3VJ mT`m mshw~ lmrshy Resterant Machwa Almarch, Kelibia",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%85%D8%B4%D9%88%D9%89+%D8%A7%D9%84%D9%85%D8%B1%D8%B4%D9%8A+Resterant+Machwa+Almarch%E2%80%AD/data=!4m7!3m6!1s0x131d33c1c27956cb:0x2659b72e4b59225b!8m2!3d36.8452183!4d11.0946528!16s%2Fg%2F11gf9qqgjh!19sChIJy1Z5wsEzHRMRWyJZSy63WSY?authuser=0&hl=fr&rclk=1
ChIJtTu57YszHRMRtcM4nwIvzog,Restaurant le colibri officiel,,False,17,,Restaurant le colibri officiel (proprietaire),https://www.google.com/maps/contrib/105782398855353214108,https://lh5.googleusercontent.com/p/AF1QipOhReHSER75fUXIN6EswmVLOhTw_DDWqLPkFA6H=w408-h725-k-no,Restaurant,Restaurant,5,10:00-23:00,,58 121 352,"Restaurant le colibri officiel, Av. de Martyrs, Kelibia",,https://www.google.com/maps/place/Restaurant+le+colibri+officiel/data=!4m7!3m6!1s0x131d338bedb93bb5:0x88ce2f029f38c3b5!8m2!3d36.8366888!4d11.1111996!16s%2Fg%2F11l5x6f6qz!19sChIJtTu57YszHRMRtcM4nwIvzog?authuser=0&hl=fr&rclk=1
ChIJWRIT1_0zHRMRkXv40ghnlN4,Restaurant Beb Bhar,,False,14,,Restaurant Beb Bhar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN-8r7xGTkAeTobE4bBS54dBPjPpcaWOWpFQwRV=w408-h544-k-no,Restaurant,Restaurant,4.1,09:00-00:00,,,"Restaurant Beb Bhar, 8090 Av. de Martyrs, Kelibia",,https://www.google.com/maps/place/Restaurant+Beb+Bhar/data=!4m7!3m6!1s0x131d33fdd7131259:0xde946708d2f87b91!8m2!3d36.8370542!4d11.1105209!16s%2Fg%2F11j8tj8kzn!19sChIJWRIT1_0zHRMRkXv40ghnlN4?authuser=0&hl=fr&rclk=1
ChIJKQ_SkcczHRMRYOfhUjM1G_Y,Clandestino,,False,11,https://www.facebook.com/Clandestino-kelibia-106027195020770,Clandestino (proprietaire),https://www.google.com/maps/contrib/102283717069453039076,https://lh5.googleusercontent.com/p/AF1QipNCR_5TF-2trKuQVL-iBwzbEnVmn8tiCc63pR2l=w408-h544-k-no,Restaurant,Restaurant,4.2,07:00-20:00,,,"Clandestino, Av. de Martyrs, Kelibia 0809",,https://www.google.com/maps/place/Clandestino/data=!4m7!3m6!1s0x131d33c791d20f29:0xf61b353352e1e760!8m2!3d36.841213!4d11.1031363!16s%2Fg%2F11g8p8sb_0!19sChIJKQ_SkcczHRMRYOfhUjM1G_Y?authuser=0&hl=fr&rclk=1
ChIJ0wi2K7czHRMRl6AMp5k2rGE,La Grinta,,False,10,https://www.facebook.com/La-Grinta-kelibia-1112216552156277/,La Grinta (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMfXZx8gIGLgHBe8m79pfqE7fKtUzKLDWFVWRRH=w408-h306-k-no,Restaurant,Restaurant,4.4,12:00-22:00,,20 828 372,"8090, La Grinta, 8090 Av. de Martyrs, Kelibia 8090",chapati,https://www.google.com/maps/place/La+Grinta/data=!4m7!3m6!1s0x131d33b72bb608d3:0x61ac3699a70ca097!8m2!3d36.83705!4d11.1105283!16s%2Fg%2F11f73yb4_q!19sChIJ0wi2K7czHRMRl6AMp5k2rGE?authuser=0&hl=fr&rclk=1
ChIJeb9TpMEzHRMRUF8G672r9qg,Pizza Lool,,False,10,,Pizza Lool (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPc40b_NPdi2CFU6lhlolRq2SwTWo25CqG34ue-=w532-h240-k-no,Restaurant,Restaurant,4.1,10:00-22:00,,,"R3VW+RCW Pizza Lool, Kelibia",,https://www.google.com/maps/place/Pizza+Lool/data=!4m7!3m6!1s0x131d33c1a453bf79:0xa8f6abbdeb065f50!8m2!3d36.8446182!4d11.0960889!16s%2Fg%2F11dymmdm8l!19sChIJeb9TpMEzHRMRUF8G672r9qg?authuser=0&hl=fr&rclk=1
ChIJW5U5TgczHRMRpqbHp_FtHgk,La Padella Kelibia,,False,8,,La Padella Kelibia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNyBa-Q1PrEVAoS1braVKeuLtkCxRqOZh4l3vAq=w408-h271-k-no,Restaurant,Restaurant,4.6,08:00-00:00,,28 116 100,"R3WR+RPR La Padella Kelibia, shr` lshhyd Hmdy lGrby, Kelibia 8090",,https://www.google.com/maps/place/La+Padella+Kelibia/data=!4m7!3m6!1s0x131d33074e39955b:0x91e6df1a7c7a6a6!8m2!3d36.8471146!4d11.0917522!16s%2Fg%2F11pz01b519!19sChIJW5U5TgczHRMRpqbHp_FtHgk?authuser=0&hl=fr&rclk=1
ChIJhQfXsfkzHRMRRCk4EIvgn9g,Del Capo,,False,7,,Del Capo (proprietaire),https://www.google.com/maps/contrib/102982101245487925902,https://lh5.googleusercontent.com/p/AF1QipNU9lmxPo6wlzfneaLgilpK8ZL0xcvpk18C78XN=w426-h240-k-no,Pizzeria,Pizzeria,5,12:00-00:00,,,"Del Capo, 8090 Av. de Martyrs, Kelibia",,https://www.google.com/maps/place/Del+Capo/data=!4m7!3m6!1s0x131d33f9b1d70785:0xd89fe08b10382944!8m2!3d36.8457274!4d11.0943722!16s%2Fg%2F11n04tk91w!19sChIJhQfXsfkzHRMRRCk4EIvgn9g?authuser=0&hl=fr&rclk=1
ChIJ2wg6soUzHRMRdE3Eh7Cx8A8,Restaurant Tulipe,,False,7,,Restaurant Tulipe (proprietaire),,,Restaurant,Restaurant,4.1,12:00-02:00,,26 205 522,"R4R2+2V4 Restaurant Tulipe, Av. de l'environnement, Kelibia",,https://www.google.com/maps/place/Restaurant+Tulipe/data=!4m7!3m6!1s0x131d3385b23a08db:0xff0b1b087c44d74!8m2!3d36.8400026!4d11.1022008!16s%2Fg%2F11c48rk928!19sChIJ2wg6soUzHRMRdE3Eh7Cx8A8?authuser=0&hl=fr&rclk=1
ChIJAbs721QzHRMRuv6aQme9l-U,bistro doner,,False,6,,bistro doner (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMPB6rG_yc_52K3uBVQ4yfPVCqIGE5m3K_GGJsk=w408-h611-k-no,Restaurant,Restaurant,4.2,19:00-04:00,,25 340 024,"R3WV+968 bistro doner, Kelibia",,https://www.google.com/maps/place/bistro+doner/data=!4m7!3m6!1s0x131d3354db3bbb01:0xe597bd67429afeba!8m2!3d36.8459015!4d11.093073!16s%2Fg%2F11fmrf6v34!19sChIJAbs721QzHRMRuv6aQme9l-U?authuser=0&hl=fr&rclk=1
ChIJBW6JqcEzHRMRH2ccY4i4G6A,La Luna,,False,4,,La Luna (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPXQT0PBT5r9QumEyURWTRRYSrjouYwPq---h1s=w426-h240-k-no,Pizzeria,Pizzeria,4,08:00-22:00,,,"R3VW+JJR La Luna, Kelibia",,https://www.google.com/maps/place/La+Luna/data=!4m7!3m6!1s0x131d33c1a9896e05:0xa01bb888631c671f!8m2!3d36.8441248!4d11.0965227!16s%2Fg%2F11ddx93r4f!19sChIJBW6JqcEzHRMRH2ccY4i4G6A?authuser=0&hl=fr&rclk=1
ChIJ_SycAaIzHRMR3ZNLlFhzgN4,Barhoumi Center,,False,3,,Barhoumi Center (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNmSUGkKgecELAoKEOSQWVVxd6urA0NmV6wMj0B=w426-h240-k-no,Restaurant,Restaurant,4,08:00-00:00,,98 642 591,"V42F+FP4 Barhoumi Center, place de la plage, Kelibia",,https://www.google.com/maps/place/Barhoumi+Center/data=!4m7!3m6!1s0x131d33a2019c2cfd:0xde807358944b93dd!8m2!3d36.8511269!4d11.1243231!16s%2Fg%2F11g0gnr42r!19sChIJ_SycAaIzHRMR3ZNLlFhzgN4?authuser=0&hl=fr&rclk=1
ChIJLRMS_eIzHRMRAVUmbuOZUMw,restaurant sindabed,,False,3,,restaurant sindabed (proprietaire),https://www.google.com/maps/contrib/102059890621969012157,,Restaurant,Restaurant,4.7,08:00-20:00,,27 307 802,"restaurant sindabed, rue ali belhouane, Kelibia 8090",,https://www.google.com/maps/place/restaurant+sindabed/data=!4m7!3m6!1s0x131d33e2fd12132d:0xcc5099e36e265501!8m2!3d36.8479959!4d11.0870885!16s%2Fg%2F11ld87rk7n!19sChIJLRMS_eIzHRMRAVUmbuOZUMw?authuser=0&hl=fr&rclk=1
