place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJWf_vWdMWAhMRe_ikkH0B0vQ,Copa Cabana,,False,53,,Copa Cabana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPfrhZFBKC6RZdpFgoH0U9VJJ2yHl8xiknhLRnm=w408-h306-k-no,Restaurant,Restaurant,4.1,11:00-23:00,,50 530 430,"JVVR+HCC Copa Cabana, Ksar Hellal","pizza, tacos",https://www.google.com/maps/place/Copa+Cabana/data=!4m7!3m6!1s0x130216d359efff59:0xf4d2017d90a4f87b!8m2!3d35.6439406!4d10.8910213!16s%2Fg%2F11fz9xx44z!19sChIJWf_vWdMWAhMRe_ikkH0B0vQ?authuser=0&hl=fr&rclk=1
ChIJAQAAACQRAhMRdcosavj1VIQ,Restaurant Ezzarda,,False,27,,Restaurant Ezzarda (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9B9cGxxTZB2wrGnuu1vmbMVNMzzeVX5kKNmyn=w408-h545-k-no,Restaurant,Restaurant,4.4,10:00-22:00,,97 890 766,"MV3Q+8QH Restaurant Ezzarda, Ksar Hellal",,https://www.google.com/maps/place/Restaurant+Ezzarda/data=!4m7!3m6!1s0x1302112400000001:0x8454f5f86a2cca75!8m2!3d35.6532575!4d10.8894799!16s%2Fg%2F11c0pvfmpw!19sChIJAQAAACQRAhMRdcosavj1VIQ?authuser=0&hl=fr&rclk=1
ChIJDe_dzcoWAhMR5KkZ5JgZmG8,Cafe de l'Excellence,,False,24,,Cafe de l'Excellence (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPJbO5WOMeuY1gRY5ikvEjHGfia0UjXLK2yxqQi=w408-h544-k-no,Cafe,Cafe,4.5,Ouvert 24h/24,,,"MV5R+67F Cafe de l'Excellence, Av. Habib Bourguiba, Ksar Hellal",,https://www.google.com/maps/place/Caf%C3%A9+de+l%27Excellence/data=!4m7!3m6!1s0x130216cacdddef0d:0x6f981998e419a9e4!8m2!3d35.6580503!4d10.8906627!16s%2Fg%2F11b6wghy32!19sChIJDe_dzcoWAhMR5KkZ5JgZmG8?authuser=0&hl=fr&rclk=1
ChIJJ_Xy0FkRAhMRTGnJ4JLD0r8,Chaneb Food shnb fwd,,False,22,,Chaneb Food shnb fwd (proprietaire),https://www.google.com/maps/contrib/104422441157294540395,https://lh5.googleusercontent.com/p/AF1QipNnyfgAhE0llHyXiagZ_Nrs4niKVEldmIEh4m-X=w408-h306-k-no,Restauration rapide,"Restauration rapide, Restaurant tunisien",4.4,11:00-23:00,,58 336 336,"Chaneb Food shnb fwd, En Face De << ZEN >>, 199 Av. Habib bourguiba, Ksar Hellal 5070",,https://www.google.com/maps/place/Chaneb+Food+%D8%B4%D9%86%D8%A7%D8%A8+%D9%81%D9%88%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x13021159d0f2f527:0xbfd2c392e0c9694c!8m2!3d35.648245!4d10.8846906!16s%2Fg%2F11qnt8fkxg!19sChIJJ_Xy0FkRAhMRTGnJ4JLD0r8?authuser=0&hl=fr&rclk=1
ChIJrfK8kDARAhMR_0E0F-R93To,Restaurant Al Moulouk,,False,18,,Restaurant Al Moulouk (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMKb744b6J_o_GAR1ty3S-KLKXnTaNlMBW0EEKM=w408-h544-k-no,Restaurant,Restaurant,4,09:00-22:00,,27 024 405,"MV3H+FWG Restaurant Al Moulouk, Av. Habib bourguiba, Ksar Hellal",,https://www.google.com/maps/place/Restaurant+Al+Moulouk/data=!4m7!3m6!1s0x1302113090bcf2ad:0x3add7de4173441ff!8m2!3d35.6536851!4d10.8798155!16s%2Fg%2F11gb3pr7g2!19sChIJrfK8kDARAhMR_0E0F-R93To?authuser=0&hl=fr&rclk=1
ChIJK8HzBqYRAhMRwobN5RDLtxI,Papa Grill,,False,18,,Papa Grill (proprietaire),https://www.google.com/maps/contrib/102028663611789146327,https://lh5.googleusercontent.com/p/AF1QipNVtDQqdNC7-QhMbxG9lZoOMGjsc_EKlO4DC2c0=w408-h291-k-no,Restaurant de grillades,Restaurant de grillades,4,,,53 045 045,"Papa Grill, Av. Hadj Ali Soua, Ksar Hellal",cuite,https://www.google.com/maps/place/Papa+Grill/data=!4m7!3m6!1s0x130211a606f3c12b:0x12b7cb10e5cd86c2!8m2!3d35.6546785!4d10.8902283!16s%2Fg%2F11krrcshdm!19sChIJK8HzBqYRAhMRwobN5RDLtxI?authuser=0&hl=fr&rclk=1
ChIJF-rxT9MWAhMR-WX_To026xA,Volcano,,False,14,,Volcano (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOkbwj7yiUD4zPuQkNOHCUsN1dBOMvDwONWgpj7=w426-h240-k-no,Restaurant,Restaurant,4.4,13:00-00:00,dimanche,98 288 755,"JVVR+Q95 Volcano, Ksar Hellal",,https://www.google.com/maps/place/Volcano/data=!4m7!3m6!1s0x130216d34ff1ea17:0x10eb368d4eff65f9!8m2!3d35.6443919!4d10.8909759!16s%2Fg%2F11bz_yczyc!19sChIJF-rxT9MWAhMR-WX_To026xA?authuser=0&hl=fr&rclk=1
ChIJUzPfWXQXAhMRMFDOp3C1bJ0,SULTANE EL CHAM,,False,11,,SULTANE EL CHAM (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPsnmr42igtJimrnxP6A8E8zVXIXxwdwWHgES3b=w533-h240-k-no,Pizzeria,Pizzeria,4.4,08:00-23:00,lundi,95 911 911,"JVWR+PGW SULTANE EL CHAM, Av. Habib Bourguiba, Ksar Hellal",,https://www.google.com/maps/place/SULTANE+EL+CHAM/data=!4m7!3m6!1s0x1302177459df3353:0x9d6cb570a7ce5030!8m2!3d35.6467824!4d10.8913317!16s%2Fg%2F11rclk8xjd!19sChIJUzPfWXQXAhMRMFDOp3C1bJ0?authuser=0&hl=fr&rclk=1
ChIJlXQR3n0XAhMRLEWXzufvEzM,Target Pizza,,False,10,,Target Pizza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOkcarHaWyMzrqklgHQvfx9FfGOcqk1AbFsOEDi=w408-h272-k-no,Pizzeria,Pizzeria,4.8,,,73 587 760,"MV5R+396 Target Pizza, Av. Habib Bourguiba, Ksar Hellal 5070",,https://www.google.com/maps/place/Target+Pizza/data=!4m7!3m6!1s0x1302177dde117495:0x3313efe7ce97452c!8m2!3d35.657659!4d10.8908926!16s%2Fg%2F11nnzgmvp7!19sChIJlXQR3n0XAhMRLEWXzufvEzM?authuser=0&hl=fr&rclk=1
ChIJIZ9ngfoRAhMRiGv6ToXi240,Cafe Hugo Said,,False,10,,Cafe Hugo Said (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMbADRaKjZ-qOaPwShKdvkEptG5k2fQ7apdWd7o=w408-h306-k-no,Cafe,"Cafe, Restaurant",4.3,Ouvert 24h/24,,,"MV3Q+7Q4 Cafe Hugo Said, Ksar Hellal",,https://www.google.com/maps/place/Caf%C3%A9+Hugo+Sa%C3%AFd/data=!4m7!3m6!1s0x130211fa81679f21:0x8ddbe2854efa6b88!8m2!3d35.6531383!4d10.8894671!16s%2Fg%2F11pz51wx06!19sChIJIZ9ngfoRAhMRiGv6ToXi240?authuser=0&hl=fr&rclk=1
