place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJh5iEhJghAhMRnbhHdOCvL-4,Ksour essef,,False,41,,Ksour essef (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPfEGIv8gYAbmcMz_Vs0WdXhsd7wfuvAE3iZONk=w408-h725-k-no,Hebergement,Hebergement,4.2,,,29 561 169,"C293+W5W Ksour essef, Unnamed Road, Ksour Essef",,https://www.google.com/maps/place/Ksour+essef/data=!4m7!3m6!1s0x1302219884849887:0xee2fafe07447b89d!8m2!3d35.4198717!4d11.0029452!16s%2Fg%2F11hz2knf97!19sChIJh5iEhJghAhMRnbhHdOCvL-4?authuser=0&hl=fr&rclk=1
ChIJWxjjGkQhAhMRuOCgeXVjQOk,Salon de the / Restaurant El Hajeb Riviera,,False,41,https://instagram.com/hajeb_riviera%3Futm_medium%3Dcopy_link,Salon de the / Restaurant El Hajeb Riviera (proprietaire),https://www.google.com/maps/contrib/108902432318090914664,https://lh5.googleusercontent.com/p/AF1QipOru1SvIBpIPVlAzjWRHR8oPAAf0RGDth9V92h8=w408-h306-k-no,Restaurant,Restaurant,4.1,08:00-23:00,,,"Salon de the / Restaurant El Hajeb Riviera, Unnamed Road, Rejiche","mer, serveur, cafe",https://www.google.com/maps/place/Salon+de+th%C3%A9+%2F+Restaurant+El+Hajeb+Riviera/data=!4m7!3m6!1s0x130221441ae3185b:0xe940637579a0e0b8!8m2!3d35.4405432!4d11.0420171!16s%2Fg%2F11qg3d_tnr!19sChIJWxjjGkQhAhMRuOCgeXVjQOk?authuser=0&hl=fr&rclk=1
ChIJKWNvfAchAhMRBlT2YjXnlKw,722 cafe resto,,False,40,,722 cafe resto (proprietaire),https://www.google.com/maps/contrib/116889870303003024219,https://lh5.googleusercontent.com/p/AF1QipN7a8uK7CHWl0WGneEt5W3RGE-EGfzD8-o8Ha_4=w408-h306-k-no,Cafe,Cafe,4.5,06:30-23:30,,,"722 cafe resto, 0000 Avenue 02 Mars, Ksour Essef 5180",,https://www.google.com/maps/place/722+caf%C3%A9+resto/data=!4m7!3m6!1s0x130221077c6f6329:0xac94e73562f65406!8m2!3d35.4216906!4d10.9982515!16s%2Fg%2F11r35pdtmb!19sChIJKWNvfAchAhMRBlT2YjXnlKw?authuser=0&hl=fr&rclk=1
ChIJ24yEFWD1ARMRzaJa2JP6Pr8,"O'SLIM: Restaurant Sidi Alouane, Fast Food",,False,28,,"O'SLIM: Restaurant Sidi Alouane, Fast Food (proprietaire)",,,Restaurant,Restaurant,5,16:00-00:00,vendredi,25 080 336,"9WFQ+XFG O'SLIM: Restaurant Sidi Alouane, Fast Food, Rue de l'independance, Sidi Alouane 5190",,"https://www.google.com/maps/place/O%27SLIM:+Restaurant+Sidi+Alouane,+Fast+Food/data=!4m7!3m6!1s0x1301f56015848cdb:0xbf3efa93d85aa2cd!8m2!3d35.3749312!4d10.9386896!16s%2Fg%2F11q83_d1yl!19sChIJ24yEFWD1ARMRzaJa2JP6Pr8?authuser=0&hl=fr&rclk=1"
ChIJLeSPARIgAhMRNctK65UTWEM,Cafe Hajer,,False,17,,Cafe Hajer (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XZcmjQRAzFKGrEubRAkAfQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=89.278275&pitch=0&thumbfov=100,Cafe,Cafe,4.1,Ouvert 24h/24,,23 454 346,"CXFX+843 Cafe Hajer, Ksour Essef",,https://www.google.com/maps/place/Caf%C3%A9+Hajer/data=!4m7!3m6!1s0x13022012018fe42d:0x43581395eb4acb35!8m2!3d35.4232718!4d10.9977889!16s%2Fg%2F12j1d9qbw!19sChIJLeSPARIgAhMRNctK65UTWEM?authuser=0&hl=fr&rclk=1
ChIJXy80XBL1ARMRWbMWk08pzpc,Le 100 Dwich,,False,14,https://best--restaurants.blogspot.com/,Le 100 Dwich (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPq_10feW0AzJj6OBsnCyGu_216QlD_3PPYsTvm=w408-h741-k-no,Restaurant,Restaurant,4.4,Ouvert 24h/24,dimanche,98 944 184,"9WGQ+J5R Le 100 Dwich, Av. de la republique, Sidi Alouane",,https://www.google.com/maps/place/Le+100+Dwich/data=!4m7!3m6!1s0x1301f5125c342f5f:0x97ce294f9316b359!8m2!3d35.3766035!4d10.9378762!16s%2Fg%2F11g13_222p!19sChIJXy80XBL1ARMRWbMWk08pzpc?authuser=0&hl=fr&rclk=1
ChIJW0RMtA4gAhMRAj-ziBg8v8s,HM Food,,False,11,https://www.facebook.com/HM-Food-107293796579071/,HM Food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNuD7jezCCWdDkkWdPLOVJspdEAoI4hIGpCPTY=w408-h408-k-no,Restaurant,Restaurant,4.5,Ouvert 24h/24,lundi,20 894 035,"CX9W+5H6 HM Food, Ksour Essef",,https://www.google.com/maps/place/HM+Food/data=!4m7!3m6!1s0x1302200eb44c445b:0xcbbf3c1888b33f02!8m2!3d35.4179147!4d10.996392!16s%2Fg%2F11g8y_rlsm!19sChIJW0RMtA4gAhMRAj-ziBg8v8s?authuser=0&hl=fr&rclk=1
ChIJ376dk0MhAhMRhXU3ccoQkqo,Dar Zmen,,False,10,,Dar Zmen (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPej9xf9D6cE8oB0QdQuIkG2YuRxB6K9I-XOLn9=w408-h725-k-no,Salon de the traditionnel,Salon de the traditionnel,4.8,06:00-23:00,,94 991 779,"CX8W+M6M Dar Zmen, Avenue Hedi Chaker, Ksour Essef 5180",,https://www.google.com/maps/place/Dar+Zmen/data=!4m7!3m6!1s0x13022143939dbedf:0xaa9210ca71377585!8m2!3d35.4167098!4d10.99556!16s%2Fg%2F11kmw5jcs1!19sChIJ376dk0MhAhMRhXU3ccoQkqo?authuser=0&hl=fr&rclk=1
ChIJn3owv_4hAhMRMpRd0oiGPR0,Cafe Hamama,,False,9,https://www.facebook.com/cafehamama/,Cafe Hamama (proprietaire),https://www.google.com/maps/contrib/104470455128260388016,,Cafe,Cafe,5,07:00-00:00,,98 372 255,"Cafe Hamama, Avenue Bourgiba, Building 5, Ksour Essaf 5180",,https://www.google.com/maps/place/Caf%C3%A9+Hamama/data=!4m7!3m6!1s0x130221febf307a9f:0x1d3d8688d25d9432!8m2!3d35.4229756!4d10.9973247!16s%2Fg%2F11rz4st25f!19sChIJn3owv_4hAhMRMpRd0oiGPR0?authuser=0&hl=fr&rclk=1
ChIJKZ7dYaohAhMR32ZvFTQY9HI,Storia cafe,,False,9,,Storia cafe (proprietaire),https://www.google.com/maps/contrib/107246580275081509629,https://lh5.googleusercontent.com/p/AF1QipN4NJLX9HmCo9OQ6JNiUxNZztxDI1to-01qeZUf=w408-h544-k-no,Cafe,Cafe,4.2,Ouvert 24h/24,,,"Storia cafe, C 90, Ksour Essaf",,https://www.google.com/maps/place/Storia+cafe/data=!4m7!3m6!1s0x130221aa61dd9e29:0x72f41834156f66df!8m2!3d35.4251586!4d10.9936723!16s%2Fg%2F11fp1lzcbl!19sChIJKZ7dYaohAhMR32ZvFTQY9HI?authuser=0&hl=fr&rclk=1
