place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJaWvy_RxL_RIRJi6iFgVuJrU,La Spigola,,False,495,https://www.facebook.com/Restaurant.La.Spigola/,La Spigola (proprietaire),https://www.google.com/maps/contrib/113674887693399925127,https://lh5.googleusercontent.com/p/AF1QipPfQTLKJK6a4-tRsSvK-6UbPYk6ws1DpFy9A-_K=w408-h306-k-no,Restaurant,Restaurant,4,12:00-01:00,,71 738 345,"La Spigola, 52 Av. Franklin Roosevelt, La Goulette 2060","serveur, vin, cuisine tunisienne, service, crevettes, amateurs, fumeur, qualite, sorbet, italien",https://www.google.com/maps/place/La+Spigola/data=!4m7!3m6!1s0x12fd4b1cfdf26b69:0xb5266e0516a22e26!8m2!3d36.8204771!4d10.3089588!16s%2Fg%2F11c0vykqqh!19sChIJaWvy_RxL_RIRJi6iFgVuJrU?authuser=0&hl=fr&rclk=1
ChIJlY8WGZRL_RIRhBlIDws0IYI,Restaurant Djerbien The House - lHwsh,,False,206,https://facebook.com/ElHoucheLaGoulette,Restaurant Djerbien The House - lHwsh (proprietaire),https://www.google.com/maps/contrib/109148645026368609116,https://lh5.googleusercontent.com/p/AF1QipNhUu_CPbwUjUsC6VZSUFsEDpbW6Kdr_6U6f3pC=w408-h306-k-no,Restaurant,Restaurant,4.3,12:30-22:30,lundi,28 413 413,"Restaurant Djerbien The House - lHwsh, 43 Av. Franklin Roosevelt, La Goulette","couscous, prix, pain, tunisien, experience, serveur, cuisine traditionnelle, succulente, quantites, entree",https://www.google.com/maps/place/Restaurant+Djerbien+The+House+-+%D8%A7%D9%84%D8%AD%D9%88%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x12fd4b9419168f95:0x8221340b0f481984!8m2!3d36.8200762!4d10.3088234!16s%2Fg%2F11f613y0hv!19sChIJlY8WGZRL_RIRhBlIDws0IYI?authuser=0&hl=fr&rclk=1
ChIJezvqSgBL_RIR_3xraOkbaFw,La Petite Etoile,,False,173,https://www.facebook.com/people/La-Petite-Etoile/100066899700178/,La Petite Etoile (proprietaire),https://www.google.com/maps/contrib/101255295559818194544,https://lh5.googleusercontent.com/p/AF1QipNYztnWn4Q2xhi2U6imoU1fUto45iL2YfJLgU__=w408-h544-k-no,Restaurant,"Restaurant, Restaurant mediterraneen",4.1,12:00-02:00,,55 761 996,"La Petite Etoile, Port, La Goulette 1067","poisson, prix, pates, etoile, mer, vin, choix, serveur, experience",https://www.google.com/maps/place/La+Petite+Etoile/data=!4m7!3m6!1s0x12fd4b004aea3b7b:0x5c681be9686b7cff!8m2!3d36.8087119!4d10.3064157!16s%2Fg%2F1hm29ksym!19sChIJezvqSgBL_RIR_3xraOkbaFw?authuser=0&hl=fr&rclk=1
ChIJzdGLJxxL_RIRxHOFK6RDbm0,L'Aquarius,,False,126,,L'Aquarius (proprietaire),https://www.google.com/maps/contrib/115885980772537570940,https://lh5.googleusercontent.com/p/AF1QipMSPWun8-xK-pWCfwoFKIcYg6RleFIGJde5LlMs=w408-h544-k-no,Restaurant,Restaurant,4.5,12:00-23:00,,92 514 051,"L'Aquarius, 02 bis Rte de La Goulette, La Goulette 2060","poulpe, poisson, succulent, atmosphere, prix, fumeur, serveurs, etoiles, experience",https://www.google.com/maps/place/L%27Aquarius/data=!4m7!3m6!1s0x12fd4b1c278bd1cd:0x6d6e43a42b8573c4!8m2!3d36.8167326!4d10.3045522!16s%2Fg%2F11c5fz1vc5!19sChIJzdGLJxxL_RIRxHOFK6RDbm0?authuser=0&hl=fr&rclk=1
ChIJ4be7ol9L_RIR8NpVEmNDloA,Vin sur Vin,,False,81,,Vin sur Vin (proprietaire),https://www.google.com/maps/contrib/107373230831427067366,https://lh5.googleusercontent.com/p/AF1QipP-Iv5lFd9Oax2HddyMs2Xt6LFiPNBbVWya2ajy=w408-h306-k-no,Bistro,Bistro,4,,,53 270 000,"Vin sur Vin, 20 Rue Ali Bach, La Goulette 2060","fromage, bar, boissons, jogging, argent, musique, prix",https://www.google.com/maps/place/Vin+sur+Vin/data=!4m7!3m6!1s0x12fd4b5fa2bbb7e1:0x809643631255daf0!8m2!3d36.8155317!4d10.3055714!16s%2Fg%2F11j3rqh77n!19sChIJ4be7ol9L_RIR8NpVEmNDloA?authuser=0&hl=fr&rclk=1
ChIJBzjjvzpL_RIRccHDsiJrbe4,L'antica pizzeria,,False,54,,L'antica pizzeria (proprietaire),https://www.google.com/maps/contrib/117208601852346792515,https://lh5.googleusercontent.com/p/AF1QipOTPypMl7ZTmFiZiBDqjw20zQz6vk9RyF33XMyN=w408-h544-k-no,Pizzeria,Pizzeria,4.7,,,24 465 615,"L'antica pizzeria, 110 Av. Habib Bourghuiba, La Goulette","prix, pizza napolitaine",https://www.google.com/maps/place/L%27antica+pizzeria/data=!4m7!3m6!1s0x12fd4b3abfe33807:0xee6d6b22b2c3c171!8m2!3d36.8225072!4d10.308672!16s%2Fg%2F11qr3h1rpr!19sChIJBzjjvzpL_RIRccHDsiJrbe4?authuser=0&hl=fr&rclk=1
ChIJWY3VeStL_RIRNbcXfXZdNGk,Platinium Restaurant,,False,52,,Platinium Restaurant (proprietaire),https://www.google.com/maps/contrib/108423456600675400445,https://lh5.googleusercontent.com/p/AF1QipPIaBzFQBbiTlqUuX_xYKyy8j81dOmimVmnvEyr=w408-h306-k-no,Restaurant,Restaurant,4.2,12:00-01:00,,55 406 888,"Platinium Restaurant, 4 Av. Franklin Roosevelt, La Goulette 2060",,https://www.google.com/maps/place/Platinium+Restaurant/data=!4m7!3m6!1s0x12fd4b2b79d58d59:0x69345d767d17b735!8m2!3d36.8176532!4d10.306002!16s%2Fg%2F11h5vjsgvq!19sChIJWY3VeStL_RIRNbcXfXZdNGk?authuser=0&hl=fr&rclk=1
ChIJaWvy_RxL_RIRWn6T5exyIp4,Restaurant Waywa,,False,39,,Restaurant Waywa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPsWEbkraEMaHIm7guBq2arcjFpEY2Hyvb2sBjD=w408-h306-k-no,Restaurant,Restaurant,4.2,Ouvert 24h/24,,25 524 477,"R884+R86 Restaurant Waywa, Av. Franklin Roosevelt, La Goulette","poisson, prix",https://www.google.com/maps/place/Restaurant+Waywa/data=!4m7!3m6!1s0x12fd4b1cfdf26b69:0x9e2272ece5937e5a!8m2!3d36.8170356!4d10.3057719!16s%2Fg%2F11gbnvdwz3!19sChIJaWvy_RxL_RIRWn6T5exyIp4?authuser=0&hl=fr&rclk=1
ChIJy1ToQ0hL_RIRQVj4WaRMsdQ,Leblebi chez Naceur (lblby),,False,26,,Leblebi chez Naceur (lblby) (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPVTibTgN8hQlZxQYiTrtLoJAF4XL42qHM-9YMF=w408-h544-k-no,Restaurant,Restaurant,4.5,12:00-05:00,,,"Leblebi chez Naceur (lblby), 35 Av. Franklin Roosevelt, La Goulette",prix,https://www.google.com/maps/place/Leblebi+chez+Naceur+%28%D9%84%D8%A8%D9%84%D8%A7%D8%A8%D9%8A%29%E2%80%AD/data=!4m7!3m6!1s0x12fd4b4843e854cb:0xd4b14ca459f85841!8m2!3d36.8192715!4d10.3079783!16s%2Fg%2F11n0697v0r!19sChIJy1ToQ0hL_RIRQVj4WaRMsdQ?authuser=0&hl=fr&rclk=1
ChIJPanmchhL_RIRrWh_FKWDnd0,restaurant la paella,,False,26,https://www.facebook.com/search/top%3Fq%3Drestaurant%2520la%2520paella,restaurant la paella (proprietaire),https://www.google.com/maps/contrib/111279379995923553848,https://lh5.googleusercontent.com/p/AF1QipM0nr0R1v7XcemY91vwUzG0V5Dx_8I2EJFhVfro=w408-h544-k-no,Restaurant,Restaurant,4.4,12:00-01:00,,21 171 717,"restaurant la paella, casino, La Goulette 2060","musique, tapas, atmosphere",https://www.google.com/maps/place/restaurant+la+paella/data=!4m7!3m6!1s0x12fd4b1872e6a93d:0xdd9d83a5147f68ad!8m2!3d36.822863!4d10.3116817!16s%2Fg%2F11swqc5zby!19sChIJPanmchhL_RIRrWh_FKWDnd0?authuser=0&hl=fr&rclk=1
ChIJ7WKMGx1L_RIRqYPV-_UfhNQ,Restaurant les amis,,False,22,,Restaurant les amis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOmIvhXhDCMfCaaljTYdQFW8cfLo5sHLjSjKpZR=w426-h240-k-no,Restaurant,Restaurant,4.2,11:00-00:00,,58 581 589,"La Goulette, Av. Franklin Roosevelt, Restaurant les amis","poisson, tunisien",https://www.google.com/maps/place/Restaurant+les+amis/data=!4m7!3m6!1s0x12fd4b1d1b8c62ed:0xd4841ff5fbd583a9!8m2!3d36.8186989!4d10.3073963!16s%2Fg%2F11g8zxrqd1!19sChIJ7WKMGx1L_RIRqYPV-_UfhNQ?authuser=0&hl=fr&rclk=1
ChIJYTL_UQBL_RIR2Hy2Gw32P7A,HEKAYA,,False,19,,HEKAYA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO74dkdMdRZFt3902nSVoZCiaRwYs9cjBvX-yAp=w408-h544-k-no,Restaurant,Restaurant,4.7,,,51 875 875,"HEKAYA, 46:, Av. Franklin Roosevelt, La Goulette","cadre, cuisine tunisienne, experience",https://www.google.com/maps/place/HEKAYA/data=!4m7!3m6!1s0x12fd4b0051ff3261:0xb03ff60d1bb67cd8!8m2!3d36.8201877!4d10.3086395!16s%2Fg%2F11y3h7w_ns!19sChIJYTL_UQBL_RIR2Hy2Gw32P7A?authuser=0&hl=fr&rclk=1
ChIJ2RhCkl1L_RIRb9GyIbKCsbg,Sam'S BEACH LA GOULETTE,,False,18,,Sam'S BEACH LA GOULETTE (proprietaire),https://www.google.com/maps/contrib/105777494845884932443,https://lh5.googleusercontent.com/p/AF1QipPs5sCOa_s5lDqfjMh6HZlEhXVsvhMbenJTAew0=w408-h278-k-no,Cafe servant des chocolats chauds,"Cafe servant des chocolats chauds, Creperie, Salon de the",4.3,07:00-20:30,,24 170 701,"Sam'S BEACH LA GOULETTE, 30 Av. De La Republique, La Goulette",,https://www.google.com/maps/place/Sam%27S+BEACH+LA+GOULETTE/data=!4m7!3m6!1s0x12fd4b5d924218d9:0xb8b182b221b2d16f!8m2!3d36.8160739!4d10.3060813!16s%2Fg%2F11gnplhxpc!19sChIJ2RhCkl1L_RIRb9GyIbKCsbg?authuser=0&hl=fr&rclk=1
