place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJsU9Gk1Q3_RIRCj1SsgG1MlE,Cafe l'AQUARIUM,,False,13,,Cafe l'AQUARIUM (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOhxuuHAFNB9wkKdA62fUpI_KuYkpt9gzcy6s_2=w408-h306-k-no,Cafe,Cafe,4.8,05:00-23:00,,53 385 742,"M5VC+HRH Cafe l'AQUARIUM, Fouchana",,https://www.google.com/maps/place/Caf%C3%A9+l%27AQUARIUM/data=!4m7!3m6!1s0x12fd375493464fb1:0x5132b501b2523d0a!8m2!3d36.693941!4d10.1721011!16s%2Fg%2F11c1ww_f8n!19sChIJsU9Gk1Q3_RIRCj1SsgG1MlE?authuser=0&hl=fr&rclk=1
ChIJQeGIcNEx_RIRZTDvs4BNRWM,Milli gusto,,False,9,,Milli gusto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOK6mQVTteIFyX9rEsUXUMJSP94FomlSVwittg1=w408-h544-k-no,Restaurant,Restaurant,5,10:00-00:00,,24 941 476,"M5X9+8PP Milli gusto, Fouchana",,https://www.google.com/maps/place/Milli+gusto/data=!4m7!3m6!1s0x12fd31d17088e141:0x63454d80b3ef3065!8m2!3d36.69835!4d10.1693323!16s%2Fg%2F11n2r9x2zq!19sChIJQeGIcNEx_RIRZTDvs4BNRWM?authuser=0&hl=fr&rclk=1
ChIJ_woQIK0w_RIRrx6JjvxEv7Y,Rayen Restau,,False,9,,Rayen Restau (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN7cunn2kVFFjlDt6sa7QS-z-xufKEqxjVbIjl2=w408-h243-k-no,Restaurant,Restaurant,4.3,10:00-00:00,,98 318 365,"M5X9+8HG Rayen Restau, Fouchana",,https://www.google.com/maps/place/Rayen+Restau/data=!4m7!3m6!1s0x12fd30ad20100aff:0xb6bf44fc8e891eaf!8m2!3d36.6983232!4d10.1689511!16s%2Fg%2F11cp5rhm1c!19sChIJ_woQIK0w_RIRrx6JjvxEv7Y?authuser=0&hl=fr&rclk=1
ChIJY8A27Tk3_RIRmhECP01yevs,Restaurant Hammami,,False,9,,Restaurant Hammami (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FKyo2Y1PD_VIMP7I7gDLVw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=258.01114&pitch=0&thumbfov=100,Restaurant,Restaurant,4,10:00-22:00,,,"P57M+X5J Restaurant Hammami, Ben Arous",,https://www.google.com/maps/place/Restaurant+Hammami/data=!4m7!3m6!1s0x12fd3739ed36c063:0xfb7a724d3f02119a!8m2!3d36.7149644!4d10.1829049!16s%2Fg%2F11c2plwqlm!19sChIJY8A27Tk3_RIRmhECP01yevs?authuser=0&hl=fr&rclk=1
ChIJt857p3w3_RIRt_urCneFDtg,Restaurant miranda,,False,7,,Restaurant miranda (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipParc3e-7BN4vvLDUYZ630AWHo-IzwDaHNhkFD1=w408-h544-k-no,Restaurant,Restaurant,4.1,10:00-23:00,,,"Restaurant miranda, Residence Fourat Boutique N 5 Mourouj 5, 2074",,https://www.google.com/maps/place/Restaurant+miranda/data=!4m7!3m6!1s0x12fd377ca77bceb7:0xd80e85770aabfbb7!8m2!3d36.7073933!4d10.2087977!16s%2Fg%2F11rwqr4qgv!19sChIJt857p3w3_RIRt_urCneFDtg?authuser=0&hl=fr&rclk=1
ChIJ48UhmQ86_RIR4ja9DCR0nME,Cafe Ellissa,,False,6,,Cafe Ellissa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMd9qx0_r4XWr6lU4RtqV1HY17KS03XqJJEX7Pb=w408-h544-k-no,Cafe,Cafe,4.3,06:00-23:00,,20 633 865,"M5M5+44H Cafe Ellissa, GP3, Mohammedia",,https://www.google.com/maps/place/Cafe+Ellissa/data=!4m7!3m6!1s0x12fd3a0f9921c5e3:0xc19c74240cbd36e2!8m2!3d36.6828054!4d10.1578564!16s%2Fg%2F11c5643qf5!19sChIJ48UhmQ86_RIR4ja9DCR0nME?authuser=0&hl=fr&rclk=1
ChIJG11Flj46_RIRkzm9e473gRI,Douja Plus,,False,5,,Douja Plus (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOjODpzYepDt9PvAWZE8c1aW6Y8bb7uhNu3DYBk=w408-h306-k-no,Cafe,Cafe,4.4,06:00-23:00,,,"M583+H29 Douja Plus, Mohammedia",,https://www.google.com/maps/place/Douja+Plus/data=!4m7!3m6!1s0x12fd3a3e96455d1b:0x1281f78e7bbd3993!8m2!3d36.6664208!4d10.1526197!16s%2Fg%2F11g6x8cdlz!19sChIJG11Flj46_RIRkzm9e473gRI?authuser=0&hl=fr&rclk=1
ChIJy3UbAh8x_RIRQ9i-THegZyU,mT`m lmdyn@,,False,5,,mT`m lmdyn@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNn_KLKhMOnDYH21g8IBWGVlYKbQ_43CzzFyQMR=w408-h543-k-no,Restaurant,Restaurant,4.8,,,98 204 943,"mT`m lmdyn@, lTryq lwTny@ rqm 3",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D9%85%D8%AF%D9%8A%D9%86%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd311f021b75cb:0x2567a0774cbed843!8m2!3d36.6959589!4d10.164736!16s%2Fg%2F11h4mrwvw6!19sChIJy3UbAh8x_RIRQ9i-THegZyU?authuser=0&hl=fr&rclk=1
ChIJm_N_wOM7_RIRGtIxvXkamSE,Salon De The Et Espace Elhnaya,,False,5,,Salon De The Et Espace Elhnaya (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOiT2Czgoj_NwjdG7Lx9QHp5pvLVbgsxyhT8UQe=w408-h306-k-no,Cafe,Cafe,4.6,06:00-00:00,,50 625 989,"M42M+G47 Salon De The Et Espace Elhnaya, Mohammedia",,https://www.google.com/maps/place/Salon+De+The+Et+Espace+Elhnaya/data=!4m7!3m6!1s0x12fd3be3c07ff39b:0x21991a79bd31d21a!8m2!3d36.6512786!4d10.1327862!16s%2Fg%2F11fcq2blzk!19sChIJm_N_wOM7_RIRGtIxvXkamSE?authuser=0&hl=fr&rclk=1
ChIJWWyynOEx_RIR_gmjs6-SMRs,damWiq,,False,4,,damWiq (proprietaire),https://www.google.com/maps/contrib/103048226389392011257,https://lh5.googleusercontent.com/p/AF1QipM5gaWEE71ccZESXyxRh9zjD90xyWxIfzxmw97p=w408-h306-k-no,Restaurant,Restaurant,4.3,09:00-00:00,,25 241 182,"damWiq, Rue de Mahmoud el Matri, Fouchana 2082",,https://www.google.com/maps/place/%D8%AF%D9%8E%D9%85%D9%91%D9%90%D9%82%D9%92%E2%80%AD/data=!4m7!3m6!1s0x12fd31e19cb26c59:0x1b3192afb3a309fe!8m2!3d36.707797!4d10.1626099!16s%2Fg%2F11hz_lcgt3!19sChIJWWyynOEx_RIR_gmjs6-SMRs?authuser=0&hl=fr&rclk=1
