place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJdTNpHMRJ_RIR0gTcQrPp2fE,Papito Resto - Lounge,,False,57,,Papito Resto - Lounge (proprietaire),https://www.google.com/maps/contrib/112291951785419806370,https://lh5.googleusercontent.com/p/AF1QipMvXeTjfoCpv2rA_o0ha-0Yyi1kjEgHDRq5qXi2=w408-h306-k-no,Restaurant,"Restaurant, Cafe, Bar lounge",4.1,07:00-01:00,,21 560 960,"Papito Resto - Lounge, Boumhel El Bassatine 2096","pates, prix, fruits de mer",https://www.google.com/maps/place/Papito+Resto+-+Lounge/data=!4m7!3m6!1s0x12fd49c41c693375:0xf1d9e9b342dc04d2!8m2!3d36.7342591!4d10.3102394!16s%2Fg%2F11hzvy8tbw!19sChIJdTNpHMRJ_RIR0gTcQrPp2fE?authuser=0&hl=fr&rclk=1
ChIJp08QgZtP_RIRJhHPO6XWigE,Restaurant - Signature,,False,52,https://m.facebook.com/Sig.borjcedria,Restaurant - Signature (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPB1qAQcHmQ4KnRIqDNXpHBDA9_i5czTsMZjBS_=w408-h306-k-no,Restaurant,Restaurant,4.2,,,46 612 908,"PC35+R29 Restaurant - Signature, Borj Cedria","experience, prix, serveur",https://www.google.com/maps/place/Restaurant+-+Signature/data=!4m7!3m6!1s0x12fd4f9b81104fa7:0x18ad6a53bcf1126!8m2!3d36.7044946!4d10.4075496!16s%2Fg%2F11t8fhfpg_!19sChIJp08QgZtP_RIRJhHPO6XWigE?authuser=0&hl=fr&rclk=1
ChIJrcgl1Nc5_RIRJ6GgKnDSTQI,Le Domaine Tarenti,,False,49,,Le Domaine Tarenti (proprietaire),https://www.google.com/maps/contrib/106801189842278019006,https://lh5.googleusercontent.com/p/AF1QipN50bWEwYMO9I_vv4PuFOFjdo5CXkVSns7AJEdK=w408-h408-k-no,Restaurant,Restaurant,4.7,09:00-17:00,,23 145 680,"Le Domaine Tarenti, Z.I Chebedda, Naassen, Naassen","famille, animaux, brunch, enfants, ferme, atelier, fromage, experience, team building, huile d'olive",https://www.google.com/maps/place/Le+Domaine+Tarenti/data=!4m7!3m6!1s0x12fd39d7d425c8ad:0x24dd2702aa0a127!8m2!3d36.6867255!4d10.2063534!16s%2Fg%2F11g7z0m1rz!19sChIJrcgl1Nc5_RIRJ6GgKnDSTQI?authuser=0&hl=fr&rclk=1
ChIJyzb_iUNP_RIRsCZG5ohaLVs,CHEZ Abdou PIZZARIA,,False,33,https://www.facebook.com/Chez-Abdou-110413574876401/,CHEZ Abdou PIZZARIA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOpb4XEi052ojwpp1LE_vDKe_KV-Iz-8X4tS2rl=w408-h306-k-no,Restaurant,Restaurant,4.4,10:00-23:00,,95 524 076,"PC57+M84 CHEZ Abdou PIZZARIA, Rue, Principale",familles,https://www.google.com/maps/place/CHEZ+Abdou+PIZZARIA/data=!4m7!3m6!1s0x12fd4f4389ff36cb:0x5b2d5a88e64626b0!8m2!3d36.7091317!4d10.4133422!16s%2Fg%2F11f79cdry0!19sChIJyzb_iUNP_RIRsCZG5ohaLVs?authuser=0&hl=fr&rclk=1
ChIJuazKsd9H_RIRnxVBZFBDlgM,Salon de the Fratello,,False,30,,Salon de the Fratello (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMkbft3E_NgU4f73c0mSYsoF9wHsAkA-i0lDZ3v=w520-h240-k-no,Salon de the,"Salon de the, Restaurant",4.3,07:00-00:00,,54 177 777,"Salon de the Fratello, Peage de Mornag, A1, Mornag 2090",,https://www.google.com/maps/place/Salon+de+the+Fratello/data=!4m7!3m6!1s0x12fd47dfb1caacb9:0x39643506441159f!8m2!3d36.6780462!4d10.2845015!16s%2Fg%2F1260xxfhp!19sChIJuazKsd9H_RIRnxVBZFBDlgM?authuser=0&hl=fr&rclk=1
ChIJd8Su0zpJ_RIRIbpqnyRTVvY,Restaurant Pizzeria Marakana,,False,26,,Restaurant Pizzeria Marakana (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPkX7cy_wdbRTS6pjewh9M8Zj8Ceyccx-LEOSYB=w408-h543-k-no,Restaurant,Restaurant,4.3,11:00-23:00,,56 495 617,"P8HP+PGF Restaurant Pizzeria Marakana, Hammam-Lif",,https://www.google.com/maps/place/Restaurant+Pizzeria+Marakana/data=!4m7!3m6!1s0x12fd493ad3aec477:0xf65653249f6aba21!8m2!3d36.7293138!4d10.3362892!16s%2Fg%2F11hckd6ns7!19sChIJd8Su0zpJ_RIRIbpqnyRTVvY?authuser=0&hl=fr&rclk=1
ChIJS94AMrFJ_RIRiS6TXFkLsOU,Foodgasm,,False,21,https://www.facebook.com/foodgasmboumhel/,Foodgasm (proprietaire),https://www.google.com/maps/contrib/117510942524318296003,https://lh5.googleusercontent.com/p/AF1QipN825J30VUQx1-qj_gAuTc2NW_3ucp-Az9yUSxS=w408-h725-k-no,Pizzeria,Pizzeria,4.8,11:00-01:00,,93 101 516,"Foodgasm, 34 Rue, Boumhel El Bassatine",,https://www.google.com/maps/place/Foodgasm/data=!4m7!3m6!1s0x12fd49b13200de4b:0xe5b00b595c932e89!8m2!3d36.7274534!4d10.2890044!16s%2Fg%2F11s2lck9y_!19sChIJS94AMrFJ_RIRiS6TXFkLsOU?authuser=0&hl=fr&rclk=1
ChIJAWNCsVNI_RIRaS_IzukJ0do,Pizza ERA,,False,16,,Pizza ERA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8tpdxerDid48z-WgzZgXjp4JlT314RvUsrQVp=w408-h306-k-no,Restaurant,Restaurant,4.1,10:00-00:00,,28 191 246,"P79W+7RP Pizza ERA, Boumhel El Bassatine",,https://www.google.com/maps/place/Pizza+ERA/data=!4m7!3m6!1s0x12fd4853b1426301:0xdad109e9cec82f69!8m2!3d36.7182087!4d10.2970883!16s%2Fg%2F11cs3d8lkk!19sChIJAWNCsVNI_RIRaS_IzukJ0do?authuser=0&hl=fr&rclk=1
ChIJdfFj8KFJ_RIRzAVNgVM6Dpg,Cafe Restaurant jasmin,,False,15,,Cafe Restaurant jasmin (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNFgpW0NBeo6fqlkeU7LR1Ic4jL1hfuKv8C7jVs=w408-h544-k-no,Restaurant,Restaurant,4.1,10:00-23:00,,,"P7RX+VWX Cafe Restaurant jasmin, Ez Zahra",,https://www.google.com/maps/place/Cafe+Restaurant+jasmin/data=!4m7!3m6!1s0x12fd49a1f063f175:0x980e3a53814d05cc!8m2!3d36.7422328!4d10.2998634!16s%2Fg%2F11hd9sz3vn!19sChIJdfFj8KFJ_RIRzAVNgVM6Dpg?authuser=0&hl=fr&rclk=1
ChIJ3YN9EgZJ_RIRSmvTM1JGdn0,Pizzeria Zeus,,False,15,,Pizzeria Zeus (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPlNnGmYgRn6SMbxOCmTgoU0UrHZ7xZgD0FPi8z=w408-h306-k-no,Pizzeria,Pizzeria,4.3,11:00-00:00,,21 824 800,"P8J5+3WV Pizzeria Zeus, Boumhel El Bassatine",,https://www.google.com/maps/place/Pizzeria+Zeus/data=!4m7!3m6!1s0x12fd4906127d83dd:0x7d76465233d36b4a!8m2!3d36.7302276!4d10.3097833!16s%2Fg%2F11dxl254n6!19sChIJ3YN9EgZJ_RIRSmvTM1JGdn0?authuser=0&hl=fr&rclk=1
