place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJNzce47IjAhMRLpVTUj2IDFo,4.47,,False,340,,4.47 (proprietaire),https://www.google.com/maps/contrib/114441231384226754392,https://lh5.googleusercontent.com/p/AF1QipNTjuN5ZJ_v0j5bcxaGSUyW70wBBsYWmfbcQRid=w408-h306-k-no,Cafe et restaurant de grillades,"Cafe et restaurant de grillades, Cafe",4.1,07:00-00:00,,20 008 933,"4.47, Zone Touristique, Av. Taher Sfar, Mahdia 5111","serveur, experience, brunch, cuisine, table, sel, fromage, quantite, commande, souriant",https://www.google.com/maps/place/4.47/data=!4m7!3m6!1s0x130223b2e31e3737:0x5a0c883d5253952e!8m2!3d35.5191817!4d11.0389037!16s%2Fg%2F11fs30zgl9!19sChIJNzce47IjAhMRLpVTUj2IDFo?authuser=0&hl=fr&rclk=1
ChIJ33emBysjAhMRnrxvovcDsyg,RESTO DARNA,,False,119,,RESTO DARNA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMKZ3nmPY0bwLfQqmGq69FMEMAJomu5-E7wbphC=w408-h306-k-no,Restaurant,Restaurant,4.5,Ouvert 24h/24,,54 676 088,"RESTO DARNA, Av. 14 Janvier, Mahdia","prix, tunisienne, soupe, poisson, salade, couscous, plats, poulpe, plage, service",https://www.google.com/maps/place/RESTO+DARNA/data=!4m7!3m6!1s0x1302232b07a677df:0x28b303f7a26fbc9e!8m2!3d35.5100325!4d11.0539664!16s%2Fg%2F11fpgpd0hr!19sChIJ33emBysjAhMRnrxvovcDsyg?authuser=0&hl=fr&rclk=1
ChIJreiuPfcjAhMRI0ocRK5ZS7o,Restaurant Borj Erras,,False,112,https://www.facebook.com/Raouf27288971,Restaurant Borj Erras (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipObefz-UcX9-dtL2RSkdJZi1wiAWej3LKBgE_Wg=w408-h306-k-no,Restaurant,Restaurant,4.1,12:00-00:00,,27 288 971,"G348+2P7 Restaurant Borj Erras, Av. 14 Janvier, Mahdia","prix, poisson, mer, soupe, couscous, tunisienne, qualite, entree, succulent",https://www.google.com/maps/place/Restaurant+Borj+Erras/data=!4m7!3m6!1s0x130223f73daee8ad:0xba4b59ae441c4a23!8m2!3d35.505036!4d11.0667863!16s%2Fg%2F11c52961pj!19sChIJreiuPfcjAhMRI0ocRK5ZS7o?authuser=0&hl=fr&rclk=1
ChIJlWKOnfcjAhMR8RlfwlNYagw,Restaurant Chez Naima,,False,80,https://www.facebook.com/Restaurant-CHEZ-NAIMA-100905351680064/,Restaurant Chez Naima (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNVOeIzwu2btvZs2xxQB2UUhH87BvztipIdSKU1=w408-h271-k-no,Restaurant,Restaurant,4.6,08:00-18:00,dimanche,93 627 617,"G339+P93 Restaurant Chez Naima, Rue Mohamed Turki, Mahdia","prix, cuisine tunisienne, poisson, touristes",https://www.google.com/maps/place/Restaurant+Chez+Naima/data=!4m7!3m6!1s0x130223f79d8e6295:0xc6a5853c25f19f1!8m2!3d35.504263!4d11.0684185!16s%2Fg%2F11dxcptwcx!19sChIJlWKOnfcjAhMR8RlfwlNYagw?authuser=0&hl=fr&rclk=1
ChIJEW7ITT0lAhMRpJv_q9aicME,Malibu,,False,74,,Malibu (proprietaire),https://www.google.com/maps/contrib/109068692846471792996,https://lh5.googleusercontent.com/p/AF1QipOz111CKdl84ZbM1XGSIn8BNFThMI_y3Wbd8xMy=w408-h307-k-no,Cafe,Cafe,4.2,06:00-00:00,,99 651 499,"Malibu, A proximite de","prix, pizza, cocktails, creme, petit-dejeuner",https://www.google.com/maps/place/Malibu/data=!4m7!3m6!1s0x1302253d4dc86e11:0xc170a2d6abff9ba4!8m2!3d35.5030348!4d11.0684896!16s%2Fg%2F11sh5qdsrm!19sChIJEW7ITT0lAhMRpJv_q9aicME?authuser=0&hl=fr&rclk=1
ChIJHRmMaAsjAhMRVGCqJXD4LUc,Resto l'antika,,False,69,,Resto l'antika (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMBwlabd1pStdctl1-Z4OZCdNMSRN2863epx6Hs=w426-h240-k-no,Restaurant familial,Restaurant familial,4,,,51 456 457,"G34C+58H Resto l'antika, Av. Cap Africa, Mahdia","mer, serveur, pate",https://www.google.com/maps/place/Resto+l%27antika/data=!4m7!3m6!1s0x1302230b688c191d:0x472df87025aa6054!8m2!3d35.5054328!4d11.0708509!16s%2Fg%2F11rsqxs99y!19sChIJHRmMaAsjAhMRVGCqJXD4LUc?authuser=0&hl=fr&rclk=1
ChIJuRpj5_cjAhMROtVd_M5ejYo,Cafe Gamra,,False,51,http://www.cafe-gamra.com/,Cafe Gamra (proprietaire),https://www.google.com/maps/contrib/112602314017241660626,https://lh5.googleusercontent.com/p/AF1QipMrZdb3pdOQiLbwb9cKbUAojiPAgE70u9xFYzRm=w408-h306-k-no,Cafe,Cafe,4.1,08:00-00:00,,73 680 916,"Cafe Gamra, Place du Caire, Mahdia","touristes, serveur, prix",https://www.google.com/maps/place/Caf%C3%A9+Gamra/data=!4m7!3m6!1s0x130223f7e7631ab9:0x8a8d5ecefc5dd53a!8m2!3d35.5043927!4d11.0707762!16s%2Fg%2F11g690bc4c!19sChIJuRpj5_cjAhMROtVd_M5ejYo?authuser=0&hl=fr&rclk=1
ChIJEYh00oMjAhMRFDLDRWp7JiA,cafe Fratello Aminos,,False,28,https://cafe-fratello-aminos.business.site/%3Futm_source%3Dgmb%26utm_medium%3Dreferral,cafe Fratello Aminos (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP4Om8M6DRLyv6GFLcvjz984XtGrgaOSVcqz1I=w444-h240-k-no,Cafeteria,Cafeteria,4.3,Ouvert 24h/24,,,"G363+3GH cafe Fratello Aminos, plage de corniche, Av. 14 Janvier, Mahdia 5100",,https://www.google.com/maps/place/caf%C3%A9+Fratello+Aminos/data=!4m7!3m6!1s0x13022383d2748811:0x20267b6a45c33214!8m2!3d35.5101832!4d11.053851!16s%2Fg%2F11t7t580z0!19sChIJEYh00oMjAhMRFDLDRWp7JiA?authuser=0&hl=fr&rclk=1
ChIJz3Bm-ZMjAhMRVWfV1GPfnTA,El Couzina,,False,24,,El Couzina (proprietaire),https://www.google.com/maps/contrib/102027437827923298350,https://lh5.googleusercontent.com/p/AF1QipM6inJ8UxhTMEJWjJ7nf_8zRVbSLShkxiDOd-0M=w408-h306-k-no,Restaurant,Restaurant,4.8,10:00-23:00,,22 271 667,"El Couzina, Mahdia Center, Mahdia",tarif,https://www.google.com/maps/place/El+Couzina/data=!4m7!3m6!1s0x13022393f96670cf:0x309ddf63d4d56755!8m2!3d35.5053149!4d11.0643325!16s%2Fg%2F11kg_41qc8!19sChIJz3Bm-ZMjAhMRVWfV1GPfnTA?authuser=0&hl=fr&rclk=1
ChIJLwMg-CEjAhMRUss1CMzwyNo,Samir Chappati,,False,24,,Samir Chappati (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN-hs3MVMICWeI6XdZ7RUC1dHN1_Ngg2ZaI994=w426-h240-k-no,Restaurant,Restaurant,4.4,11:30-00:00,lundi,22 017 043,"G26R+J9X Samir Chappati, Unnamed Road, Mahdia",chapati,https://www.google.com/maps/place/Samir+Chappati/data=!4m7!3m6!1s0x13022321f820032f:0xdac8f0cc0835cb52!8m2!3d35.5116022!4d11.0409758!16s%2Fg%2F11hdqk0vb5!19sChIJLwMg-CEjAhMRUss1CMzwyNo?authuser=0&hl=fr&rclk=1
