place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJCQYkiSYz_RIRww2YB79sAiE,D & M Pizza Feu De Bois,,False,25,,D & M Pizza Feu De Bois (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNHdoCnXAo-gl046FoMXvu525i_gNJdebxdKybo=w427-h240-k-no,Restaurant,Restaurant,4,10:00-00:00,,50 413 004,"D & M Pizza Feu De Bois, Poste Garde National, Manouba",,https://www.google.com/maps/place/D+%26+M+Pizza+Feu+De+Bois/data=!4m7!3m6!1s0x12fd332689240609:0x21026cbf07980dc3!8m2!3d36.8147172!4d10.0927191!16s%2Fg%2F11f62nh9jv!19sChIJCQYkiSYz_RIRww2YB79sAiE?authuser=0&hl=fr&rclk=1
ChIJqYrUu4gt_RIR_yj3F3zQVGE,La_Granja_by_saf,,False,22,,La_Granja_by_saf (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNL5JpVmel_zBSTEw2xT83MqKLYDTJ70L6TSSd3=w408-h510-k-no,Restaurant familial,Restaurant familial,4.1,,,20 101 001,"R32J+H3J La_Granja_by_saf, Rue De La Lumiere, Manouba",,https://www.google.com/maps/place/La_Granja_by_saf/data=!4m7!3m6!1s0x12fd2d88bbd48aa9:0x6154d07c17f728ff!8m2!3d36.8014502!4d10.0801326!16s%2Fg%2F11lgy1mk59!19sChIJqYrUu4gt_RIR_yj3F3zQVGE?authuser=0&hl=fr&rclk=1
ChIJC0jcPsgz_RIRYF4a7KiCkUI,FOOD 707,,False,14,,FOOD 707 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMSrrmIYuJAHhtlcyclWOv-tLKO1n_BblodCTg6=w408-h306-k-no,Restaurant,Restaurant,4.1,,,58 042 228,"R444+J44 FOOD 707, Ibn Abi Dhief, Manouba",pizza,https://www.google.com/maps/place/FOOD+707/data=!4m7!3m6!1s0x12fd33c83edc480b:0x429182a8ec1a5e60!8m2!3d36.8065128!4d10.1053332!16s%2Fg%2F11h_11n9c7!19sChIJC0jcPsgz_RIRYF4a7KiCkUI?authuser=0&hl=fr&rclk=1
ChIJ59z3VGUy_RIRB1EZvxWE-gk,Mamma mia,,False,13,,Mamma mia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOz9VCycbT73ohm8YR49lK0ykRm-ZcZrC1rtgzy=w408-h306-k-no,Restaurant,Restaurant,4.2,10:00-23:00,,50 413 004,"R37R+PRQ Mamma mia, Manouba",pizza,https://www.google.com/maps/place/Mamma+mia/data=!4m7!3m6!1s0x12fd326554f7dce7:0x9fa8415bf195107!8m2!3d36.8143391!4d10.09212!16s%2Fg%2F11csrvvy8b!19sChIJ59z3VGUy_RIRB1EZvxWE-gk?authuser=0&hl=fr&rclk=1
ChIJDVZVE24y_RIRvVbgmtBdAwI,Rapido,,False,12,,Rapido (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO6WGCJ1OjkGG4_Ja8etDO8s3lRvNVW2qS-Vpve=w408-h544-k-no,Restauration rapide,Restauration rapide,4.3,Ouvert 24h/24,,50 413 004,"R35V+W82 Rapido, Ave Habib Bourguiba, Manouba",,https://www.google.com/maps/place/Rapido/data=!4m7!3m6!1s0x12fd326e1355560d:0x2035dd09ae056bd!8m2!3d36.8097602!4d10.0932504!16s%2Fg%2F11hbfk2j3f!19sChIJDVZVE24y_RIRvVbgmtBdAwI?authuser=0&hl=fr&rclk=1
ChIJA-_zUagz_RIRqvWuhv6dinA,pizzeria Amigo,,False,11,,pizzeria Amigo (proprietaire),https://www.google.com/maps/contrib/112063652327951409219,https://lh5.googleusercontent.com/p/AF1QipNEWPmXoEQ_GT7PKJ7Oon8dYMODfOOoMwk0d3fS=w408-h544-k-no,Restaurant,Restaurant,4.5,Ouvert 24h/24,,58 551 482,"pizzeria Amigo, Rue el Qods, Manouba",,https://www.google.com/maps/place/pizzeria+Amigo/data=!4m7!3m6!1s0x12fd33a851f3ef03:0x708a9dfe86aef5aa!8m2!3d36.8116201!4d10.1101727!16s%2Fg%2F11hy9qksr2!19sChIJA-_zUagz_RIRqvWuhv6dinA?authuser=0&hl=fr&rclk=1
ChIJQ127TgAz_RIRcKPcHvvoqOk,O BNIN,,False,9,,O BNIN (proprietaire),https://www.google.com/maps/contrib/118442579973502347405,https://lh5.googleusercontent.com/p/AF1QipNmbozAhFLmFMj7RQy1xhCM5G39rFPjSrrr06Wx=w408-h419-k-no,Restaurant,"Restaurant, Restauration rapide",5,07:00-18:00,"mercredi, dimanche",22 089 000,"O BNIN, 40 rue des travailleurs, 34 N7, Manouba",,https://www.google.com/maps/place/%C3%95+BNIN/data=!4m7!3m6!1s0x12fd33004ebb5d43:0xe9a8e8fb1edca370!8m2!3d36.8153591!4d10.1018955!16s%2Fg%2F11y2wy30pb!19sChIJQ127TgAz_RIRcKPcHvvoqOk?authuser=0&hl=fr&rclk=1
ChIJoVTeB28y_RIRqrauGuscN_w,Cafeteria Walid,,False,9,,Cafeteria Walid (proprietaire),https://www.google.com/maps/contrib/107630373769835494943,https://lh5.googleusercontent.com/p/AF1QipOtzBgztZVwYnq_wWCFB2EQZugnUsXWA6weUV8=w408-h544-k-no,Cafeteria,Cafeteria,4.2,06:00-20:00,,,"Cafeteria Walid, Ave Habib Bourguiba, Manouba",,https://www.google.com/maps/place/Caf%C3%A9t%C3%A9ria+Walid/data=!4m7!3m6!1s0x12fd326f07de54a1:0xfc371ceb1aaeb6aa!8m2!3d36.8120882!4d10.0951568!16s%2Fg%2F11c2nb26vq!19sChIJoVTeB28y_RIRqrauGuscN_w?authuser=0&hl=fr&rclk=1
ChIJXXFOxb0z_RIRySvbAG876Dk,Tooka restaurant,,False,8,https://tooka.tn/,Tooka restaurant (proprietaire),https://www.google.com/maps/contrib/112417721042054964067,https://lh5.googleusercontent.com/p/AF1QipOakE72fnd3wltuwxp0vcLnUlb_NM3a5IDkHtL7=w408-h544-k-no,Restaurant,Restaurant,4.9,10:00-23:00,,21 729 728,"Tooka restaurant, 24 Habib bourguiba, Manouba 2010",,https://www.google.com/maps/place/Tooka+restaurant/data=!4m7!3m6!1s0x12fd33bdc54e715d:0x39e83b6f00db2bc9!8m2!3d36.8103066!4d10.0941016!16s%2Fg%2F11tc4wmhx6!19sChIJXXFOxb0z_RIRySvbAG876Dk?authuser=0&hl=fr&rclk=1
ChIJpwtjCWky_RIRNAzSfdtV5kE,Pizzaria Charlot,,False,7,,Pizzaria Charlot (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMLkQTsdB8aVySPyx3GneV5-83QQ6oztiOK8nBD=w408-h544-k-no,Restaurant,Restaurant,4.6,07:30-00:00,,,"R452+W2P Pizzaria Charlot, Ave du Grand Margreb Arabe, Manouba",,https://www.google.com/maps/place/Pizzaria+Charlot/data=!4m7!3m6!1s0x12fd326909630ba7:0x41e655db7dd20c34!8m2!3d36.8098334!4d10.1000924!16s%2Fg%2F11c6f0b3v_!19sChIJpwtjCWky_RIRNAzSfdtV5kE?authuser=0&hl=fr&rclk=1
ChIJY9Pkoqot_RIR00C_Ji812_U,UNO Pizza,,False,6,,UNO Pizza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNj4ThoGFku-9U69NDLrC6hFQBeE_FBHEHAq9Cm=w426-h240-k-no,Restaurant,Restaurant,4.5,Ouvert 24h/24,,53 672 963,"UNO Pizza, Residence EL Mokhtar, Manouba",,https://www.google.com/maps/place/UNO+Pizza/data=!4m7!3m6!1s0x12fd2daaa2e4d363:0xf5db352f26bf40d3!8m2!3d36.8174544!4d10.0797314!16s%2Fg%2F11f5tgvbbm!19sChIJY9Pkoqot_RIR00C_Ji812_U?authuser=0&hl=fr&rclk=1
ChIJ9SJ66Pgz_RIRboV1i0x_y3A,Pizzeria Gourmet,,False,6,,Pizzeria Gourmet (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOz8DXJR5lODQhgj0DzzmHNS44DQr4Iqo8tdUtb=w408-h306-k-no,Pizzeria,Pizzeria,5,10:00-23:00,,,"R453+974 Pizzeria Gourmet, Manouba",,https://www.google.com/maps/place/Pizzeria+Gourmet/data=!4m7!3m6!1s0x12fd33f8e87a22f5:0x70cb7f4c8b75856e!8m2!3d36.8083889!4d10.1031916!16s%2Fg%2F11hdjbrgkb!19sChIJ9SJ66Pgz_RIRboV1i0x_y3A?authuser=0&hl=fr&rclk=1
