place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJWTXjHuYw4xIRdURNjzZt4eA,La Maison,,False,34,,La Maison (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPD6lGjo7meAuy1I4paowjL6aS9T6wrzaW6WdvS=w408-h544-k-no,Restaurant,Restaurant,4.4,09:00-19:00,dimanche,20 747 793,"2MR6+JFC La Maison, Mateur",,https://www.google.com/maps/place/La+Maison/data=!4m7!3m6!1s0x12e330e61ee33559:0xe0e16d368f4d4475!8m2!3d37.0415526!4d9.6611521!16s%2Fg%2F11gcc3_0zz!19sChIJWTXjHuYw4xIRdURNjzZt4eA?authuser=0&hl=fr&rclk=1
ChIJmQn9ruUw4xIRqV7ZXsnUq0U,Patisserie Lamouchi,,False,15,,Patisserie Lamouchi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM8WPRig3ldz45JtepZyRhpYIPEvGOE-RTtpCJA=w408-h306-k-no,Restaurant,Restaurant,4.5,07:35-23:05,,22 047 650,"2MQ7+QP4 Patisserie Lamouchi, Av. Habib Bourguiba, Mateur 7030",,https://www.google.com/maps/place/P%C3%A2tisserie+Lamouchi/data=!4m7!3m6!1s0x12e330e5aefd0999:0x45abd4c95ed95ea9!8m2!3d37.0393855!4d9.6643246!16s%2Fg%2F11dfj0r7_4!19sChIJmQn9ruUw4xIRqV7ZXsnUq0U?authuser=0&hl=fr&rclk=1
ChIJ36GhUOQw4xIRNdHEsgH2ZMg,Restaurant el ajabi,,False,5,,Restaurant el ajabi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMQQ834eb2W2Dd-DnO_YlWiHRPG6PDSvmBYLqbM=w408-h306-k-no,Restaurant,Restaurant,5,05:05-20:30,,22 862 424,"2MQ7+R8H Restaurant el ajabi, Mateur",,https://www.google.com/maps/place/Restaurant+el+ajabi/data=!4m7!3m6!1s0x12e330e450a1a1df:0xc864f601b2c4d135!8m2!3d37.0395067!4d9.6633253!16s%2Fg%2F11cn931lcx!19sChIJ36GhUOQw4xIRNdHEsgH2ZMg?authuser=0&hl=fr&rclk=1
ChIJd_UPErox4xIR9BM8z6vTXg4,Saraya restaurant & Salon de the,,False,3,,Saraya restaurant & Salon de the (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNb4Es89rP30r90_34cGt9sCFnlDh2CAPKaEoGy=w408-h306-k-no,Restaurant,Restaurant,4,05:00-22:00,,93 931 986,"2MQ7+R9R Saraya restaurant & Salon de the, Mateur",,https://www.google.com/maps/place/Saraya+restaurant+%26+Salon+de+th%C3%A9/data=!4m7!3m6!1s0x12e331ba120ff577:0xe5ed3abcf3c13f4!8m2!3d37.0396125!4d9.6633906!16s%2Fg%2F11sddnqfq2!19sChIJd_UPErox4xIR9BM8z6vTXg4?authuser=0&hl=fr&rclk=1
ChIJQaP4_QMx4xIR53CiH68aAGk,Resturant Cukur Mateur,,False,3,,Resturant Cukur Mateur (proprietaire),https://www.google.com/maps/contrib/118416700912014405833,https://lh5.googleusercontent.com/p/AF1QipNQt3mDbCrI1v1GnCxSiNkMzx8exKhfgRdG2M6Z=w408-h544-k-no,Restaurant,Restaurant,4.7,Ouvert 24h/24,,23 526 510,"Resturant Cukur Mateur, Rue Algerie, Mateur 7030",,https://www.google.com/maps/place/Resturant+Cukur+Mateur/data=!4m7!3m6!1s0x12e33103fdf8a341:0x69001aaf1fa270e7!8m2!3d37.0373567!4d9.6639873!16s%2Fg%2F11tgc90m88!19sChIJQaP4_QMx4xIR53CiH68aAGk?authuser=0&hl=fr&rclk=1
ChIJmfuI4ZYx4xIR9rZ8gbRy0rM,Rapido Food,,False,3,,Rapido Food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNCsDH8udMQtKT3j62QtWKLh4dpEB7Fs7kx6wtx=w533-h240-k-no,Restauration rapide,Restauration rapide,4.3,Ouvert 24h/24,,55 829 589,"2MQ8+GRP Rapido Food, Av. Habib Bourguiba, Mateur",,https://www.google.com/maps/place/Rapido+Food/data=!4m7!3m6!1s0x12e33196e188fb99:0xb3d272b4817cb6f6!8m2!3d37.038844!4d9.6670783!16s%2Fg%2F11qq2g06gt!19sChIJmfuI4ZYx4xIR9rZ8gbRy0rM?authuser=0&hl=fr&rclk=1
ChIJA0qpNS8x4xIR_usA6YcvfLY,Restaurant Aam Rchid,,False,3,,Restaurant Aam Rchid (proprietaire),,,Restaurant,Restaurant,4.3,,,,"2MQ8+96P Restaurant Aam Rchid, Unnamed Road, Mateur",,https://www.google.com/maps/place/Restaurant+Aam+Rchid/data=!4m7!3m6!1s0x12e3312f35a94a03:0xb67c2f87e900ebfe!8m2!3d37.0384675!4d9.6655714!16s%2Fg%2F11f8nyw3fn!19sChIJA0qpNS8x4xIR_usA6YcvfLY?authuser=0&hl=fr&rclk=1
ChIJQ4JZJ48x4xIR8yBjUKNoXl8,mT`m lshml,,False,3,,mT`m lshml (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPtR9jd4h7cpy7HK5P0oJNKEuVegSY8wlIyzOK9=w408-h470-k-no,Restaurant,Restaurant,4,09:00-17:00,,22 129 680,"2MQ7+QH5 mT`m lshml, Mateur",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84%E2%80%AD/data=!4m7!3m6!1s0x12e3318f27598243:0x5f5e68a3506320f3!8m2!3d37.0394868!4d9.663579!16s%2Fg%2F11tmz_sj9b!19sChIJQ4JZJ48x4xIR8yBjUKNoXl8?authuser=0&hl=fr&rclk=1
ChIJ_66eGfox4xIReAuz0bhpzI8,mshwy l'ndls,,False,2,,mshwy l'ndls (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNxNYWA_hI13K_Dq8Xa4QKZvDUQB-3r7IKt8noB=w408-h272-k-no,Restaurant,Restaurant,5,Ouvert 24h/24,,99 949 665,"2MQP+MJH mshwy l'ndls, Cite Promeco, Mateur 7030",,https://www.google.com/maps/place/%D9%85%D8%B4%D8%A7%D9%88%D9%8A+%D8%A7%D9%84%D9%B1%D9%86%D8%AF%D9%84%D8%B3%E2%80%AD/data=!4m7!3m6!1s0x12e331fa199eaeff:0x8fcc69b8d1b30b78!8m2!3d37.0369725!4d9.6861193!16s%2Fg%2F11v3rkctrb!19sChIJ_66eGfox4xIReAuz0bhpzI8?authuser=0&hl=fr&rclk=1
ChIJc3l7-qsx4xIRq8yELP3LwrM,Arabica,,False,2,https://arabicafastfood.com/,Arabica (proprietaire),https://www.google.com/maps/contrib/106104074487884586880,https://lh5.googleusercontent.com/p/AF1QipM1mTMfJvdUtERXnGXs0S5MtJsKUKTrxEqIXHKk=w426-h240-k-no,Restaurant,Restaurant,4.5,05:00-23:00,dimanche,99 501 901,"2MQ7+W8Q Arabica, Mateur",,https://www.google.com/maps/place/Arabica/data=!4m7!3m6!1s0x12e331abfa7b7973:0xb3c2cbfd2c84ccab!8m2!3d37.0398375!4d9.6633594!16s%2Fg%2F11svqgjkqx!19sChIJc3l7-qsx4xIRq8yELP3LwrM?authuser=0&hl=fr&rclk=1
