place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJWaLmBf4pVRIRTLMPRNrV_0o,Dar Dhiafa Medenine,,False,449,,Dar Dhiafa Medenine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMNydPCC8F3fTYwMW-qxh-IdZtLXhYoLMriGaTH=w408-h306-k-no,Restaurant,Restaurant,4.2,10:00-00:00,,50 680 673,"8GXF+MPQ Dar Dhiafa Medenine, Medenine","enfants, espace, famille, jeux, hygiene, serveurs, grillades, confort, proprete, animaux",https://www.google.com/maps/place/Dar+Dhiafa+Medenine/data=!4m7!3m6!1s0x125529fe05e6a259:0x4affd5da440fb34c!8m2!3d33.349218!4d10.5243652!16s%2Fg%2F11cs6kt9yf!19sChIJWaLmBf4pVRIRTLMPRNrV_0o?authuser=0&hl=fr&rclk=1
ChIJIwiE1fIpVRIRZhGEE2h98Kc,cheesy,,False,64,https://instagram.com/cheesy.md%3Futm_medium%3Dcopy_link,cheesy (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNEfSrBo1L6gQqsZ80LHP1Fv_Vuz901bDJLXmoo=w426-h240-k-no,Restaurant,"Restaurant, Pizzeria",4.1,11:00-00:00,,98 157 475,"9G29+6RR cheesy, P1, Medenine","hamburgers, tacos, fast food, pizza, cheese",https://www.google.com/maps/place/cheesy/data=!4m7!3m6!1s0x125529f2d5840823:0xa7f07d6813841166!8m2!3d33.3506038!4d10.5195165!16s%2Fg%2F11rg9m_3tp!19sChIJIwiE1fIpVRIRZhGEE2h98Kc?authuser=0&hl=fr&rclk=1
ChIJK5ppUN3XVBIRPVXQzCMg--g,Hallway Coffee Shop,,False,32,https://www.cafehallway.com/,Hallway Coffee Shop (proprietaire),https://www.google.com/maps/contrib/113963423612672992205,https://lh5.googleusercontent.com/p/AF1QipOPTv8wWZzP_jTRsttIfkf42ZVZVUDzFT2zHmRB=w408-h544-k-no,Cafe,Cafe,4.1,06:45-21:00,,,"Hallway Coffee Shop, 8FVQ+RXV Medenine hallway",,https://www.google.com/maps/place/Hallway+Coffee+Shop/data=!4m7!3m6!1s0x1254d7dd50699a2b:0xe8fb2023ccd0553d!8m2!3d33.3445625!4d10.4899375!16s%2Fg%2F11p66drnbk!19sChIJK5ppUN3XVBIRPVXQzCMg--g?authuser=0&hl=fr&rclk=1
ChIJOYyd5EsrVRIRJ6HWy-BPMVs,Rachid & Sophie,,False,28,,Rachid & Sophie (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN8QZUsrb8iDwQcBel1FQhqt_uCCtmvyrYawWtZ=w408-h306-k-no,Restaurant familial,Restaurant familial,4.9,12:00-22:00,lundi,20 946 915,"9H52+PM5 Rachid & Sophie, Medenine",anecdotes,https://www.google.com/maps/place/Rachid+%26+Sophie/data=!4m7!3m6!1s0x12552b4be49d8c39:0x5b314fe0cbd6a127!8m2!3d33.3592737!4d10.551729!16s%2Fg%2F11lkgn0myk!19sChIJOYyd5EsrVRIRJ6HWy-BPMVs?authuser=0&hl=fr&rclk=1
ChIJyWPSHfLXVBIRpHInkF-HcZE,Dar el Hout - dr lHwt,,False,20,https://www.facebook.com/pg/Dar-el-Hout-%25D8%25AF%25D8%25A7%25D8%25B1-%25D8%25A7%25D9%2584%25D8%25AD%25D9%2588%25D8%25AA-109172293953428/,Dar el Hout - dr lHwt (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNTofVBEMGAtHYEPitXG-4JdLvBQOeMBWQVmlX9=w408-h544-k-no,Restaurant,Restaurant,4.5,,,52 588 298,"8FMP+7XP Dar el Hout - dr lHwt, Medenine 4100",,https://www.google.com/maps/place/Dar+el+Hout+-+%D8%AF%D8%A7%D8%B1+%D8%A7%D9%84%D8%AD%D9%88%D8%AA%E2%80%AD/data=!4m7!3m6!1s0x1254d7f21dd263c9:0x9171875f902772a4!8m2!3d33.3332187!4d10.4874428!16s%2Fg%2F11j5454yk2!19sChIJyWPSHfLXVBIRpHInkF-HcZE?authuser=0&hl=fr&rclk=1
ChIJz1J8LMTXVBIRcLS1DS8hFA4,mntzh lfSwl lrb`@,,False,18,,mntzh lfSwl lrb`@ (proprietaire),https://www.google.com/maps/contrib/114122265473571410730,https://lh5.googleusercontent.com/p/AF1QipMB207ueKOW246r1ccfOI7bQsPcwV9ktkdZBZ6p=w408-h264-k-no,Cafe,Cafe,4,07:00-00:00,,75 646 887,"mntzh lfSwl lrb`@, C113, Medenine",,https://www.google.com/maps/place/%D9%85%D9%86%D8%AA%D8%B2%D9%87+%D8%A7%D9%84%D9%81%D8%B5%D9%88%D9%84+%D8%A7%D9%84%D8%A7%D8%B1%D8%A8%D8%B9%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x1254d7c42c7c52cf:0xe14212f0db5b470!8m2!3d33.3369152!4d10.4703814!16s%2Fg%2F11c45p6755!19sChIJz1J8LMTXVBIRcLS1DS8hFA4?authuser=0&hl=fr&rclk=1
ChIJa5onxC3WVBIRt-UFm9Ja-fw,Macdoner,,False,15,,Macdoner (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMXsTLjJAbiWnZVobpdTN6LFo-QTe-ihz-FEi6g=w408-h299-k-no,Restaurant,Restaurant,4.5,,,50 075 617,"8FRQ+WMV Macdoner, Medenine",,https://www.google.com/maps/place/Macdoner/data=!4m7!3m6!1s0x1254d62dc4279a6b:0xfcf95ad29b05e5b7!8m2!3d33.3423632!4d10.4891745!16s%2Fg%2F11d_w__5mz!19sChIJa5onxC3WVBIRt-UFm9Ja-fw?authuser=0&hl=fr&rclk=1
ChIJPTxLHLLXVBIR7XGTIysCQ-w,Restaurant ralliement,,False,14,https://www.facebook.com/Restaurant-Caf%25C3%25A9-ralliement-101080675532473,Restaurant ralliement (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNNIPH8QugwfeZ-b6OvWi7P-RI1tjj3VRhRov7D=w408-h544-k-no,Restaurant,Restaurant,4,07:00-22:00,,,"8FXV+VW4 Restaurant ralliement, Medenine 4100",,https://www.google.com/maps/place/Restaurant+ralliement/data=!4m7!3m6!1s0x1254d7b21c4b3c3d:0xec43022b239371ed!8m2!3d33.3496386!4d10.4948168!16s%2Fg%2F11pv_8kzsx!19sChIJPTxLHLLXVBIR7XGTIysCQ-w?authuser=0&hl=fr&rclk=1
ChIJUU6no57XVBIR0q_AvgLVSVc,Le Soixante-Quinze Fricasse et Sandwich,,False,14,,Le Soixante-Quinze Fricasse et Sandwich (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPF4Btj7nUH3XbuW3-p7cxW2esJ3kQ1q3qbTYHH=w533-h240-k-no,Restauration rapide,Restauration rapide,4,09:00-22:00,,56 780 041,"8FVQ+4XW Le Soixante-Quinze Fricasse et Sandwich, Medenine",,https://www.google.com/maps/place/Le+Soixante-Quinze+Fricass%C3%A9+et+Sandwich/data=!4m7!3m6!1s0x1254d79ea3a74e51:0x5749d502bec0afd2!8m2!3d33.3428604!4d10.4899599!16s%2Fg%2F11j4wvzh0h!19sChIJUU6no57XVBIR0q_AvgLVSVc?authuser=0&hl=fr&rclk=1
ChIJHQV0rjfXVBIRW91JLdXtcEQ,Creperie Nutella,,False,12,https://www.facebook.com/creperienutella.officiel/,Creperie Nutella (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNnEDZMNkg-BuCPJQl-cUbxnXpPS2YLyReOe6pd=w408-h272-k-no,Creperie,Creperie,4.3,,,24 404 005,"8FVQ+7Q5 Creperie Nutella, Medenine",,https://www.google.com/maps/place/Cr%C3%AAperie+Nutella/data=!4m7!3m6!1s0x1254d737ae74051d:0x4470edd52d49dd5b!8m2!3d33.3431432!4d10.48947!16s%2Fg%2F11fszqn42y!19sChIJHQV0rjfXVBIRW91JLdXtcEQ?authuser=0&hl=fr&rclk=1
