place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJpc3DmerB_BIRByqkbis5r1c,Restaurant hassen mT`m Hsn,,False,11,,Restaurant hassen mT`m Hsn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMx588yf196faeT9X9MoDmke_E4aMTQy_xeeGbu=w532-h240-k-no,Restaurant,Restaurant,4.5,,,,"JJWJ+FH2 Restaurant hassen mT`m Hsn, av.habib bourguiba, Medjez el Bab",,https://www.google.com/maps/place/Restaurant+hassen+%D9%85%D8%B7%D8%B9%D9%85+%D8%AD%D8%B3%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12fcc1ea99c3cda5:0x57af392b6ea42a07!8m2!3d36.6461299!4d9.6313874!16s%2Fg%2F11rcq73z2n!19sChIJpc3DmerB_BIRByqkbis5r1c?authuser=0&hl=fr&rclk=1
ChIJu5LvmArH_BIRq4hHPHEGivc,Restaurant Hela,,False,9,,Restaurant Hela (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOO5gyQ-np6v38DcAQUFErQqUXs6h3Kf41P6ctw=w408-h544-k-no,Grillades,Grillades,5,,,97 763 613,"Restaurant Hela, Rue Union du Grand Maghreb",,https://www.google.com/maps/place/Restaurant+Hela/data=!4m7!3m6!1s0x12fcc70a98ef92bb:0xf78a06713c4788ab!8m2!3d36.653546!4d9.5884792!16s%2Fg%2F11h6ffsj06!19sChIJu5LvmArH_BIRq4hHPHEGivc?authuser=0&hl=fr&rclk=1
ChIJt58yOs3D_BIRr5DKaClVkx8,mshw~ khmws l`ydn,,False,8,,mshw~ khmws l`ydn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNxPmQ5hqCiQWmHOcSxr4dpqEO55mpu6xwFoP6P=w408-h306-k-no,Restaurant,Restaurant,5,09:00-17:00,,,"JMW4+XWG mshw~ khmws l`ydn, P5, `ydn,",,https://www.google.com/maps/place/%D9%85%D8%B4%D9%88%D9%89+%D8%AE%D9%85%D9%88%D8%B3+%D8%A7%D9%84%D8%B9%D9%8A%D8%AF%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12fcc3cd3a329fb7:0x1f93552968ca90af!8m2!3d36.6474302!4d9.65734!16s%2Fg%2F11fl0tf2td!19sChIJt58yOs3D_BIRr5DKaClVkx8?authuser=0&hl=fr&rclk=1
ChIJlTz8GsvB_BIR3PA6J6Pda_w,CASA PASTA restaurant pizzeria,,False,6,,CASA PASTA restaurant pizzeria (proprietaire),https://www.google.com/maps/contrib/102238118806268514466,https://lh5.googleusercontent.com/p/AF1QipM-kEMZTy4Po-nJqDohJRXRsq5uENTxila3PTy0=w408-h306-k-no,Restaurant,"Restaurant, Pizzeria",5,10:00-00:00,,26 672 707,"CASA PASTA restaurant pizzeria, EL ARGOUB, Majaz Al Bab 9070",,https://www.google.com/maps/place/CASA+PASTA+restaurant+pizzeria/data=!4m7!3m6!1s0x12fcc1cb1afc3c95:0xfc6bdda3273af0dc!8m2!3d36.6462241!4d9.6318448!16s%2Fg%2F11j90rzzrg!19sChIJlTz8GsvB_BIR3PA6J6Pda_w?authuser=0&hl=fr&rclk=1
ChIJT3y3pbXH_BIR0KzZY9VqlKk,Mamma Mia,,False,6,,Mamma Mia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMi1IpemysJWtddiQVvn5qm-tdQl5CbWgaPHWTB=w408-h541-k-no,Pizzeria,Pizzeria,4.7,,,,"MH3P+GXW Mamma Mia, Majaz Al Bab",,https://www.google.com/maps/place/Mamma+Mia/data=!4m7!3m6!1s0x12fcc7b5a5b77c4f:0xa9946ad563d9acd0!8m2!3d36.6539071!4d9.5874903!16s%2Fg%2F11twg8rt_2!19sChIJT3y3pbXH_BIR0KzZY9VqlKk?authuser=0&hl=fr&rclk=1
ChIJrXVGITXB_BIR6HjMPdUnc0w,restaurant ferjani,,False,5,,restaurant ferjani (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPakC1QL_U3cinP42sqjxJEp4GbcFV8UMMp4XCj=w408-h544-k-no,Restaurant,Restaurant,4.8,Ouvert 24h/24,,90 309 965,"MJ25+6P4 restaurant ferjani, Majaz Al Bab",,https://www.google.com/maps/place/restaurant+ferjani/data=!4m7!3m6!1s0x12fcc135214675ad:0x4c7327d53dcc78e8!8m2!3d36.6505059!4d9.609339!16s%2Fg%2F11d_x00yjx!19sChIJrXVGITXB_BIR6HjMPdUnc0w?authuser=0&hl=fr&rclk=1
ChIJ_47TfQTB_BIR6-k05X76Nrg,Boum Boum pizza & grill,,False,5,,Boum Boum pizza & grill (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO3G5bOvzItb5cRdCl8n11he1zTwI4xhtPq9jTa=w408-h640-k-no,Pizzeria,Pizzeria,4.2,,,90 185 736,"JJWG+4J Boum Boum pizza & grill, Majaz Al Bab",,https://www.google.com/maps/place/Boum+Boum+pizza+%26+grill/data=!4m7!3m6!1s0x12fcc1047dd38eff:0xb836fa7ee534e9eb!8m2!3d36.645317!4d9.6265347!16s%2Fg%2F11rp8xs_4g!19sChIJ_47TfQTB_BIR6-k05X76Nrg?authuser=0&hl=fr&rclk=1
ChIJc7xz0WfB_BIR0WJPwuSdn_I,NOUBA HAPPY FOOD,,False,4,,NOUBA HAPPY FOOD (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPwhQiBk1cXUUs2Sw6m7r4_mzOCJySz1EFJKDwS=w408-h306-k-no,Restaurant,Restaurant,5,Ouvert 24h/24,,21 000 375,"MJ24+4Q7 NOUBA HAPPY FOOD, Majaz Al Bab",,https://www.google.com/maps/place/NOUBA+HAPPY+FOOD/data=!4m7!3m6!1s0x12fcc167d173bc73:0xf29f9de4c24f62d1!8m2!3d36.6502816!4d9.6069083!16s%2Fg%2F11qmbgvy69!19sChIJc7xz0WfB_BIR0WJPwuSdn_I?authuser=0&hl=fr&rclk=1
ChIJsVvoEeXB_BIR0_SvwjtAxj4,The Tasty Snack,,False,4,,The Tasty Snack (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOtapHN2y60h6KQ0cDw5bBQ9Z_fG1Ry1U-b_5g=w408-h361-k-no,Pizzeria,Pizzeria,5,,,51 799 441,"JJWC+WH The Tasty Snack, Majaz Al Bab",,https://www.google.com/maps/place/The+Tasty+Snack/data=!4m7!3m6!1s0x12fcc1e511e85bb1:0x3ec6403bc2aff4d3!8m2!3d36.6473738!4d9.6215431!16s%2Fg%2F11s0x90y5f!19sChIJsVvoEeXB_BIR0_SvwjtAxj4?authuser=0&hl=fr&rclk=1
ChIJLe9J9jXB_BIRuQJwJGlT-iA,TopKapi,,False,3,,TopKapi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP0lilZrQGaLhGuE3MZ5m8jC8moxunkhNeMV4QG=w408-h725-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,5,07:00-23:00,,50 712 488,"JJW6+6RP TopKapi, Rue de palestine, Majaz Al Bab",,https://www.google.com/maps/place/TopKapi/data=!4m7!3m6!1s0x12fcc135f649ef2d:0x20fa5369247002b9!8m2!3d36.6455892!4d9.6120868!16s%2Fg%2F11f10g2l0d!19sChIJLe9J9jXB_BIRuQJwJGlT-iA?authuser=0&hl=fr&rclk=1
