place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJTwsTSinLAhMR2bHDSQNT7ss,"Le Pavillon Bleu, Menzel Temime",,False,29,,"Le Pavillon Bleu, Menzel Temime (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipP01rd1M9-E7eQFAyuYo2DC4i-4xDetAJ4btKL-=w408-h306-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.1,,,20 117 259,"Q2C5+9H8 Le Pavillon Bleu, Menzel Temime, Manzil Tamim",,"https://www.google.com/maps/place/Le+Pavillon+Bleu,+Menzel+Temime/data=!4m7!3m6!1s0x1302cb294a130b4f:0xcbee530349c3b1d9!8m2!3d36.7709022!4d11.0089469!16s%2Fg%2F11gjl_y16w!19sChIJTwsTSinLAhMR2bHDSQNT7ss?authuser=0&hl=fr&rclk=1"
ChIJycsveDI1HRMRt_XgozwNLl0,Restaurant L'horizon Bleu,,False,26,https://www.facebook.com/groups/71532829035/%3Ffref%3Dts,Restaurant L'horizon Bleu (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM-vrazVWjPbhIrGoNFB_JODVsbgekyCUZVMUI7=w408-h306-k-no,Restaurant,Restaurant,4.4,11:00-00:00,,72 348 999,"Q2Q7+CR2 Restaurant L'horizon Bleu, sydy jml ldyn",,https://www.google.com/maps/place/Restaurant+L%27horizon+Bleu/data=!4m7!3m6!1s0x131d3532782fcbc9:0x5d2e0d3ca3e0f5b7!8m2!3d36.7885052!4d11.0145059!16s%2Fg%2F11csb2g98g!19sChIJycsveDI1HRMRt_XgozwNLl0?authuser=0&hl=fr&rclk=1
ChIJA7S5NKnKAhMRytIdM5BV6kw,La Reine,,False,23,,La Reine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOliej92YGDAaCXQDQdGnbTyOtxpkZgMQtmJvPX=w408-h544-k-no,Restaurant,Restaurant,4.5,11:00-00:00,,23 109 542,"QXJP+7GC La Reine, Manzil Tamim",,https://www.google.com/maps/place/La+Reine/data=!4m7!3m6!1s0x1302caa934b9b403:0x4cea5590331dd2ca!8m2!3d36.7806836!4d10.986256!16s%2Fg%2F11f11twfqg!19sChIJA7S5NKnKAhMRytIdM5BV6kw?authuser=0&hl=fr&rclk=1
ChIJ8fYhgQoj4xIRpSdNzFDgTxI,Restaurant Manchou,,False,14,,Restaurant Manchou (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOwVDBoDirq2cAJJC4Tsz_iC-WQJOY6eeAdtEck=w408-h544-k-no,Restaurant,Restaurant,4.9,,,,"5Q3V+HPC Restaurant Manchou, rue de Corse, Menzel Bourguiba",,https://www.google.com/maps/place/Restaurant+Manchou/data=!4m7!3m6!1s0x12e3230a8121f6f1:0x124fe050cc4d27a5!8m2!3d37.15394!4d9.794281!16s%2Fg%2F11h9g8md__!19sChIJ8fYhgQoj4xIRpSdNzFDgTxI?authuser=0&hl=fr&rclk=1
ChIJRQqFnjhX_RIRCiHkMeEHjAc,Vertigo,,False,12,,Vertigo (proprietaire),https://www.google.com/maps/contrib/104239413550613263432,https://lh5.googleusercontent.com/p/AF1QipP0SzsEHOW_jm0u9wXhSe0xULcLRmH99-ayBDAr=w408-h306-k-no,Cafe,Cafe,4.3,05:00-00:00,,22 227 778,"Vertigo, Menzel Bou Zelfa",,https://www.google.com/maps/place/Vertigo/data=!4m7!3m6!1s0x12fd57389e850a45:0x78c07e131e4210a!8m2!3d36.6769679!4d10.5840122!16s%2Fg%2F11ry25ygk1!19sChIJRQqFnjhX_RIRCiHkMeEHjAc?authuser=0&hl=fr&rclk=1
ChIJS1b9IQPLAhMRWCAZTHaXpUs,Restaurant du marche,,False,12,,Restaurant du marche (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOqck9P7WVx3zLwvODVJuZ-KBnt9vSMuRBhsKG6=w426-h240-k-no,Restaurant,Restaurant,4.9,,,,"QXMQ+277 Restaurant du marche, Mohsen bouaziz, Rue, Manzil Tamim",,https://www.google.com/maps/place/Restaurant+du+march%C3%A9/data=!4m7!3m6!1s0x1302cb0321fd564b:0x4ba597764c192058!8m2!3d36.7825116!4d10.9885252!16s%2Fg%2F11s8wggc_7!19sChIJS1b9IQPLAhMRWCAZTHaXpUs?authuser=0&hl=fr&rclk=1
ChIJseSxhqXKAhMRhn4s7cXak-U,africano resto,,False,10,,africano resto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOxatDEAKOBYjhx5uCtOQgRp9R-bHn8Zysee4Cr=w408-h306-k-no,Restaurant,Restaurant,4.6,Ouvert 24h/24,,55 900 358,"africano resto, C27, Manzil Tamim",,https://www.google.com/maps/place/africano+resto/data=!4m7!3m6!1s0x1302caa586b1e4b1:0xe593dac5ed2c7e86!8m2!3d36.7765094!4d10.9887729!16s%2Fg%2F11f2wcxk3x!19sChIJseSxhqXKAhMRhn4s7cXak-U?authuser=0&hl=fr&rclk=1
ChIJxfiMwINX_RIR8zkO-Oucemo,Pizza Napoli,,False,9,,Pizza Napoli (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPJMl3f7o8QxFSj9GMQEUnrCJfzeXNVqAa81eyY=w426-h240-k-no,Pizzeria,Pizzeria,5,19:00-01:00,"lundi, mardi",,"Pizza Napoli, RR42, Menzel Bou Zelfa",,https://www.google.com/maps/place/Pizza+Napoli/data=!4m7!3m6!1s0x12fd5783c08cf8c5:0x6a7a9cebf80e39f3!8m2!3d36.6701357!4d10.5854293!16s%2Fg%2F11q27q7dvw!19sChIJxfiMwINX_RIR8zkO-Oucemo?authuser=0&hl=fr&rclk=1
ChIJR7mxILkf4xIRGCNRQFzPstQ,THE MIXTE Cafe Restaurant Chicha Soiree Dansante,,False,8,,THE MIXTE Cafe Restaurant Chicha Soiree Dansante (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNXU_cXvpQj4y0pworyxuuCbwzvbpCnfJ1uioWD=w408-h725-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.5,04:30-03:30,,55 229 266,"THE MIXTE Cafe Restaurant Chicha Soiree Dansante, 46 Ave Habib Bourguiba, Menzel Abderrahmen",,https://www.google.com/maps/place/THE+MIXTE+Caf%C3%A9+Restaurant+Chicha+Soir%C3%A9e+Dansante/data=!4m7!3m6!1s0x12e31fb920b1b947:0xd4b2cf5c40512318!8m2!3d37.2333483!4d9.8674436!16s%2Fg%2F11gtd25s5g!19sChIJR7mxILkf4xIRGCNRQFzPstQ?authuser=0&hl=fr&rclk=1
ChIJXdbOrKdX_RIR-5qkFG7qo_s,mqh~ bn `ly@,,False,6,,mqh~ bn `ly@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNR5toaxCL47EQT7BfIoYokfSsnx0br1gsQoRZ4=w408-h408-k-no,Cafe,Cafe,4.5,04:00-23:59,,,"MHMG+MXJ mqh~ bn `ly@, Manzil Bu Zalafah",,https://www.google.com/maps/place/%D9%85%D9%82%D9%87%D9%89+%D8%A8%D9%86+%D8%B9%D9%84%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd57a7acced65d:0xfba3ea6e14a49afb!8m2!3d36.6842116!4d10.5774039!16s%2Fg%2F11c76g1m2c!19sChIJXdbOrKdX_RIR-5qkFG7qo_s?authuser=0&hl=fr&rclk=1
ChIJ38nKpadX_RIRWxZ8AnsDsEg,Pizza Show Time,,False,5,,Pizza Show Time (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNDnkbt_xswmaSIcT1sAH29gyYgpmAtHysHfO6s=w408-h544-k-no,Restaurant,Restaurant,4.6,07:30-23:30,dimanche,21 075 169,"MHMG+PMJ Pizza Show Time, Rue Mongi Slim, Manzil Bu Zalafah",,https://www.google.com/maps/place/Pizza+Show+Time/data=!4m7!3m6!1s0x12fd57a7a5cac9df:0x48b0037b027c165b!8m2!3d36.6843436!4d10.5766438!16s%2Fg%2F11c2p90gq6!19sChIJ38nKpadX_RIRWxZ8AnsDsEg?authuser=0&hl=fr&rclk=1
ChIJo_8cfKRX_RIR2REYzcrcJIA,Cafe Ayeb,,False,5,,Cafe Ayeb (proprietaire),,,Cafe,Cafe,4.2,,,,"MHJM+85C Cafe Ayeb, Manzil Bu Zalafah",,https://www.google.com/maps/place/Caf%C3%A9+Ayeb/data=!4m7!3m6!1s0x12fd57a47c1cffa3:0x8024dccacd1811d9!8m2!3d36.6808127!4d10.582883!16s%2Fg%2F11cn9n534q!19sChIJo_8cfKRX_RIR2REYzcrcJIA?authuser=0&hl=fr&rclk=1
