place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJSy8G-DUe4xIRugnpFsxjsPc,Restaurant Le Sport Nautique,,False,286,https://www.facebook.com/pages/Restaurant-Le-Sport-Nautique/139232646147524,Restaurant Le Sport Nautique (proprietaire),https://www.google.com/maps/contrib/104731619979713089987,https://lh5.googleusercontent.com/p/AF1QipPhgenX5gaji_wdUZ0MC2VHQuTfrwbLiHFhZlki=w408-h306-k-no,Restaurant,Restaurant,4,"12:00-15:00, 19:00-23:00",,72 432 262,"Restaurant Le Sport Nautique, Quai Tarak Ibn Ziad, Bizerte 7000","prix, serveurs, service, vue, fruits de mer, poissons, fumeurs, moyenne, entree, terrasse",https://www.google.com/maps/place/Restaurant+Le+Sport+Nautique/data=!4m7!3m6!1s0x12e31e35f8062f4b:0xf7b063cc16e909ba!8m2!3d37.272484!4d9.879922!16s%2Fg%2F1tj5t40n!19sChIJSy8G-DUe4xIRugnpFsxjsPc?authuser=0&hl=fr&rclk=1
ChIJQe0Uukke4xIRblXdVHZ_wQI,Bedouin bizerte,,False,173,https://www.facebook.com/Cafe.Le.Bedouin/,Bedouin bizerte (proprietaire),https://www.google.com/maps/contrib/100177032417698152239,https://lh5.googleusercontent.com/p/AF1QipMJILFHeQW5HwNIcvSY7DuprXl7-2VmLXeEnHLo=w408-h272-k-no,Restaurant,"Restaurant, Patisserie",4.2,06:00-02:00,,53 505 050,"Bedouin bizerte, Bizerte","prix, experience, brunch, serveurs, dessert, concept, succulents, pates, souriant, equipe",https://www.google.com/maps/place/Bedouin+bizerte/data=!4m7!3m6!1s0x12e31e49ba14ed41:0x2c17f7654dd556e!8m2!3d37.2753873!4d9.877558!16s%2Fg%2F11c1q46c1n!19sChIJQe0Uukke4xIRblXdVHZ_wQI?authuser=0&hl=fr&rclk=1
ChIJdRxe5Ege4xIRDEt6htIAg_g,Restaurant EL KSIBA,,False,144,,Restaurant EL KSIBA (proprietaire),https://www.google.com/maps/contrib/111216135188761267779,https://lh5.googleusercontent.com/p/AF1QipMoqt5wOSuzh_7mRnyuPJ7W_K67CUhpoY4xMxE7=w408-h306-k-no,Restaurant,Restaurant,4,09:00-22:30,lundi,54 209 093,"Restaurant EL KSIBA, Vieux port la Ksiba, Bizerte","prix, entrees, soupe, dessert, fruits de mer, crevettes, terrasse, gargoulette, marmite, pecheur",https://www.google.com/maps/place/Restaurant+EL+KSIBA/data=!4m7!3m6!1s0x12e31e48e45e1c75:0xf88300d2867a4b0c!8m2!3d37.2765944!4d9.875819!16s%2Fg%2F11cn76ls6f!19sChIJdRxe5Ege4xIRDEt6htIAg_g?authuser=0&hl=fr&rclk=1
ChIJ4fBuw-wf4xIR0EYYHuhFTK8,Piccolino,,False,136,,Piccolino (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMBlpq7w4yhC12blRKpG4xjUpQGAd86s4lSJGV-=w427-h240-k-no,Restaurant,Restaurant,4.1,07:00-23:45,,50 359 103,"7VW8+QJ7 Piccolino, Rue de Bizerte, Gabes","prix, service, salade, serveur, fruits de mer, pizza, burger, sauce, gratin, pain",https://www.google.com/maps/place/Piccolino/data=!4m7!3m6!1s0x12e31fecc36ef0e1:0xaf4c45e81e1846d0!8m2!3d37.2969052!4d9.8665507!16s%2Fg%2F11fn9_n2ky!19sChIJ4fBuw-wf4xIR0EYYHuhFTK8?authuser=0&hl=fr&rclk=1
ChIJQy8-_TUf4xIRRFnPIWeffwc,HIPPO LAND,,False,74,https://www.facebook.com/HIPPOLAND.BIZERTE/,HIPPO LAND (proprietaire),https://www.google.com/maps/contrib/108881130187463447912,https://lh5.googleusercontent.com/p/AF1QipMJproXrQHkXngsNAGh25bG4uf-OsMxojE-jv9-=w426-h240-k-no,Centre de loisirs,"Centre de loisirs, Restaurant",4.3,08:00-22:00,lundi,97 716 000,"HIPPO LAND, Boulevard Habib Bougatfa,, Bizerte","prix, aires de jeux, service, pates, cafe",https://www.google.com/maps/place/HIPPO+LAND/data=!4m7!3m6!1s0x12e31f35fd3e2f43:0x77f9f6721cf5944!8m2!3d37.2842746!4d9.8731983!16s%2Fg%2F11j1kh3fk_!19sChIJQy8-_TUf4xIRRFnPIWeffwc?authuser=0&hl=fr&rclk=1
ChIJhW2H3Xoe4xIRhKNpStwyZVQ,Cabana Restaurant,,False,65,,Cabana Restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOVnBWBhcDOGxQS0ZL2QAjH7BBr2sQj2TqZjUjr=w408-h306-k-no,Restaurant,Restaurant,4,09:30-02:00,,50 839 177,"8V28+V9F Cabana Restaurant, North, Bizerte","prix, baguette, pizza",https://www.google.com/maps/place/Cabana+Restaurant/data=!4m7!3m6!1s0x12e31e7add876d85:0x546532dc4a69a384!8m2!3d37.3021889!4d9.8659212!16s%2Fg%2F11f1k4xz1n!19sChIJhW2H3Xoe4xIRhKNpStwyZVQ?authuser=0&hl=fr&rclk=1
ChIJeSTy1QUf4xIRQt9__oAD2vk,Restaurant Joba,,False,52,https://www.facebook.com/Restaurant.Joba,Restaurant Joba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPobJG-7dvGfG5yZ7Vqii-uZY9a3wJ0kmFzljFK=w408-h544-k-no,Restaurant,Restaurant,4.2,Ouvert 24h/24,,96 156 730,"Restaurant Joba, 9 rue du premier mai, Bizerte","prix, serveur, assiette, quantite",https://www.google.com/maps/place/Restaurant+Joba/data=!4m7!3m6!1s0x12e31f05d5f22479:0xf9da0380fe7fdf42!8m2!3d37.2726875!4d9.8733813!16s%2Fg%2F11t88yv3lp!19sChIJeSTy1QUf4xIRQt9__oAD2vk?authuser=0&hl=fr&rclk=1
ChIJNffi_lwe4xIRAaN7FkeIMcA,Bianco Food,,False,49,,Bianco Food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMvJpOhGvHPmENbW0SGTW5lUgwh70pDPp_YYPhj=w408-h306-k-no,Restaurant,Restaurant,4.3,12:00-00:00,lundi,,"7VP8+X6G Bianco Food, Bizerte",pizza,https://www.google.com/maps/place/Bianco+Food/data=!4m7!3m6!1s0x12e31e5cfee2f735:0xc0318847167ba301!8m2!3d37.2874356!4d9.8655888!16s%2Fg%2F11g71sn947!19sChIJNffi_lwe4xIRAaN7FkeIMcA?authuser=0&hl=fr&rclk=1
ChIJPXKWVI0j4xIRKD4BOvAnjvE,mozart,,False,33,,mozart (proprietaire),https://www.google.com/maps/contrib/117826494194216585648,https://lh5.googleusercontent.com/p/AF1QipMxbNO_Maw3rvMPggKZZDxRe3mieBPmlu6c-gQ=w426-h240-k-no,Restaurant,Restaurant,4.1,09:00-00:00,,,"5Q5Q+JHX mozart, Ex. rue Colbert, Menzel Bourguiba",,https://www.google.com/maps/place/mozart/data=!4m7!3m6!1s0x12e3238d5496723d:0xf18e27f03a013e28!8m2!3d37.1584374!4d9.7899918!16s%2Fg%2F1yghd1cbm!19sChIJPXKWVI0j4xIRKD4BOvAnjvE?authuser=0&hl=fr&rclk=1
ChIJgxou7iQf4xIRKTX3-WEhLJw,Mr Tacos,,False,25,,Mr Tacos (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNRonMNhZ2h4AHel9rGVruOQLqaOcrvot6LgvpK=w408-h306-k-no,Restaurant,Restaurant,4.3,12:00-00:00,lundi,58 774 026,"7VX8+HGX Mr Tacos, Unnamed Road, Bizerte",tacos,https://www.google.com/maps/place/M%C5%99+%C5%A4%C3%A3%C4%8D%C3%B4%C5%A1/data=!4m7!3m6!1s0x12e31f24ee2e1a83:0x9c2c2161f9f73529!8m2!3d37.2989924!4d9.86637!16s%2Fg%2F11f6yf7t7x!19sChIJgxou7iQf4xIRKTX3-WEhLJw?authuser=0&hl=fr&rclk=1
