place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJPXKWVI0j4xIRKD4BOvAnjvE,mozart,,False,33,,mozart (proprietaire),https://www.google.com/maps/contrib/117826494194216585648,https://lh5.googleusercontent.com/p/AF1QipMxbNO_Maw3rvMPggKZZDxRe3mieBPmlu6c-gQ=w426-h240-k-no,Restaurant,Restaurant,4.1,09:00-00:00,,,"5Q5Q+JHX mozart, Ex. rue Colbert, Menzel Bourguiba",,https://www.google.com/maps/place/mozart/data=!4m7!3m6!1s0x12e3238d5496723d:0xf18e27f03a013e28!8m2!3d37.1584374!4d9.7899918!16s%2Fg%2F1yghd1cbm!19sChIJPXKWVI0j4xIRKD4BOvAnjvE?authuser=0&hl=fr&rclk=1
ChIJqRU9vZcj4xIRX3EReRriDbw,Taco's,,False,15,,Taco's (proprietaire),https://www.google.com/maps/contrib/113213232939081573933,https://lh5.googleusercontent.com/p/AF1QipN9qPuY1On61SLWowC3YM55Oy_WD4vrVtOLrmso=w408-h408-k-no,Restaurant de tacos,"Restaurant de tacos, Creperie, Restaurant de desserts",4.5,11:00-21:30,mardi,90 314 227,"Taco's, Av. de L'independance, Menzel Bourguiba 7050",,https://www.google.com/maps/place/Taco%27s/data=!4m7!3m6!1s0x12e32397bd3d15a9:0xbc0de21a7911715f!8m2!3d37.1567525!4d9.7858567!16s%2Fg%2F11nn2v0_0q!19sChIJqRU9vZcj4xIRX3EReRriDbw?authuser=0&hl=fr&rclk=1
ChIJ8fYhgQoj4xIRpSdNzFDgTxI,Restaurant Manchou,,False,14,,Restaurant Manchou (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOwVDBoDirq2cAJJC4Tsz_iC-WQJOY6eeAdtEck=w408-h544-k-no,Restaurant,Restaurant,4.9,,,,"5Q3V+HPC Restaurant Manchou, rue de Corse, Menzel Bourguiba",,https://www.google.com/maps/place/Restaurant+Manchou/data=!4m7!3m6!1s0x12e3230a8121f6f1:0x124fe050cc4d27a5!8m2!3d37.15394!4d9.794281!16s%2Fg%2F11h9g8md__!19sChIJ8fYhgQoj4xIRpSdNzFDgTxI?authuser=0&hl=fr&rclk=1
ChIJJ2t8GpYj4xIROQ7cfk4O_8c,Fast Food ORORO,,False,9,,Fast Food ORORO (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOVI0swSaMMN6u4v12ut0eAOsDbmeoe0KsPzjJZ=w408-h306-k-no,Restaurant,Restaurant,4.8,,,22 737 104,"5Q4W+36G Fast Food ORORO, Menzel Bourguiba",,https://www.google.com/maps/place/Fast+Food+ORORO/data=!4m7!3m6!1s0x12e323961a7c6b27:0xc7ff0e4e7edc0e39!8m2!3d37.1551814!4d9.7955805!16s%2Fg%2F11jn3srsl_!19sChIJJ2t8GpYj4xIROQ7cfk4O_8c?authuser=0&hl=fr&rclk=1
ChIJYxgp3fMj4xIRuhY3sTV67p4,Chez Rzouga restaurant,,False,8,,Chez Rzouga restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPw9-cby0wCWOsS2ChL4ZP58NlmAhzdjlmqJZLz=w427-h240-k-no,Restaurant,Restaurant,4.1,09:00-14:00,dimanche,,"5Q3W+R29 Chez Rzouga restaurant, Av. de l'Independance, Menzel Bourguiba 7050",,https://www.google.com/maps/place/Chez+Rzouga+restaurant/data=!4m7!3m6!1s0x12e323f3dd291863:0x9eee7a35b13716ba!8m2!3d37.1545263!4d9.7951142!16s%2Fg%2F11gbf8y_4k!19sChIJYxgp3fMj4xIRuhY3sTV67p4?authuser=0&hl=fr&rclk=1
ChIJI3qrRo4j4xIRY3d9RhggF9A,Cafe la Sirene,,False,8,,Cafe la Sirene (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8j1GGe1wEgNKmiOtCpme8w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=34.97193&pitch=0&thumbfov=100,Cafe,Cafe,4.6,,,,"5Q5M+34P Cafe la Sirene, Av. de L'independance, Menzel Bourguiba",,https://www.google.com/maps/place/Caf%C3%A9+la+Sir%C3%A9ne/data=!4m7!3m6!1s0x12e3238e46ab7a23:0xd0172018467d7763!8m2!3d37.157708!4d9.7828259!16s%2Fg%2F1hf418fwz!19sChIJI3qrRo4j4xIRY3d9RhggF9A?authuser=0&hl=fr&rclk=1
ChIJYW7-Zgwj4xIRaNAKk53BYIc,"L""escale",,False,8,https://best--restaurants.blogspot.com/,"L""escale (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipPlaQ_qCxPHTheou66A3-XSthXgS2CDIV6VcnRx=w426-h240-k-no,Restaurant,Restaurant,4.5,09:00-23:00,,,"5Q48+HHQ L""escale, P11, Menzel Bourguiba",,https://www.google.com/maps/place/L%22escale/data=!4m7!3m6!1s0x12e3230c66fe6e61:0x8760c19d930ad068!8m2!3d37.1564647!4d9.7664904!16s%2Fg%2F11gy639lpz!19sChIJYW7-Zgwj4xIRaNAKk53BYIc?authuser=0&hl=fr&rclk=1
ChIJVY0zX6Ij4xIReLRDzJeKTyk,HolyMoly Restaurant,,False,7,,HolyMoly Restaurant (proprietaire),https://www.google.com/maps/contrib/107710582262385714914,https://lh5.googleusercontent.com/p/AF1QipMez_ncurhB-MSOsUniURn9WF6JWj4I7B6xOy3u=w408-h305-k-no,Restauration rapide,Restauration rapide,4.4,Ouvert 24h/24,,25 123 580,"HolyMoly Restaurant, Menzel Bourguiba",,https://www.google.com/maps/place/HolyMoly+Restaurant/data=!4m7!3m6!1s0x12e323a25f338d55:0x294f8a97cc43b478!8m2!3d37.1526925!4d9.791291!16s%2Fg%2F11rl2hbc1f!19sChIJVY0zX6Ij4xIReLRDzJeKTyk?authuser=0&hl=fr&rclk=1
ChIJDU7zAPMj4xIRLvtENH5KQZM,Restaurant Ayari Wassef,,False,7,,Restaurant Ayari Wassef (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMU9YTYHfEP-uAkE_fRxKWyv4MJSDh7SHN8l-Bv=w408-h306-k-no,Restaurant,Restaurant,5,,,23 581 838,"5Q4V+63J Restaurant Ayari Wassef, Ex. rue Charles de Gaulle, Menzel Bourguiba",,https://www.google.com/maps/place/Restaurant+Ayari+Wassef/data=!4m7!3m6!1s0x12e323f300f34e0d:0x93414a7e3444fb2e!8m2!3d37.1556!4d9.792641!16s%2Fg%2F11f57ds9rp!19sChIJDU7zAPMj4xIRLvtENH5KQZM?authuser=0&hl=fr&rclk=1
ChIJL1CTBQAj4xIR_QURhaXtHqQ,fTyr bw`wn,,False,6,,fTyr bw`wn (proprietaire),https://www.google.com/maps/contrib/111510413733394435936,https://lh5.googleusercontent.com/p/AF1QipMPjQdWYKL6va_phzA_wTakTFMcCXhaDHA8lPsK=w408-h306-k-no,Restaurant,Restaurant,5,,,,"fTyr bw`wn, rue de Corse, Menzel Bourguiba",,https://www.google.com/maps/place/%D9%81%D8%B7%D8%A7%D9%8A%D8%B1+%D8%A8%D9%88%D8%B9%D9%88%D9%86%E2%80%AD/data=!4m7!3m6!1s0x12e323000593502f:0xa41eeda5851105fd!8m2!3d37.1540595!4d9.7941231!16s%2Fg%2F11h52n0y8b!19sChIJL1CTBQAj4xIR_QURhaXtHqQ?authuser=0&hl=fr&rclk=1
