place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJSy8G-DUe4xIRugnpFsxjsPc,Restaurant Le Sport Nautique,,False,286,https://www.facebook.com/pages/Restaurant-Le-Sport-Nautique/139232646147524,Restaurant Le Sport Nautique (proprietaire),https://www.google.com/maps/contrib/104731619979713089987,https://lh5.googleusercontent.com/p/AF1QipPhgenX5gaji_wdUZ0MC2VHQuTfrwbLiHFhZlki=w408-h306-k-no,Restaurant,Restaurant,4,"12:00-15:00, 19:00-23:00",,72 432 262,"Restaurant Le Sport Nautique, Quai Tarak Ibn Ziad, Bizerte 7000","prix, serveurs, service, vue, fruits de mer, poissons, fumeurs, moyenne, entree, terrasse",https://www.google.com/maps/place/Restaurant+Le+Sport+Nautique/data=!4m7!3m6!1s0x12e31e35f8062f4b:0xf7b063cc16e909ba!8m2!3d37.272484!4d9.879922!16s%2Fg%2F1tj5t40n!19sChIJSy8G-DUe4xIRugnpFsxjsPc?authuser=0&hl=fr&rclk=1
ChIJeSTy1QUf4xIRQt9__oAD2vk,Restaurant Joba,,False,52,https://www.facebook.com/Restaurant.Joba,Restaurant Joba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPobJG-7dvGfG5yZ7Vqii-uZY9a3wJ0kmFzljFK=w408-h544-k-no,Restaurant,Restaurant,4.2,Ouvert 24h/24,,96 156 730,"Restaurant Joba, 9 rue du premier mai, Bizerte","prix, serveur, assiette, quantite",https://www.google.com/maps/place/Restaurant+Joba/data=!4m7!3m6!1s0x12e31f05d5f22479:0xf9da0380fe7fdf42!8m2!3d37.2726875!4d9.8733813!16s%2Fg%2F11t88yv3lp!19sChIJeSTy1QUf4xIRQt9__oAD2vk?authuser=0&hl=fr&rclk=1
ChIJEXqLh4Af4xIRiYvb5YbqHjM,Jumanji juice bar,,False,14,,Jumanji juice bar (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOK9JNdeJ0ODvscROn9jyf_nyfVo62hc0Bvzj2G=w408-h264-k-no,Restaurant,Restaurant,5,,,,"7VCF+RMR Jumanji juice bar, Bizerte",,https://www.google.com/maps/place/Jumanji+juice+bar/data=!4m7!3m6!1s0x12e31f80878b7a11:0x331eea86e5db8b89!8m2!3d37.2721187!4d9.8741501!16s%2Fg%2F11qpv_f2rt!19sChIJEXqLh4Af4xIRiYvb5YbqHjM?authuser=0&hl=fr&rclk=1
ChIJo7nD9dnh4hIRelcu9xiwsGk,Fratello PIZZERIA,,False,10,,Fratello PIZZERIA (proprietaire),https://www.google.com/maps/contrib/116616771507335240506,https://lh5.googleusercontent.com/p/AF1QipO5H6j44Ri5pztG5YV9dEt0Fv1p419PgMaj9sI=w408-h544-k-no,Pizzeria,Pizzeria,4.9,09:00-22:00,,53 319 611,"Fratello PIZZERIA, BitternessStreet, Menzel Jemil",,https://www.google.com/maps/place/Fratello+PIZZERIA/data=!4m7!3m6!1s0x12e2e1d9f5c3b9a3:0x69b0b018f72e577a!8m2!3d37.230825!4d9.9150635!16s%2Fg%2F11q98l81pc!19sChIJo7nD9dnh4hIRelcu9xiwsGk?authuser=0&hl=fr&rclk=1
ChIJDx_dgZ7h4hIRFjVU3N8wABE,Pizza le coin,,False,8,,Pizza le coin (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPecFfEhQUgNYHzSTt7kj8EP8NCLQ7hm2B1fLBK=w427-h240-k-no,Restaurant,Restaurant,4.4,09:00-21:00,mercredi,23 370 383,"6WQ7+R2H Pizza le coin, P8, Menzel Jemil",,https://www.google.com/maps/place/Pizza+le+coin/data=!4m7!3m6!1s0x12e2e19e81dd1f0f:0x110030dfdc543516!8m2!3d37.2395638!4d9.9125961!16s%2Fg%2F11frtcth4g!19sChIJDx_dgZ7h4hIRFjVU3N8wABE?authuser=0&hl=fr&rclk=1
ChIJ75zekoAf4xIRI6j_VEkVm5Q,Calimero Pizzaria,,False,7,,Calimero Pizzaria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMtQoJCYx--Wk1OI4dKRyllZUblXEYkfRCzevkN=w408-h544-k-no,Pizzeria,Pizzeria,4.7,,,22 235 540,"Calimero Pizzaria, 50 Rue IBN Khaldoun, Bizerte",,https://www.google.com/maps/place/Calimero+Pizzaria/data=!4m7!3m6!1s0x12e31f8092de9cef:0x949b154954ffa823!8m2!3d37.2700811!4d9.871259!16s%2Fg%2F11nnzj7l73!19sChIJ75zekoAf4xIRI6j_VEkVm5Q?authuser=0&hl=fr&rclk=1
ChIJ5RRUEKsf4xIRyKdSBIxzwKc,The Garage,,False,6,,The Garage (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCNYeKU8XaCXH5BrBjI87KNqJO7XyFfEtTIoQ8=w408-h306-k-no,Cafeteria,Cafeteria,4.7,06:00-22:00,,93 165 136,"7V96+28V The Garage, Bizerte",,https://www.google.com/maps/place/The+Garage/data=!4m7!3m6!1s0x12e31fab105414e5:0xa7c0738c0452a7c8!8m2!3d37.2676213!4d9.8607932!16s%2Fg%2F11hb49thb_!19sChIJ5RRUEKsf4xIRyKdSBIxzwKc?authuser=0&hl=fr&rclk=1
ChIJAbu28LQf4xIRIBfdFvpQss4,Pizzaria Hlel,,False,6,,Pizzaria Hlel (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOcKbLM6JD36J_uFiuzqOmqjD-bCQAaEMJbFNb4=w408-h306-k-no,Pizzeria,Pizzeria,4.3,10:00-22:00,,,"7V8G+997 Pizzaria Hlel, Unnamed Road, Zarzouna",,https://www.google.com/maps/place/Pizzaria+Hlel/data=!4m7!3m6!1s0x12e31fb4f0b6bb01:0xceb250fa16dd1720!8m2!3d37.2659138!4d9.8759157!16s%2Fg%2F11ggqzz_83!19sChIJAbu28LQf4xIRIBfdFvpQss4?authuser=0&hl=fr&rclk=1
ChIJSbcQDScf4xIRC8PjFRU6N0M,Pizza stoufa,,False,5,,Pizza stoufa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNSMNbEX8yH1G8oYG3KXzitVJLh4ABxv11LIW5f=w408-h545-k-no,Pizzeria,Pizzeria,5,10:30-22:00,,56 202 333,"7V2C+88Q Pizza stoufa, Unnamed Road, Menzel Abderrahmen",,https://www.google.com/maps/place/Pizza+stoufa/data=!4m7!3m6!1s0x12e31f270d10b749:0x43373a1515e3c30b!8m2!3d37.2508354!4d9.8708527!16s%2Fg%2F11ptjh1mh2!19sChIJSbcQDScf4xIRC8PjFRU6N0M?authuser=0&hl=fr&rclk=1
ChIJYbUpHb0f4xIRZ_iGtjRTXCc,Jbila Cafe Resto,,False,5,,Jbila Cafe Resto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPpgkAK04UYawty2WJyleOXQcAJta7-nh2u60aQ=w408-h306-k-no,Cafe,Cafe,5,15:00-00:00,,21 259 511,"6VJ5+VPM Jbila Cafe Resto, Unnamed Road, Menzel Abderrahmen",,https://www.google.com/maps/place/Jbila+Cafe+Resto/data=!4m7!3m6!1s0x12e31fbd1d29b561:0x275c5334b686f867!8m2!3d37.2322106!4d9.8592924!16s%2Fg%2F11grbwq1zf!19sChIJYbUpHb0f4xIRZ_iGtjRTXCc?authuser=0&hl=fr&rclk=1
ChIJCUTnJRnh4hIRsXCTMaief_I,La grillade,,False,4,,La grillade (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPrsU4gjjzXs1fOxafDZ1dZdc87WgCpovIJ8arn=w408-h306-k-no,Restaurant,Restaurant,4.8,09:00-17:00,,,"La grillade, 7080 No-Hope St, Menzel Jemil",,https://www.google.com/maps/place/La+grillade/data=!4m7!3m6!1s0x12e2e11925e74409:0xf27f9ea8319370b1!8m2!3d37.2347876!4d9.9160187!16s%2Fg%2F11jlwt2ky2!19sChIJCUTnJRnh4hIRsXCTMaief_I?authuser=0&hl=fr&rclk=1
ChIJfQqK2dvh4hIRRVUE84t4CJc,FASTFOOD ZAYZAFOUNA,,False,4,,FASTFOOD ZAYZAFOUNA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP7Htjzs3p4wQF6nRELwwpMKOyG2lKEVV8gVLSG=w408-h725-k-no,Restaurant de specialites a base de langue,Restaurant de specialites a base de langue,5,09:00-19:00,dimanche,,"6WP9+7R4 FASTFOOD ZAYZAFOUNA, Rue Hedi Chaker, Menzel Jemil",,https://www.google.com/maps/place/FASTFOOD+ZAYZAFOUNA/data=!4m7!3m6!1s0x12e2e1dbd98a0a7d:0x9708788bf3045545!8m2!3d37.2356392!4d9.9195925!16s%2Fg%2F11gy08592w!19sChIJfQqK2dvh4hIRRVUE84t4CJc?authuser=0&hl=fr&rclk=1
ChIJX_oDA6Uf4xIRi5SbaIUsyDg,Restaurant Nizar Yaakoub,,False,4,,Restaurant Nizar Yaakoub (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOhN7atNGSehRJkuU87FT6cdPJ596LrwXtbv26r=w408-h306-k-no,Restaurant,Restaurant,4.8,09:00-22:00,,,"7V2H+4MH Restaurant Nizar Yaakoub, Unnamed Road, Zarzouna",,https://www.google.com/maps/place/Restaurant+Nizar+Yaakoub/data=!4m7!3m6!1s0x12e31fa50303fa5f:0x38c82c85689b948b!8m2!3d37.2503086!4d9.8792382!16s%2Fg%2F11ng7p33xn!19sChIJX_oDA6Uf4xIRi5SbaIUsyDg?authuser=0&hl=fr&rclk=1
ChIJn8FaAwDh4hIRxIWxYVNcNoQ,Rimel Land,,False,3,,Rimel Land (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMW8HuOrxQZUWUTNeMBIYHBG37SESDD85txG7H-=w408-h544-k-no,Restaurant de fruits de mer,Restaurant de fruits de mer,4.7,Ouvert 24h/24,,28 230 523,"7W39+HX Rimel Land, Menzel Jemil",,https://www.google.com/maps/place/Rimel+Land/data=!4m7!3m6!1s0x12e2e100035ac19f:0x84365c5361b185c4!8m2!3d37.2538916!4d9.9199854!16s%2Fg%2F11y2yypl5k!19sChIJn8FaAwDh4hIRxIWxYVNcNoQ?authuser=0&hl=fr&rclk=1
ChIJcTTSPpnh4hIRf9DezOhz3xU,Restaurant Ghali,,False,3,,Restaurant Ghali (proprietaire),https://www.google.com/maps/contrib/101448601896533894614,https://lh5.googleusercontent.com/p/AF1QipN5Q7jNW5VjaLOn0iPhhBJz0V8H2jpDc1G_yWyg=w408-h544-k-no,Restaurant,Restaurant,5,09:00-23:00,,,"Restaurant Ghali, 7080 No-Hope St, Menzel Jemil",,https://www.google.com/maps/place/Restaurant+Ghali/data=!4m7!3m6!1s0x12e2e1993ed23471:0x15df73e8ccded07f!8m2!3d37.2339744!4d9.9169948!16s%2Fg%2F11ght2c29m!19sChIJcTTSPpnh4hIRf9DezOhz3xU?authuser=0&hl=fr&rclk=1
ChIJjY36OeEf4xIR0pUkRycXyGA,Napolitaine pizza,,False,3,,Napolitaine pizza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNeom9w6HcYvGx6RSs7l9j6O6XdL5wA7uyhu54=w408-h545-k-no,Pizzeria,Pizzeria,5,,,,"6VQ7+X24 Napolitaine pizza, ave Bourguiba, Menzel Abderrahmen",,https://www.google.com/maps/place/Napolitaine+pizza/data=!4m7!3m6!1s0x12e31fe139fa8d8d:0x60c81727472495d2!8m2!3d37.2398936!4d9.8625772!16s%2Fg%2F11qnh8_tfz!19sChIJjY36OeEf4xIR0pUkRycXyGA?authuser=0&hl=fr&rclk=1
ChIJz-gW8N0f4xIRrZ9PZa5pm5w,Dibarka italian,,False,3,,Dibarka italian (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMx3r-vHRo9dIUv-jN33jAHkBw6u9LQWbpHn40R=w408-h306-k-no,Restaurant italien,Restaurant italien,4.3,Ouvert 24h/24,mardi,23 493 836,"Dibarka italian, 6 rue Ibn Khaldoun, Bizerte",,https://www.google.com/maps/place/Dibarka+italian/data=!4m7!3m6!1s0x12e31fddf016e8cf:0x9c9b69ae654f9fad!8m2!3d37.2703308!4d9.8719411!16s%2Fg%2F11p60hgvtm!19sChIJz-gW8N0f4xIRrZ9PZa5pm5w?authuser=0&hl=fr&rclk=1
ChIJhT7x-Use4xIRNTRPklZSVfM,mT`m l'kl@ ltwnsy@,,False,3,,mT`m l'kl@ ltwnsy@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO72-lD2Rv1G-JkJ0tWRqhH3taWM8fA1mB0YTRC=w408-h544-k-no,Restaurant,Restaurant,4.3,08:00-23:30,,,"7VFF+6P6 mT`m l'kl@ ltwnsy@, rue d'Espagne, Bizerte",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%A3%D9%83%D9%84%D8%A9+%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12e31e4bf9f13e85:0xf3555256924f3435!8m2!3d37.273047!4d9.8742634!16s%2Fg%2F11c600yz65!19sChIJhT7x-Use4xIRNTRPklZSVfM?authuser=0&hl=fr&rclk=1
ChIJAfrbU7Qf4xIR75X31pruvbE,Cafe Mondial,,False,3,,Cafe Mondial (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNvq-SEhV33a6W4whsNAcpBK9Qh3CnUJhmV_GOV=w408-h306-k-no,Cafeteria,Cafeteria,5,04:00-00:00,,29 761 531,"7V8G+3H3 Cafe Mondial, Zarzouna",,https://www.google.com/maps/place/Caf%C3%A9+Mondial/data=!4m7!3m6!1s0x12e31fb453dbfa01:0xb1bdee9ad6f795ef!8m2!3d37.2651304!4d9.8764095!16s%2Fg%2F11gbxc3p23!19sChIJAfrbU7Qf4xIR75X31pruvbE?authuser=0&hl=fr&rclk=1
ChIJrRsfm4_h4hIRGDtB1J8lxrU,ElPacha Ghalloussi,,False,2,,ElPacha Ghalloussi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPtG4HHej9rIK9EqyJwITE55D0g9H_UEPczxEhX=w408-h544-k-no,Restaurant,Restaurant,5,Ouvert 24h/24,,24 441 389,"7W3C+X8P ElPacha Ghalloussi, Bizerte",,https://www.google.com/maps/place/ElPacha+Ghalloussi/data=!4m7!3m6!1s0x12e2e18f9b1f1bad:0xb5c6259fd4413b18!8m2!3d37.2549705!4d9.9208323!16s%2Fg%2F11rgywdbyy!19sChIJrRsfm4_h4hIRGDtB1J8lxrU?authuser=0&hl=fr&rclk=1
ChIJZQL-d0Af4xIRRIwDnuvfjUo,Venis cafe& Resto Bizerte,,False,2,,Venis cafe& Resto Bizerte (proprietaire),,,Restaurant familial,Restaurant familial,5,,,54 060 789,"6VJ3+MV5 Venis cafe& Resto Bizerte, Menzel Abderrahmane",,https://www.google.com/maps/place/Ven%C3%ADs+caf%C3%A8%26+Resto+Bizerte/data=!4m7!3m6!1s0x12e31f4077fe0265:0x4a8ddfeb9e038c44!8m2!3d37.2316418!4d9.8547497!16s%2Fg%2F11v0t2d1cg!19sChIJZQL-d0Af4xIRRIwDnuvfjUo?authuser=0&hl=fr&rclk=1
ChIJiWb33RYf4xIR4-FqzYdvKcY,Miam Resto-Cafe,,False,2,,Miam Resto-Cafe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMXZFF1yaqXxfTilWr5xZgPwXSSJDQKNS2Aby2v=w408-h544-k-no,Restaurant,Restaurant,4.5,11:00-00:00,,,"7V5H+PHV Miam Resto-Cafe, Unnamed Road, Zarzouna",,https://www.google.com/maps/place/Miam+Resto-Caf%C3%A9/data=!4m7!3m6!1s0x12e31f16ddf76689:0xc6296f87cd6ae1e3!8m2!3d37.2593642!4d9.8789357!16s%2Fg%2F11g1ps3x3d!19sChIJiWb33RYf4xIR4-FqzYdvKcY?authuser=0&hl=fr&rclk=1
ChIJv-_IkF7h4hIR4x67GszH3cg,Ocean Beach Rimel,,False,1,,Ocean Beach Rimel (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNzoB-Hm1V4ns90R-mfF7gErh1gZG_Qb0m4Z4M=w408-h306-k-no,Restaurant occidental,Restaurant occidental,5,Ouvert 24h/24,,,"7W49+4Q Ocean Beach Rimel, Menzel Jemil",,https://www.google.com/maps/place/Oc%C3%A9an+Beach+Rimel/data=!4m7!3m6!1s0x12e2e15e90c8efbf:0xc8ddc7cc1abb1ee3!8m2!3d37.2552902!4d9.9193841!16s%2Fg%2F11s565m8j7!19sChIJv-_IkF7h4hIR4x67GszH3cg?authuser=0&hl=fr&rclk=1
ChIJGXzqO-kf4xIRfOH_YBeGcuw,Les 4A Food,,False,1,,Les 4A Food (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=oSObsLqrp85u9gTuYLnpJw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=162.23375&pitch=0&thumbfov=100,Restaurant,Restaurant,5,,,,"7VC9+GX5 Les 4A Food, Bizerte",,https://www.google.com/maps/place/Les+4A+Food/data=!4m7!3m6!1s0x12e31fe93bea7c19:0xec72861760ffe17c!8m2!3d37.2712443!4d9.8700284!16s%2Fg%2F11y1lp6dzb!19sChIJGXzqO-kf4xIRfOH_YBeGcuw?authuser=0&hl=fr&rclk=1
