place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJSQL5lqWXqhMRboTnBeU3Pac,Restaurant chez Moktar-mT`m lmkhtr,,False,517,https://m.facebook.com/restaurantchezmoktar/%3Fti%3Das,Restaurant chez Moktar-mT`m lmkhtr (proprietaire),https://www.google.com/maps/contrib/115017152235737233723,https://lh5.googleusercontent.com/p/AF1QipNR2vAp86urwpKgsRqSxaSVYAjw3HufxWqrnW-u=w426-h240-k-no,Restaurant,Restaurant,4.8,08:00-00:00,,55 512 556,"Restaurant chez Moktar-mT`m lmkhtr, Midoun djerba, Djerba Midun 4116","brunch, service, cuisine tunisienne, couscous, escalope, goute, ojja, ramadan, tajine, jeune",https://www.google.com/maps/place/Restaurant+chez+Moktar-%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%A7%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x13aa97a596f90249:0xa73d37e505e7846e!8m2!3d33.8055542!4d10.9897041!16s%2Fg%2F11jdxlm3ck!19sChIJSQL5lqWXqhMRboTnBeU3Pac?authuser=0&hl=fr&rclk=1
ChIJY-Th8PeXqhMRg9CgAVzHKYs,Restaurant Chez Chouchou,,False,299,,Restaurant Chez Chouchou (proprietaire),https://www.google.com/maps/contrib/103272687930412590948,https://lh5.googleusercontent.com/p/AF1QipMk5l-BFc53Mwm5DF9LKCYdjg4Yy4y1eL30ZOP4=w408-h306-k-no,Restaurant,Restaurant,4.2,"12:00-15:30, 18:00-21:30",dimanche,25 919 349,"Restaurant Chez Chouchou, rue de l environnement, Djerba Midun","prix, couscous, qualite, brick, touristique, assiette, slata mechouia, souriant, crevettes, sympathique",https://www.google.com/maps/place/Restaurant+Chez+Chouchou/data=!4m7!3m6!1s0x13aa97f7f0e1e463:0x8b29c75c01a0d083!8m2!3d33.8378006!4d10.9923599!16s%2Fg%2F11c1qs95wc!19sChIJY-Th8PeXqhMRg9CgAVzHKYs?authuser=0&hl=fr&rclk=1
ChIJRdFIsxSXqhMRWSFMPxkPgUQ,Restaurant Lella Hadhria,,False,298,,Restaurant Lella Hadhria (proprietaire),https://www.google.com/maps/contrib/103505269542959395493,https://lh5.googleusercontent.com/p/AF1QipP8XUR_YHBnWg9UZV26Ri8BTZMsmDKJlBTYep39=w408-h306-k-no,Restaurant,Restaurant,4.3,12:00-23:00,,98 777 888,"Restaurant Lella Hadhria, restaurant Lella Hadhria, Route du Phare direction Aghir, Tezdaine - Midoun, Midoune 4116","mer, service, vue, dorade, lagune, qualite, terrasse, cuisine, ile, agneau",https://www.google.com/maps/place/Restaurant+Lella+Hadhria/data=!4m7!3m6!1s0x13aa9714b348d145:0x44810f193f4c2159!8m2!3d33.8118018!4d11.0439108!16s%2Fg%2F11c54djpls!19sChIJRdFIsxSXqhMRWSFMPxkPgUQ?authuser=0&hl=fr&rclk=1
ChIJF8KZUOGXqhMRJaqilv6RIvM,Bach Hamba,,False,172,,Bach Hamba (proprietaire),https://www.google.com/maps/contrib/114461286073599149566,https://lh5.googleusercontent.com/p/AF1QipM5yW4Q2eLA6rVaab1nGs9TbxV19Zk_py6SigCc=w408-h544-k-no,Restaurant,Restaurant,4,12:00-00:00,,29 814 067,"Bach Hamba, zone touristique Midoun Djerba, Avenue de la liberte, Djerba Midun","prix, couscous, service, pates, atmosphere, entree, poisson, experience, decor, slata mechouia",https://www.google.com/maps/place/Bach+Hamba/data=!4m7!3m6!1s0x13aa97e15099c217:0xf32291fe96a2aa25!8m2!3d33.8368489!4d10.992455!16s%2Fg%2F11nxrs75b_!19sChIJF8KZUOGXqhMRJaqilv6RIvM?authuser=0&hl=fr&rclk=1
ChIJFxAW9tqXqhMR4RERGDEON9A,Delices de Djerba,,False,140,,Delices de Djerba (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNabgNAxVpx_1AHPrgH3IVwl44S7AoQ-uMftcgI=w408-h544-k-no,Restaurant,Restaurant,4.1,08:00-23:00,,75 730 203,"RX5Q+2M8 Delices de Djerba, Djerba Midun","patisserie, cafe, prix, tarte",https://www.google.com/maps/place/D%C3%A9lices+de+Djerba/data=!4m7!3m6!1s0x13aa97daf6161017:0xd0370e31181111e1!8m2!3d33.8075358!4d10.9891959!16s%2Fg%2F11cn9t5s56!19sChIJFxAW9tqXqhMR4RERGDEON9A?authuser=0&hl=fr&rclk=1
ChIJteM7Q2e9qhMRw2lQfRRVQlk,So Yummy,,False,139,https://djerba--hotel.blogspot.com/p/restaurants-in-djerba.html,So Yummy (proprietaire),https://www.google.com/maps/contrib/106374614080254701953,https://lh5.googleusercontent.com/p/AF1QipODSm_Wt1bV1UrnhxGVvBxVeh28_x7hqDsTtq8p=w408-h306-k-no,Creperie,Creperie,4.5,09:00-00:00,,29 408 080,"So Yummy, route midoun houmt souk Pas loin de bourgo mall Midoun, 4116","petit dejeuner, gaufre, sale, milkshakes, sucree, prix, choix, sympathique, jus de fruits, gouter",https://www.google.com/maps/place/So+Yummy/data=!4m7!3m6!1s0x13aabd67433be3b5:0x594255147d5069c3!8m2!3d33.8174212!4d10.9738508!16s%2Fg%2F11hbk5qztg!19sChIJteM7Q2e9qhMRw2lQfRRVQlk?authuser=0&hl=fr&rclk=1
ChIJaeFY_4KXqhMRSb6XqxlLjP8,La Boheme,,False,134,https://www.facebook.com/labohemedjerba,La Boheme (proprietaire),https://www.google.com/maps/contrib/116280346531525605644,https://lh5.googleusercontent.com/p/AF1QipPIwuhQaGSCqjpi4NnvMpyZ_3t4yB-rdpof9QBo=w408-h310-k-no,Restaurant,Restaurant,4.8,"11:00-14:00, 18:30-20:00",mercredi,,"La Boheme, Route tezdayin, Djerba Midun 4116","couscous, chef, gargoulette, kefta, enfants, salade, tajine, passion, goute, proprete",https://www.google.com/maps/place/La+Boh%C3%A8me/data=!4m7!3m6!1s0x13aa9782ff58e169:0xff8c4b19ab97be49!8m2!3d33.8075121!4d10.9959664!16s%2Fg%2F11qbbn8h_5!19sChIJaeFY_4KXqhMRSb6XqxlLjP8?authuser=0&hl=fr&rclk=1
ChIJdaM6CtyXqhMRY_JYbPlLHXA,Lotophages,,False,113,,Lotophages (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMm-CAMsz4Btkwb3M7VkTEC5e0I2z07vDjefZwx=w408-h544-k-no,Restaurant,Restaurant,4,06:00-00:00,,75 730 250,"RX5R+R67 Lotophages, Midoun, Djerba Midun","cafe, serveurs, pizza, prix, terrasse, cocktail, sandwichs",https://www.google.com/maps/place/Lotophages/data=!4m7!3m6!1s0x13aa97dc0a3aa375:0x701d4bf96c58f263!8m2!3d33.8095278!4d10.9905622!16s%2Fg%2F11c6vt7qwt!19sChIJdaM6CtyXqhMRY_JYbPlLHXA?authuser=0&hl=fr&rclk=1
ChIJdaM6CtyXqhMRNCHo9mRJ67g,Le Petit Navire Restaurant Poissonnerie,,False,101,https://djerba--hotel.blogspot.com/p/restaurants-in-djerba.html,Le Petit Navire Restaurant Poissonnerie (proprietaire),https://www.google.com/maps/contrib/106171070496534493386,https://lh5.googleusercontent.com/p/AF1QipMmiYQvSt89r5Yff1rVjhZU9sbyp_qHIo1uyCet=w408-h306-k-no,Restaurant,Restaurant,4.1,"12:00-15:00, 18:00-22:00",mardi,26 787 873,"Le Petit Navire Restaurant Poissonnerie, Midoun, Djerba Midun","fruits de mer, prix, poulpe, je, service, chaleur, pates, gargoulette, moyenne, serveur",https://www.google.com/maps/place/Le+Petit+Navire+Restaurant+Poissonnerie/data=!4m7!3m6!1s0x13aa97dc0a3aa375:0xb8eb4964f6e82134!8m2!3d33.8097286!4d10.9971628!16s%2Fg%2F11g6r3m27k!19sChIJdaM6CtyXqhMRNCHo9mRJ67g?authuser=0&hl=fr&rclk=1
ChIJlxNXpJ-XqhMRcijVwYIffP0,Restaurant El Houch-mT`m lHwsh,,False,96,,Restaurant El Houch-mT`m lHwsh (proprietaire),https://www.google.com/maps/contrib/105285228140684354484,https://lh5.googleusercontent.com/p/AF1QipN9aVbUP-RPbSkmFZKaow3mm0WknI-fZvAW2f2R=w408-h409-k-no,Restaurant,Restaurant,4.6,10:00-00:00,,99 115 013,"Restaurant El Houch-mT`m lHwsh, 134 C209, Djerba Midun 4116","couscous, prix, tajine, serveur, continuation, fruits de mer, pizza, experience",https://www.google.com/maps/place/Restaurant+El+Houch-%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%AD%D9%88%D8%B4%E2%80%AD/data=!4m7!3m6!1s0x13aa979fa4571397:0xfd7c1f82c1d52872!8m2!3d33.809307!4d10.989667!16s%2Fg%2F11t796zp2j!19sChIJlxNXpJ-XqhMRcijVwYIffP0?authuser=0&hl=fr&rclk=1
