place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ91TONrQSAhMR4W36ZQCsyTY,MixMax,,False,362,,MixMax (proprietaire),https://www.google.com/maps/contrib/102028193073549243582,https://lh5.googleusercontent.com/p/AF1QipOUQSl5PlInfTSO0ThsCAckM0PD_aLMmlcXl7j-=w408-h267-k-no,Restauration rapide,Restauration rapide,4.2,11:30-00:00,dimanche,73 504 050,"MixMax, 1 C100e, Monastir 5000","prix, baguette, farcie, proprete, chawarma",https://www.google.com/maps/place/MixMax/data=!4m7!3m6!1s0x130212b436ce54f7:0x36c9ac0065fa6de1!8m2!3d35.7699399!4d10.819227!16s%2Fg%2F11cmv1wmwz!19sChIJ91TONrQSAhMR4W36ZQCsyTY?authuser=0&hl=fr&rclk=1
ChIJm86X3q8SAhMRPlTd9seWfho,La reserve,,False,215,,La reserve (proprietaire),https://www.google.com/maps/contrib/117159273324610209511,https://lh5.googleusercontent.com/p/AF1QipN1ejmjBO0xjJFa2MLjuxS2zTHTT5vcOB_Iwi0N=w408-h536-k-no,Restauration rapide,Restauration rapide,4,11:30-23:00,dimanche,73 502 300,"La reserve, C100e, Monastir","plats, prix, salade cesar, proprete",https://www.google.com/maps/place/La+r%C3%A9serve/data=!4m7!3m6!1s0x130212afde97ce9b:0x1a7e96c7f6dd543e!8m2!3d35.7659093!4d10.8109774!16s%2Fg%2F11c5g87x2b!19sChIJm86X3q8SAhMRPlTd9seWfho?authuser=0&hl=fr&rclk=1
ChIJcUIZZ8wSAhMRhKTxVOL00Dg,BIZZ'ART,,False,185,,BIZZ'ART (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPg48DptVrIdAFwlsgdGup3lXZJRnZbaaCZCmSO=w408-h306-k-no,Restaurant,Restaurant,4,08:00-00:00,,53 065 000,"QRCH+4R6 BIZZ'ART, Monastir","prix, plats, pizza, famille, gorgonzola, tacos",https://www.google.com/maps/place/BIZZ%27ART/data=!4m7!3m6!1s0x130212cc67194271:0x38d0f4e254f1a484!8m2!3d35.7702757!4d10.8295002!16s%2Fg%2F11c5blwf6s!19sChIJcUIZZ8wSAhMRhKTxVOL00Dg?authuser=0&hl=fr&rclk=1
ChIJPyMm784SAhMRbb65-47MJk0,Mamma Chami,,False,178,https://www.facebook.com/mamachemi.restaurantlibanais/,Mamma Chami (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO1JXqWAinnPxz-h6iSwpYsEbUtZglE4Rv5zIls=w408-h306-k-no,Restaurant,"Restaurant, Restauration rapide",4.1,11:00-00:00,dimanche,73 448 174,"QR8J+C2R Mamma Chami, Monastir","sandwichs, plats, prix, poulet, libanais, tacos",https://www.google.com/maps/place/Mamma+Chami/data=!4m7!3m6!1s0x130212ceef26233f:0x4d26cc8efbb9be6d!8m2!3d35.766121!4d10.830022!16s%2Fg%2F11c0r4_11s!19sChIJPyMm784SAhMRbb65-47MJk0?authuser=0&hl=fr&rclk=1
ChIJP-kSIMkSAhMRw4VY0LpsOhI,Soprano,,False,173,http://www.facebook.com/Soprano.Monastir/,Soprano (proprietaire),https://www.google.com/maps/contrib/109149124697389937739,https://lh5.googleusercontent.com/p/AF1QipM_9BCSO8jQ-PedVJk-TeryvqStVIDk4LkNFohW=w408-h408-k-no,Pizzeria,Pizzeria,4.3,11:00-00:00,dimanche,73 466 646,"Soprano, Monastir",prix,https://www.google.com/maps/place/Soprano/data=!4m7!3m6!1s0x130212c92012e93f:0x123a6cbad05885c3!8m2!3d35.7656994!4d10.8269105!16s%2Fg%2F1hm37b7g7!19sChIJP-kSIMkSAhMRw4VY0LpsOhI?authuser=0&hl=fr&rclk=1
ChIJozst0cgSAhMR8yXalG0cfTc,Tenor,,False,136,,Tenor (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPBmTfJwdJxTqZKAGQlXI-aERRQmuDGaGUCQQwO=w408-h306-k-no,Restauration rapide,Restauration rapide,4,10:00-23:30,,73 466 200,"QR8H+33C Tenor, Monastir",,https://www.google.com/maps/place/T%C3%A9nor/data=!4m7!3m6!1s0x130212c8d12d3ba3:0x377d1c6d94da25f3!8m2!3d35.7651847!4d10.8276401!16s%2Fg%2F12lk6jn_3!19sChIJozst0cgSAhMR8yXalG0cfTc?authuser=0&hl=fr&rclk=1
ChIJjWl6JMwSAhMR--53LE-WrKM,Mix Max Tandoori,,False,125,https://www.facebook.com/MixMaxTandoori/,Mix Max Tandoori (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOVeRvzkf1gfTmKsPJfyeEU6larjKnByOZ4dyi6=w408-h306-k-no,Restauration rapide,Restauration rapide,4.2,11:30-00:00,dimanche,70 001 231,"Mix Max Tandoori, rue moufida bourguiba, R6","prix, tacos, nan",https://www.google.com/maps/place/Mix+Max+Tandoori/data=!4m7!3m6!1s0x130212cc247a698d:0xa3ac964f2c77eefb!8m2!3d35.7684171!4d10.8300086!16s%2Fg%2F11ggbdxp4x!19sChIJjWl6JMwSAhMR--53LE-WrKM?authuser=0&hl=fr&rclk=1
ChIJo1ao5zJtAhMRFBEimn--Yyk,Resto My Cocoon,,False,117,,Resto My Cocoon (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMAH8JhGFKDZao0v8kRONEeyzoJgipKdjrSmV-D=w408-h272-k-no,Restaurant,Restaurant,4.3,07:00-00:00,,53 196 196,"QRFJ+VJX Resto My Cocoon, Monastir","prix, pizza, serveurs, grillade, plats, mosquee, escalopes, sympathique, milkshake, cafe",https://www.google.com/maps/place/Resto+My+Cocoon/data=!4m7!3m6!1s0x13026d32e7a856a3:0x2963be7f9a221114!8m2!3d35.7747455!4d10.8316203!16s%2Fg%2F11g8z9xl_4!19sChIJo1ao5zJtAhMRFBEimn--Yyk?authuser=0&hl=fr&rclk=1
ChIJWz8GPTNtAhMRjXEsQReQ67g,La Cocina,,False,70,https://m.facebook.com/Elkoojina/,La Cocina (proprietaire),https://www.google.com/maps/contrib/103741912262018475920,https://lh5.googleusercontent.com/p/AF1QipOzo5-Hw-PWZw0YIPXKnjTUj4TSVw4rovrRc71S=w408-h612-k-no,Restaurant,Restaurant,4.6,08:30-19:00,dimanche,54 060 609,"La Cocina, Bab El Kram ndeg6, Monastir 5000","prix, tunisien, plats",https://www.google.com/maps/place/La+Cocina/data=!4m7!3m6!1s0x13026d333d063f5b:0xb8eb9017412c718d!8m2!3d35.7745989!4d10.8295081!16s%2Fg%2F11bzz5cggh!19sChIJWz8GPTNtAhMRjXEsQReQ67g?authuser=0&hl=fr&rclk=1
ChIJmRREoJltAhMRZ15UuLWg9Ho,Oriento,,False,62,,Oriento (proprietaire),https://www.google.com/maps/contrib/110132748157947551772,https://lh5.googleusercontent.com/p/AF1QipNLsLh_M3jlCzj_8wqMYPVaLXmx-_Z-lmwMjGWp=w513-h240-k-no,Restaurant,Restaurant,4,11:00-00:00,,92 705 705,"QRHM+727 Oriento, Monastir","prix, kebabs",https://www.google.com/maps/place/Oriento/data=!4m7!3m6!1s0x13026d99a0441499:0x7af4a0b5b8545e67!8m2!3d35.7783791!4d10.8324069!16s%2Fg%2F11sj7zgt9b!19sChIJmRREoJltAhMRZ15UuLWg9Ho?authuser=0&hl=fr&rclk=1
