place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ7fdas871_RIRP7i_h6lFBX0,Los pollos hermanos 4070,,False,35,,Los pollos hermanos 4070 (proprietaire),https://www.google.com/maps/contrib/114176322386225348799,https://lh5.googleusercontent.com/p/AF1QipNS9TheCS7WqTfquwt_7AeB0lLggwgbO19YfbOj=w408-h544-k-no,Restaurant de volaille,Restaurant de volaille,4.7,12:00-00:00,lundi,29 840 193,"Los pollos hermanos 4070, Av. 20 mars, M'saken 4070",burger,https://www.google.com/maps/place/Los+pollos+hermanos+4070/data=!4m7!3m6!1s0x12fdf5ceb35af7ed:0x7d0545a987bfb83f!8m2!3d35.7309911!4d10.5731048!16s%2Fg%2F11td15zw0b!19sChIJ7fdas871_RIRP7i_h6lFBX0?authuser=0&hl=fr&rclk=1
ChIJJ9GjqTX0_RIRQImBXDREm3k,Cafe arabesque,,False,21,,Cafe arabesque (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNE9PSUOI2YrWDwVcD802_CUjLBb-Q5YzkZkJj4=w408-h725-k-no,Cafe,Cafe,4,06:00-23:00,,,"PHHC+RJ5 Cafe arabesque, Rte de Kroussia, Masakin",,https://www.google.com/maps/place/Caf%C3%A9+arabesque/data=!4m7!3m6!1s0x12fdf435a9a3d127:0x799b44345c818940!8m2!3d35.729502!4d10.5716129!16s%2Fg%2F11cn96cycq!19sChIJJ9GjqTX0_RIRQImBXDREm3k?authuser=0&hl=fr&rclk=1
ChIJ62IgupL1_RIRb6IjBNkGgrI,Cafe Victoria,,False,12,,Cafe Victoria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMvIGDa7MBIDU7gxVViMgBZ146zIJqCTtpwDVIO=w408-h306-k-no,Restaurant,Restaurant,4.3,06:00-00:00,,,"PHJ7+J73 Cafe Victoria, M'saken",,https://www.google.com/maps/place/Caf%C3%A9+Victoria/data=!4m7!3m6!1s0x12fdf592ba2062eb:0xb28206d90423a26f!8m2!3d35.7315052!4d10.5631821!16s%2Fg%2F11jcn6vyx_!19sChIJ62IgupL1_RIRb6IjBNkGgrI?authuser=0&hl=fr&rclk=1
ChIJv-mPXrj1_RIR4FFecyQHRHo,GhostChef,,False,11,,GhostChef (proprietaire),https://www.google.com/maps/contrib/109319856103390549414,https://lh5.googleusercontent.com/p/AF1QipPLk8Nm4mUrAbPo3_ZjxgJxmxStWvNacGpDyh-u=w408-h544-k-no,Restauration rapide,Restauration rapide,4.5,12:00-23:30,dimanche,,"PHJH+P8C GhostChef, M'saken",,https://www.google.com/maps/place/GhostChef/data=!4m7!3m6!1s0x12fdf5b85e8fe9bf:0x7a440724735e51e0!8m2!3d35.7316976!4d10.5791155!16s%2Fg%2F11pz2hwp21!19sChIJv-mPXrj1_RIR4FFecyQHRHo?authuser=0&hl=fr&rclk=1
ChIJFaNgKfj1_RIRPymLk8PS9Bs,24 Pizza,,False,7,,24 Pizza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMDTCuZXr3D147U7awG_u-6ZkxNkbh5cl4fUYrQ=w408-h430-k-no,Restauration rapide,Restauration rapide,5,12:00-23:30,mardi,26 214 965,"PHJH+H27 24 Pizza, Masakin",,https://www.google.com/maps/place/24+Pizza/data=!4m7!3m6!1s0x12fdf5f82960a315:0x1bf4d2c3938b293f!8m2!3d35.731421!4d10.5775667!16s%2Fg%2F11tp2rygl2!19sChIJFaNgKfj1_RIRPymLk8PS9Bs?authuser=0&hl=fr&rclk=1
ChIJj2nNRLn1_RIRVdDqgaS8Ad4,Tou Food,,False,7,,Tou Food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPJjLkwRMMlu65VMj1z2Sdfj-RALy1horap7HbH=w408-h725-k-no,Restaurant,Restaurant,4.6,11:00-01:00,,52 802 000,"PHPH+394 Tou Food, Bd Dr Taieb Hachicha, M'saken",,https://www.google.com/maps/place/Tou+Food/data=!4m7!3m6!1s0x12fdf5b944cd698f:0xde01bca481ead055!8m2!3d35.7351302!4d10.5784418!16s%2Fg%2F11jb1_5jyf!19sChIJj2nNRLn1_RIRVdDqgaS8Ad4?authuser=0&hl=fr&rclk=1
ChIJi2Sr2kz0_RIR08v78zmACgo,Patisserie Chaarana,,False,6,,Patisserie Chaarana (proprietaire),,,Restaurant,Restaurant,5,08:00-23:00,,52 340 340,"PHQF+HH3 Patisserie Chaarana, M'saken",,https://www.google.com/maps/place/Patisserie+Chaarana/data=!4m7!3m6!1s0x12fdf44cdaab648b:0xa0a8039f3fbcbd3!8m2!3d35.7388895!4d10.5739092!16s%2Fg%2F11dyxl20nq!19sChIJi2Sr2kz0_RIR08v78zmACgo?authuser=0&hl=fr&rclk=1
ChIJCaCn8IX1_RIRqZA0C1TrN9o,CHAHIA M'SAKEN,,False,5,,CHAHIA M'SAKEN (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOoEPMqwjNylJol5tTHabaVZ8jaP0vkoJsrr5d6=w426-h240-k-no,Restaurant,Restaurant,4.8,07:00-22:00,,99 404 405,"PHJF+HHQ CHAHIA M'SAKEN, Av. 20 mars, M'saken",,https://www.google.com/maps/place/CHAHIA+M%27SAKEN/data=!4m7!3m6!1s0x12fdf585f0a7a009:0xda37eb540b3490a9!8m2!3d35.7314555!4d10.5739941!16s%2Fg%2F11fngz78bk!19sChIJCaCn8IX1_RIRqZA0C1TrN9o?authuser=0&hl=fr&rclk=1
ChIJAUVtqaj1_RIRhuE268WH_1w,Pizza mahjoub,,False,5,,Pizza mahjoub (proprietaire),,,Pizzeria,Pizzeria,4.8,,,,"PHPM+Q74 Pizza mahjoub, Bd Dr Taieb Hachicha, M'saken",,https://www.google.com/maps/place/Pizza+mahjoub/data=!4m7!3m6!1s0x12fdf5a8a96d4501:0x5cff87c5eb36e186!8m2!3d35.7368769!4d10.5832052!16s%2Fg%2F11t6_g2xqs!19sChIJAUVtqaj1_RIRhuE268WH_1w?authuser=0&hl=fr&rclk=1
ChIJkTcoHcn1_RIR6Czxf1gUz8k,Plaisir Express,,False,4,,Plaisir Express (proprietaire),https://www.google.com/maps/contrib/114371107328635096395,https://lh5.googleusercontent.com/p/AF1QipNMbswf5evoWDf5iOC4ZxjgdD2ODl1boenJBoXf=w408-h725-k-no,Restaurant,Restaurant,5,09:00-23:30,,27 455 008,"Plaisir Express, Au dessous de ENDA, Route de 2 Mars, M'saken 4070",,https://www.google.com/maps/place/Plaisir+Express/data=!4m7!3m6!1s0x12fdf5c91d283791:0xc9cf14587ff12ce8!8m2!3d35.7323106!4d10.5733934!16s%2Fg%2F11vjh62p4d!19sChIJkTcoHcn1_RIR6Czxf1gUz8k?authuser=0&hl=fr&rclk=1
