place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJo66z5WaZAhMRjSm2gmL6LhI,Bendo Coffee Restaurant,,False,186,,Bendo Coffee Restaurant (proprietaire),https://www.google.com/maps/contrib/117109720437230624957,https://lh5.googleusercontent.com/p/AF1QipN0Wj1mOwkNZXDQNRjoG4YCbrVcvHiBTBEjjBpZ=w533-h240-k-no,Restaurant,Restaurant,4.2,07:00-00:55,,20 426 427,"Bendo Coffee Restaurant, Habib Bourguiba St, Nabeul 8000","prix, gerant, serveur, pizza, experience, famille, crepe, adresse, tayara, toilettes",https://www.google.com/maps/place/Bendo+Coffee+Restaurant/data=!4m7!3m6!1s0x13029966e5b3aea3:0x122efa6282b6298d!8m2!3d36.4464843!4d10.7384272!16s%2Fg%2F11rjjjhmc0!19sChIJo66z5WaZAhMRjSm2gmL6LhI?authuser=0&hl=fr&rclk=1
ChIJJaZG6pWYAhMRYBkdkcnAhrY,Le Patio Nabeul,,False,147,,Le Patio Nabeul (proprietaire),https://www.google.com/maps/contrib/105195545977978162117,https://lh5.googleusercontent.com/p/AF1QipPkoCwhq6CKoWO7tvw8S5OXdQgHknPq9MtpcABi=w426-h240-k-no,Restaurant,Restaurant,4.4,12:00-23:00,,53 534 389,"Le Patio Nabeul, Rue de Marbella, Nabeul","prix, serveur, fruits de mer, couscous",https://www.google.com/maps/place/Le+Patio+Nabeul/data=!4m7!3m6!1s0x13029895ea46a625:0xb686c0c9911d1960!8m2!3d36.4523115!4d10.7336295!16s%2Fg%2F11cs6fc1_0!19sChIJJaZG6pWYAhMRYBkdkcnAhrY?authuser=0&hl=fr&rclk=1
ChIJQ1MT_MuYAhMRptIkhQGvrz4,Roxford - Restaurants & Fast Food,,False,128,https://best--restaurants.blogspot.com/,Roxford - Restaurants & Fast Food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMtLRxbbq54jSbmCYpK5c4hOkU-PhzkNyFDKf5b=w408-h544-k-no,Restauration rapide,Restauration rapide,4,10:00-23:00,,72 288 222,"CPV8+V57 Roxford - Restaurants & Fast Food, Nabeul","prix, qualite, hygiene",https://www.google.com/maps/place/Roxford+-+Restaurants+%26+Fast+Food/data=!4m7!3m6!1s0x130298cbfc135343:0x3eafaf018524d2a6!8m2!3d36.4446576!4d10.7154139!16s%2Fg%2F11fy94f462!19sChIJQ1MT_MuYAhMRptIkhQGvrz4?authuser=0&hl=fr&rclk=1
ChIJ3V0eiZaYAhMR60qVT62lN6c,L'Olivier,,False,108,https://best--restaurants.blogspot.com/,L'Olivier (proprietaire),https://www.google.com/maps/contrib/107056441559741273141,https://lh5.googleusercontent.com/p/AF1QipPeRUDcuDNQfDXgm0D6cM2AK-KMMNTLRD2VuZvf=w408-h544-k-no,Restaurant,Restaurant,4.3,12:00-23:00,,72 286 613,"L'Olivier, 98 Ave. Hedi Chaker, Nabeul 8000","couscous, prix, poisson, experience, vin, desserts, sabayon, fumer, soir, serveurs",https://www.google.com/maps/place/L%27Olivier/data=!4m7!3m6!1s0x13029896891e5ddd:0xa737a5ad4f954aeb!8m2!3d36.4525299!4d10.7345809!16s%2Fg%2F11bz_rkzxm!19sChIJ3V0eiZaYAhMR60qVT62lN6c?authuser=0&hl=fr&rclk=1
ChIJH2SPDMeZAhMRzVcS_RF66tQ,GARAGE 41,,False,103,http://instagram.com/garage_41_nabeul,GARAGE 41 (proprietaire),https://www.google.com/maps/contrib/103022561736241708540,https://lh5.googleusercontent.com/p/AF1QipOG6tsIuG7aMjNyknzQin6wvHdIFmA0gcWsAUeX=w428-h240-k-no,Restauration rapide,"Restauration rapide, Restaurant",4.2,12:00-23:00,mardi,29 514 141,"GARAGE 41, 41 Av. Hedi Nouira, Nabeul 8000","baguette, tacos, farcie, ingredients, main",https://www.google.com/maps/place/GARAGE+41/data=!4m7!3m6!1s0x130299c70c8f641f:0xd4ea7a11fd1257cd!8m2!3d36.4466191!4d10.7185919!16s%2Fg%2F11gm7527qh!19sChIJH2SPDMeZAhMRzVcS_RF66tQ?authuser=0&hl=fr&rclk=1
ChIJBZFVIWCZAhMRHqP13Oxzr8E,Restaurant Dar Mrad,,False,101,https://www.facebook.com/NABEUL1973/,Restaurant Dar Mrad (proprietaire),https://www.google.com/maps/contrib/117297662519263930505,https://lh5.googleusercontent.com/p/AF1QipMa1Relv7SZDvCfmsB4rc3Igaj8zFBbp7AG6B17=w408-h306-k-no,Restaurant,Restaurant,4.5,,,20 859 220,"Restaurant Dar Mrad, Ave. Mongi Slim, rue khmaies el hajri, Nabeul 8000","prix, soupe",https://www.google.com/maps/place/Restaurant+Dar+Mrad/data=!4m7!3m6!1s0x1302996021559105:0xc1af73ecdcf5a31e!8m2!3d36.4528413!4d10.7434437!16s%2Fg%2F11fkf62v85!19sChIJBZFVIWCZAhMRHqP13Oxzr8E?authuser=0&hl=fr&rclk=1
ChIJAbHumM6ZAhMR4elTYs9ORF8,Happy Day,,False,79,https://best--restaurants.blogspot.com/,Happy Day (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOlzxvfIaaus9B6REGOS45cn6GX6XRevyI04MMg=w426-h240-k-no,Restaurant,Restaurant,4.2,11:00-00:00,,20 100 792,"FP3J+2J5 Happy Day, Nabeul","prix, pizza",https://www.google.com/maps/place/Happy+Day/data=!4m7!3m6!1s0x130299ce98eeb101:0x5f444ecf6253e9e1!8m2!3d36.4525226!4d10.7316166!16s%2Fg%2F11f6g5n69q!19sChIJAbHumM6ZAhMR4elTYs9ORF8?authuser=0&hl=fr&rclk=1
ChIJ55Z8EzCfAhMRokjI4cilR4U,HEAVEN GATES restaurant,,False,68,https://www.instagram.com/heaven_gates_restaurant?igsh=dmwyazRpdmtkYXVj&utm_source=qr,HEAVEN GATES restaurant (proprietaire),https://www.google.com/maps/contrib/104274807707112393395,https://lh5.googleusercontent.com/p/AF1QipMrS9lmZcWsu7F4ZmAjbisRywKJBYBqme71aMm4=w408-h544-k-no,Restaurant,Restaurant,4.1,12:00-00:00,lundi,56 979 786,"HEAVEN GATES restaurant, Av. Dali Jazi, Nabeul","chef, service, pizza, prix",https://www.google.com/maps/place/HEAVEN+GATES+restaurant/data=!4m7!3m6!1s0x13029f30137c96e7:0x8547a5c8e1c848a2!8m2!3d36.4352395!4d10.6941507!16s%2Fg%2F11trqz4v9s!19sChIJ55Z8EzCfAhMRokjI4cilR4U?authuser=0&hl=fr&rclk=1
ChIJNQXYu5WYAhMRBwZKNB6h5bA,ilForno,,False,62,,ilForno (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMG1fICry7iDHrzTgbI40c2XaKMbxquEXb3puu_=w408-h306-k-no,Restaurant,Restaurant,4,"12:00-15:00, 17:00-00:00",,29 113 777,"FP2M+MPJ ilForno, Rue de Marbella, Nabeul","pizza, mozzarella, commande, burger, frites",https://www.google.com/maps/place/ilForno/data=!4m7!3m6!1s0x13029895bbd80535:0xb0e5a11e344a0607!8m2!3d36.4517062!4d10.7342646!16s%2Fg%2F11_s8n79q!19sChIJNQXYu5WYAhMRBwZKNB6h5bA?authuser=0&hl=fr&rclk=1
ChIJWRya4OqZAhMRY7Q4krxYR-M,Restaurant le bonheur,,False,61,,Restaurant le bonheur (proprietaire),https://www.google.com/maps/contrib/101105608018595922269,https://lh5.googleusercontent.com/p/AF1QipOECN-P_yl_NzFcRvvoAq2rNRJe3ZeiT4ZBZju-=w408-h306-k-no,Restaurant,"Restaurant, Soupe populaire",5,10:00-22:00,,96 461 160,"FP4P+5GJ Restaurant le bonheur, Nabeul","couscous, brick, chef, fruits de mer, prix, succulents, pates, salade",https://www.google.com/maps/place/Restaurant+le+bonheur/data=!4m7!3m6!1s0x130299eae09a1c59:0xe34758bc9238b463!8m2!3d36.4553774!4d10.7363775!16s%2Fg%2F11vdvw7pw6!19sChIJWRya4OqZAhMRY7Q4krxYR-M?authuser=0&hl=fr&rclk=1
