place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJt6G4wu2NVxIRLUU3_-lgS-Q,"Espace ferdaous ""Zombrita""",,False,27,https://www.facebook.com/EL.FERDAWS.ZOMBRITA/,"Espace ferdaous ""Zombrita"" (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipPQxMj1kyZynlkIhG1auTbAQnmGkJvMqwr1nssC=w408-h272-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.8,Ouvert 24h/24,,52 563 871,"VV9J+7XJ Espace ferdaous ""Zombrita"", Nefta",prix,https://www.google.com/maps/place/Espace+ferdaous+%22Zombrita%22/data=!4m7!3m6!1s0x12578dedc2b8a1b7:0xe44b60e9ff37452d!8m2!3d33.8682085!4d7.8823873!16s%2Fg%2F11j0rflzhg!19sChIJt6G4wu2NVxIRLUU3_-lgS-Q?authuser=0&hl=fr&rclk=1
ChIJAQDAmJ-MVxIRsrk5l_aE-ps,Complexe Touareg,,False,17,,Complexe Touareg (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPlPMAdt8uMtSX-dY6NssZ0jhy8l_TKivJsmp5D=w408-h306-k-no,Restaurant africain,Restaurant africain,4.1,09:00-00:00,,23 950 518,"VVHF+6F3 Complexe Touareg, Corbeille De Nefta, Naftah 2245",,https://www.google.com/maps/place/Complexe+Touareg/data=!4m7!3m6!1s0x12578c9f98c00001:0x9bfa84f69739b9b2!8m2!3d33.8780111!4d7.8736728!16s%2Fg%2F113fnxnm6!19sChIJAQDAmJ-MVxIRsrk5l_aE-ps?authuser=0&hl=fr&rclk=1
ChIJ6Sp0i1uNVxIRhy4IFozPdOg,The Daily Brew Coffee Shop,,False,15,https://www.facebook.com/DailyBrewCoffeeshop/,The Daily Brew Coffee Shop (proprietaire),https://www.google.com/maps/contrib/112006557002332939007,https://lh5.googleusercontent.com/p/AF1QipOLl0kVdAePbOhjjV_IYo7wmlxN0kePrsuhh0QX=w408-h272-k-no,Salon de the,Salon de the,5,08:00-23:00,,21 077 707,"The Daily Brew Coffee Shop, Rue des Martyrs, Nefta",,https://www.google.com/maps/place/The+Daily+Brew+Coffee+Shop/data=!4m7!3m6!1s0x12578d5b8b742ae9:0xe874cf8c16082e87!8m2!3d33.8703897!4d7.8887371!16s%2Fg%2F11n5kmvtcr!19sChIJ6Sp0i1uNVxIRhy4IFozPdOg?authuser=0&hl=fr&rclk=1
ChIJHxOkNGmNVxIRqUKRyNYzj9s,Cafe Stade,,False,11,,Cafe Stade (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMGxp5-Dc03bvNW1pTf6RziVJG14DCoaU7xqbPo=w408-h544-k-no,Cafe,Cafe,4.9,Ouvert 24h/24,,,"VVCH+623 Cafe Stade, RN3, Nefta",,https://www.google.com/maps/place/Cafe+Stade/data=!4m7!3m6!1s0x12578d6934a4131f:0xdb8f33d6c89142a9!8m2!3d33.8705125!4d7.8775469!16s%2Fg%2F11h07_m4wj!19sChIJHxOkNGmNVxIRqUKRyNYzj9s?authuser=0&hl=fr&rclk=1
ChIJ02a6CzuNVxIRTjSn_Sf6ZjQ,Fast Food Dissi,,False,9,,Fast Food Dissi (proprietaire),https://www.google.com/maps/contrib/118412282568414334427,https://lh5.googleusercontent.com/p/AF1QipN7QqXAQBC19ba0P7FV43IENzFmJYIRJz6Yu27Y=w408-h306-k-no,Pizzeria,Pizzeria,4.9,12:00-00:00,dimanche,53 053 232,"VVGM+JP Fast Food Dissi, Quartier Ezaouia, Nefta",,https://www.google.com/maps/place/Fast+Food+Dissi/data=!4m7!3m6!1s0x12578d3b0bba66d3:0x3466fa27fda7344e!8m2!3d33.8765625!4d7.8843125!16s%2Fg%2F11qb3w06yg!19sChIJ02a6CzuNVxIRTjSn_Sf6ZjQ?authuser=0&hl=fr&rclk=1
ChIJtQe40JaMVxIRGLOgKHOzGcA,Cafe Alhabib,,False,8,,Cafe Alhabib (proprietaire),https://www.google.com/maps/contrib/109652589142575666715,https://lh5.googleusercontent.com/p/AF1QipMOhL13i3-6qf-YkenLI0XmYtcZUwA_SUECpLv-=w408-h544-k-no,Cafe,Cafe,4,06:00-01:00,,93 703 218,"Cafe Alhabib, Avenue de Palestine, Nefta 2240",,https://www.google.com/maps/place/Caf%C3%A9+Alhabib/data=!4m7!3m6!1s0x12578c96d0b807b5:0xc019b37328a0b318!8m2!3d33.8734004!4d7.8862046!16s%2Fg%2F11f1pd93bp!19sChIJtQe40JaMVxIRGLOgKHOzGcA?authuser=0&hl=fr&rclk=1
ChIJZdKvT8aNVxIRIO25Hy8jlLg,Restaurant DANMARKI,,False,6,,Restaurant DANMARKI (proprietaire),https://www.google.com/maps/contrib/103114580468146245153,https://lh5.googleusercontent.com/p/AF1QipP8hp9SODPfd4U_QwI3e_cEXovuH8YXV3LUAn_F=w408-h306-k-no,Restaurant,Restaurant,5,10:00-00:00,vendredi,58 960 881,"VVFP+7QR Restaurant DANMARKI, Nefta",,https://www.google.com/maps/place/Restaurant+DANMARKI/data=!4m7!3m6!1s0x12578dc64fafd265:0xb894232f1fb9ed20!8m2!3d33.8732333!4d7.8867446!16s%2Fg%2F11v0n5kk5s!19sChIJZdKvT8aNVxIRIO25Hy8jlLg?authuser=0&hl=fr&rclk=1
ChIJU-AjmVONVxIRQHRjBRWNexQ,Restaurant les Sources,,False,6,,Restaurant les Sources (proprietaire),,,Restaurant,Restaurant,4.5,,,98 212 966,"VVFP+5WM Restaurant les Sources, Av H Bourguiba, Nefta",,https://www.google.com/maps/place/Restaurant+les+Sources/data=!4m7!3m6!1s0x12578d539923e053:0x147b8d1505637440!8m2!3d33.8729567!4d7.8873121!16s%2Fg%2F11fnskdcgf!19sChIJU-AjmVONVxIRQHRjBRWNexQ?authuser=0&hl=fr&rclk=1
ChIJiU8MSmKLVxIRZTgB274PzrI,Restaurant Al Khayma,,False,5,,Restaurant Al Khayma (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNBSCCOV1bLm5pylqMq0jLCCpOn0ktfeu3qeb9E=w408-h544-k-no,Restaurant,Restaurant,4.2,17:00-01:00,,53 632 180,"VVF9+2VW Restaurant Al Khayma, Al Sharfa, Naftah",,https://www.google.com/maps/place/Restaurant+Al+Khayma/data=!4m7!3m6!1s0x12578b624a0c4f89:0xb2ce0fbedb013865!8m2!3d33.8726158!4d7.8697079!16s%2Fg%2F11c45w6nrl!19sChIJiU8MSmKLVxIRZTgB274PzrI?authuser=0&hl=fr&rclk=1
ChIJgcc0xnKLVxIR624QFlF1y64,Cafe Flamingo,,False,5,,Cafe Flamingo (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPmQvxMBcgDUU9bXFIaRYeonek80X25pPBepr-B=w426-h240-k-no,Cafe,Cafe,4.8,Ouvert 24h/24,,97 510 010,"VVG8+7PX Cafe Flamingo, Unnamed Road, Nefta",,https://www.google.com/maps/place/Caf%C3%A9+Flamingo/data=!4m7!3m6!1s0x12578b72c634c781:0xaecb755116106eeb!8m2!3d33.8757268!4d7.8668688!16s%2Fg%2F11h7dbhdtb!19sChIJgcc0xnKLVxIR624QFlF1y64?authuser=0&hl=fr&rclk=1
