place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJj__fL80LAhMRbEVWfQa7-ZU,GOLD LAND,,False,24,,GOLD LAND (proprietaire),https://www.google.com/maps/contrib/110805023370962183127,https://lh5.googleusercontent.com/p/AF1QipOdweociiCFmRkx29KUUQXmeLxe0XfiaFFOuWjN=w408-h408-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4,06:00-01:00,,,"GOLD LAND, Ouardanine",,https://www.google.com/maps/place/GOLD+LAND/data=!4m7!3m6!1s0x13020bcd2fdfff8f:0x95f9bb067d56456c!8m2!3d35.7146875!4d10.6653125!16s%2Fg%2F11crt144t7!19sChIJj__fL80LAhMRbEVWfQa7-ZU?authuser=0&hl=fr&rclk=1
ChIJ__IVXRgLAhMRA1YYa0K8EKI,Restaurant el baraka route de msaken,,False,3,https://www.facebook.com/moujahed.tounes.1%3Fmibextid%3DZbWKwL,Restaurant el baraka route de msaken (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNW3mkEzhlrD5dgIoAwi3tCg1viaawrOVz8zyPt=w408-h306-k-no,Restaurant,Restaurant,5,07:00-00:00,dimanche,53 807 599,"PM78+VMJ Restaurant el baraka route de msaken, Ouardanine",,https://www.google.com/maps/place/Restaurant+el+baraka+route+de+msaken/data=!4m7!3m6!1s0x13020b185d15f2ff:0xa210bc426b185603!8m2!3d35.7147013!4d10.666642!16s%2Fg%2F11stlc6j67!19sChIJ__IVXRgLAhMRA1YYa0K8EKI?authuser=0&hl=fr&rclk=1
ChIJ73GPcxYLAhMRHuKZ4vM9M3o,Ahmed Yahia,,False,2,,Ahmed Yahia (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPzNUa57ZXQs-ffr0iXH_9WnVABaTrbN3QYJQg=w408-h306-k-no,Restaurant,Restaurant,5,,,,"PM78+HCP Ahmed Yahia, Ouardanine",,https://www.google.com/maps/place/Ahmed+Yahia/data=!4m7!3m6!1s0x13020b16738f71ef:0x7a333df3e299e21e!8m2!3d35.713957!4d10.6660801!16s%2Fg%2F11st_7myc9!19sChIJ73GPcxYLAhMRHuKZ4vM9M3o?authuser=0&hl=fr&rclk=1
ChIJ5VgBgEILAhMR15-I-dwxLX4,Food Time,,False,2,,Food Time (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOOhwuuZKFAEhKUCFgMeTKmO_2ghc9gKtGuT-z9=w533-h240-k-no,Restaurant,Restaurant,5,08:00-00:00,,97 452 552,"PM7M+PF3 Food Time, Rue Farhat Hached, Ouardanine",,https://www.google.com/maps/place/Food+Time/data=!4m7!3m6!1s0x13020b42800158e5:0x7e2d31dcf9889fd7!8m2!3d35.7142186!4d10.6836827!16s%2Fg%2F11svzn4dnb!19sChIJ5VgBgEILAhMR15-I-dwxLX4?authuser=0&hl=fr&rclk=1
ChIJobqL0W8LAhMRtucs2nOBxEE,Restaurant Le Coin `nd Trq,,False,2,https://www.facebook.com/tarek.bardo.9,Restaurant Le Coin `nd Trq (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMcZ3RBlur7WLUttd8Fn5agYZWAz5pbt5fcfPW7=w408-h306-k-no,Pizzeria,Pizzeria,5,14:00-00:00,dimanche,99 893 194,"PM58+9X7 Restaurant Le Coin `nd Trq, Ouardanine",,https://www.google.com/maps/place/Restaurant+Le+Coin+%D8%B9%D9%86%D8%AF+%D8%B7%D8%A7%D8%B1%D9%82%E2%80%AD/data=!4m7!3m6!1s0x13020b6fd18bbaa1:0x41c48173da2ce7b6!8m2!3d35.7084119!4d10.6674098!16s%2Fg%2F11nmlzp4y2!19sChIJobqL0W8LAhMRtucs2nOBxEE?authuser=0&hl=fr&rclk=1
ChIJrb_1d70LAhMRbjVyxKwTMb4,restaurant majorque food,,False,2,,restaurant majorque food (proprietaire),,,Pizzeria,Pizzeria,5,Ouvert 24h/24,,53 914 192,"PM7J+4H4 restaurant majorque food, Rue Farhat Hached, Ouardanine 5010",,https://www.google.com/maps/place/restaurant+majorque+food/data=!4m7!3m6!1s0x13020bbd77f5bfad:0xbe3113acc472356e!8m2!3d35.7127685!4d10.6814582!16s%2Fg%2F11s5txwdf1!19sChIJrb_1d70LAhMRbjVyxKwTMb4?authuser=0&hl=fr&rclk=1
ChIJFaTldJQLAhMRYTjZUMah9Ag,King Food,,False,2,,King Food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOU04qdKwaqoEroRgJbflMlhCO6qDyqfjavoMo3=w408-h306-k-no,Restaurant,Restaurant,5,,,55 980 227,"PM79+VMQ King Food, Ouardanine",,https://www.google.com/maps/place/King+Food/data=!4m7!3m6!1s0x13020b9474e5a415:0x8f4a1c650d93861!8m2!3d35.7147571!4d10.669296!16s%2Fg%2F11rxhk18dd!19sChIJFaTldJQLAhMRYTjZUMah9Ag?authuser=0&hl=fr&rclk=1
ChIJgRnM0JwLAhMR1J5VAdYeMbk,Restaurant tinor,,False,1,,Restaurant tinor (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN9bkV09sX8OE97vwmjZapwIBsnaE3SIQVIKjQf=w426-h240-k-no,Pizzeria,Pizzeria,4,,,,"PM7M+PG2 Restaurant tinor, Rue Farhat Hached, Ouardanine",,https://www.google.com/maps/place/Restaurant+tinor/data=!4m7!3m6!1s0x13020b9cd0cc1981:0xb9311ed601559ed4!8m2!3d35.7142704!4d10.6837613!16s%2Fg%2F11p14qnwj4!19sChIJgRnM0JwLAhMR1J5VAdYeMbk?authuser=0&hl=fr&rclk=1
ChIJyboEAkoLAhMRK-sVnA4cQw0,Walid Chapati,,False,1,,Walid Chapati (proprietaire),,,Restaurant,Restaurant,5,,,,"PM5F+VF7 Walid Chapati, Ouardanine",,https://www.google.com/maps/place/Walid+Chapati/data=!4m7!3m6!1s0x13020b4a0204bac9:0xd431c0e9c15eb2b!8m2!3d35.7096688!4d10.6736791!16s%2Fg%2F11lgfnfq7p!19sChIJyboEAkoLAhMRK-sVnA4cQw0?authuser=0&hl=fr&rclk=1
ChIJ3Uf-syoLAhMRmublSfwdEuI,Restaurant 4 saisons mT`m lfSwl l'rb`@,,False,1,,Restaurant 4 saisons mT`m lfSwl l'rb`@ (proprietaire),https://www.google.com/maps/contrib/100233959910863655001,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uH-kL6g_mvDroV5Df8hP6w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=305.82712&pitch=0&thumbfov=100,Restaurant,Restaurant,5,09:30-21:00,,22 908 383,"Restaurant 4 saisons mT`m lfSwl l'rb`@, Rue Farhat Hached, Sahline 5012",,https://www.google.com/maps/place/Restaurant+4+saisons+%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D9%81%D8%B5%D9%88%D9%84+%D8%A7%D9%84%D8%A3%D8%B1%D8%A8%D8%B9%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x13020b2ab3fe47dd:0xe2121dfc49e5e69a!8m2!3d35.7143066!4d10.6834047!16s%2Fg%2F11v41fnd22!19sChIJ3Uf-syoLAhMRmublSfwdEuI?authuser=0&hl=fr&rclk=1
ChIJ6WCzlK8LAhMRFRh1bOYpG7E,ZAN fricassee,,False,1,,ZAN fricassee (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X72pRsnRWQAah0lCMHOQiQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=6.8255434&pitch=0&thumbfov=100,Restauration rapide,Restauration rapide,5,,,,"PM79+XQR ZAN fricassee, Ouardanine",,https://www.google.com/maps/place/ZAN+fricass%C3%A9e/data=!4m7!3m6!1s0x13020baf94b360e9:0xb11b29e66c751815!8m2!3d35.7149817!4d10.6693985!16s%2Fg%2F11rj04ddjz!19sChIJ6WCzlK8LAhMRFRh1bOYpG7E?authuser=0&hl=fr&rclk=1
