place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJicIjI6zT4hIR5HM9Hp_c8jQ,Le chalet events,,False,58,http://fb.me/Lechaletevents,Le chalet events (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPfhJbe-vR359soIdF8EOPBSASvWx_i8IyoQoR9=w408-h263-k-no,Restaurant,Restaurant,4.4,10:00-23:00,,29 673 908,"Le chalet events, Bjaoua2, jbal ammar",,https://www.google.com/maps/place/Le+chalet+events/data=!4m7!3m6!1s0x12e2d3ac2323c289:0x34f2dc9f1e3d73e4!8m2!3d36.8659968!4d10.018998!16s%2Fg%2F11h4g89620!19sChIJicIjI6zT4hIR5HM9Hp_c8jQ?authuser=0&hl=fr&rclk=1
ChIJ00GE8FQt_RIROhxBHdUmJfU,La colline-the hill,,False,20,,La colline-the hill (proprietaire),https://www.google.com/maps/contrib/117115475642394703604,https://lh5.googleusercontent.com/p/AF1QipMIxe6mLjFBD4kThZawqG1OOvYjTefI_SOCp6AW=w408-h306-k-no,Restaurant,Restaurant,4.7,,,,"La colline-the hill, Mbarka Road, Sidi Thabet",,https://www.google.com/maps/place/La+colline-the+hill/data=!4m7!3m6!1s0x12fd2d54f08441d3:0xf52526d51d411c3a!8m2!3d36.8549134!4d10.0186119!16s%2Fg%2F11fsng9dld!19sChIJ00GE8FQt_RIROhxBHdUmJfU?authuser=0&hl=fr&rclk=1
ChIJpfMt5aIt_RIRtbc194Kngd4,mshwy 'Hmd,,False,12,,mshwy 'Hmd (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOEFkxGcuoaiHYFy8olDXw-KEMI9Jt8EQOrPhSV=w408-h544-k-no,Restaurant,Restaurant,4.5,,,,"R2M5+HC mshwy 'Hmd, Sanhaja",,https://www.google.com/maps/place/%D9%85%D8%B4%D8%A7%D9%88%D9%8A+%D8%A3%D8%AD%D9%85%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x12fd2da2e52df3a5:0xde81a782f735b7b5!8m2!3d36.8337576!4d10.0086675!16s%2Fg%2F11vb2xtf2m!19sChIJpfMt5aIt_RIRtbc194Kngd4?authuser=0&hl=fr&rclk=1
ChIJ89BweW8t_RIRBF_Bt7u__s8,mT`m lbrk@,,False,11,,mT`m lbrk@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNuw5T1QBZifblsYbFdb88vp5unE0zKP2ih9ETQ=w408-h544-k-no,Restaurant,Restaurant,4.8,,,,"R2VQ+FMF mT`m lbrk@, Rue Hatem Ettai,, Oued Ellil",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%A8%D8%B1%D9%83%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd2d6f7970d0f3:0xcffebfbbb7c15f04!8m2!3d36.8436944!4d10.0391818!16s%2Fg%2F11rbwqpsd4!19sChIJ89BweW8t_RIRBF_Bt7u__s8?authuser=0&hl=fr&rclk=1
ChIJXXFOxb0z_RIRySvbAG876Dk,Tooka restaurant,,False,8,https://tooka.tn/,Tooka restaurant (proprietaire),https://www.google.com/maps/contrib/112417721042054964067,https://lh5.googleusercontent.com/p/AF1QipOakE72fnd3wltuwxp0vcLnUlb_NM3a5IDkHtL7=w408-h544-k-no,Restaurant,Restaurant,4.9,10:00-23:00,,21 729 728,"Tooka restaurant, 24 Habib bourguiba, Manouba 2010",,https://www.google.com/maps/place/Tooka+restaurant/data=!4m7!3m6!1s0x12fd33bdc54e715d:0x39e83b6f00db2bc9!8m2!3d36.8103066!4d10.0941016!16s%2Fg%2F11tc4wmhx6!19sChIJXXFOxb0z_RIRySvbAG876Dk?authuser=0&hl=fr&rclk=1
ChIJY9Pkoqot_RIR00C_Ji812_U,UNO Pizza,,False,6,,UNO Pizza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNj4ThoGFku-9U69NDLrC6hFQBeE_FBHEHAq9Cm=w426-h240-k-no,Restaurant,Restaurant,4.5,Ouvert 24h/24,,53 672 963,"UNO Pizza, Residence EL Mokhtar, Manouba",,https://www.google.com/maps/place/UNO+Pizza/data=!4m7!3m6!1s0x12fd2daaa2e4d363:0xf5db352f26bf40d3!8m2!3d36.8174544!4d10.0797314!16s%2Fg%2F11f5tgvbbm!19sChIJY9Pkoqot_RIR00C_Ji812_U?authuser=0&hl=fr&rclk=1
ChIJtZ41o-4t_RIRPS-J_TsLY44,GIOSUE PIZZA,,False,5,https://www.instagram.com/giosue_pizza/,GIOSUE PIZZA (proprietaire),https://www.google.com/maps/contrib/103885631280254483396,https://lh5.googleusercontent.com/p/AF1QipOXELCBkgtf8_cBYIpvk7_yDeuF17x-djKlblsP=w408-h306-k-no,Restaurant,Restaurant,4.4,10:00-22:00,,25 076 021,"GIOSUE PIZZA, route Oued ellil km 7 Manouba, 2010",,https://www.google.com/maps/place/GIOSU%C3%89+PIZZA/data=!4m7!3m6!1s0x12fd2deea3359eb5:0x8e630b3bfd892f3d!8m2!3d36.8219707!4d10.0770256!16s%2Fg%2F11r2qwwycy!19sChIJtZ41o-4t_RIRPS-J_TsLY44?authuser=0&hl=fr&rclk=1
ChIJ9dkKfest_RIRmRT2RZ6ePzA,Pizzeria le plaisir chez Khalil,,False,4,,Pizzeria le plaisir chez Khalil (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNYvTd1E2QlkAHp_a5FK-Z4D26iwEBRUMmFI9yF=w408-h907-k-no,Pizzeria,Pizzeria,4.3,09:00-00:00,mardi,29 111 741,"Pizzeria le plaisir chez Khalil, Oued ellil, 10 rue de l'independance, La mannouba 2021",,https://www.google.com/maps/place/Pizzeria+le+plaisir+chez+Khalil/data=!4m7!3m6!1s0x12fd2deb7d0ad9f5:0x303f9e9e45f61499!8m2!3d36.8434534!4d10.0411814!16s%2Fg%2F11s1_h7z6f!19sChIJ9dkKfest_RIRmRT2RZ6ePzA?authuser=0&hl=fr&rclk=1
ChIJD0izNhIt_RIRaXZDzn4RuQg,Fast food The Queen,,False,4,,Fast food The Queen (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMCY2aNApo7ST2h-2BnMNedGoz7bWmwVwO6BLsV=w408-h544-k-no,Restaurant,Restaurant,4,Ouvert 24h/24,,,"Fast food The Queen, 34, RN 7, Oued Ellil",,https://www.google.com/maps/place/Fast+food+The+Queen/data=!4m7!3m6!1s0x12fd2d1236b3480f:0x8b9117ece437669!8m2!3d36.8354447!4d10.0409258!16s%2Fg%2F11fw9_g9gf!19sChIJD0izNhIt_RIRaXZDzn4RuQg?authuser=0&hl=fr&rclk=1
ChIJ-x-x_wIt_RIR756qmPK3__s,kskrwt mshkhshkh,,False,2,,kskrwt mshkhshkh (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNk3VufoIaC15d8kD0Gw-J9y1UL4xwsCQNVnfrk=w408-h725-k-no,Restauration rapide,Restauration rapide,4,,,,"R2JX+3JP kskrwt mshkhshkh, Oued Ellil",,https://www.google.com/maps/place/%D9%83%D8%B3%D9%83%D8%B1%D9%88%D8%AA+%D9%85%D8%B4%D8%AE%D8%B4%D8%AE%E2%80%AD/data=!4m7!3m6!1s0x12fd2d02ffb11ffb:0xfbffb7f298aa9eef!8m2!3d36.8304904!4d10.0484599!16s%2Fg%2F11l2c3jl_m!19sChIJ-x-x_wIt_RIR756qmPK3__s?authuser=0&hl=fr&rclk=1
ChIJuYh82-0t_RIRbSbxEzSp3qo,LA CASA,,False,2,,LA CASA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNggshBEPY10hgF1-iEMbj9e7OQNAJNCmFJnRGX=w408-h306-k-no,Restaurant de grillades,Restaurant de grillades,5,,,92 723 476,"LA CASA, BEJAOUA 1",,https://www.google.com/maps/place/LA+CASA/data=!4m7!3m6!1s0x12fd2deddb7c88b9:0xaadea93413f1266d!8m2!3d36.8319597!4d10.0170587!16s%2Fg%2F11pvvz3_nm!19sChIJuYh82-0t_RIRbSbxEzSp3qo?authuser=0&hl=fr&rclk=1
ChIJZUApnoUz_RIR73Or77MSBPE,Resto maya,,False,2,,Resto maya (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPfAD3m5RMdY4JcjFuF4jcgLbYbT7UgZ83u45tg=w408-h581-k-no,Restaurant,Restaurant,5,,,,"R38J+JP6 Resto maya, Rue Des Oranges, Manouba",,https://www.google.com/maps/place/Resto+maya/data=!4m7!3m6!1s0x12fd33859e294065:0xf10412b3efab73ef!8m2!3d36.8165266!4d10.0817732!16s%2Fg%2F11js7b_vly!19sChIJZUApnoUz_RIR73Or77MSBPE?authuser=0&hl=fr&rclk=1
ChIJY0ibyZQt_RIROsqzYIGJxMM,Pizzeria 16Huit,,False,1,,Pizzeria 16Huit (proprietaire),https://www.google.com/maps/contrib/109903629414584134067,https://lh5.googleusercontent.com/p/AF1QipPKFBsM5SOeLhsK1LpGqjHP8Wc8sQgXTMfdkcFU=w408-h731-k-no,Pizzeria,Pizzeria,5,10:00-00:00,,26 764 922,"Pizzeria 16Huit, Av. Des Jardins, Oued Ellil 2021",,https://www.google.com/maps/place/Pizzeria+16Huit/data=!4m7!3m6!1s0x12fd2d94c99b4863:0xc3c4898160b3ca3a!8m2!3d36.8327208!4d10.045081!16s%2Fg%2F11vlhfbh_j!19sChIJY0ibyZQt_RIROsqzYIGJxMM?authuser=0&hl=fr&rclk=1
ChIJoWfLCXot_RIRGYGAn9zo9zo,Mexican food,,False,1,,Mexican food (proprietaire),,,Sandwicherie,Sandwicherie,5,,,,"R2RV+745 Mexican food, Parc wed ellil, Oued Ellil",,https://www.google.com/maps/place/Mexican+food/data=!4m7!3m6!1s0x12fd2d7a09cb67a1:0x3af7e8dc9f808119!8m2!3d36.8402567!4d10.042491!16s%2Fg%2F11l6c24vjw!19sChIJoWfLCXot_RIRGYGAn9zo9zo?authuser=0&hl=fr&rclk=1
ChIJ1w-PQi0t_RIRkOFJUiXEG1E,Fast Food Family,,False,1,,Fast Food Family (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPZzm7qE2tjfQ4jDs-ezdzfkbyeWL-lEt5bXOCj=w408-h306-k-no,Restaurant,Restaurant,4,09:00-21:30,dimanche,,"R2WJ+72P Fast Food Family, Rue De La Perfection, Oued Ellil",,https://www.google.com/maps/place/Fast+Food+Family/data=!4m7!3m6!1s0x12fd2d2d428f0fd7:0x511bc4255249e190!8m2!3d36.8457043!4d10.0300722!16s%2Fg%2F11j71rqbzz!19sChIJ1w-PQi0t_RIRkOFJUiXEG1E?authuser=0&hl=fr&rclk=1
ChIJoZNhXnQt_RIRf2KSGiOiqqg,Kafteji thon wel aroussi,,False,1,,Kafteji thon wel aroussi (proprietaire),,,Restauration rapide,Restauration rapide,5,,,,"Kafteji thon wel aroussi, 12 Avenue 14 janvier 2021",,https://www.google.com/maps/place/Kafteji+thon+wel+aroussi/data=!4m7!3m6!1s0x12fd2d745e6193a1:0xa8aaa2231a92627f!8m2!3d36.8340892!4d10.0399961!16s%2Fg%2F11qggc0n4p!19sChIJoZNhXnQt_RIRf2KSGiOiqqg?authuser=0&hl=fr&rclk=1
ChIJlTLqr4kt_RIRMmtesNtbTis,La perla pizzeria,,False,1,,La perla pizzeria (proprietaire),,,Restaurant,Restaurant,5,Ouvert 24h/24,,95 095 073,"R2Q6+J6V La perla pizzeria, Sidi Thabet",,https://www.google.com/maps/place/La+perla+pizzeria/data=!4m7!3m6!1s0x12fd2d89afea3295:0x2b4e5bdbb05e6b32!8m2!3d36.8391059!4d10.0105375!16s%2Fg%2F11pv9h9prg!19sChIJlTLqr4kt_RIRMmtesNtbTis?authuser=0&hl=fr&rclk=1
ChIJTSibB1Uz_RIRVHgI-Mjqe4c,TIGER LOUNGE,,False,1,,TIGER LOUNGE (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPUllVEO7qUXnmEkLzuu7PYydTJ4Y23J9KG227e=w408-h544-k-no,Restaurant familial,Restaurant familial,5,07:00-22:00,,98 959 572,"R37W+3G5 TIGER LOUNGE, RN7, Oued Ellil",,https://www.google.com/maps/place/TIGER+LOUNGE/data=!4m7!3m6!1s0x12fd3355079b284d:0x877beac8f8087854!8m2!3d36.8126375!4d10.0963594!16s%2Fg%2F11sjm253xd!19sChIJTSibB1Uz_RIRVHgI-Mjqe4c?authuser=0&hl=fr&rclk=1
ChIJ4bewIcgt_RIRzrIExEekLaE,mlfwf bjw@,,False,1,,mlfwf bjw@ (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO4J3xCPeLyGcf_Cgqts5y83vQ7qm14SqpnWtWl=w408-h725-k-no,Restauration rapide,Restauration rapide,4,,,,"R2Q6+M3Q mlfwf bjw@, Oued Ellil",,https://www.google.com/maps/place/%D9%85%D9%84%D9%81%D9%88%D9%81+%D8%A8%D8%AC%D8%A7%D9%88%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fd2dc821b0b7e1:0xa12da447c404b2ce!8m2!3d36.8391195!4d10.0102531!16s%2Fg%2F11v0prs144!19sChIJ4bewIcgt_RIRzrIExEekLaE?authuser=0&hl=fr&rclk=1
ChIJsVzoDDMt_RIRE1AOKmw8kdU,PSP Ndeg D 10,,False,1,,PSP Ndeg D 10 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNAKq1sV0HJDQelyDZC5JCb80ynXx_3wltKhGuP=w408-h725-k-no,Restaurant,Restaurant,5,09:30-23:00,,,"R3C7+Q3C PSP Ndeg D 10, Unnamed Road, Manouba",,https://www.google.com/maps/place/PSP+N%C2%B0+D+10/data=!4m7!3m6!1s0x12fd2d330ce85cb1:0xd5913c6c2a0e5013!8m2!3d36.8219392!4d10.0626266!16s%2Fg%2F11ff4cll8k!19sChIJsVzoDDMt_RIRE1AOKmw8kdU?authuser=0&hl=fr&rclk=1
ChIJpdFIZK8z_RIRuKNvWm1ZzME,Restaurant Habib pizzaria,,False,1,,Restaurant Habib pizzaria (proprietaire),,,Restaurant,Restaurant,5,,,,"R3FP+C2P Restaurant Habib pizzaria, Avenue Khaled Ibn El Walid, Manouba",,https://www.google.com/maps/place/Restaurant+Habib+pizzaria/data=!4m7!3m6!1s0x12fd33af6448d1a5:0xc1cc596d5a6fa3b8!8m2!3d36.8235859!4d10.0850807!16s%2Fg%2F11szkg0tf3!19sChIJpdFIZK8z_RIRuKNvWm1ZzME?authuser=0&hl=fr&rclk=1
ChIJn-T2Fx8z_RIR015dHN_7mJI,#3roubi resto,,False,1,,#3roubi resto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMXrhDZgJp-VvHO5oGV2P7aarxHYdo9UYzNx8vv=w408-h394-k-no,Restaurant,Restaurant,5,09:00-23:30,mercredi,,"R3HQ+3MR #3roubi resto, Manouba 2086",,https://www.google.com/maps/place/%233roubi+resto/data=!4m7!3m6!1s0x12fd331f17f6e49f:0x9298fbdf1c5d5ed3!8m2!3d36.8277309!4d10.0891255!16s%2Fg%2F11s_xwt8x3!19sChIJn-T2Fx8z_RIR015dHN_7mJI?authuser=0&hl=fr&rclk=1
ChIJ4a8jWxwz_RIR6LZYFAh7VkA,Restaurant roufa,,False,1,,Restaurant roufa (proprietaire),,,Restauration rapide,Restauration rapide,5,,,,"R3FM+R25 Restaurant roufa, Manouba",,https://www.google.com/maps/place/Restaurant+roufa/data=!4m7!3m6!1s0x12fd331c5b23afe1:0x40567b081458b6e8!8m2!3d36.8237324!4d10.0842049!16s%2Fg%2F11jyx_zxsh!19sChIJ4a8jWxwz_RIR6LZYFAh7VkA?authuser=0&hl=fr&rclk=1
ChIJ1UCvxdEz_RIRCYmS7dI7vXE,Belgacem,,False,1,,Belgacem (proprietaire),,,Restaurant,Restaurant,4,,,24 244 392,"Belgacem, Manouba Douar hicher, 2086",,https://www.google.com/maps/place/Belgacem/data=!4m7!3m6!1s0x12fd33d1c5af40d5:0x71bd3bd2ed928909!8m2!3d36.8277309!4d10.0891255!16s%2Fg%2F11jm6bpd8g!19sChIJ1UCvxdEz_RIRCYmS7dI7vXE?authuser=0&hl=fr&rclk=1
ChIJo9wgHQAz_RIRNrkFYicZK7k,Djerba Resto,,False,1,,Djerba Resto (proprietaire),https://www.google.com/maps/contrib/117009477440891167446,https://lh5.googleusercontent.com/p/AF1QipN6qFq37JpJwvSX-MgtrxQp1sYGpxcAnfOgYdfh=w408-h307-k-no,Restaurant,Restaurant,5,,,,"R39R+65H Djerba Resto, Manouba",,https://www.google.com/maps/place/Djerba+Resto/data=!4m7!3m6!1s0x12fd33001d20dca3:0xb92b19276205b936!8m2!3d36.8181573!4d10.0905287!16s%2Fg%2F11vrrgdm_x!19sChIJo9wgHQAz_RIRNrkFYicZK7k?authuser=0&hl=fr&rclk=1
ChIJkf6hhmEz_RIRWI6FCp7kUbg,wld lby` n`ym,,False,1,,wld lby` n`ym (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNNYty5CIgbIJzmI_8IUuAaO5yn0RdP1Gd55D94=w408-h544-k-no,Restaurant,Restaurant,5,,,,"wld lby` n`ym, 17 Ave Farhat Hached, Manouba",,https://www.google.com/maps/place/%D9%88%D9%84%D8%AF+%D8%A7%D9%84%D8%A8%D9%8A%D8%A7%D8%B9+%D9%86%D8%B9%D9%8A%D9%85%E2%80%AD/data=!4m7!3m6!1s0x12fd336186a1fe91:0xb851e49e0a858e58!8m2!3d36.8060829!4d10.0951508!16s%2Fg%2F11tdqgfhn4!19sChIJkf6hhmEz_RIRWI6FCp7kUbg?authuser=0&hl=fr&rclk=1
