place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJ_bWXuh1K_RIRn_fwC_l8Kxk,Arena Food,,False,41,,Arena Food (proprietaire),https://www.google.com/maps/contrib/105076399149156658380,https://lh5.googleusercontent.com/p/AF1QipNLIqE6NK7RSI4OcKjcW2y-gj5veH6wKf_fB-r2=w532-h240-k-no,Restaurant,Restaurant,4.3,12:00-01:00,,50 363 200,"Arena Food, Av. De La Republique, Rades",fast food,https://www.google.com/maps/place/Arena+Food/data=!4m7!3m6!1s0x12fd4a1dba97b5fd:0x192b7cf90bf0f79f!8m2!3d36.7683888!4d10.274834!16s%2Fg%2F11cp78kw7s!19sChIJ_bWXuh1K_RIRn_fwC_l8Kxk?authuser=0&hl=fr&rclk=1
ChIJezpr3h1J_RIR0AuRJJD2hWs,Taz Food,,False,17,,Taz Food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNwM0AAWwwdXxlA5OTYhm7bi_2pM_5zS33WOh99=w408-h306-k-no,Restaurant,Restaurant,4.4,10:00-23:00,,,"Q77J+M9G Taz Food, Rue de Sfax, Rades",,https://www.google.com/maps/place/Taz+Food/data=!4m7!3m6!1s0x12fd491dde6b3a7b:0x6b85f69024910bd0!8m2!3d36.7641946!4d10.2809528!16s%2Fg%2F11gr0rcg74!19sChIJezpr3h1J_RIR0AuRJJD2hWs?authuser=0&hl=fr&rclk=1
ChIJyw-A625L_RIRbQ7ZNUWFiXI,TOMBECK,,False,15,,TOMBECK (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMiModP-NkIpFU06sCEHEK--KJ6hnfyyAI1ci9h=w408-h544-k-no,Restaurant,Restaurant,4.1,,,,"Q79F+794 TOMBECK, Av. De La Republique, Rades 2040","pizza, prix",https://www.google.com/maps/place/TOMBECK/data=!4m7!3m6!1s0x12fd4b6eeb800fcb:0x7289854535d90e6d!8m2!3d36.7681679!4d10.2734508!16s%2Fg%2F11t57cck20!19sChIJyw-A625L_RIRbQ7ZNUWFiXI?authuser=0&hl=fr&rclk=1
ChIJqe2uCAhL_RIR-LhrUJWhmu4,Narcos food,,False,11,,Narcos food (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMU1U7_MfbAW7zxW4ExmcsqzP5FKzDzLKFGnjQa=w426-h240-k-no,Restauration rapide,Restauration rapide,4.5,,,29 627 726,"Narcos food, 74 Av. Habib Bourguiba, Rades 2040",,https://www.google.com/maps/place/Narcos+food/data=!4m7!3m6!1s0x12fd4b0808aeeda9:0xee9aa195506bb8f8!8m2!3d36.7705711!4d10.2760789!16s%2Fg%2F11j6mg36rt!19sChIJqe2uCAhL_RIR-LhrUJWhmu4?authuser=0&hl=fr&rclk=1
ChIJx3mn6vRL_RIRCveh2XZkM6Y,MONGELLI RADES,,False,11,https://www.facebook.com/Mongelli-Rades-107557298659003/,MONGELLI RADES (proprietaire),https://www.google.com/maps/contrib/107683082925439721060,https://lh5.googleusercontent.com/p/AF1QipNsh8RgTae5dyE4TEi7szveSExU75TseitxtkdS=w408-h544-k-no,Restaurant de sundae,Restaurant de sundae,4.7,11:00-00:00,,,"MONGELLI RADES, 25 Av. Mohamed Ali, Rades 2040",,https://www.google.com/maps/place/MONGELLI+RADES/data=!4m7!3m6!1s0x12fd4bf4eaa779c7:0xa6336476d9a1f70a!8m2!3d36.7717385!4d10.2732314!16s%2Fg%2F11t2_4z3c6!19sChIJx3mn6vRL_RIRCveh2XZkM6Y?authuser=0&hl=fr&rclk=1
ChIJe7eQgglL_RIRIbjCse63DLg,Le Resto Du Port,,False,10,,Le Resto Du Port (proprietaire),https://www.google.com/maps/contrib/116898581741246612095,https://lh5.googleusercontent.com/p/AF1QipPPS8LmdZh0rDA0P4H10FF30wF4ExXXi4Ce7rPN=w408-h375-k-no,Restaurant,Restaurant,4.3,"08:00-16:00, 18:00-23:00",dimanche,99 455 190,"Le Resto Du Port, 137 rue Hedi Nouira ,Mellaha, Rades 2040",,https://www.google.com/maps/place/Le+Resto+Du+Port/data=!4m7!3m6!1s0x12fd4b098290b77b:0xb80cb7eeb1c2b821!8m2!3d36.7919995!4d10.2765606!16s%2Fg%2F11f66dlkgk!19sChIJe7eQgglL_RIRIbjCse63DLg?authuser=0&hl=fr&rclk=1
ChIJiS0f6hxK_RIR_Z1hGwqG3bs,Resto AbouAli,,False,9,,Resto AbouAli (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOt3rztWeONmC84gmZjBP1P4WPQTIKIYYVpBrz-=w408-h306-k-no,Restaurant,Restaurant,4.2,11:00-01:00,dimanche,53 855 799,"Q7CF+438 Resto AbouAli, Av. Mohamed Ali, Rades",,https://www.google.com/maps/place/Resto+AbouAli/data=!4m7!3m6!1s0x12fd4a1cea1f2d89:0xbbdd860a1b619dfd!8m2!3d36.7702893!4d10.2727157!16s%2Fg%2F11c6sbswwv!19sChIJiS0f6hxK_RIR_Z1hGwqG3bs?authuser=0&hl=fr&rclk=1
ChIJcffrKwZL_RIRjZMypI_a-qA,Pizzaria le coin,,False,9,https://www.facebook.com/Pizzeria-le-coin-Rad%25C3%25A8s-312742966043073/,Pizzaria le coin (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN66VIi-P3KuBDTW4Wom6P94TGbtZ4gPIYFfZLI=w408-h272-k-no,Restaurant,Restaurant,4,11:00-01:00,,53 444 821,"Q7FF+577 Pizzaria le coin, Rades",,https://www.google.com/maps/place/Pizzaria+le+coin/data=!4m7!3m6!1s0x12fd4b062bebf771:0xa0fada8fa432938d!8m2!3d36.7729089!4d10.2731711!16s%2Fg%2F11j2llc8bc!19sChIJcffrKwZL_RIRjZMypI_a-qA?authuser=0&hl=fr&rclk=1
ChIJIaVDcx5K_RIRBvlcWXx-pX8,Chez Islem,,False,9,,Chez Islem (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP_OAymbmwoDtT8QKPSdmDXPShRlOzrGI6RI35M=w408-h544-k-no,Pizzeria,Pizzeria,4.4,11:00-23:00,,21 534 237,"Q79G+3V5 Chez Islem, Rades",,https://www.google.com/maps/place/Chez+Islem/data=!4m7!3m6!1s0x12fd4a1e7343a521:0x7fa57e7c595cf906!8m2!3d36.7676348!4d10.2772466!16s%2Fg%2F11gblbrknq!19sChIJIaVDcx5K_RIRBvlcWXx-pX8?authuser=0&hl=fr&rclk=1
ChIJ2TyJoJNJ_RIRILzowLPOF2k,Pizzeria L'amiral,,False,8,,Pizzeria L'amiral (proprietaire),https://www.google.com/maps/contrib/105679295512157791156,https://lh5.googleusercontent.com/p/AF1QipN6tzqxUTs_tC6EBwRJXQsB2mGpwj-Ppm8Zqa8=w408-h725-k-no,Pizzeria,Pizzeria,4.9,12:00-01:00,,52 364 363,"Pizzeria L'amiral, 197 Rue De Tunis, Rades",,https://www.google.com/maps/place/Pizzeria+L%E2%80%99amiral/data=!4m7!3m6!1s0x12fd4993a0893cd9:0x6917ceb3c0e8bc20!8m2!3d36.7567375!4d10.2810619!16s%2Fg%2F11s8kmlc5r!19sChIJ2TyJoJNJ_RIRILzowLPOF2k?authuser=0&hl=fr&rclk=1
