place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJGw8dDCLD_hIRUzR0ejNlclo,Jet Set,,False,27,,Jet Set (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP5gXEyIHQNlDv45yGt5acJvuUBCmovYH56ioUq=w408-h306-k-no,Restaurant,Restaurant,4.1,04:00-00:00,,,"2FQV+VJ4 Jet Set, Sidi Bouzid",,https://www.google.com/maps/place/Jet+Set/data=!4m7!3m6!1s0x12fec3220c1d0f1b:0x5a7265337a743453!8m2!3d35.0396458!4d9.4940897!16s%2Fg%2F11csqwb70p!19sChIJGw8dDCLD_hIRUzR0ejNlclo?authuser=0&hl=fr&rclk=1
ChIJF1VoskXD_hIR9m73UXD3GHA,ROXY Pizzeria,,False,26,,ROXY Pizzeria (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM6uwiTZv9tEdcJJ0nik1KwwfMuyfjpV7oJZK0o=w408-h544-k-no,Pizzeria,Pizzeria,4,Ouvert 24h/24,,23 263 929,"2FMC+C84 ROXY Pizzeria, Bd Mohamed Bouazizi, Sidi Bouzid",,https://www.google.com/maps/place/ROXY+Pizzeria/data=!4m7!3m6!1s0x12fec345b2685517:0x7018f77051f76ef6!8m2!3d35.0335162!4d9.470817!16s%2Fg%2F11ddw_1r1v!19sChIJF1VoskXD_hIR9m73UXD3GHA?authuser=0&hl=fr&rclk=1
ChIJE_Sy_NTD_hIR0ZBzw7XdWEE,The Lodge,,False,19,,The Lodge (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNi69BIuEiW04ySlm-pAQhuP4-Nil7IUvQjG22M=w408-h306-k-no,Salon de the,Salon de the,4.6,08:00-00:00,,,"The Lodge, Unnamed Road, 9100 Av. De Baghdad, Sidi Bouzid",petit dejeuner,https://www.google.com/maps/place/The+Lodge/data=!4m7!3m6!1s0x12fec3d4fcb2f413:0x4158ddb5c37390d1!8m2!3d35.0335206!4d9.4758589!16s%2Fg%2F11fl0tc775!19sChIJE_Sy_NTD_hIR0ZBzw7XdWEE?authuser=0&hl=fr&rclk=1
ChIJdeViydjD_hIRaxvd-RArQkQ,El Pescador Restaurant,,False,12,,El Pescador Restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOsokBH2udV3Y6fYrKHzz4X_MFj6RAIgIB7icd1=w408-h335-k-no,Restaurant,Restaurant,4.5,11:00-22:30,"samedi, dimanche",53 059 000,"2FMC+446 El Pescador Restaurant, Bd Mohamed Bouazizi, Sidi Bouzid",,https://www.google.com/maps/place/El+Pescador+Restaurant/data=!4m7!3m6!1s0x12fec3d8c962e575:0x44422b10f9dd1b6b!8m2!3d35.0327885!4d9.4702587!16s%2Fg%2F11k53tn9k0!19sChIJdeViydjD_hIRaxvd-RArQkQ?authuser=0&hl=fr&rclk=1
ChIJXfiGWWjD_hIR3xvp7cDLhmM,Casablanca,,False,10,,Casablanca (proprietaire),https://www.google.com/maps/contrib/111913313728586261954,https://lh5.googleusercontent.com/p/AF1QipOVn71SRZuy8JTih735raz1AAMrVjZE7E_2Iy1h=w408-h544-k-no,Salon de the,Salon de the,4.6,07:00-00:00,,54 771 771,"Casablanca, Bd Mohamed Bouazizi, Sidi Bouzid",,https://www.google.com/maps/place/Casablanca/data=!4m7!3m6!1s0x12fec3685986f85d:0x6386cbc0ede91bdf!8m2!3d35.0389203!4d9.4911701!16s%2Fg%2F11jpwcnxpf!19sChIJXfiGWWjD_hIR3xvp7cDLhmM?authuser=0&hl=fr&rclk=1
ChIJIzf9fbnD_hIREtTH-TOebNI,RESTAURANT LA MAMMA,,False,9,,RESTAURANT LA MAMMA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMLqhJ-On0wSOTAieqQCA_0RYO-raVDARPNeVGQ=w408-h306-k-no,Restaurant,Restaurant,4.4,00:00-23:00,dimanche,98 235 744,"2FMF+GFJ RESTAURANT LA MAMMA, AVENUE HABIB BOURGUIBA, Sidi Bouzid 9100",,https://www.google.com/maps/place/RESTAURANT+LA+MAMMA/data=!4m7!3m6!1s0x12fec3b97dfd3723:0xd26c9e33f9c7d412!8m2!3d35.0338325!4d9.4736465!16s%2Fg%2F11ghrkpn5y!19sChIJIzf9fbnD_hIREtTH-TOebNI?authuser=0&hl=fr&rclk=1
ChIJS8LsG7rD_hIRQhOtejQqO7k,Pizza_Maestro,,False,8,,Pizza_Maestro (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNlUnf3V4XTfEq0qz-VQpfccQ-Js5JFo6JV30Ae=w408-h306-k-no,Restaurant,Restaurant,4,08:00-23:00,,97 132 700,"Pizza_Maestro, 9100 Bd Mohamed Bouazizi, Sidi Bouzid",,https://www.google.com/maps/place/Pizza_Maestro/data=!4m7!3m6!1s0x12fec3ba1becc24b:0xb93b2a347aad1342!8m2!3d35.0338843!4d9.4737823!16s%2Fg%2F11h1yv6h__!19sChIJS8LsG7rD_hIRQhOtejQqO7k?authuser=0&hl=fr&rclk=1
ChIJgZX5Sz3D_hIReen2RX99bew,L'yasmina,,False,6,,L'yasmina (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO3Uqablar1GBzI77aib2dka8i-0WRl_9Bph8xb=w408-h544-k-no,Restaurant,Restaurant,4.8,08:00-21:00,dimanche,53 797 366,"2FQQ+QMF L'yasmina, rue ibn mandhour, Sidi Bouzid",,https://www.google.com/maps/place/L%27yasmina/data=!4m7!3m6!1s0x12fec33d4bf99581:0xec6d7d7f45f6e979!8m2!3d35.0394442!4d9.4891871!16s%2Fg%2F11c6cgh9fy!19sChIJgZX5Sz3D_hIReen2RX99bew?authuser=0&hl=fr&rclk=1
ChIJiQrNqgfD_hIRDaDyn2xRixc,mT`m lTrbwsh Restaurant Tarbouch,,False,6,,mT`m lTrbwsh Restaurant Tarbouch (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPlju1S5gWxNmDEYhB-_XW6CD0HosSMC7FijcOZ=w408-h306-k-no,Restaurant,Restaurant,4.8,,,,"2FQM+5FX mT`m lTrbwsh Restaurant Tarbouch, nhj ljm`, Sidi Bouzid",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D8%B7%D8%B1%D8%A8%D9%88%D8%B4+Restaurant+Tarbouch%E2%80%AD/data=!4m7!3m6!1s0x12fec307aacd0a89:0x178b516c9ff2a00d!8m2!3d35.0379863!4d9.4837242!16s%2Fg%2F11jxtgzsvv!19sChIJiQrNqgfD_hIRDaDyn2xRixc?authuser=0&hl=fr&rclk=1
ChIJUYnl3GrD_hIRK4mTm6iVyQg,Le Pirate Pizzeria,,False,4,,Le Pirate Pizzeria (proprietaire),,,Restaurant,Restaurant,5,,,,"2FRH+6C2 Le Pirate Pizzeria, lTryq lfr`y@ sydy bwzyd `wyth@ lGzl, 'm l`Zm,",,https://www.google.com/maps/place/Le+Pirate+Pizzeria/data=!4m7!3m6!1s0x12fec36adce58951:0x8c995a89b93892b!8m2!3d35.0405055!4d9.4785176!16s%2Fg%2F11j99c55zn!19sChIJUYnl3GrD_hIRK4mTm6iVyQg?authuser=0&hl=fr&rclk=1
