place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJs5LP2JBl_BIRTHpG45JQa88,Pavarotti pizza,,False,25,,Pavarotti pizza (proprietaire),https://www.google.com/maps/contrib/113768640566751408176,https://lh5.googleusercontent.com/p/AF1QipNuZ0jTm7LzJd2KK9L18uCSLTwXWpZwG8-VUsjL=w408-h306-k-no,Restaurant,Restaurant,4.3,10:00-00:00,dimanche,22 365 444,"Pavarotti pizza, Rue Ahmed Ibn Abi Dhiaf, Siliana",,https://www.google.com/maps/place/Pavarotti+pizza/data=!4m7!3m6!1s0x12fc6590d8cf92b3:0xcf6b5092e3467a4c!8m2!3d36.0868372!4d9.3692571!16s%2Fg%2F11hdz58q86!19sChIJs5LP2JBl_BIRTHpG45JQa88?authuser=0&hl=fr&rclk=1
ChIJ8UsMTIll_BIRkZucmGlFpn0,SAM'S FOOD,,False,10,,SAM'S FOOD (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPplJPzKLDRVpZ9NWkptJOYYiPNfv8EXvkGF9GD=w426-h240-k-no,Restaurant,Restaurant,4.6,,,99 943 256,"39MC+RP5 SAM'S FOOD, Siliana",,https://www.google.com/maps/place/SAM%27S+FOOD/data=!4m7!3m6!1s0x12fc65894c0c4bf1:0x7da64569989c9b91!8m2!3d36.0845055!4d9.3718564!16s%2Fg%2F11kmcrjrrb!19sChIJ8UsMTIll_BIRkZucmGlFpn0?authuser=0&hl=fr&rclk=1
ChIJj1Uyspll_BIRtkjvt5jla_8,3AM TAWFIK,,False,9,https://www.facebook.com/libanais.chaim%3Fmibextid%3DZbWKwL,3AM TAWFIK (proprietaire),https://www.google.com/maps/contrib/116685625764790117789,https://lh5.googleusercontent.com/p/AF1QipNq5ya6UlEcqkOf-KHE8uEM5M_bbm0bG8c8cPYn=w408-h725-k-no,Restaurant,"Restaurant, Creperie, Cremerie, Consultant en agroalimentaire, Pizzeria, Sandwicherie",5,10:00-00:00,,,"39P9+HFG 3AM TAWFIK, Siliana",,https://www.google.com/maps/place/3AM+TAWFIK/data=!4m7!3m6!1s0x12fc6599b232558f:0xff6be598b7ef48b6!8m2!3d36.0864266!4d9.368669!16s%2Fg%2F11jzd_pc6n!19sChIJj1Uyspll_BIRtkjvt5jla_8?authuser=0&hl=fr&rclk=1
ChIJL28eHVNl_BIREs9KjX7BI1U,Restaurant lella Beyya,,False,6,,Restaurant lella Beyya (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOm9Xlel-9Rs4hpYdOo1h_gagLj-zBDhx_CEJxA=w408-h724-k-no,Restaurant,Restaurant,4,08:00-22:00,,96 244 070,"39PC+V22 Restaurant lella Beyya, Siliana",,https://www.google.com/maps/place/Restaurant+lella+Beyya/data=!4m7!3m6!1s0x12fc65531d1e6f2f:0x5523c17e8d4acf12!8m2!3d36.0871317!4d9.3700239!16s%2Fg%2F11gh34c33n!19sChIJL28eHVNl_BIREs9KjX7BI1U?authuser=0&hl=fr&rclk=1
ChIJV27u3QNl_BIR11uNAXK5aI0,mT`m lnkhl@,,False,5,,mT`m lnkhl@ (proprietaire),,,Restaurant,Restaurant,4,08:00-22:00,dimanche,,"39P9+MQ6 mT`m lnkhl@, Siliana",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D8%A7%D9%84%D9%86%D8%AE%D9%84%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x12fc6503ddee6e57:0x8d68b972018d5bd7!8m2!3d36.0866606!4d9.3693853!16s%2Fg%2F11gy1wg564!19sChIJV27u3QNl_BIR11uNAXK5aI0?authuser=0&hl=fr&rclk=1
ChIJ5S4pkZJ7_BIRqx_H4qViY-A,Brooklyn Cooffe,,False,5,,Brooklyn Cooffe (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPnsWyxdMq9W2S1YtHrM5SbBaT04sWh8Wv8oGzS=w408-h725-k-no,Salon de the,"Salon de the, Cafe",4,,,98 205 001,"39P8+35J Brooklyn Cooffe, Siliana",,https://www.google.com/maps/place/Brooklyn+Cooffe/data=!4m7!3m6!1s0x12fc7b9291292ee5:0xe06362a5e2c71fab!8m2!3d36.0852093!4d9.3653899!16s%2Fg%2F11gj4h2124!19sChIJ5S4pkZJ7_BIRqx_H4qViY-A?authuser=0&hl=fr&rclk=1
ChIJtwEKZJZ7_BIRyXoYS3z5b0U,Narcisse Sweets,,False,4,,Narcisse Sweets (proprietaire),https://www.google.com/maps/contrib/117372970825419348668,,Boulangerie,Boulangerie,4,08:00-21:00,dimanche,99 122 900,"Narcisse Sweets, Rue Bizerte, Siliana",,https://www.google.com/maps/place/Narcisse+Sweets/data=!4m7!3m6!1s0x12fc7b96640a01b7:0x456ff97c4b187ac9!8m2!3d36.0851511!4d9.3655298!16s%2Fg%2F11j651k1w4!19sChIJtwEKZJZ7_BIRyXoYS3z5b0U?authuser=0&hl=fr&rclk=1
ChIJIdld21pl_BIRyYsjyO3HaOM,bb lHwm@. wjdy,,False,3,,bb lHwm@. wjdy (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOVGoRFQ863FE1qlcRsaXAj9YWcuHNoMnOiF1t8=w408-h306-k-no,Restaurant,Restaurant,4,08:30-22:00,,53 593 513,"39QC+65R bb lHwm@. wjdy, Unnamed Road, Siliana",,https://www.google.com/maps/place/%D8%A8%D8%A7%D8%A8+%D8%A7%D9%84%D8%AD%D9%88%D9%85%D8%A9.+%D9%88%D8%AC%D8%AF%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x12fc655adb5dd921:0xe368c7edc8238bc9!8m2!3d36.0881195!4d9.3704038!16s%2Fg%2F11gw13cwt0!19sChIJIdld21pl_BIRyYsjyO3HaOM?authuser=0&hl=fr&rclk=1
ChIJtz8akvd7_BIRQT8IjHHo9Dg,Daily Dose,,False,3,,Daily Dose (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNBTySltFaTY3WqXB4Nhmg1HHopZz59DnJqgdZm=w408-h544-k-no,Cafe,Cafe,5,,,,"39M3+PJ4 Daily Dose, Siliana",,https://www.google.com/maps/place/Daily+Dose/data=!4m7!3m6!1s0x12fc7bf7921a3fb7:0x38f4e8718c083f41!8m2!3d36.0842559!4d9.3540635!16s%2Fg%2F11kj_8y4cm!19sChIJtz8akvd7_BIRQT8IjHHo9Dg?authuser=0&hl=fr&rclk=1
ChIJR-B8cbN6_BIRT11wVV7FqSM,Cafe Panorama,,False,2,,Cafe Panorama (proprietaire),,,Cafe,Cafe,4,05:30-00:00,,,"39P8+22C Cafe Panorama, P4, Siliana",,https://www.google.com/maps/place/Caf%C3%A9+Panorama/data=!4m7!3m6!1s0x12fc7ab3717ce047:0x23a9c55e55705d4f!8m2!3d36.0850568!4d9.3650154!16s%2Fg%2F11c329tgwk!19sChIJR-B8cbN6_BIRT11wVV7FqSM?authuser=0&hl=fr&rclk=1
ChIJW_m4dJpl_BIRksmIvwDn4D4,Ridha lablebi,,False,2,,Ridha lablebi (proprietaire),,,Restaurant tunisien,Restaurant tunisien,5,,,,"39P9+GR6 Ridha lablebi, Av. de l'Independance, Siliana",,https://www.google.com/maps/place/Ridha+lablebi/data=!4m7!3m6!1s0x12fc659a74b8f95b:0x3ee0e700bf88c992!8m2!3d36.0862949!4d9.36952!16s%2Fg%2F11klrv53zt!19sChIJW_m4dJpl_BIRksmIvwDn4D4?authuser=0&hl=fr&rclk=1
ChIJkRWHUFZl_BIRQjY0ECpvdZM,Cafe classico,,False,2,,Cafe classico (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMtLLAnnojh85W78_Z0MnSWMpy2uKEh_CP6KPj9=w408-h306-k-no,Cafe,Cafe,5,,,28 602 073,"39P9+RHJ Cafe classico, Rue Habib Thameur, Siliana",,https://www.google.com/maps/place/Caf%C3%A9+classico/data=!4m7!3m6!1s0x12fc655650871591:0x93756f2a10343642!8m2!3d36.0870798!4d9.3688911!16s%2Fg%2F11hj9z595b!19sChIJkRWHUFZl_BIRQjY0ECpvdZM?authuser=0&hl=fr&rclk=1
ChIJKY2mwYll_BIRr3lOn1oZYMw,EL FIRMA GRILL EXPRESS,,False,1,,EL FIRMA GRILL EXPRESS (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOtxOWOa-h4fOWHzAod5KDAo9yVbMZZbTSyB7q3=w408-h520-k-no,Restaurant,Restaurant,5,,,,"EL FIRMA GRILL EXPRESS, 6100 Rue 18 Janvier, Siliana",,https://www.google.com/maps/place/EL+FIRMA+GRILL+EXPRESS/data=!4m7!3m6!1s0x12fc6589c1a68d29:0xcc60195a9f4e79af!8m2!3d36.0861873!4d9.3707989!16s%2Fg%2F11vdrkqlsx!19sChIJKY2mwYll_BIRr3lOn1oZYMw?authuser=0&hl=fr&rclk=1
ChIJ9SDu01Zl_BIRNH-O9H31-A8,Fast food The Fifty Five 55,,False,1,,Fast food The Fifty Five 55 (proprietaire),https://www.google.com/maps/contrib/101296831785985376468,https://lh5.googleusercontent.com/p/AF1QipPwx66Qe87AIzQ0Kmv257CBARzZXcDcd5BVmWBS=w408-h306-k-no,Restaurant,Restaurant,5,09:00-21:00,,29 190 787,"Fast food The Fifty Five 55, Siliana 6100",,https://www.google.com/maps/place/Fast+food+The+Fifty+Five+55/data=!4m7!3m6!1s0x12fc6556d3ee20f5:0xff8f57df48e7f34!8m2!3d36.092379!4d9.3752614!16s%2Fg%2F11kb5jzc7y!19sChIJ9SDu01Zl_BIRNH-O9H31-A8?authuser=0&hl=fr&rclk=1
