place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJm86X3q8SAhMRPlTd9seWfho,La reserve,,False,215,,La reserve (proprietaire),https://www.google.com/maps/contrib/117159273324610209511,https://lh5.googleusercontent.com/p/AF1QipN1ejmjBO0xjJFa2MLjuxS2zTHTT5vcOB_Iwi0N=w408-h536-k-no,Restauration rapide,Restauration rapide,4,11:30-23:00,dimanche,73 502 300,"La reserve, C100e, Monastir","plats, prix, salade cesar, proprete",https://www.google.com/maps/place/La+r%C3%A9serve/data=!4m7!3m6!1s0x130212afde97ce9b:0x1a7e96c7f6dd543e!8m2!3d35.7659093!4d10.8109774!16s%2Fg%2F11c5g87x2b!19sChIJm86X3q8SAhMRPlTd9seWfho?authuser=0&hl=fr&rclk=1
ChIJcUIZZ8wSAhMRhKTxVOL00Dg,BIZZ'ART,,False,185,,BIZZ'ART (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPg48DptVrIdAFwlsgdGup3lXZJRnZbaaCZCmSO=w408-h306-k-no,Restaurant,Restaurant,4,08:00-00:00,,53 065 000,"QRCH+4R6 BIZZ'ART, Monastir","prix, plats, pizza, famille, gorgonzola, tacos",https://www.google.com/maps/place/BIZZ%27ART/data=!4m7!3m6!1s0x130212cc67194271:0x38d0f4e254f1a484!8m2!3d35.7702757!4d10.8295002!16s%2Fg%2F11c5blwf6s!19sChIJcUIZZ8wSAhMRhKTxVOL00Dg?authuser=0&hl=fr&rclk=1
ChIJP-kSIMkSAhMRw4VY0LpsOhI,Soprano,,False,173,http://www.facebook.com/Soprano.Monastir/,Soprano (proprietaire),https://www.google.com/maps/contrib/109149124697389937739,https://lh5.googleusercontent.com/p/AF1QipM_9BCSO8jQ-PedVJk-TeryvqStVIDk4LkNFohW=w408-h408-k-no,Pizzeria,Pizzeria,4.3,11:00-00:00,dimanche,73 466 646,"Soprano, Monastir",prix,https://www.google.com/maps/place/Soprano/data=!4m7!3m6!1s0x130212c92012e93f:0x123a6cbad05885c3!8m2!3d35.7656994!4d10.8269105!16s%2Fg%2F1hm37b7g7!19sChIJP-kSIMkSAhMRw4VY0LpsOhI?authuser=0&hl=fr&rclk=1
ChIJozst0cgSAhMR8yXalG0cfTc,Tenor,,False,136,,Tenor (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPBmTfJwdJxTqZKAGQlXI-aERRQmuDGaGUCQQwO=w408-h306-k-no,Restauration rapide,Restauration rapide,4,10:00-23:30,,73 466 200,"QR8H+33C Tenor, Monastir",,https://www.google.com/maps/place/T%C3%A9nor/data=!4m7!3m6!1s0x130212c8d12d3ba3:0x377d1c6d94da25f3!8m2!3d35.7651847!4d10.8276401!16s%2Fg%2F12lk6jn_3!19sChIJozst0cgSAhMR8yXalG0cfTc?authuser=0&hl=fr&rclk=1
ChIJWz8GPTNtAhMRjXEsQReQ67g,La Cocina,,False,70,https://m.facebook.com/Elkoojina/,La Cocina (proprietaire),https://www.google.com/maps/contrib/103741912262018475920,https://lh5.googleusercontent.com/p/AF1QipOzo5-Hw-PWZw0YIPXKnjTUj4TSVw4rovrRc71S=w408-h612-k-no,Restaurant,Restaurant,4.6,08:30-19:00,dimanche,54 060 609,"La Cocina, Bab El Kram ndeg6, Monastir 5000","prix, tunisien, plats",https://www.google.com/maps/place/La+Cocina/data=!4m7!3m6!1s0x13026d333d063f5b:0xb8eb9017412c718d!8m2!3d35.7745989!4d10.8295081!16s%2Fg%2F11bzz5cggh!19sChIJWz8GPTNtAhMRjXEsQReQ67g?authuser=0&hl=fr&rclk=1
ChIJmRREoJltAhMRZ15UuLWg9Ho,Oriento,,False,62,,Oriento (proprietaire),https://www.google.com/maps/contrib/110132748157947551772,https://lh5.googleusercontent.com/p/AF1QipNLsLh_M3jlCzj_8wqMYPVaLXmx-_Z-lmwMjGWp=w513-h240-k-no,Restaurant,Restaurant,4,11:00-00:00,,92 705 705,"QRHM+727 Oriento, Monastir","prix, kebabs",https://www.google.com/maps/place/Oriento/data=!4m7!3m6!1s0x13026d99a0441499:0x7af4a0b5b8545e67!8m2!3d35.7783791!4d10.8324069!16s%2Fg%2F11sj7zgt9b!19sChIJmRREoJltAhMRZ15UuLWg9Ho?authuser=0&hl=fr&rclk=1
ChIJZ2V9o1ETAhMRZJneO0N2d9Q,White Chapati,,False,22,,White Chapati (proprietaire),https://www.google.com/maps/contrib/105377197853908369676,https://lh5.googleusercontent.com/p/AF1QipO1G82tO8U8S35n3-B5ZQMPOarN6aqUhqjHIpgB=w408-h271-k-no,Restauration rapide,Restauration rapide,4.4,11:30-23:30,,54 199 715,"White Chapati, Monastir 5000",,https://www.google.com/maps/place/White+Chapati/data=!4m7!3m6!1s0x13021351a37d6567:0xd47776433bde9964!8m2!3d35.7652914!4d10.8273!16s%2Fg%2F11rfplcm78!19sChIJZ2V9o1ETAhMRZJneO0N2d9Q?authuser=0&hl=fr&rclk=1
ChIJdf_6T-oMAhMR2kroDZ_5p3Y,Skanes Palm,,False,21,,Skanes Palm (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMsjVvXoKSzeGfY4TiqdNmIeoSTKBO1tgFt2-bv=w408-h544-k-no,Restaurant,Restaurant,4.5,10:30-01:30,,97 888 884,"QP5P+78Q Skanes Palm, Monastir",,https://www.google.com/maps/place/Skanes+Palm/data=!4m7!3m6!1s0x13020cea4ffaff75:0x76a7f99f0de84ada!8m2!3d35.7582095!4d10.7358515!16s%2Fg%2F11f3zk_f7k!19sChIJdf_6T-oMAhMR2kroDZ_5p3Y?authuser=0&hl=fr&rclk=1
ChIJq_9FwUxtAhMRvFllzQahii8,Sesame,,False,19,,Sesame (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNyJy8AqnmqpYOLJu5b7-4YQ4woNi6ReeV1iiOA=w408-h271-k-no,Restaurant,Restaurant,4.1,11:30-23:00,,,"QRG8+73X Sesame, Monastir",plats,https://www.google.com/maps/place/Sesame/data=!4m7!3m6!1s0x13026d4cc145ffab:0x2f8aa106cd6559bc!8m2!3d35.775736!4d10.8152329!16s%2Fg%2F11g698wk38!19sChIJq_9FwUxtAhMRvFllzQahii8?authuser=0&hl=fr&rclk=1
ChIJS1nQ0UYTAhMRdzfm3Tkp7u4,The Blues Cafe-Resto,,False,14,,The Blues Cafe-Resto (proprietaire),https://www.google.com/maps/contrib/100701033935320591135,https://lh5.googleusercontent.com/p/AF1QipOSz_DiLB5KR3h2xry4T8Mpr5FQdhYmOJXu0ine=w408-h306-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.4,07:00-00:00,,31 168 168,"QR9Q+Q49 The Blues Cafe-Resto, Monastir 5000",,https://www.google.com/maps/place/The+Blues+Caf%C3%A9-Resto/data=!4m7!3m6!1s0x13021346d1d0594b:0xeeee2939dde63777!8m2!3d35.7692397!4d10.8375898!16s%2Fg%2F11rntywkh6!19sChIJS1nQ0UYTAhMRdzfm3Tkp7u4?authuser=0&hl=fr&rclk=1
ChIJi5Qz2ugTAhMR9aVuT8hKMiE,Light food,,False,9,,Light food (proprietaire),https://www.google.com/maps/contrib/102817099144550655720,https://lh5.googleusercontent.com/p/AF1QipN2MH1B6noZUZOUFrGFgltAhm7yWmPY2LE_DnQH=w408-h272-k-no,Restauration rapide,Restauration rapide,4,08:00-14:00,dimanche,53 499 652,"Light food, nhj Gr@ jwn 1955, Monastir 5000",prix,https://www.google.com/maps/place/Light+food/data=!4m7!3m6!1s0x130213e8da33948b:0x21324ac84f6ea5f5!8m2!3d35.7693728!4d10.8322349!16s%2Fg%2F11lr7hn5sy!19sChIJi5Qz2ugTAhMR9aVuT8hKMiE?authuser=0&hl=fr&rclk=1
ChIJz70dAnUNAhMRRtFWF6GBWa0,Cafe & Restaurant Mexicano,,False,5,https://mexicanosahline.com/,Cafe & Restaurant Mexicano (proprietaire),https://www.google.com/maps/contrib/115303786641996536143,https://lh5.googleusercontent.com/p/AF1QipOGJJkU61BKagoaf7b2uoK0mssi_l0sUKhIvQ2a=w408-h272-k-no,Restaurant,Restaurant,4.8,11:00-00:00,,99 518 956,"Cafe & Restaurant Mexicano, 5012, Sahline 5012",,https://www.google.com/maps/place/Caf%C3%A9+%26+Restaurant+Mexicano/data=!4m7!3m6!1s0x13020d75021dbdcf:0xad5981a11756d146!8m2!3d35.7545007!4d10.7209689!16s%2Fg%2F11l6pl0qz0!19sChIJz70dAnUNAhMRRtFWF6GBWa0?authuser=0&hl=fr&rclk=1
ChIJYb8lbgBtAhMRlEJOg931u_Y,El Molino,,False,5,,El Molino (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNQ2UXNgG4xiSd0R_aOMreaIfMGDIy3Kmj6riZM=w408-h306-k-no,Restaurant,Restaurant,4.2,07:00-00:00,,97 440 530,"QRJ7+J62 El Molino, Monastir",,https://www.google.com/maps/place/El+Molino/data=!4m7!3m6!1s0x13026d006e25bf61:0xf6bbf5dd834e4294!8m2!3d35.7815125!4d10.8130156!16s%2Fg%2F11vl_glhfw!19sChIJYb8lbgBtAhMRlEJOg931u_Y?authuser=0&hl=fr&rclk=1
ChIJgwMoA1UNAhMRxHnMUt_AqLk,Drift,,False,4,,Drift (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP90aGQE1cfGwCpZoxtxnoogtahrOnJHupPFQEt=w426-h240-k-no,Restaurant,Restaurant,4,12:00-22:30,,,"QP7J+QX Drift, Sahline",,https://www.google.com/maps/place/Drift/data=!4m7!3m6!1s0x13020d5503280383:0xb9a8c0df52cc79c4!8m2!3d35.7644126!4d10.732453!16s%2Fg%2F11kqmr5zwz!19sChIJgwMoA1UNAhMRxHnMUt_AqLk?authuser=0&hl=fr&rclk=1
ChIJeab0IZUMAhMRqnrQ2MU7mjE,L'Astrance,,False,3,,L'Astrance (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP2feTzd9uOx_FZOVfqww_lxIyXp50RpRMy4veG=w408-h725-k-no,Restaurant,Restaurant,5,07:00-00:00,,58 622 555,"QP5J+9C7 L'Astrance, Monastir",,https://www.google.com/maps/place/L%27Astrance/data=!4m7!3m6!1s0x13020c9521f4a679:0x319a3bc5d8d07aaa!8m2!3d35.7584031!4d10.7310566!16s%2Fg%2F11fz9z1t45!19sChIJeab0IZUMAhMRqnrQ2MU7mjE?authuser=0&hl=fr&rclk=1
ChIJAfkh-LYNAhMR9wXQDs6Q5Ig,The Vibe,,False,2,,The Vibe (proprietaire),https://www.google.com/maps/contrib/107050409894573012888,https://lh5.googleusercontent.com/p/AF1QipOaMIcgNt4hYcbOa6kUVnR0nTPhPSeI4mnmdt7c=w408-h544-k-no,Restaurant,Restaurant,5,,,,"QP7J+JV The Vibe, Sahline",,https://www.google.com/maps/place/The+Vibe/data=!4m7!3m6!1s0x13020db6f821f901:0x88e490ce0ed005f7!8m2!3d35.7648601!4d10.7318844!16s%2Fg%2F11svww_w61!19sChIJAfkh-LYNAhMR9wXQDs6Q5Ig?authuser=0&hl=fr&rclk=1
ChIJhYFTL7MTAhMRg8wiqEoL3WQ,Restaurant chouchen,,False,2,,Restaurant chouchen (proprietaire),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tEnm4vqqgKgSBN5Xw1n6ZQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=295.7268&pitch=0&thumbfov=100,Restaurant,Restaurant,4.5,07:00-23:00,,97 369 361,"QR4H+4JX Restaurant chouchen, Monastir",,https://www.google.com/maps/place/Restaurant+chouchen/data=!4m7!3m6!1s0x130213b32f538185:0x64dd0b4aa822cc83!8m2!3d35.7553572!4d10.8291236!16s%2Fg%2F11gr3q4swf!19sChIJhYFTL7MTAhMRg8wiqEoL3WQ?authuser=0&hl=fr&rclk=1
ChIJ_w6UCSsTAhMRX5E6rDIlyt4,Momy's kitchen-kwjyn@ mmy,,False,1,,Momy's kitchen-kwjyn@ mmy (proprietaire),,,Restaurant,Restaurant,5,08:00-18:00,dimanche,22 622 382,"Momy's kitchen-kwjyn@ mmy, Rue mes salah essayedi essoueni Monastir, 5000",,https://www.google.com/maps/place/Momy%27s+kitchen-%D9%83%D9%88%D8%AC%D9%8A%D9%86%D8%A9+%D9%85%D8%A7%D9%85%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x1302132b09940eff:0xdeca2532ac3a915f!8m2!3d35.7660244!4d10.8139578!16s%2Fg%2F11ry78sgcs!19sChIJ_w6UCSsTAhMRX5E6rDIlyt4?authuser=0&hl=fr&rclk=1
ChIJK27nHs8TAhMRZBzDZ9h7R60,Dar Mamie,,False,1,https://m.facebook.com/Dar-Mamie-110954423986715/,Dar Mamie (proprietaire),https://www.google.com/maps/contrib/115493977268245974328,https://lh5.googleusercontent.com/p/AF1QipMXzYWfKAt332JbW_mYHbNtEA-Ig_N90LxwVGnC=w408-h405-k-no,Restaurant,Restaurant,5,08:00-18:00,dimanche,98 195 100,"Dar Mamie, rue Ibn el Jazzar Monastir, 5000",,https://www.google.com/maps/place/Dar+Mamie/data=!4m7!3m6!1s0x130213cf1ee76e2b:0xad477bd867c31c64!8m2!3d35.7648671!4d10.8017167!16s%2Fg%2F11n6vrcpp1!19sChIJK27nHs8TAhMRZBzDZ9h7R60?authuser=0&hl=fr&rclk=1
