place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJWTNdXAuK_RIRipBo2X7DUk4,Mio Mondo Cafe,,False,967,,Mio Mondo Cafe (proprietaire),https://www.google.com/maps/contrib/118013217065311971170,https://lh5.googleusercontent.com/p/AF1QipMFUaDmucMZW4GKm8_D1Az5sjOnRig5ES8mdYJn=w426-h240-k-no,Cafe,"Cafe, Marchand de glaces, Patisserie, Pizzeria, Restaurant, Centre commercial, Salon de the",4.1,07:00-01:00,,73 243 273,"Mio Mondo Cafe, route touristique khezema 4057, Boulevard du 14 Janvier, Sousse 4057","chicha, serveurs, glace, famille, fumeurs, brunch, pizza, service, terrasse, pourboire",https://www.google.com/maps/place/Mio+Mondo+Caf%C3%A9/data=!4m7!3m6!1s0x12fd8a0b5c5d3359:0x4e52c37ed968908a!8m2!3d35.8585963!4d10.6146498!16s%2Fg%2F1tf5yh__!19sChIJWTNdXAuK_RIRipBo2X7DUk4?authuser=0&hl=fr&rclk=1
ChIJ7WuM7BGK_RIRmrMh7vUCPAQ,Restaurant Miam's Hammam Sousse,,False,661,,Restaurant Miam's Hammam Sousse (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPZTU9OJqvFTc1Rjasm91AYvHw-ebeVC2CRYJhY=w408-h306-k-no,Restaurant,Restaurant,4.2,12:00-22:30,,56 177 097,"VJ74+HHG Restaurant Miam's Hammam Sousse, Rte de la Plage, Lebna","burger, pizza, service, qualite, serveurs, salade, cadre, cuisine, fast food, organisation",https://www.google.com/maps/place/Restaurant+Miam%27s+Hammam+Sousse/data=!4m7!3m6!1s0x12fd8a11ec8c6bed:0x43c02f5ee21b39a!8m2!3d35.8639355!4d10.6064403!16s%2Fg%2F11c5hkcxkq!19sChIJ7WuM7BGK_RIRmrMh7vUCPAQ?authuser=0&hl=fr&rclk=1
ChIJ__gYRiOL_RIRx96xRqleaDM,Moe's Diner Sousse,,False,125,https://www.facebook.com/moesdinertunisia,Moe's Diner Sousse (proprietaire),https://www.google.com/maps/contrib/118381012438780406974,https://lh5.googleusercontent.com/p/AF1QipMbpO_2ZotM_3PyxHteUn6WY2EmGys6WmaluWbg=w408-h306-k-no,Restaurant americain,"Restaurant americain, Restaurant de hamburgers",4.7,11:00-23:00,lundi,73 242 448,"Moe's Diner Sousse, Av Maghreb Arabe, Av. Khezama, Sousse","prix, bar a salade, hygiene, sandwichs, proprete, choix, dog",https://www.google.com/maps/place/Moe%27s+Diner+Sousse/data=!4m7!3m6!1s0x12fd8b234618f8ff:0x33685ea946b1dec7!8m2!3d35.8417858!4d10.6188883!16s%2Fg%2F11qh5bxm06!19sChIJ__gYRiOL_RIRx96xRqleaDM?authuser=0&hl=fr&rclk=1
ChIJad9neIR1AhMRJoxv30RdHv0,Restaurant Le Surfin,,False,116,,Restaurant Le Surfin (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOT6QSGuA6mIcXtGoMCPf5pzzwre0yuCLYJsLOm=w408-h306-k-no,Restaurant,Restaurant,4.1,08:00-23:00,,73 225 871,"RJRH+222 Restaurant Le Surfin, Av. Taieb Mehiri, Sousse","prix, poissons, table, mezze, dinar, photo, salade",https://www.google.com/maps/place/Restaurant+Le+Surfin/data=!4m7!3m6!1s0x130275847867df69:0xfd1e5d44df6f8c26!8m2!3d35.8400237!4d10.6275119!16s%2Fg%2F11cn5n77lt!19sChIJad9neIR1AhMRJoxv30RdHv0?authuser=0&hl=fr&rclk=1
ChIJs0b_Itd1AhMRo8VvmBAMx7s,Hayasushi,,False,114,,Hayasushi (proprietaire),https://www.google.com/maps/contrib/103231985570272223010,https://lh5.googleusercontent.com/p/AF1QipNi6awAdeaKPgFZMD2i3z4UjcA_BkYpgbBH761W=w408-h306-k-no,Restaurant,Restaurant,4.2,12:00-22:00,,21 414 441,"Hayasushi, Av. Taib Mehiri, Sousse 4000","atmosphere, prix, chef, experience, japonais, espace propre",https://www.google.com/maps/place/Hayasushi/data=!4m7!3m6!1s0x130275d722ff46b3:0xbbc70c10986fc5a3!8m2!3d35.8385278!4d10.6322793!16s%2Fg%2F11rknjdq1q!19sChIJs0b_Itd1AhMRo8VvmBAMx7s?authuser=0&hl=fr&rclk=1
ChIJQeS4cHiK_RIRAO_yrO_6wYg,Ali Chapati,,False,102,https://m.facebook.com/pages/Ali-Chapati/665039213575169,Ali Chapati (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO0zvumL9xSdnps0YgaXUATVIvXXCYkinYjES73=w408-h544-k-no,Restaurant tunisien,Restaurant tunisien,4,09:00-02:00,,26 863 063,"Ali Chapati, 8 Av. Khezama, Sousse 4051","sandwich, prix",https://www.google.com/maps/place/Ali+Chapati/data=!4m7!3m6!1s0x12fd8a7870b8e441:0x88c1faefacf2ef00!8m2!3d35.8442586!4d10.6192447!16s%2Fg%2F11c0t9j1_k!19sChIJQeS4cHiK_RIRAO_yrO_6wYg?authuser=0&hl=fr&rclk=1
ChIJNxUXjod1AhMRUb9otRuEVNk,Shadok's Resto Pizza,,False,86,,Shadok's Resto Pizza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNmkdo7l1q3AFlaz4E9sBASNI0nbwDbCBbYe-KH=w408-h725-k-no,Restaurant,Restaurant,4.2,08:00-02:00,,26 200 018,"RJVC+P3H Shadok's Resto Pizza, Av. Taha Houssein, Sousse","serveur, ingredients",https://www.google.com/maps/place/Shadok%27s+Resto+Pizza/data=!4m7!3m6!1s0x130275878e171537:0xd954841bb568bf51!8m2!3d35.8443163!4d10.6202358!16s%2Fg%2F11gbww3k52!19sChIJNxUXjod1AhMRUb9otRuEVNk?authuser=0&hl=fr&rclk=1
ChIJt-nM54Z1AhMRwMbmM-hNmAc,La Boule D'or,,False,82,https://best--restaurants.blogspot.com/,La Boule D'or (proprietaire),https://www.google.com/maps/contrib/115270402037947828713,https://lh5.googleusercontent.com/p/AF1QipNAIPjy3gj27cZqc2cNuTDWkGuP3n0h0TRPAuSG=w408-h544-k-no,Restaurant,Restaurant,4.2,12:00-23:00,mercredi,73 229 794,"La Boule D'or, Sousse","prix, pizza, sandwich, burger, fast food, fromage",https://www.google.com/maps/place/La+Boule+D%27or/data=!4m7!3m6!1s0x13027586e7cce9b7:0x7984de833e6c6c0!8m2!3d35.8420073!4d10.6230896!16s%2Fg%2F11csr273q1!19sChIJt-nM54Z1AhMRwMbmM-hNmAc?authuser=0&hl=fr&rclk=1
ChIJC76FG3KK_RIRc6B2RaPeUZQ,Zitouna Restaurant,,False,80,,Zitouna Restaurant (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOvl4qEwYztTAXmFu8aXJdI2akaSVjUr5DiYWMO=w426-h240-k-no,Restaurant,Restaurant,4.3,10:00-00:00,lundi,73 240 650,"VJ35+4PH Zitouna Restaurant, Sousse","prix, cuisine, entree, fruit de mer, champignons, enfants, service a la clientele, experience",https://www.google.com/maps/place/Zitouna+Restaurant/data=!4m7!3m6!1s0x12fd8a721b85be0b:0x9451dea34576a073!8m2!3d35.8528023!4d10.6093509!16s%2Fg%2F11c6c99kff!19sChIJC76FG3KK_RIRc6B2RaPeUZQ?authuser=0&hl=fr&rclk=1
ChIJkzbqKQ6K_RIRBHahefpy0OM,Restaurant Carthage Beach,,False,73,,Restaurant Carthage Beach (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPKtowqzqoIrMbUze6r-YIlPySmu6jZsfrR0yFl=w426-h240-k-no,Restaurant de fruits de mer,"Restaurant de fruits de mer, Bar",4.4,11:00-01:00,,73 325 102,"VJ85+782 Restaurant Carthage Beach, Hammam Sousse",biere,https://www.google.com/maps/place/Restaurant+Carthage+Beach/data=!4m7!3m6!1s0x12fd8a0e29ea3693:0xe3d072fa79a17604!8m2!3d35.8656392!4d10.6082726!16s%2Fg%2F11c55xblls!19sChIJkzbqKQ6K_RIRBHahefpy0OM?authuser=0&hl=fr&rclk=1
