place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJP_kN-t-q4hIR59mWlgjVV7A,La Crique De Robinson,,False,98,,La Crique De Robinson (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOrzXer8HJfbw4z0TbsNX7xiMulvi93GTfH5346=w493-h240-k-no,Restaurant,Restaurant,4.2,Ouvert 24h/24,,52 818 067,"RHWG+82M La Crique De Robinson, Taklisah","plage, vue, nature, bateau",https://www.google.com/maps/place/La+Crique+De+Robinson/data=!4m7!3m6!1s0x12e2aadffa0df93f:0xb057d5089696d9e7!8m2!3d36.8458457!4d10.5750417!16s%2Fg%2F11c51rcdx1!19sChIJP_kN-t-q4hIR59mWlgjVV7A?authuser=0&hl=fr&rclk=1
ChIJyzb_iUNP_RIRsCZG5ohaLVs,CHEZ Abdou PIZZARIA,,False,33,https://www.facebook.com/Chez-Abdou-110413574876401/,CHEZ Abdou PIZZARIA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOpb4XEi052ojwpp1LE_vDKe_KV-Iz-8X4tS2rl=w408-h306-k-no,Restaurant,Restaurant,4.4,10:00-23:00,,95 524 076,"PC57+M84 CHEZ Abdou PIZZARIA, Rue, Principale",familles,https://www.google.com/maps/place/CHEZ+Abdou+PIZZARIA/data=!4m7!3m6!1s0x12fd4f4389ff36cb:0x5b2d5a88e64626b0!8m2!3d36.7091317!4d10.4133422!16s%2Fg%2F11f79cdry0!19sChIJyzb_iUNP_RIRsCZG5ohaLVs?authuser=0&hl=fr&rclk=1
ChIJtY2NiJGr4hIRrSPVtDt7kR0,Ras Fartas beach,,False,23,https://www.facebook.com/rasfartas,Ras Fartas beach (proprietaire),https://www.google.com/maps/contrib/112915847598879628310,https://lh5.googleusercontent.com/p/AF1QipMeYjWUStwMYJOzMZEDFLjdRrTZ6MQRV4Fx9GPJ=w408-h306-k-no,Restaurant,Restaurant,4.4,09:00-20:00,,22 713 128,"Ras Fartas beach, Takilsa",,https://www.google.com/maps/place/Ras+Fartas+beach/data=!4m7!3m6!1s0x12e2ab91888d8db5:0x1d917b3bb4d523ad!8m2!3d36.8769529!4d10.6131158!16s%2Fg%2F11h4zn3rp9!19sChIJtY2NiJGr4hIRrSPVtDt7kR0?authuser=0&hl=fr&rclk=1
ChIJhRKIcYpRHRMR1SSOOsMAmLA,Dar Ben Jaballah Gite et Restaurant,,False,19,http://facebook.com/Dar-Rtiba-170772302989383/,Dar Ben Jaballah Gite et Restaurant (proprietaire),https://www.google.com/maps/contrib/115459625890103572233,https://lh5.googleusercontent.com/p/AF1QipMuYtpD640b8IhD64LFEfxQ1TOalFz7p9NoyQcB=w408-h510-k-no,Chambre d'hotes,"Chambre d'hotes, Chalet, Gite, Maison d'hotes, Restaurant",4.3,,,21 969 688,"Dar Ben Jaballah Gite et Restaurant, NA - Rtiba, Meroua - 34km Route el Haouaria, Dar el Hajri 8000",,https://www.google.com/maps/place/Dar+Ben+Jaballah+G%C3%AEte+et+Restaurant/data=!4m7!3m6!1s0x131d518a71881285:0xb09800c33a8e24d5!8m2!3d36.8929514!4d10.7735725!16s%2Fg%2F11c5bt431y!19sChIJhRKIcYpRHRMR1SSOOsMAmLA?authuser=0&hl=fr&rclk=1
ChIJy89pt9VO_RIR0tnKIU78_Bo,"Hotel Stokholm, Cite Ibn Rachik, A Cote De La Salle Couverte Ghelela",,False,11,,"Hotel Stokholm, Cite Ibn Rachik, A Cote De La Salle Couverte Ghelela (proprietaire)",,https://lh5.googleusercontent.com/p/AF1QipMKLxkESS8I5fagQCf2_CHZF87mHnDCUCBem9zc=w426-h240-k-no,Restaurant,Restaurant,4,09:00-23:00,,98 928 127,"P993+HFH Hotel Stokholm, Cite Ibn Rachik, A Cote De La Salle Couverte Ghelela, Hammam-Lif",,"https://www.google.com/maps/place/Hotel+Stokholm,+Cit%C3%A9+Ibn+Rachik,+%C3%80+C%C3%B4t%C3%A9+De+La+Salle+Couverte+Ghelela/data=!4m7!3m6!1s0x12fd4ed5b769cfcb:0x1afcfc4e21cad9d2!8m2!3d36.7189448!4d10.3537488!16s%2Fg%2F11bzsflklk!19sChIJy89pt9VO_RIR0tnKIU78_Bo?authuser=0&hl=fr&rclk=1"
ChIJxw8yCTJSHRMRs4_lEn_L8Yw,Machwa,,False,10,,Machwa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPIlPRw9K7ILn3ymRJz00tMEkdkSqPoy5lWEW5w=w408-h305-k-no,Restaurant,Restaurant,4.4,,,46 267 265,"Machwa, 8031, Tunisia, Manila",,https://www.google.com/maps/place/Machwa/data=!4m7!3m6!1s0x131d523209320fc7:0x8cf1cb7f12e58fb3!8m2!3d36.8827247!4d10.7595225!16s%2Fg%2F11cn9jsb65!19sChIJxw8yCTJSHRMRs4_lEn_L8Yw?authuser=0&hl=fr&rclk=1
ChIJRxLOrjurAhMRber8wyyhXog,Sandwich Mlawi,,False,9,,Sandwich Mlawi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPoH7hNcsS7MyLrMEcjM3ubzwnSDz7p2G6bf55b=w408-h378-k-no,Restaurant,Restaurant,4.6,,,,"QJRF+XR3 Sandwich Mlawi, C26, Takilsa",,https://www.google.com/maps/place/Sandwich+Mlawi/data=!4m7!3m6!1s0x1302ab3baece1247:0x885ea12cc3fcea6d!8m2!3d36.7923937!4d10.6245614!16s%2Fg%2F11h4zk750k!19sChIJRxLOrjurAhMRber8wyyhXog?authuser=0&hl=fr&rclk=1
ChIJrd7l0rNP_RIRAMpDFRaKmWY,Kirwena,,False,8,https://m.facebook.com/kirwena2014,Kirwena (proprietaire),,,Restaurant,Restaurant,4,08:00-22:00,dimanche,53 740 668,"PC45+WG9 Kirwena, Borj Cedria",,https://www.google.com/maps/place/Kirwena/data=!4m7!3m6!1s0x12fd4fb3d2e5dead:0x66998a161543ca00!8m2!3d36.7072931!4d10.4088448!16s%2Fg%2F11dxdffjr4!19sChIJrd7l0rNP_RIRAMpDFRaKmWY?authuser=0&hl=fr&rclk=1
ChIJe7bXlWKrAhMRCiK5KTuc_SQ,Restaurant Lella Fatma,,False,6,,Restaurant Lella Fatma (proprietaire),https://www.google.com/maps/contrib/118118267964076835615,https://lh5.googleusercontent.com/p/AF1QipN1qLQNTt0g4ZA26gUM9DVBZ6YpYJa8xMi6MQ3N=w408-h544-k-no,Restaurant,Restaurant,4.8,,,27 270 784,"Restaurant Lella Fatma, Sidi Aissa 8031",,https://www.google.com/maps/place/Restaurant+Lella+Fatma/data=!4m7!3m6!1s0x1302ab6295d7b67b:0x24fd9c3b29b9220a!8m2!3d36.8110154!4d10.6594911!16s%2Fg%2F11slm10zr2!19sChIJe7bXlWKrAhMRCiK5KTuc_SQ?authuser=0&hl=fr&rclk=1
ChIJRSA2ec5P_RIRAz0JtfxtTf8,The good,,False,5,https://instagram.com/thegood.coffeshop%3Figshid%3DYmMyMTA2M2Y%3D,The good (proprietaire),https://www.google.com/maps/contrib/117026736209204072043,https://lh5.googleusercontent.com/p/AF1QipPZef1Zx1LAzBMoHU7aRZswPbBmZuSO2swWm0Gg=w426-h240-k-no,Restaurant occidental,Restaurant occidental,5,Ouvert 24h/24,,26 600 561,"The good, Plage Ejjehmi",,https://www.google.com/maps/place/The+good/data=!4m7!3m6!1s0x12fd4fce79362045:0xff4d6dfcb5093d03!8m2!3d36.7072994!4d10.4223809!16s%2Fg%2F11sppdpjnv!19sChIJRSA2ec5P_RIRAz0JtfxtTf8?authuser=0&hl=fr&rclk=1
