place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJz75BYKe3VBIRlRlvBmNYGGE,Tej Royal,,False,37,,Tej Royal (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipO8isos2j_yV3FDrBKqBPrf7AwBNDGc1RpKoE4W=w408-h306-k-no,Restaurant,Restaurant,4,08:00-00:30,,75 845 420,"XF3C+43R Tej Royal, Tataouine",,https://www.google.com/maps/place/Tej+Royal/data=!4m7!3m6!1s0x1254b7a76041becf:0x61185863066f1995!8m2!3d32.9528568!4d10.4701261!16s%2Fg%2F11cmz6jyrk!19sChIJz75BYKe3VBIRlRlvBmNYGGE?authuser=0&hl=fr&rclk=1
ChIJg-xLUQ63VBIRQjBXB5VEDuc,Domino,,False,19,,Domino (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPW6L_z2D1S3wH0IBGwF_fPxCDPbGgVM24KF9s=w408-h544-k-no,Restaurant,Restaurant,4.2,"11:29-14:30, 17:00-23:00",,22 878 553,"WFR2+QWW Domino, Avenue habib bourguiba, Tataouine",pizza,https://www.google.com/maps/place/Domino/data=!4m7!3m6!1s0x1254b70e514bec83:0xe70e449507573042!8m2!3d32.9419771!4d10.4523395!16s%2Fg%2F11g0v6lk3h!19sChIJg-xLUQ63VBIRQjBXB5VEDuc?authuser=0&hl=fr&rclk=1
ChIJeaptCBW3VBIRFCu-mdSd_l8,Bonghnim,,False,11,,Bonghnim (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNjbiLf9WG0DjqWIaRYJBjJLl3t158vQf9vWog=w408-h906-k-no,Restaurant,Restaurant,4.9,,,75 850 726,"WCHX+M6P Bonghnim, Tataouine",ojja,https://www.google.com/maps/place/Bonghnim/data=!4m7!3m6!1s0x1254b715086daa79:0x5ffe9dd499be2b14!8m2!3d32.9292028!4d10.448085!16s%2Fg%2F11qqyjjgm9!19sChIJeaptCBW3VBIRFCu-mdSd_l8?authuser=0&hl=fr&rclk=1
ChIJx2mlQIG3VBIRmG9X-P4Va74,pizzaria la rosa,,False,10,,pizzaria la rosa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNz6gC8lUeyhVVarH6TmlVyXXFQK6Vix3q5Jw0r=w408-h409-k-no,Restaurant tunisien,Restaurant tunisien,4.3,,,,"XF28+FF3 pizzaria la rosa, Tataouine",,https://www.google.com/maps/place/pizzaria+la+rosa/data=!4m7!3m6!1s0x1254b78140a569c7:0xbe6b15fef8576f98!8m2!3d32.9511495!4d10.4661646!16s%2Fg%2F11h7_vc4df!19sChIJx2mlQIG3VBIRmG9X-P4Va74?authuser=0&hl=fr&rclk=1
ChIJK0ikDfq3VBIRL6EQ3l5THU8,dr lmlfwf Dar el malfouf,,False,9,,dr lmlfwf Dar el malfouf (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNPmn1dbJZtBYoUOjq0Tyk8NrHrd_cGBtjVf_6s=w408-h544-k-no,Pizzeria,Pizzeria,4.4,,,,"dr lmlfwf Dar el malfouf, 44 Av. habib bourguiba, Tataouine",,https://www.google.com/maps/place/%D8%AF%D8%A7%D8%B1+%D8%A7%D9%84%D9%85%D9%84%D9%81%D9%88%D9%81+Dar+el+malfouf%E2%80%AD/data=!4m7!3m6!1s0x1254b7fa0da4482b:0x4f1d535ede10a12f!8m2!3d32.9282965!4d10.4488391!16s%2Fg%2F11smmjhpcr!19sChIJK0ikDfq3VBIRL6EQ3l5THU8?authuser=0&hl=fr&rclk=1
ChIJc-KsDwS3VBIRZWoN51GgXlc,Cafe 3S Tataouine,,False,9,,Cafe 3S Tataouine (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPsMw4sDQwAtpwoLsBfIIFLFfJJz-azNNuEs--J=w408-h306-k-no,Cafe et restaurant de grillades,Cafe et restaurant de grillades,4.6,08:00-18:00,,95 072 500,"WFWH+7CJ Cafe 3S Tataouine, Tataouine",,https://www.google.com/maps/place/Cafe+3S+Tataouine/data=!4m7!3m6!1s0x1254b7040face273:0x575ea051e70d6a65!8m2!3d32.945705!4d10.4785022!16s%2Fg%2F11gfhqlw62!19sChIJc-KsDwS3VBIRZWoN51GgXlc?authuser=0&hl=fr&rclk=1
ChIJwS3y4ly3VBIR5upBd5BN4t8,Patisserie Du Sud Kilani Ounissi,,False,9,,Patisserie Du Sud Kilani Ounissi (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMlcSNFWauN2ioxvSKgT-a39STldtelRb8lqiJy=w408-h240-k-no-pi1.7007327-ya345.01083-ro-0.16558461-fo100,Cafeteria,Cafeteria,4,08:00-21:00,,53 407 827,"WCHX+GHM Patisserie Du Sud Kilani Ounissi, Av. habib bourguiba, Tataouine",,https://www.google.com/maps/place/Patisserie+Du+Sud+Kilani+Ounissi/data=!4m7!3m6!1s0x1254b75ce2f22dc1:0xdfe24d907741eae6!8m2!3d32.928849!4d10.4489281!16s%2Fg%2F11dx8m243n!19sChIJwS3y4ly3VBIR5upBd5BN4t8?authuser=0&hl=fr&rclk=1
ChIJd--dMXK3VBIRV4UpqdQsjs4,Pizzeria Restaurant Dar Dhiafa,,False,7,,Pizzeria Restaurant Dar Dhiafa (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMr2-aITcMFy01o9yi4G_KHlI8slh5XYXTB5nFw=w408-h306-k-no,Pizzeria,Pizzeria,4.7,,,98 193 022,"XF86+262 Pizzeria Restaurant Dar Dhiafa, P19, Tataouine",,https://www.google.com/maps/place/Pizzeria+Restaurant+Dar+Dhiafa/data=!4m7!3m6!1s0x1254b772319def77:0xce8e2cd4a9298557!8m2!3d32.9650239!4d10.4605025!16s%2Fg%2F11fp4rv4f9!19sChIJd--dMXK3VBIRV4UpqdQsjs4?authuser=0&hl=fr&rclk=1
ChIJZWTSr2m3VBIRDtRrE84jp5k,Restaurant Margoum,,False,7,,Restaurant Margoum (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipNagt_bAADbWa__UQVb5FvtIjqa8e3B91K8lX3j=w408-h544-k-no,Restaurant,Restaurant,4.3,,,,"WCHX+JH5 Restaurant Margoum, Tataouine",,https://www.google.com/maps/place/Restaurant+Margoum/data=!4m7!3m6!1s0x1254b769afd26465:0x99a723ce136bd40e!8m2!3d32.9290219!4d10.448972!16s%2Fg%2F11fwx16pz7!19sChIJZWTSr2m3VBIRDtRrE84jp5k?authuser=0&hl=fr&rclk=1
ChIJI8TvAMa3VBIRMCfgI5xezFM,Milano Pizza,,False,7,,Milano Pizza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPbPBi8BAJVlzfq9lRTT7Yl_nxVZj9UxBRAKSyi=w408-h306-k-no,Pizzeria,Pizzeria,5,,,96 863 604,"WFF4+HV3 Milano Pizza, Unnamed Road, Tataouine",,https://www.google.com/maps/place/Milano+Pizza/data=!4m7!3m6!1s0x1254b7c600efc423:0x53cc5e9c23e02730!8m2!3d32.9238787!4d10.4571841!16s%2Fg%2F11nsvc5f0y!19sChIJI8TvAMa3VBIRMCfgI5xezFM?authuser=0&hl=fr&rclk=1
ChIJ99dMZwy3VBIRAH3pgjsVz2M,mT`m kbrn,,False,6,,mT`m kbrn (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMBNU6-2ahREDeXYwkd6hehAg3YDliHjIknOl0F=w435-h240-k-no,Restaurant,Restaurant,4.3,,,,"XF6F+P8H mT`m kbrn, Tataouine",,https://www.google.com/maps/place/%D9%85%D8%B7%D8%B9%D9%85+%D9%83%D8%A8%D8%B1%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x1254b70c674cd7f7:0x63cf153b82e97d00!8m2!3d32.9625499!4d10.4742854!16s%2Fg%2F11tjf74qwr!19sChIJ99dMZwy3VBIRAH3pgjsVz2M?authuser=0&hl=fr&rclk=1
ChIJ3b7SFAG3VBIRAKryr-hYbpY,L'artisto,,False,5,,L'artisto (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOj_lM0sAfwJpyMQ8-LyR7yJzz5iXQ4ST45e7FZ=w426-h240-k-no,Restaurant,Restaurant,4.2,,,,"WCHX+X22 L'artisto, P19, Tataouine",,https://www.google.com/maps/place/L%27artisto/data=!4m7!3m6!1s0x1254b70114d2bedd:0x966e58e8aff2aa00!8m2!3d32.9298833!4d10.4475194!16s%2Fg%2F11fsk9y6ff!19sChIJ3b7SFAG3VBIRAKryr-hYbpY?authuser=0&hl=fr&rclk=1
ChIJ43mXen-3VBIRtW_JNzrVwL8,IL Maestro pizza,,False,5,,IL Maestro pizza (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPIVfIHYRX-Mo-Yx9P2KLcwaYv8xVXyR0QOJkjf=w408-h542-k-no,Pizzeria,Pizzeria,5,Ouvert 24h/24,,96 820 225,"WFR6+Q9H IL Maestro pizza, Tataouine",,https://www.google.com/maps/place/IL+Maestro+pizza/data=!4m7!3m6!1s0x1254b77f7a9779e3:0xbfc0d53a37c96fb5!8m2!3d32.9419413!4d10.4609997!16s%2Fg%2F11fq_z4wty!19sChIJ43mXen-3VBIRtW_JNzrVwL8?authuser=0&hl=fr&rclk=1
ChIJGyc-fQO3VBIRady4eTZ7bWc,Resto Castello,,False,4,,Resto Castello (proprietaire),https://www.google.com/maps/contrib/104036719772741907411,https://lh5.googleusercontent.com/p/AF1QipNIQltn7gW3pzw8vA4KlNos4SKFsMWQOEj3A1MJ=w408-h544-k-no,Restaurant,Restaurant,5,,,,P19 Resto Castello,,https://www.google.com/maps/place/Resto+Castello/data=!4m7!3m6!1s0x1254b7037d3e271b:0x676d7b3679b8dc69!8m2!3d32.929007!4d10.4461405!16s%2Fg%2F11ghs7kk0c!19sChIJGyc-fQO3VBIRady4eTZ7bWc?authuser=0&hl=fr&rclk=1
ChIJV-Hl5Qa7VBIRG14OmW_FWeo,FoodStreet 93,,False,3,,FoodStreet 93 (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPIOEuM0nyRjADo7Y0Hpj4NlIpxeCY3PA7hSeYe=w408-h544-k-no,Restaurant,Restaurant,5,10:00-02:00,,26 399 255,"WC5F+RX5 FoodStreet 93, Tataouine",,https://www.google.com/maps/place/FoodStreet+93/data=!4m7!3m6!1s0x1254bb06e5e5e157:0xea59c56f990e5e1b!8m2!3d32.909518!4d10.4249783!16s%2Fg%2F11rgrcwb0w!19sChIJV-Hl5Qa7VBIRG14OmW_FWeo?authuser=0&hl=fr&rclk=1
ChIJCVWGITa3VBIRjVOpkoz36K4,Pizza torino,,False,3,,Pizza torino (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipP6_bFU7yiJMtYRDTk9N23iUc63bsvNp1uZzgSK=w408-h544-k-no,Pizzeria,Pizzeria,5,10:00-00:00,,50 443 442,"WFM2+494 Pizza torino, P19, Tataouine",,https://www.google.com/maps/place/Pizza+torino/data=!4m7!3m6!1s0x1254b73621865509:0xaee8f78c92a9538d!8m2!3d32.9327568!4d10.4509522!16s%2Fg%2F11p4_724kb!19sChIJCVWGITa3VBIRjVOpkoz36K4?authuser=0&hl=fr&rclk=1
ChIJKZevjgi3VBIRqTawxatf1JM,strH@ lnj`,,False,3,,strH@ lnj` (proprietaire),https://www.google.com/maps/contrib/110394305793320762091,,Restaurant,Restaurant,4.7,,,,"XF7F+FW strH@ lnj`, Tataouine",,https://www.google.com/maps/place/%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AD%D8%A9+%D8%A7%D9%84%D9%86%D8%AC%D8%B9%E2%80%AD/data=!4m7!3m6!1s0x1254b7088eaf9729:0x93d45fabc5b036a9!8m2!3d32.9636225!4d10.474765!16s%2Fg%2F11rv2xc79f!19sChIJKZevjgi3VBIRqTawxatf1JM?authuser=0&hl=fr&rclk=1
ChIJK6eJq4e3VBIRyQjZx_u60SQ,Prestige,,False,2,,Prestige (proprietaire),,,Restaurant,Restaurant,4,06:00-23:00,,95 833 353,"WCGR+69W Prestige, Rue Ahmed Tlili, Tataouine 3200",,https://www.google.com/maps/place/Prestige/data=!4m7!3m6!1s0x1254b787ab89a72b:0x24d1bafbc7d908c9!8m2!3d32.925607!4d10.4409646!16s%2Fg%2F11jb1xxx_8!19sChIJK6eJq4e3VBIRyQjZx_u60SQ?authuser=0&hl=fr&rclk=1
ChIJjYtzjJW3VBIR-j7YEeghDPA,Pizzeria Lela Meriem,,False,2,,Pizzeria Lela Meriem (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOMM_yQeHvvrArek1dQeTlbu8iUJAmHxfFRZ2OC=w408-h544-k-no,Pizzeria,Pizzeria,5,,,,"WCHX+HFF Pizzeria Lela Meriem, Av. habib bourguiba, Tataouine",,https://www.google.com/maps/place/Pizzeria+Lela+Meriem/data=!4m7!3m6!1s0x1254b7958c738b8d:0xf00c21e811d83efa!8m2!3d32.9290543!4d10.4486404!16s%2Fg%2F11v5tm64rg!19sChIJjYtzjJW3VBIR-j7YEeghDPA?authuser=0&hl=fr&rclk=1
ChIJ1Y1a3rq3VBIRO8CGRiwCWyo,aroma express,,False,1,,aroma express (proprietaire),,,Restaurant,Restaurant,5,,,,"WCHX+J9R aroma express, Av. habib bourguiba, Tataouine",,https://www.google.com/maps/place/aroma+express/data=!4m7!3m6!1s0x1254b7bade5a8dd5:0x2a5b022c4686c03b!8m2!3d32.9291128!4d10.4483865!16s%2Fg%2F11kvbz1dcc!19sChIJ1Y1a3rq3VBIRO8CGRiwCWyo?authuser=0&hl=fr&rclk=1
ChIJ1VDVecS3VBIRW5nAHcda844,Ciao Ciao,,False,1,,Ciao Ciao (proprietaire),,,Restauration rapide,Restauration rapide,5,,,,"WFP2+PMH Ciao Ciao, Av. habib bourguiba, Tataouine",,https://www.google.com/maps/place/Ciao+Ciao/data=!4m7!3m6!1s0x1254b7c479d550d5:0x8ef35ac71dc0995b!8m2!3d32.9367995!4d10.451769!16s%2Fg%2F11vby7cvsl!19sChIJ1VDVecS3VBIRW5nAHcda844?authuser=0&hl=fr&rclk=1
