place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJN9OTA4Y0_RIRRI3mbyzD9SM,"La Salle a Manger ""La Vinotheque by La Salle a Manger""",,False,460,https://www.facebook.com/salleamangerpageofficielle/,"La Salle a Manger ""La Vinotheque by La Salle a Manger"" (proprietaire)",https://www.google.com/maps/contrib/116471666787673467406,https://lh5.googleusercontent.com/p/AF1QipPsEaaSuGXo9-hiqmjPRTHVS5ikFkxx6vAwiWiR=w408-h544-k-no,Restaurant,"Restaurant, Bar a vin",4.3,12:00-00:30,dimanche,71 793 283,"La Salle a Manger ""La Vinotheque by La Salle a Manger"", 3 Rue Imam Sahnoun, Tunis 1002","atmosphere, cuisine, service, fumeur, dessert, experience, serveurs, souris d'agneau, qualite, canard",https://www.google.com/maps/place/La+Salle+%C3%A0+Manger+%22La+Vinoth%C3%A8que+by+La+Salle+%C3%A0+Manger%22/data=!4m7!3m6!1s0x12fd34860393d337:0x23f5c32c6fe68d44!8m2!3d36.8219108!4d10.1813322!16s%2Fg%2F1td35g19!19sChIJN9OTA4Y0_RIRRI3mbyzD9SM?authuser=0&hl=fr&rclk=1
ChIJ404M9R41_RIRzYxRWD9bn5I,Club Grill Citroen,,False,374,,Club Grill Citroen (proprietaire),https://www.google.com/maps/contrib/114665984406888566381,https://lh5.googleusercontent.com/p/AF1QipPpNm1ZdjBO9oVzc0zSNAVDyUe9UVIbthA3D7bJ=w427-h240-k-no,Restaurant,"Restaurant, Grillades, Restaurant servant le petit-dejeuner, Cafe, Diner, Restaurant mediterraneen, Pizzeria, Salon de the",4.1,08:00-00:00,,20 132 871,"Club Grill Citroen, maison Citroen, Avenue principale les berges du Lac Show Room","prix, serveur, pizza, cafe, famille, atmosphere, crepes, brunch, alcool, je",https://www.google.com/maps/place/Club+Grill+Citro%C3%ABn/data=!4m7!3m6!1s0x12fd351ef50c4ee3:0x929f5b3f58518ccd!8m2!3d36.831203!4d10.2179411!16s%2Fg%2F1tg589t7!19sChIJ404M9R41_RIRzYxRWD9bn5I?authuser=0&hl=fr&rclk=1
ChIJb_by-6Y0_RIRDyghUvzflkA,Le Reservoir Bistro,,False,257,,Le Reservoir Bistro (proprietaire),https://www.google.com/maps/contrib/107343275968487149920,https://lh5.googleusercontent.com/p/AF1QipM80N0Mvz4ZsFCppjjfgQVQ5cm6HLjR62n0Ew9q=w425-h240-k-no,Restaurant,"Restaurant, Bistro, Restaurant de hamburgers, Restaurant de viande",4.3,12:00-22:00,lundi,93 239 228,"Le Reservoir Bistro, 24 Av. de la democratie, Tunis 2037","burger, musique, experience, sauce, serveur, pates, steak, atmosphere, poutine, succulents",https://www.google.com/maps/place/Le+R%C3%A9servoir+Bistro/data=!4m7!3m6!1s0x12fd34a6fbf2f66f:0x4096dffc5221280f!8m2!3d36.8467159!4d10.1732998!16s%2Fg%2F11clyxg3lx!19sChIJb_by-6Y0_RIRDyghUvzflkA?authuser=0&hl=fr&rclk=1
ChIJbx_7c3w0_RIRG8N65GtRWLw,Restaurant El-Walima,,False,215,,Restaurant El-Walima (proprietaire),https://www.google.com/maps/contrib/113631504792808489902,https://lh5.googleusercontent.com/p/AF1QipPG6m0Dk5Kutv5rZb1iQ_nwBDoOJ1I7wiQAyErD=w408-h544-k-no,Restaurant tunisien,Restaurant tunisien,4.2,09:00-21:30,,71 840 309,"Restaurant El-Walima, 35 Rue du Liban, Tunis 1002","prix, service, dejeuner, cuisine traditionnelle, succulents, dessert, atmosphere",https://www.google.com/maps/place/Restaurant+El-Walima/data=!4m7!3m6!1s0x12fd347c73fb1f6f:0xbc58516be47ac31b!8m2!3d36.812508!4d10.1776768!16s%2Fg%2F12m93n0wy!19sChIJbx_7c3w0_RIRG8N65GtRWLw?authuser=0&hl=fr&rclk=1
ChIJIdmEb3U0_RIRYoiuciXPxRI,Restaurant Dar Slah,,False,213,http://darslah.com/,Restaurant Dar Slah (proprietaire),https://www.google.com/maps/contrib/116615842790500484331,https://lh5.googleusercontent.com/p/AF1QipOl_3z7dCTgvROQFTYkJlqhEFDjkH7UJZOOvpYO=w408-h271-k-no,Restaurant tunisien,"Restaurant tunisien, Restaurant",4.7,18:15-20:30,"mardi, mercredi",58 261 026,"Restaurant Dar Slah, 145 Rue de la Kasbah, Tunis 1006","prix, couscous, dessert, experience, tradition, entrees, coeur, choix, assida, pignons",https://www.google.com/maps/place/Restaurant+Dar+Slah/data=!4m7!3m6!1s0x12fd34756f84d921:0x12c5cf2572ae8862!8m2!3d36.7986221!4d10.1711398!16s%2Fg%2F1q6kj_ssj!19sChIJIdmEb3U0_RIRYoiuciXPxRI?authuser=0&hl=fr&rclk=1
ChIJQSzg_GQ0_RIRGMqGnWXqiCs,Le Comptoir de Tunis,,False,202,,Le Comptoir de Tunis (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipOw2vqO4_UGKfrCwM_DlVxqcw4FrD-ZYmhn7B4g=w408-h272-k-no,Restaurant,Restaurant,4,12:01-01:30,dimanche,71 832 590,"R55M+JFF Le Comptoir de Tunis, Tunis","prix, musique, bar, table, service client, karaoke",https://www.google.com/maps/place/Le+Comptoir+de+Tunis/data=!4m7!3m6!1s0x12fd3464fce02c41:0x2b88ea659d86ca18!8m2!3d36.8090611!4d10.1836828!16s%2Fg%2F11c5rqh8qp!19sChIJQSzg_GQ0_RIRGMqGnWXqiCs?authuser=0&hl=fr&rclk=1
ChIJWXpt_nw0_RIR6Y-HA8oa-a4,La Cloche D'or,,False,173,,La Cloche D'or (proprietaire),https://www.google.com/maps/contrib/117353258895474311021,https://lh5.googleusercontent.com/p/AF1QipPybLbKM1oCCb3DKaRZi7alosEQuRCz-yIJpEr7=w408-h306-k-no,Restaurant,Restaurant,4.2,12:30-01:00,,71 892 619,"La Cloche D'or, 92 Av. de La Liberte, Tunis 1002","serveurs, prix, tunisien, fumeur, vins, produits de la mer, diner",https://www.google.com/maps/place/La+Cloche+D%27or/data=!4m7!3m6!1s0x12fd347cfe6d7a59:0xaef91aca03878fe9!8m2!3d36.8138883!4d10.1790251!16s%2Fg%2F11cs9_tvxp!19sChIJWXpt_nw0_RIR6Y-HA8oa-a4?authuser=0&hl=fr&rclk=1
ChIJ9c1oeqA1_RIR1H8MOfvFFGU,Restaurant Chez Slah,,False,160,,Restaurant Chez Slah (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipM-ABorsf-VQdh7zrdhF6LJwkOedEFRZpGyo2jC=w408-h544-k-no,Restaurant,Restaurant,4,11:00-23:00,dimanche,71 258 588,"Restaurant Chez Slah, 14 Bis Rue Pierre de Coubertin, Tunis","prix, poisson, vin, frites, addition, touristes, le menu, table, grillades, crevettes",https://www.google.com/maps/place/Restaurant+Chez+Slah/data=!4m7!3m6!1s0x12fd35a07a68cdf5:0x6514c5fb390c7fd4!8m2!3d36.8019061!4d10.1841963!16s%2Fg%2F11h616r6qw!19sChIJ9c1oeqA1_RIR1H8MOfvFFGU?authuser=0&hl=fr&rclk=1
ChIJdz3N50s1_RIRZqUhh6QwlLc,++TUN-ISTAMBUL,,False,158,,++TUN-ISTAMBUL (proprietaire),https://www.google.com/maps/contrib/106683037049428310480,https://lh5.googleusercontent.com/p/AF1QipP-IuyH7D1mfr8c_cgealRMajZqhCYVlmzOO4K4=w408-h544-k-no,Restaurant,Restaurant,4.3,09:00-00:00,,,"++TUN-ISTAMBUL, Av. Habib Bourguiba, Tunis","prix, sandwich, serveur, table, assiette, pizza, chiche-kebab, shawarma, jus, fromage",https://www.google.com/maps/place/%2B%2BTUN-ISTAMBUL/data=!4m7!3m6!1s0x12fd354be7cd3d77:0xb79430a48721a566!8m2!3d36.7995425!4d10.1820719!16s%2Fg%2F11f5_6vn2l!19sChIJdz3N50s1_RIRZqUhh6QwlLc?authuser=0&hl=fr&rclk=1
ChIJw2pth3A0_RIRMv_MWfNVwKo,Restaurant Ojja Chouchou,,False,140,,Restaurant Ojja Chouchou (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPVasFe1iH6rFYjzCVSHAP5cwx6voMIK6qcb3fV=w408-h306-k-no,Restaurant,Restaurant,4.2,11:00-22:00,dimanche,,"Restaurant Ojja Chouchou, 11 Rue Borj Bourguiba, Tunis","prix, omelette",https://www.google.com/maps/place/Restaurant+Ojja+Chouchou/data=!4m7!3m6!1s0x12fd3470876d6ac3:0xaac055f359ccff32!8m2!3d36.8062846!4d10.1786882!16s%2Fg%2F1tglcyh1!19sChIJw2pth3A0_RIRMv_MWfNVwKo?authuser=0&hl=fr&rclk=1
