place_id,name,description,is_spending_on_ads,reviews,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link
ChIJF28lo9a14hIR2v4PwLh_Jno,ch'men di fir,,False,80,,ch'men di fir (proprietaire),https://www.google.com/maps/contrib/107857943421237970836,https://lh5.googleusercontent.com/p/AF1QipMZc5NVzHId0iPSY66On_-ktXd2gLFkQYxMR7Lo=w408-h306-k-no,Restaurant de hamburgers,Restaurant de hamburgers,4.3,11:30-00:00,,55 555 802,"ch'men di fir, 58.av de carthage les jardins de carthage le kram, 1090",concept,https://www.google.com/maps/place/ch%27men+di+fir/data=!4m7!3m6!1s0x12e2b5d6a3256f17:0x7a267fb8c00ffeda!8m2!3d36.8544585!4d10.2880081!16s%2Fg%2F11mvmx9dtk!19sChIJF28lo9a14hIR2v4PwLh_Jno?authuser=0&hl=fr&rclk=1
ChIJWZY8lN614hIR3kaubqHbQwM,Del Capo,,False,68,,Del Capo (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipN4ZQXD14_fmDi3ZLgS3IuxAfxveQiYC-3oalJQ=w408-h610-k-no,Restaurant italien,Restaurant italien,4.6,12:00-00:00,,24 399 399,"Del Capo, Villa gauchoo","pates, prix, quantite",https://www.google.com/maps/place/Del+Capo/data=!4m7!3m6!1s0x12e2b5de943c9659:0x343dba16eae46de!8m2!3d36.853091!4d10.2831528!16s%2Fg%2F11r_xcswr8!19sChIJWZY8lN614hIR3kaubqHbQwM?authuser=0&hl=fr&rclk=1
ChIJG3NbEQ4R_RIRkgRgyIoATLE,Restaurant La Joconde,,False,40,,Restaurant La Joconde (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMdfxp4kNt-BDBrG0Q89Em_-S6Sv8aOCDVM4C4t=w408-h306-k-no,Restaurant,Restaurant,4.4,09:00-16:00,dimanche,99 846 808,"C43R+4HF Restaurant La Joconde, Zaghouan",,https://www.google.com/maps/place/Restaurant+La+Joconde/data=!4m7!3m6!1s0x12fd110e115b731b:0xb14c008ac8600492!8m2!3d36.4028052!4d10.1414131!16s%2Fg%2F12hqrycnx!19sChIJG3NbEQ4R_RIRkgRgyIoATLE?authuser=0&hl=fr&rclk=1
ChIJVVVVxVa14hIRTFJnx77odRw,Restaurant La Caverna,,False,35,https://www.facebook.com/lacaverna.laouina,Restaurant La Caverna (proprietaire),https://www.google.com/maps/contrib/105658254955097979844,https://lh5.googleusercontent.com/p/AF1QipO_U93D5C-7G7pjhn62bGgE5eLl1Z3UR3V5GA6K=w408-h306-k-no,Restaurant,Restaurant,4.8,10:00-00:00,,50 638 057,"Restaurant La Caverna, Rue De L'Oasis, Tunis 1002","pizza, couscous, atmosphere, espace",https://www.google.com/maps/place/Restaurant+La+Caverna/data=!4m7!3m6!1s0x12e2b556c5555555:0x1c75e8bec767524c!8m2!3d36.8594715!4d10.265755!16s%2Fg%2F11c6w2vq4t!19sChIJVVVVxVa14hIRTFJnx77odRw?authuser=0&hl=fr&rclk=1
ChIJnbSCkPwR_RIROYrerm8yLxI,LA COMIDA,,False,32,,LA COMIDA (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipPMi5q1fVL6Shsy7mpeGNaRaxlAuqEndBROu_9b=w408-h371-k-no,Restaurant,Restaurant,4.3,,,54 517 101,"C42V+WW5 LA COMIDA, Cite el Bostene, Zaghouan",,https://www.google.com/maps/place/LA+COMIDA/data=!4m7!3m6!1s0x12fd11fc9082b49d:0x122f326faede8a39!8m2!3d36.4022601!4d10.1448598!16s%2Fg%2F11j6fzq9f5!19sChIJnbSCkPwR_RIROYrerm8yLxI?authuser=0&hl=fr&rclk=1
ChIJtePaWi0R_RIRDXfb4bQvYKc,Espace de Loisirs La Grotte,,False,32,,Espace de Loisirs La Grotte (proprietaire),https://www.google.com/maps/contrib/118000048371891981079,https://lh5.googleusercontent.com/p/AF1QipNqK9NqG7tM7f-_3_WegAbu1-GC0B56XD5oYYg=w408-h408-k-no,Cafe,Cafe,4.4,07:00-00:00,,23 037 303,"Espace de Loisirs La Grotte, Zaghouan",,https://www.google.com/maps/place/Espace+de+Loisirs+La+Grotte/data=!4m7!3m6!1s0x12fd112d5adae3b5:0xa7602fb4e1db770d!8m2!3d36.3994608!4d10.1463217!16s%2Fg%2F11vppc19dx!19sChIJtePaWi0R_RIRDXfb4bQvYKc?authuser=0&hl=fr&rclk=1
ChIJIbX8OBgR_RIRqblx2tMvjoU,L'art'doiz,,False,28,,L'art'doiz (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMIJtaQPBK5LMSG2IS5HgHRhw4YDcae1WsdVIp7=w408-h306-k-no,Cafe,Cafe,4.3,06:00-00:00,,98 642 562,"L'art'doiz, 1100 Rue D'environnement, Zaghouan",,https://www.google.com/maps/place/L%27art%27doiz/data=!4m7!3m6!1s0x12fd111838fcb521:0x858e2fd3da71b9a9!8m2!3d36.4132607!4d10.1354744!16s%2Fg%2F11crzffk6g!19sChIJIbX8OBgR_RIRqblx2tMvjoU?authuser=0&hl=fr&rclk=1
ChIJ-5s7UcG14hIRG993GM6lPAY,Time Out' (Ain Zaghouan nord ),,False,24,,Time Out' (Ain Zaghouan nord ) (proprietaire),https://www.google.com/maps/contrib/108577875906137219510,https://lh5.googleusercontent.com/p/AF1QipP3-Ypk4Ayl_CwEuet_sprnbl5Sg0oH-ZN1f2t1=w408-h544-k-no,Salon de the,"Salon de the, Cafe, Restaurant",4.4,06:30-00:00,,20 496 000,"Time Out' (Ain Zaghouan nord ), rue de l'Algerie, Tunis 2045",,https://www.google.com/maps/place/Time+Out%27+%28Ain+Zaghouan+nord+%29/data=!4m7!3m6!1s0x12e2b5c1513b9bfb:0x63ca5ce1877df1b!8m2!3d36.8619961!4d10.2888487!16s%2Fg%2F11n0r_551l!19sChIJ-5s7UcG14hIRG993GM6lPAY?authuser=0&hl=fr&rclk=1
ChIJDYQnJ3i14hIR1CsRSN8cHi4,Fast-Obidj',,False,21,,Fast-Obidj' (proprietaire),https://www.google.com/maps/contrib/109049507972849596591,https://lh5.googleusercontent.com/p/AF1QipObVv_Fr3SbH58ctKzZ_5iCnguWa3Gu9-tFXjqh=w408-h306-k-no,Restauration rapide,Restauration rapide,4.7,Ouvert 24h/24,dimanche,56 629 225,"Fast-Obidj', 52 Rue De Chotrana, 2046",,https://www.google.com/maps/place/Fast-Obidj%27/data=!4m7!3m6!1s0x12e2b5782727840d:0x2e1e1cdf48112bd4!8m2!3d36.8512829!4d10.2820331!16s%2Fg%2F11lgq1901k!19sChIJDYQnJ3i14hIR1CsRSN8cHi4?authuser=0&hl=fr&rclk=1
ChIJrd4cVN8Q_RIRjaLPTDR45-E,Mechoui Zaghouan,,False,17,,Mechoui Zaghouan (proprietaire),,https://lh5.googleusercontent.com/p/AF1QipMG5WUfGcEeTd27Q_cSKDw-KkiQyIsWlmvrMdRN=w493-h240-k-no,Restaurant,Restaurant,4.2,Ouvert 24h/24,,,"C4CG+92X Mechoui Zaghouan, Zaghouan",,https://www.google.com/maps/place/Mechoui+Zaghouan/data=!4m7!3m6!1s0x12fd10df541cdead:0xe1e778344ccfa28d!8m2!3d36.420985!4d10.1251142!16s%2Fg%2F11gdgq8v1k!19sChIJrd4cVN8Q_RIRjaLPTDR45-E?authuser=0&hl=fr&rclk=1
